exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:01:00.131,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:01:00.161,2026-06-02T09:01:50.637,50.476,1,0,Click on the images containing bicycles.,"[""Bicycle (314).jpg"", ""Bridge (28).jpg"", ""Bicycle (259).jpg"", ""Stair (1459).jpg"", ""Hydrant (82).jpg"", ""Stair (544).jpg"", ""Bicycle (748).jpg"", ""Bus (36).jpg"", ""Bicycle (566).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (314).jpg"", ""Bicycle (748).jpg"", ""Bicycle (566).jpg""]",776,1,0,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:01:52.645,2026-06-02T09:02:08.516,15.871,2,1,Click on the images containing bicycles.,"[""Bicycle (13).jpg"", ""Tlight (53).jpg"", ""Bicycle (673).jpg"", ""Car (102).jpg"", ""Bicycle (303).jpg"", ""Bicycle (243).jpg"", ""Tlight (81).jpg"", ""Hydrant (140).jpg"", ""Bicycle (48).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 4, 5, 8]","[""Bicycle (13).jpg"", ""Bicycle (673).jpg"", ""Bicycle (303).jpg"", ""Bicycle (243).jpg"", ""Bicycle (48).jpg""]",771,2,1,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:02:08.520,2026-06-02T09:02:23.627,15.107,3,1,Click on the images containing bicycles.,"[""Bridge (76).jpg"", ""Bicycle (775).jpg"", ""Tlight (79).jpg"", ""Chimney (45).jpg"", ""Hydrant (104).jpg"", ""Bicycle (426).jpg"", ""Bicycle (156).jpg"", ""Bicycle (315).jpg"", ""Cross (57).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 5, 6, 7]","[""Bicycle (775).jpg"", ""Bicycle (426).jpg"", ""Bicycle (156).jpg"", ""Bicycle (315).jpg""]",767,3,2,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:02:23.631,2026-06-02T09:02:42.147,18.516,4,1,Click on the images containing bicycles.,"[""Bicycle (63).jpg"", ""Bicycle (688).jpg"", ""Tlight (92).jpg"", ""Chimney (21).jpg"", ""Tlight (64).jpg"", ""Bridge (41).jpg"", ""Bicycle (717).jpg"", ""Bicycle (435).jpg"", ""Bicycle (682).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 1, 6, 7, 8]","[""Bicycle (63).jpg"", ""Bicycle (688).jpg"", ""Bicycle (717).jpg"", ""Bicycle (435).jpg"", ""Bicycle (682).jpg""]",762,4,3,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:02:42.151,2026-06-02T09:03:03.385,21.234,5,1,Click on the images containing bicycles.,"[""Bicycle (126).jpg"", ""Stair (312).jpg"", ""Hydrant (65).jpg"", ""Stair (1000).jpg"", ""Bridge (34).jpg"", ""Bicycle (685).jpg"", ""Cross (88).jpg"", ""Bicycle (470).jpg"", ""Bicycle (140).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (126).jpg"", ""Bicycle (685).jpg"", ""Bicycle (470).jpg"", ""Bicycle (140).jpg""]",758,5,4,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:03:03.389,2026-06-02T09:03:27.737,24.348,6,1,Click on the images containing bicycles.,"[""Bridge (110).jpg"", ""Bicycle (365).jpg"", ""Hydrant (135).jpg"", ""Bus (122).jpg"", ""Bicycle (342).jpg"", ""Palm (42).jpg"", ""Tlight (125).jpg"", ""Bicycle (347).jpg"", ""Bicycle (287).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 4, 7, 8]","[""Bicycle (365).jpg"", ""Bicycle (342).jpg"", ""Bicycle (347).jpg"", ""Bicycle (287).jpg""]",754,6,5,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:03:27.742,2026-06-02T09:03:49.385,21.643,7,1,Click on the images containing bicycles.,"[""Bicycle (465).jpg"", ""Bus (49).jpg"", ""Bridge (121).jpg"", ""Chimney (33).jpg"", ""Bicycle (616).jpg"", ""Stair (1149).jpg"", ""Bicycle (703).jpg"", ""Bicycle (128).jpg"", ""Car (80).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 4, 6, 7]","[""Bicycle (465).jpg"", ""Bicycle (616).jpg"", ""Bicycle (703).jpg"", ""Bicycle (128).jpg""]",750,7,6,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:03:49.389,2026-06-02T09:04:12.782,23.393,8,0,Click on the images containing bicycles.,"[""Tlight (4).jpg"", ""Bicycle (417).jpg"", ""Bicycle (730).jpg"", ""Bicycle (309).jpg"", ""Hydrant (120).jpg"", ""Bicycle (659).jpg"", ""Tlight (2).jpg"", ""Bicycle (695).jpg"", ""Stair (567).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 3, 5, 7]","[""Bicycle (730).jpg"", ""Bicycle (309).jpg"", ""Bicycle (659).jpg"", ""Bicycle (695).jpg""]",745,8,6,10,submit,
9b45f7fbf159423e8d0647bc7bcac22c,captcha_pre,74,24,female,2026-06-02T09:04:14.790,2026-06-02T09:04:28.663,13.873,9,0,Click on the images containing bicycles.,"[""Car (45).jpg"", ""Bicycle (149).jpg"", ""Cross (70).jpg"", ""Stair (700).jpg"", ""Bicycle (138).jpg"", ""Stair (1416).jpg"", ""Bicycle (663).jpg"", ""Stair (1455).jpg"", ""Bicycle (206).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (149).jpg"", ""Bicycle (663).jpg"", ""Bicycle (206).jpg""]",741,9,6,10,submit,
