exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T09:57:38.140,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T09:57:38.173,2026-06-02T09:59:07.371,89.198,1,1,Click on the images containing bicycles.,"[""Bicycle (502).jpg"", ""Cross (12).jpg"", ""Bicycle (19).jpg"", ""Stair (912).jpg"", ""Bicycle (486).jpg"", ""Stair (427).jpg"", ""Chimney (69).jpg"", ""Bridge (41).jpg"", ""Chimney (115).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (502).jpg"", ""Bicycle (19).jpg"", ""Bicycle (486).jpg""]",777,1,1,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T09:59:07.375,2026-06-02T09:59:36.107,28.732,2,1,Click on the images containing bicycles.,"[""Bicycle (504).jpg"", ""Palm (76).jpg"", ""Bicycle (113).jpg"", ""Bicycle (351).jpg"", ""Bicycle (135).jpg"", ""Chimney (24).jpg"", ""Tlight (15).jpg"", ""Bicycle (605).jpg"", ""Bus (129).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 4, 7]","[""Bicycle (504).jpg"", ""Bicycle (113).jpg"", ""Bicycle (351).jpg"", ""Bicycle (135).jpg"", ""Bicycle (605).jpg""]",772,2,2,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T09:59:36.111,2026-06-02T09:59:46.489,10.378,3,0,Click on the images containing bicycles.,"[""Car (123).jpg"", ""Bicycle (90).jpg"", ""Hydrant (121).jpg"", ""Bicycle (85).jpg"", ""Bicycle (279).jpg"", ""Hydrant (134).jpg"", ""Palm (5).jpg"", ""Chimney (81).jpg"", ""Bicycle (213).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 4]","[""Bicycle (90).jpg"", ""Bicycle (85).jpg"", ""Bicycle (279).jpg""]",768,3,2,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T09:59:48.496,2026-06-02T10:00:11.155,22.659,4,1,Click on the images containing bicycles.,"[""Bicycle (34).jpg"", ""Bus (118).jpg"", ""Bicycle (56).jpg"", ""Hydrant (78).jpg"", ""Tlight (66).jpg"", ""Bicycle (608).jpg"", ""Bicycle (174).jpg"", ""Tlight (50).jpg"", ""Bridge (33).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (34).jpg"", ""Bicycle (56).jpg"", ""Bicycle (608).jpg"", ""Bicycle (174).jpg""]",764,4,3,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T10:00:11.159,2026-06-02T10:00:31.052,19.893,5,1,Click on the images containing bicycles.,"[""Bicycle (664).jpg"", ""Bicycle (314).jpg"", ""Tlight (88).jpg"", ""Bicycle (192).jpg"", ""Tlight (89).jpg"", ""Palm (122).jpg"", ""Bicycle (153).jpg"", ""Chimney (34).jpg"", ""Bicycle (232).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 3, 6, 8]","[""Bicycle (664).jpg"", ""Bicycle (314).jpg"", ""Bicycle (192).jpg"", ""Bicycle (153).jpg"", ""Bicycle (232).jpg""]",759,5,4,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T10:00:31.056,2026-06-02T10:00:49.572,18.516,6,0,Click on the images containing bicycles.,"[""Cross (83).jpg"", ""Cross (105).jpg"", ""Tlight (90).jpg"", ""Bicycle (603).jpg"", ""Bicycle (362).jpg"", ""Bridge (34).jpg"", ""Car (109).jpg"", ""Bicycle (372).jpg"", ""Chimney (85).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 3, 4, 7]","[""Cross (83).jpg"", ""Bicycle (603).jpg"", ""Bicycle (362).jpg"", ""Bicycle (372).jpg""]",756,6,4,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T10:00:51.580,2026-06-02T10:01:05.035,13.455,7,1,Click on the images containing bicycles.,"[""Bicycle (374).jpg"", ""Bicycle (506).jpg"", ""Bicycle (412).jpg"", ""Car (51).jpg"", ""Stair (236).jpg"", ""Bus (107).jpg"", ""Bicycle (303).jpg"", ""Bicycle (763).jpg"", ""Tlight (84).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 2, 6, 7]","[""Bicycle (374).jpg"", ""Bicycle (506).jpg"", ""Bicycle (412).jpg"", ""Bicycle (303).jpg"", ""Bicycle (763).jpg""]",751,7,5,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T10:01:05.040,2026-06-02T10:01:13.547,8.507,8,0,Click on the images containing bicycles.,"[""Bridge (81).jpg"", ""Bicycle (138).jpg"", ""Bicycle (348).jpg"", ""Bicycle (62).jpg"", ""Bicycle (437).jpg"", ""Bus (108).jpg"", ""Tlight (137).jpg"", ""Palm (50).jpg"", ""Palm (70).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (348).jpg"", ""Bicycle (62).jpg"", ""Bicycle (437).jpg""]",747,8,5,10,submit,
179b8c2a95e646eca2510d2513c9d519,captcha_pre,75,21,female,2026-06-02T10:01:15.561,2026-06-02T10:01:25.124,9.563,9,1,Click on the images containing bicycles.,"[""Bicycle (205).jpg"", ""Bicycle (544).jpg"", ""Car (56).jpg"", ""Bridge (118).jpg"", ""Stair (1416).jpg"", ""Hydrant (106).jpg"", ""Palm (13).jpg"", ""Bicycle (777).jpg"", ""Bridge (89).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (205).jpg"", ""Bicycle (544).jpg"", ""Bicycle (777).jpg""]",744,9,6,10,submit,
