exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:02:21.358,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:02:21.389,2026-06-02T12:03:15.380,53.991,1,1,Click on the images containing bicycles.,"[""Bicycle (573).jpg"", ""Stair (14).jpg"", ""Bridge (50).jpg"", ""Bicycle (380).jpg"", ""Tlight (10).jpg"", ""Bicycle (560).jpg"", ""Bicycle (433).jpg"", ""Bicycle (42).jpg"", ""Chimney (52).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[0, 3, 5, 6, 7]","[""Bicycle (573).jpg"", ""Bicycle (380).jpg"", ""Bicycle (560).jpg"", ""Bicycle (433).jpg"", ""Bicycle (42).jpg""]",775,1,1,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:03:15.384,2026-06-02T12:03:27.812,12.428,2,1,Click on the images containing bicycles.,"[""Bicycle (438).jpg"", ""Stair (424).jpg"", ""Hydrant (129).jpg"", ""Bicycle (51).jpg"", ""Cross (1).jpg"", ""Chimney (80).jpg"", ""Bicycle (283).jpg"", ""Bicycle (344).jpg"", ""Bicycle (128).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 3, 6, 7, 8]","[""Bicycle (438).jpg"", ""Bicycle (51).jpg"", ""Bicycle (283).jpg"", ""Bicycle (344).jpg"", ""Bicycle (128).jpg""]",770,2,2,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:03:27.816,2026-06-02T12:03:36.962,9.146,3,1,Click on the images containing bicycles.,"[""Stair (393).jpg"", ""Car (94).jpg"", ""Bicycle (106).jpg"", ""Hydrant (80).jpg"", ""Tlight (107).jpg"", ""Bicycle (396).jpg"", ""Cross (66).jpg"", ""Bicycle (647).jpg"", ""Bicycle (416).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[2, 5, 7, 8]","[""Bicycle (106).jpg"", ""Bicycle (396).jpg"", ""Bicycle (647).jpg"", ""Bicycle (416).jpg""]",766,3,3,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:03:36.967,2026-06-02T12:04:00.802,23.835,4,0,Click on the images containing bicycles.,"[""Cross (41).jpg"", ""Cross (14).jpg"", ""Bicycle (7).jpg"", ""Bicycle (171).jpg"", ""Chimney (124).jpg"", ""Bicycle (239).jpg"", ""Bicycle (537).jpg"", ""Bicycle (731).jpg"", ""Bus (130).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (7).jpg"", ""Bicycle (171).jpg"", ""Bicycle (537).jpg"", ""Bicycle (731).jpg""]",761,4,3,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:04:02.810,2026-06-02T12:04:12.754,9.944,5,1,Click on the images containing bicycles.,"[""Stair (861).jpg"", ""Bicycle (450).jpg"", ""Bicycle (201).jpg"", ""Tlight (131).jpg"", ""Bicycle (342).jpg"", ""Bus (78).jpg"", ""Bicycle (120).jpg"", ""Bridge (31).jpg"", ""Palm (119).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 4, 6]","[""Bicycle (450).jpg"", ""Bicycle (201).jpg"", ""Bicycle (342).jpg"", ""Bicycle (120).jpg""]",757,5,4,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:04:12.759,2026-06-02T12:04:24.825,12.066,6,0,Click on the images containing bicycles.,"[""Chimney (84).jpg"", ""Bicycle (71).jpg"", ""Car (133).jpg"", ""Bicycle (238).jpg"", ""Tlight (84).jpg"", ""Bicycle (690).jpg"", ""Chimney (23).jpg"", ""Bridge (124).jpg"", ""Bicycle (211).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (238).jpg"", ""Bicycle (690).jpg"", ""Bicycle (211).jpg""]",753,6,4,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:04:26.838,2026-06-02T12:04:35.770,8.932,7,1,Click on the images containing bicycles.,"[""Bus (77).jpg"", ""Bicycle (622).jpg"", ""Bicycle (613).jpg"", ""Bicycle (459).jpg"", ""Bridge (104).jpg"", ""Bus (85).jpg"", ""Bridge (85).jpg"", ""Bicycle (167).jpg"", ""Tlight (50).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 7]","[""Bicycle (622).jpg"", ""Bicycle (613).jpg"", ""Bicycle (459).jpg"", ""Bicycle (167).jpg""]",749,7,5,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:04:35.775,2026-06-02T12:04:44.186,8.411,8,1,Click on the images containing bicycles.,"[""Bicycle (271).jpg"", ""Bicycle (605).jpg"", ""Bridge (24).jpg"", ""Tlight (76).jpg"", ""Bicycle (92).jpg"", ""Bus (82).jpg"", ""Bicycle (670).jpg"", ""Tlight (47).jpg"", ""Bicycle (716).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 4, 6, 8]","[""Bicycle (271).jpg"", ""Bicycle (605).jpg"", ""Bicycle (92).jpg"", ""Bicycle (670).jpg"", ""Bicycle (716).jpg""]",744,8,6,10,submit,
e53182617ce146a98d36d15c67820ab1,captcha_pre,77,21,male,2026-06-02T12:04:44.190,2026-06-02T12:04:54.922,10.732,9,1,Click on the images containing bicycles.,"[""Bicycle (729).jpg"", ""Bridge (28).jpg"", ""Bicycle (724).jpg"", ""Car (122).jpg"", ""Stair (1240).jpg"", ""Bicycle (534).jpg"", ""Tlight (62).jpg"", ""Bicycle (471).jpg"", ""Bicycle (235).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 2, 5, 7, 8]","[""Bicycle (729).jpg"", ""Bicycle (724).jpg"", ""Bicycle (534).jpg"", ""Bicycle (471).jpg"", ""Bicycle (235).jpg""]",739,9,7,10,submit,
