exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:02:08.625,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:02:08.657,2026-06-02T13:02:43.882,35.225,1,1,Click on the images containing bicycles.,"[""Hydrant (70).jpg"", ""Bicycle (622).jpg"", ""Bus (36).jpg"", ""Bicycle (341).jpg"", ""Bicycle (746).jpg"", ""Bicycle (65).jpg"", ""Chimney (45).jpg"", ""Bridge (134).jpg"", ""Bridge (70).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 4, 5]","[""Bicycle (622).jpg"", ""Bicycle (341).jpg"", ""Bicycle (746).jpg"", ""Bicycle (65).jpg""]",776,1,1,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:02:43.887,2026-06-02T13:02:55.951,12.064,2,1,Click on the images containing bicycles.,"[""Bicycle (483).jpg"", ""Hydrant (61).jpg"", ""Tlight (72).jpg"", ""Bicycle (665).jpg"", ""Bicycle (379).jpg"", ""Bus (66).jpg"", ""Bicycle (461).jpg"", ""Tlight (84).jpg"", ""Bicycle (520).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 4, 6, 8]","[""Bicycle (483).jpg"", ""Bicycle (665).jpg"", ""Bicycle (379).jpg"", ""Bicycle (461).jpg"", ""Bicycle (520).jpg""]",771,2,2,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:02:55.957,2026-06-02T13:03:06.926,10.969,3,1,Click on the images containing bicycles.,"[""Bicycle (731).jpg"", ""Bicycle (330).jpg"", ""Bicycle (421).jpg"", ""Bicycle (527).jpg"", ""Chimney (19).jpg"", ""Cross (59).jpg"", ""Stair (1191).jpg"", ""Cross (78).jpg"", ""Chimney (80).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (731).jpg"", ""Bicycle (330).jpg"", ""Bicycle (421).jpg"", ""Bicycle (527).jpg""]",767,3,3,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:03:06.931,2026-06-02T13:03:07.766,0.835,4,0,Click on the images containing bicycles.,"[""Car (98).jpg"", ""Palm (126).jpg"", ""Bicycle (250).jpg"", ""Bicycle (725).jpg"", ""Bicycle (536).jpg"", ""Chimney (96).jpg"", ""Stair (1391).jpg"", ""Bicycle (535).jpg"", ""Bicycle (540).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]",[],[],762,4,3,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:03:09.774,2026-06-02T13:03:22.887,13.113,5,0,Click on the images containing bicycles.,"[""Bridge (26).jpg"", ""Bicycle (239).jpg"", ""Bicycle (261).jpg"", ""Tlight (49).jpg"", ""Bicycle (277).jpg"", ""Bicycle (236).jpg"", ""Bus (133).jpg"", ""Cross (13).jpg"", ""Stair (1464).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 4, 5]","[""Bicycle (261).jpg"", ""Bicycle (277).jpg"", ""Bicycle (236).jpg""]",758,5,3,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:03:24.894,2026-06-02T13:03:36.110,11.216,6,1,Click on the images containing bicycles.,"[""Bicycle (629).jpg"", ""Stair (418).jpg"", ""Cross (14).jpg"", ""Bicycle (28).jpg"", ""Cross (10).jpg"", ""Car (24).jpg"", ""Bicycle (192).jpg"", ""Bicycle (548).jpg"", ""Chimney (3).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (629).jpg"", ""Bicycle (28).jpg"", ""Bicycle (192).jpg"", ""Bicycle (548).jpg""]",754,6,4,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:03:36.115,2026-06-02T13:03:47.934,11.819,7,1,Click on the images containing bicycles.,"[""Tlight (130).jpg"", ""Palm (8).jpg"", ""Bicycle (77).jpg"", ""Bicycle (120).jpg"", ""Cross (32).jpg"", ""Stair (717).jpg"", ""Bicycle (43).jpg"", ""Bridge (74).jpg"", ""Bicycle (567).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 6, 8]","[""Bicycle (77).jpg"", ""Bicycle (120).jpg"", ""Bicycle (43).jpg"", ""Bicycle (567).jpg""]",750,7,5,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:03:47.939,2026-06-02T13:03:57.286,9.347,8,1,Click on the images containing bicycles.,"[""Bus (70).jpg"", ""Bicycle (583).jpg"", ""Bicycle (641).jpg"", ""Bicycle (300).jpg"", ""Bus (91).jpg"", ""Bicycle (403).jpg"", ""Car (38).jpg"", ""Hydrant (121).jpg"", ""Cross (53).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 5]","[""Bicycle (583).jpg"", ""Bicycle (641).jpg"", ""Bicycle (300).jpg"", ""Bicycle (403).jpg""]",746,8,6,10,submit,
cc291a6ebaf34cdb8741a0b0fc736589,captcha_pre,78,20,female,2026-06-02T13:03:57.290,2026-06-02T13:04:06.103,8.813,9,0,Click on the images containing bicycles.,"[""Bicycle (667).jpg"", ""Car (57).jpg"", ""Bicycle (663).jpg"", ""Tlight (67).jpg"", ""Bicycle (93).jpg"", ""Bicycle (513).jpg"", ""Stair (1227).jpg"", ""Bus (77).jpg"", ""Palm (80).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 4]","[""Bicycle (663).jpg"", ""Bicycle (93).jpg""]",742,9,6,10,submit,
