exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:06:54.320,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:06:54.352,2026-06-02T14:07:30.921,36.569,1,0,Click on the images containing bicycles.,"[""Bridge (36).jpg"", ""Bicycle (534).jpg"", ""Cross (66).jpg"", ""Bicycle (418).jpg"", ""Palm (65).jpg"", ""Bicycle (186).jpg"", ""Palm (18).jpg"", ""Bicycle (425).jpg"", ""Bicycle (17).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 5, 7, 8]","[""Bicycle (418).jpg"", ""Bicycle (186).jpg"", ""Bicycle (425).jpg"", ""Bicycle (17).jpg""]",775,1,0,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:07:32.929,2026-06-02T14:07:46.312,13.383,2,1,Click on the images containing bicycles.,"[""Bridge (135).jpg"", ""Hydrant (56).jpg"", ""Bicycle (334).jpg"", ""Palm (91).jpg"", ""Bicycle (702).jpg"", ""Bicycle (750).jpg"", ""Hydrant (47).jpg"", ""Bridge (129).jpg"", ""Bicycle (458).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 4, 5, 8]","[""Bicycle (334).jpg"", ""Bicycle (702).jpg"", ""Bicycle (750).jpg"", ""Bicycle (458).jpg""]",771,2,1,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:07:46.317,2026-06-02T14:07:59.784,13.467,3,1,Click on the images containing bicycles.,"[""Bicycle (61).jpg"", ""Hydrant (75).jpg"", ""Cross (96).jpg"", ""Bicycle (410).jpg"", ""Bicycle (124).jpg"", ""Bicycle (13).jpg"", ""Bicycle (593).jpg"", ""Chimney (43).jpg"", ""Tlight (87).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 3, 4, 5, 6]","[""Bicycle (61).jpg"", ""Bicycle (410).jpg"", ""Bicycle (124).jpg"", ""Bicycle (13).jpg"", ""Bicycle (593).jpg""]",766,3,2,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:07:59.789,2026-06-02T14:08:08.928,9.139,4,1,Click on the images containing bicycles.,"[""Car (104).jpg"", ""Bicycle (384).jpg"", ""Stair (71).jpg"", ""Cross (92).jpg"", ""Bicycle (343).jpg"", ""Bicycle (303).jpg"", ""Chimney (49).jpg"", ""Tlight (96).jpg"", ""Stair (1463).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 4, 5]","[""Bicycle (384).jpg"", ""Bicycle (343).jpg"", ""Bicycle (303).jpg""]",763,4,3,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:08:08.933,2026-06-02T14:08:22.600,13.667,5,1,Click on the images containing bicycles.,"[""Bicycle (322).jpg"", ""Car (111).jpg"", ""Bicycle (101).jpg"", ""Hydrant (94).jpg"", ""Bicycle (213).jpg"", ""Bicycle (263).jpg"", ""Cross (88).jpg"", ""Bus (85).jpg"", ""Palm (17).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 4, 5]","[""Bicycle (322).jpg"", ""Bicycle (101).jpg"", ""Bicycle (213).jpg"", ""Bicycle (263).jpg""]",759,5,4,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:08:22.604,2026-06-02T14:08:31.792,9.188,6,1,Click on the images containing bicycles.,"[""Bicycle (661).jpg"", ""Bicycle (608).jpg"", ""Stair (165).jpg"", ""Bicycle (645).jpg"", ""Bicycle (49).jpg"", ""Car (87).jpg"", ""Chimney (13).jpg"", ""Chimney (18).jpg"", ""Car (28).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3, 4]","[""Bicycle (661).jpg"", ""Bicycle (608).jpg"", ""Bicycle (645).jpg"", ""Bicycle (49).jpg""]",755,6,5,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:08:31.797,2026-06-02T14:08:40.224,8.427,7,1,Click on the images containing bicycles.,"[""Stair (482).jpg"", ""Bicycle (284).jpg"", ""Bicycle (576).jpg"", ""Bicycle (760).jpg"", ""Bicycle (152).jpg"", ""Hydrant (81).jpg"", ""Chimney (33).jpg"", ""Bicycle (398).jpg"", ""Stair (1461).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 4, 7]","[""Bicycle (284).jpg"", ""Bicycle (576).jpg"", ""Bicycle (760).jpg"", ""Bicycle (152).jpg"", ""Bicycle (398).jpg""]",750,7,6,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:08:40.229,2026-06-02T14:08:52.743,12.514,8,1,Click on the images containing bicycles.,"[""Bicycle (573).jpg"", ""Bridge (60).jpg"", ""Cross (29).jpg"", ""Bridge (119).jpg"", ""Bus (46).jpg"", ""Chimney (101).jpg"", ""Chimney (58).jpg"", ""Bicycle (651).jpg"", ""Bicycle (387).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 7, 8]","[""Bicycle (573).jpg"", ""Bicycle (651).jpg"", ""Bicycle (387).jpg""]",747,8,7,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:08:52.748,2026-06-02T14:09:05.385,12.637,9,1,Click on the images containing bicycles.,"[""Tlight (11).jpg"", ""Bicycle (527).jpg"", ""Bicycle (476).jpg"", ""Bicycle (204).jpg"", ""Hydrant (95).jpg"", ""Car (46).jpg"", ""Stair (1335).jpg"", ""Bus (53).jpg"", ""Bicycle (266).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3, 8]","[""Bicycle (527).jpg"", ""Bicycle (476).jpg"", ""Bicycle (204).jpg"", ""Bicycle (266).jpg""]",743,9,8,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:09:05.390,2026-06-02T14:09:15.601,10.211,10,1,Click on the images containing bicycles.,"[""Tlight (75).jpg"", ""Bicycle (147).jpg"", ""Palm (9).jpg"", ""Bicycle (363).jpg"", ""Chimney (25).jpg"", ""Bicycle (386).jpg"", ""Cross (99).jpg"", ""Bus (56).jpg"", ""Bicycle (365).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 5, 8]","[""Bicycle (147).jpg"", ""Bicycle (363).jpg"", ""Bicycle (386).jpg"", ""Bicycle (365).jpg""]",739,10,9,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:09:15.605,2026-06-02T14:09:23.841,8.236,11,1,Click on the images containing bicycles.,"[""Chimney (34).jpg"", ""Stair (642).jpg"", ""Bus (124).jpg"", ""Bicycle (579).jpg"", ""Tlight (139).jpg"", ""Bicycle (630).jpg"", ""Bicycle (481).jpg"", ""Tlight (81).jpg"", ""Car (73).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[3, 5, 6]","[""Bicycle (579).jpg"", ""Bicycle (630).jpg"", ""Bicycle (481).jpg""]",736,11,10,10,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_pre,79,20,female,2026-06-02T14:09:15.605,2026-06-02T14:09:27.169,11.564,11,,Click on the images containing bicycles.,[],[],[],[],736,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
e995e3538f7a4c0aa006b00cdb863b1f,q_pre_captcha,79,20,female,2026-06-02T14:09:27.179,2026-06-02T14:10:33.193,66.014,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""2"", ""general_captcha_liking"": ""2"", ""captcha_task_fun"": ""3"", ""captcha_task_difficulty"": ""2""}"
e995e3538f7a4c0aa006b00cdb863b1f,q_pre_idaq,79,20,female,2026-06-02T14:10:33.203,2026-06-02T14:14:42.115,248.912,,,,,,,,,,,,submit,"{""idaq_1"": ""6"", ""idaq_2"": ""7"", ""idaq_13"": ""3"", ""idaq_8"": ""6"", ""idaq_3"": ""3"", ""idaq_21"": ""2"", ""idaq_24"": ""7"", ""idaq_14"": ""6"", ""idaq_23"": ""8"", ""idaq_27"": ""7"", ""idaq_10"": ""5"", ""idaq_28"": ""9"", ""idaq_30"": ""5"", ""idaq_12"": ""9"", ""idaq_16"": ""8"", ""idaq_7"": ""3"", ""idaq_25"": ""8"", ""idaq_4"": ""7"", ""idaq_15"": ""2"", ""idaq_17"": ""2"", ""idaq_26"": ""3"", ""idaq_19"": ""9"", ""idaq_6"": ""8"", ""idaq_18"": ""9"", ""idaq_5"": ""4"", ""idaq_9"": ""2"", ""idaq_11"": ""1"", ""idaq_20"": ""7"", ""idaq_22"": ""7"", ""idaq_29"": ""8""}"
e995e3538f7a4c0aa006b00cdb863b1f,q_pre_2050,79,20,female,2026-06-02T14:14:42.125,2026-06-02T14:17:17.795,155.67,,,,,,,,,,,,submit,"{""2050_neurosurgery"": ""4"", ""2050_mannequins"": ""3"", ""2050_experiments"": ""2"", ""2050_school"": ""2"", ""2050_shelters"": ""2"", ""2050_nursing_home"": ""4"", ""2050_other_worlds"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""4"", ""2050_rights"": ""5"", ""2050_sports"": ""4"", ""2050_hiking"": ""6"", ""2050_flight_attendants"": ""5"", ""2050_police"": ""4"", ""2050_rubbish_collectors"": ""4""}"
e995e3538f7a4c0aa006b00cdb863b1f,q_post_gators,79,20,female,2026-06-02T14:30:19.727,2026-06-02T14:32:23.212,123.485,,,,,,,,,,,,submit,"{""gators_11"": ""5"", ""gators_2"": ""3"", ""gators_17"": ""3"", ""gators_4"": ""5"", ""gators_9"": ""4"", ""gators_1"": ""2"", ""gators_5"": ""4"", ""gators_6"": ""2"", ""gators_14"": ""5"", ""gators_8"": ""3"", ""gators_7"": ""4"", ""gators_3"": ""5"", ""gators_16"": ""6"", ""gators_18"": ""5"", ""gators_12"": ""5"", ""gators_19"": ""6"", ""gators_10"": ""2"", ""gators_20"": ""6"", ""gators_13"": ""4"", ""gators_15"": ""4""}"
e995e3538f7a4c0aa006b00cdb863b1f,q_post_specific,79,20,female,2026-06-02T14:32:23.222,2026-06-02T14:33:10.877,47.655,,,,,,,,,,,,submit,"{""robot_likeability"": ""5"", ""robot_friendliness"": ""7"", ""robot_empathy"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""5"", ""conversation_interestingness"": ""5""}"
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:33:10.914,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:33:10.937,2026-06-02T14:33:48.837,37.9,1,1,Click on the images containing bicycles.,"[""Bicycle (349).jpg"", ""Car (44).jpg"", ""Bus (62).jpg"", ""Bus (53).jpg"", ""Chimney (16).jpg"", ""Bicycle (597).jpg"", ""Car (72).jpg"", ""Bicycle (737).jpg"", ""Car (119).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (349).jpg"", ""Bicycle (597).jpg"", ""Bicycle (737).jpg""]",777,1,1,1000,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:33:48.842,2026-06-02T14:34:06.956,18.114,2,1,Click on the images containing bicycles.,"[""Bridge (133).jpg"", ""Stair (1221).jpg"", ""Bicycle (250).jpg"", ""Palm (94).jpg"", ""Bicycle (485).jpg"", ""Bridge (122).jpg"", ""Bicycle (12).jpg"", ""Bus (91).jpg"", ""Bicycle (528).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 4, 6, 8]","[""Bicycle (250).jpg"", ""Bicycle (485).jpg"", ""Bicycle (12).jpg"", ""Bicycle (528).jpg""]",773,2,2,1000,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:34:06.961,2026-06-02T14:34:13.900,6.939,3,0,Click on the images containing bicycles.,"[""Stair (363).jpg"", ""Palm (14).jpg"", ""Tlight (44).jpg"", ""Bicycle (735).jpg"", ""Palm (107).jpg"", ""Bicycle (477).jpg"", ""Palm (99).jpg"", ""Bicycle (714).jpg"", ""Bicycle (453).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (477).jpg"", ""Bicycle (714).jpg"", ""Bicycle (453).jpg""]",769,3,2,1000,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:34:15.908,2026-06-02T14:34:23.173,7.265,4,1,Click on the images containing bicycles.,"[""Bus (137).jpg"", ""Stair (1060).jpg"", ""Tlight (16).jpg"", ""Bicycle (183).jpg"", ""Bus (63).jpg"", ""Cross (75).jpg"", ""Bicycle (484).jpg"", ""Bicycle (165).jpg"", ""Palm (48).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (183).jpg"", ""Bicycle (484).jpg"", ""Bicycle (165).jpg""]",766,4,3,1000,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:34:23.178,2026-06-02T14:34:30.965,7.787,5,0,Click on the images containing bicycles.,"[""Bus (25).jpg"", ""Bicycle (147).jpg"", ""Bus (96).jpg"", ""Hydrant (29).jpg"", ""Car (116).jpg"", ""Bicycle (680).jpg"", ""Bicycle (726).jpg"", ""Chimney (39).jpg"", ""Bus (107).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 5, 6]","[""Bicycle (147).jpg"", ""Bus (96).jpg"", ""Bicycle (680).jpg"", ""Bicycle (726).jpg""]",763,5,3,1000,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:34:32.973,2026-06-02T14:34:40.980,8.007,6,1,Click on the images containing bicycles.,"[""Bicycle (527).jpg"", ""Car (77).jpg"", ""Bicycle (218).jpg"", ""Bus (109).jpg"", ""Bicycle (542).jpg"", ""Cross (51).jpg"", ""Car (133).jpg"", ""Bicycle (227).jpg"", ""Bicycle (464).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 4, 7, 8]","[""Bicycle (527).jpg"", ""Bicycle (218).jpg"", ""Bicycle (542).jpg"", ""Bicycle (227).jpg"", ""Bicycle (464).jpg""]",758,6,4,1000,submit,
e995e3538f7a4c0aa006b00cdb863b1f,captcha_post,79,20,female,2026-06-02T14:34:40.985,2026-06-02T14:34:50.604,9.619,7,1,Click on the images containing bicycles.,"[""Bus (27).jpg"", ""Bus (102).jpg"", ""Bicycle (141).jpg"", ""Bicycle (286).jpg"", ""Bus (66).jpg"", ""Bicycle (59).jpg"", ""Bicycle (237).jpg"", ""Bicycle (762).jpg"", ""Bridge (128).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 3, 5, 6, 7]","[""Bicycle (141).jpg"", ""Bicycle (286).jpg"", ""Bicycle (59).jpg"", ""Bicycle (237).jpg"", ""Bicycle (762).jpg""]",753,7,5,1000,submit,
