exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:00:25.610,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:00:25.645,2026-06-02T15:00:33.174,7.529,1,0,Click on the images containing bicycles.,"[""Bicycle (220).jpg"", ""Stair (1191).jpg"", ""Tlight (95).jpg"", ""Car (39).jpg"", ""Bicycle (601).jpg"", ""Bicycle (383).jpg"", ""Bicycle (386).jpg"", ""Bridge (85).jpg"", ""Bridge (127).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (601).jpg"", ""Bicycle (383).jpg"", ""Bicycle (386).jpg""]",776,1,0,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:00:35.182,2026-06-02T15:00:51.935,16.753,2,0,Click on the images containing bicycles.,"[""Cross (109).jpg"", ""Bicycle (523).jpg"", ""Bus (67).jpg"", ""Bicycle (683).jpg"", ""Bicycle (124).jpg"", ""Stair (1358).jpg"", ""Bicycle (761).jpg"", ""Bicycle (391).jpg"", ""Chimney (2).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 4, 6, 7]","[""Bicycle (523).jpg"", ""Bicycle (124).jpg"", ""Bicycle (761).jpg"", ""Bicycle (391).jpg""]",771,2,0,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:00:53.943,2026-06-02T15:01:02.222,8.279,3,1,Click on the images containing bicycles.,"[""Chimney (114).jpg"", ""Bus (75).jpg"", ""Bus (77).jpg"", ""Car (88).jpg"", ""Bicycle (166).jpg"", ""Stair (282).jpg"", ""Bicycle (67).jpg"", ""Bicycle (4).jpg"", ""Hydrant (26).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (166).jpg"", ""Bicycle (67).jpg"", ""Bicycle (4).jpg""]",768,3,1,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:01:02.227,2026-06-02T15:01:09.654,7.427,4,1,Click on the images containing bicycles.,"[""Bus (98).jpg"", ""Tlight (46).jpg"", ""Cross (72).jpg"", ""Bicycle (253).jpg"", ""Bridge (114).jpg"", ""Chimney (29).jpg"", ""Bicycle (618).jpg"", ""Bicycle (719).jpg"", ""Hydrant (132).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (253).jpg"", ""Bicycle (618).jpg"", ""Bicycle (719).jpg""]",765,4,2,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:01:09.659,2026-06-02T15:01:21.558,11.899,5,1,Click on the images containing bicycles.,"[""Bicycle (221).jpg"", ""Bicycle (634).jpg"", ""Stair (989).jpg"", ""Bus (94).jpg"", ""Car (139).jpg"", ""Tlight (119).jpg"", ""Bicycle (325).jpg"", ""Bicycle (333).jpg"", ""Bridge (59).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (221).jpg"", ""Bicycle (634).jpg"", ""Bicycle (325).jpg"", ""Bicycle (333).jpg""]",761,5,3,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:01:21.562,2026-06-02T15:01:29.798,8.236,6,0,Click on the images containing bicycles.,"[""Bicycle (100).jpg"", ""Hydrant (133).jpg"", ""Bicycle (659).jpg"", ""Cross (37).jpg"", ""Cross (16).jpg"", ""Bicycle (419).jpg"", ""Bicycle (721).jpg"", ""Tlight (76).jpg"", ""Bus (120).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 6]","[""Bicycle (100).jpg"", ""Bicycle (659).jpg"", ""Bicycle (721).jpg""]",757,6,3,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:01:31.805,2026-06-02T15:01:40.758,8.953,7,1,Click on the images containing bicycles.,"[""Bicycle (566).jpg"", ""Bicycle (448).jpg"", ""Bicycle (456).jpg"", ""Bus (50).jpg"", ""Car (28).jpg"", ""Hydrant (60).jpg"", ""Palm (115).jpg"", ""Palm (89).jpg"", ""Bicycle (87).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 8]","[""Bicycle (566).jpg"", ""Bicycle (448).jpg"", ""Bicycle (456).jpg"", ""Bicycle (87).jpg""]",753,7,4,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:01:40.762,2026-06-02T15:01:48.775,8.013,8,1,Click on the images containing bicycles.,"[""Chimney (123).jpg"", ""Hydrant (57).jpg"", ""Bicycle (759).jpg"", ""Bicycle (175).jpg"", ""Bridge (60).jpg"", ""Bridge (105).jpg"", ""Bicycle (685).jpg"", ""Tlight (41).jpg"", ""Bicycle (200).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 6, 8]","[""Bicycle (759).jpg"", ""Bicycle (175).jpg"", ""Bicycle (685).jpg"", ""Bicycle (200).jpg""]",749,8,5,10,submit,
e4601ef24ef946538fc7489899a2fa2d,captcha_pre,80,21,female,2026-06-02T15:01:48.780,2026-06-02T15:01:56.647,7.867,9,1,Click on the images containing bicycles.,"[""Bicycle (61).jpg"", ""Bicycle (553).jpg"", ""Bicycle (559).jpg"", ""Stair (246).jpg"", ""Car (30).jpg"", ""Stair (1455).jpg"", ""Bicycle (776).jpg"", ""Car (84).jpg"", ""Bicycle (399).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (61).jpg"", ""Bicycle (553).jpg"", ""Bicycle (559).jpg"", ""Bicycle (776).jpg"", ""Bicycle (399).jpg""]",744,9,6,10,submit,
