exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T15:59:26.231,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T15:59:26.262,2026-06-02T16:00:22.843,56.581,1,1,Click on the images containing bicycles.,"[""Car (39).jpg"", ""Bicycle (692).jpg"", ""Bicycle (487).jpg"", ""Chimney (118).jpg"", ""Palm (17).jpg"", ""Chimney (120).jpg"", ""Bicycle (511).jpg"", ""Tlight (67).jpg"", ""Palm (55).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 6]","[""Bicycle (692).jpg"", ""Bicycle (487).jpg"", ""Bicycle (511).jpg""]",777,1,1,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:00:22.848,2026-06-02T16:00:34.569,11.721,2,1,Click on the images containing bicycles.,"[""Bicycle (356).jpg"", ""Bicycle (162).jpg"", ""Chimney (56).jpg"", ""Bridge (32).jpg"", ""Bicycle (698).jpg"", ""Bicycle (302).jpg"", ""Chimney (108).jpg"", ""Chimney (126).jpg"", ""Cross (112).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 4, 5]","[""Bicycle (356).jpg"", ""Bicycle (162).jpg"", ""Bicycle (698).jpg"", ""Bicycle (302).jpg""]",773,2,2,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:00:34.574,2026-06-02T16:00:45.202,10.628,3,1,Click on the images containing bicycles.,"[""Bridge (133).jpg"", ""Tlight (45).jpg"", ""Hydrant (88).jpg"", ""Bicycle (653).jpg"", ""Palm (71).jpg"", ""Bicycle (551).jpg"", ""Car (131).jpg"", ""Palm (41).jpg"", ""Bicycle (365).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (653).jpg"", ""Bicycle (551).jpg"", ""Bicycle (365).jpg""]",770,3,3,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:00:45.207,2026-06-02T16:00:56.306,11.099,4,1,Click on the images containing bicycles.,"[""Stair (71).jpg"", ""Bicycle (364).jpg"", ""Bicycle (659).jpg"", ""Bicycle (760).jpg"", ""Chimney (128).jpg"", ""Stair (469).jpg"", ""Chimney (35).jpg"", ""Tlight (66).jpg"", ""Chimney (113).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3]","[""Bicycle (364).jpg"", ""Bicycle (659).jpg"", ""Bicycle (760).jpg""]",767,4,4,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:00:56.311,2026-06-02T16:01:07.161,10.85,5,1,Click on the images containing bicycles.,"[""Bridge (46).jpg"", ""Bicycle (498).jpg"", ""Bicycle (475).jpg"", ""Bicycle (353).jpg"", ""Bicycle (716).jpg"", ""Cross (76).jpg"", ""Bicycle (644).jpg"", ""Cross (24).jpg"", ""Chimney (53).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 4, 6]","[""Bicycle (498).jpg"", ""Bicycle (475).jpg"", ""Bicycle (353).jpg"", ""Bicycle (716).jpg"", ""Bicycle (644).jpg""]",762,5,5,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:01:07.166,2026-06-02T16:01:18.778,11.612,6,1,Click on the images containing bicycles.,"[""Tlight (134).jpg"", ""Cross (6).jpg"", ""Bicycle (264).jpg"", ""Tlight (123).jpg"", ""Bicycle (614).jpg"", ""Tlight (63).jpg"", ""Bicycle (598).jpg"", ""Bicycle (380).jpg"", ""Bicycle (437).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[2, 4, 6, 7, 8]","[""Bicycle (264).jpg"", ""Bicycle (614).jpg"", ""Bicycle (598).jpg"", ""Bicycle (380).jpg"", ""Bicycle (437).jpg""]",757,6,6,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:01:18.783,2026-06-02T16:01:32.945,14.162,7,1,Click on the images containing bicycles.,"[""Tlight (55).jpg"", ""Stair (1459).jpg"", ""Bicycle (382).jpg"", ""Tlight (94).jpg"", ""Bicycle (181).jpg"", ""Chimney (23).jpg"", ""Stair (1151).jpg"", ""Chimney (34).jpg"", ""Bicycle (88).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 4, 8]","[""Bicycle (382).jpg"", ""Bicycle (181).jpg"", ""Bicycle (88).jpg""]",754,7,7,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:01:32.950,2026-06-02T16:01:43.409,10.459,8,1,Click on the images containing bicycles.,"[""Stair (331).jpg"", ""Tlight (88).jpg"", ""Tlight (86).jpg"", ""Bridge (49).jpg"", ""Stair (1183).jpg"", ""Car (76).jpg"", ""Bicycle (108).jpg"", ""Bicycle (642).jpg"", ""Bicycle (20).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7, 8]","[""Bicycle (108).jpg"", ""Bicycle (642).jpg"", ""Bicycle (20).jpg""]",751,8,8,10,submit,
f0e003dee178484d90a7f6c8233c95ae,captcha_pre,81,24,female,2026-06-02T16:01:43.414,2026-06-02T16:01:52.713,9.299,9,1,Click on the images containing bicycles.,"[""Bridge (131).jpg"", ""Hydrant (112).jpg"", ""Cross (113).jpg"", ""Bicycle (647).jpg"", ""Bicycle (326).jpg"", ""Bus (45).jpg"", ""Bicycle (545).jpg"", ""Bus (67).jpg"", ""Bicycle (740).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[3, 4, 6, 8]","[""Bicycle (647).jpg"", ""Bicycle (326).jpg"", ""Bicycle (545).jpg"", ""Bicycle (740).jpg""]",747,9,9,10,submit,
