exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:18:32.612,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:18:32.645,2026-06-03T10:19:13.015,40.37,1,1,Click on the images containing bicycles.,"[""Bicycle (523).jpg"", ""Hydrant (30).jpg"", ""Bicycle (554).jpg"", ""Tlight (130).jpg"", ""Bridge (76).jpg"", ""Bicycle (564).jpg"", ""Hydrant (22).jpg"", ""Chimney (42).jpg"", ""Bicycle (407).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 5, 8]","[""Bicycle (523).jpg"", ""Bicycle (554).jpg"", ""Bicycle (564).jpg"", ""Bicycle (407).jpg""]",776,1,1,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:19:13.020,2026-06-03T10:19:22.375,9.355,2,0,Click on the images containing bicycles.,"[""Cross (27).jpg"", ""Bridge (90).jpg"", ""Bicycle (661).jpg"", ""Bus (131).jpg"", ""Stair (282).jpg"", ""Palm (58).jpg"", ""Bus (96).jpg"", ""Bicycle (249).jpg"", ""Bicycle (221).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 6, 7, 8]","[""Bicycle (661).jpg"", ""Bus (96).jpg"", ""Bicycle (249).jpg"", ""Bicycle (221).jpg""]",773,2,1,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:19:24.384,2026-06-03T10:19:37.079,12.695,3,1,Click on the images containing bicycles.,"[""Bicycle (115).jpg"", ""Hydrant (108).jpg"", ""Bus (140).jpg"", ""Car (111).jpg"", ""Bicycle (772).jpg"", ""Bridge (134).jpg"", ""Bicycle (182).jpg"", ""Bicycle (67).jpg"", ""Bicycle (754).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[0, 4, 6, 7, 8]","[""Bicycle (115).jpg"", ""Bicycle (772).jpg"", ""Bicycle (182).jpg"", ""Bicycle (67).jpg"", ""Bicycle (754).jpg""]",768,3,2,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:19:37.083,2026-06-03T10:19:48.566,11.483,4,1,Click on the images containing bicycles.,"[""Bicycle (508).jpg"", ""Tlight (85).jpg"", ""Bicycle (515).jpg"", ""Hydrant (35).jpg"", ""Bicycle (648).jpg"", ""Bicycle (742).jpg"", ""Chimney (59).jpg"", ""Palm (74).jpg"", ""Bicycle (364).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 4, 5, 8]","[""Bicycle (508).jpg"", ""Bicycle (515).jpg"", ""Bicycle (648).jpg"", ""Bicycle (742).jpg"", ""Bicycle (364).jpg""]",763,4,3,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:19:48.572,2026-06-03T10:19:57.989,9.417,5,1,Click on the images containing bicycles.,"[""Bus (119).jpg"", ""Bicycle (44).jpg"", ""Bicycle (445).jpg"", ""Car (50).jpg"", ""Bicycle (633).jpg"", ""Hydrant (66).jpg"", ""Tlight (55).jpg"", ""Bicycle (170).jpg"", ""Bicycle (634).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 4, 7, 8]","[""Bicycle (44).jpg"", ""Bicycle (445).jpg"", ""Bicycle (633).jpg"", ""Bicycle (170).jpg"", ""Bicycle (634).jpg""]",758,5,4,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:19:57.994,2026-06-03T10:20:09.301,11.307,6,0,Click on the images containing bicycles.,"[""Palm (137).jpg"", ""Tlight (53).jpg"", ""Stair (1401).jpg"", ""Bicycle (626).jpg"", ""Bicycle (76).jpg"", ""Bicycle (491).jpg"", ""Bridge (23).jpg"", ""Bicycle (29).jpg"", ""Bicycle (507).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T""]","[3, 4, 5, 7]","[""Bicycle (626).jpg"", ""Bicycle (76).jpg"", ""Bicycle (491).jpg"", ""Bicycle (29).jpg""]",753,6,4,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:20:11.310,2026-06-03T10:20:23.773,12.463,7,1,Click on the images containing bicycles.,"[""Chimney (28).jpg"", ""Bicycle (78).jpg"", ""Bicycle (607).jpg"", ""Bridge (131).jpg"", ""Palm (82).jpg"", ""Tlight (59).jpg"", ""Bicycle (610).jpg"", ""Stair (393).jpg"", ""Bicycle (651).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 2, 6, 8]","[""Bicycle (78).jpg"", ""Bicycle (607).jpg"", ""Bicycle (610).jpg"", ""Bicycle (651).jpg""]",749,7,5,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:20:23.778,2026-06-03T10:20:30.789,7.011,8,1,Click on the images containing bicycles.,"[""Tlight (1).jpg"", ""Bus (67).jpg"", ""Chimney (45).jpg"", ""Bridge (62).jpg"", ""Stair (1460).jpg"", ""Stair (1237).jpg"", ""Bicycle (34).jpg"", ""Bicycle (227).jpg"", ""Bicycle (375).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7, 8]","[""Bicycle (34).jpg"", ""Bicycle (227).jpg"", ""Bicycle (375).jpg""]",746,8,6,10,submit,
6cd6c028d70a43c88544ff8fa4d4af0f,captcha_pre,82,22,female,2026-06-03T10:20:30.794,2026-06-03T10:20:42.109,11.315,9,1,Click on the images containing bicycles.,"[""Bicycle (544).jpg"", ""Bicycle (49).jpg"", ""Bicycle (288).jpg"", ""Bicycle (608).jpg"", ""Palm (73).jpg"", ""Palm (111).jpg"", ""Bicycle (212).jpg"", ""Cross (17).jpg"", ""Stair (989).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (544).jpg"", ""Bicycle (49).jpg"", ""Bicycle (288).jpg"", ""Bicycle (608).jpg"", ""Bicycle (212).jpg""]",741,9,7,10,submit,
