exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:03:03.368,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:03:03.399,2026-06-03T09:03:48.352,44.953,1,1,Click on the images containing bicycles.,"[""Bicycle (763).jpg"", ""Hydrant (51).jpg"", ""Tlight (43).jpg"", ""Bridge (68).jpg"", ""Bicycle (315).jpg"", ""Car (93).jpg"", ""Bus (113).jpg"", ""Hydrant (37).jpg"", ""Bicycle (131).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 4, 8]","[""Bicycle (763).jpg"", ""Bicycle (315).jpg"", ""Bicycle (131).jpg""]",777,1,1,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:03:48.357,2026-06-03T09:04:03.565,15.208,2,1,Click on the images containing bicycles.,"[""Stair (1467).jpg"", ""Bus (50).jpg"", ""Bus (44).jpg"", ""Bridge (63).jpg"", ""Bicycle (66).jpg"", ""Bicycle (11).jpg"", ""Hydrant (80).jpg"", ""Tlight (123).jpg"", ""Bicycle (674).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[4, 5, 8]","[""Bicycle (66).jpg"", ""Bicycle (11).jpg"", ""Bicycle (674).jpg""]",774,2,2,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:04:03.581,2026-06-03T09:04:14.423,10.842,3,1,Click on the images containing bicycles.,"[""Bridge (57).jpg"", ""Tlight (18).jpg"", ""Tlight (5).jpg"", ""Car (117).jpg"", ""Bicycle (92).jpg"", ""Bicycle (287).jpg"", ""Cross (52).jpg"", ""Bicycle (554).jpg"", ""Bridge (93).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (92).jpg"", ""Bicycle (287).jpg"", ""Bicycle (554).jpg""]",771,3,3,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:04:14.428,2026-06-03T09:04:32.032,17.604,4,1,Click on the images containing bicycles.,"[""Bicycle (59).jpg"", ""Bridge (130).jpg"", ""Bicycle (690).jpg"", ""Bicycle (764).jpg"", ""Tlight (4).jpg"", ""Bus (90).jpg"", ""Bus (73).jpg"", ""Bicycle (248).jpg"", ""Bicycle (598).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 3, 7, 8]","[""Bicycle (59).jpg"", ""Bicycle (690).jpg"", ""Bicycle (764).jpg"", ""Bicycle (248).jpg"", ""Bicycle (598).jpg""]",766,4,4,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:04:32.038,2026-06-03T09:04:46.727,14.689,5,1,Click on the images containing bicycles.,"[""Bicycle (444).jpg"", ""Bicycle (79).jpg"", ""Bus (66).jpg"", ""Hydrant (91).jpg"", ""Bicycle (493).jpg"", ""Bus (31).jpg"", ""Bicycle (260).jpg"", ""Bicycle (175).jpg"", ""Cross (64).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 4, 6, 7]","[""Bicycle (444).jpg"", ""Bicycle (79).jpg"", ""Bicycle (493).jpg"", ""Bicycle (260).jpg"", ""Bicycle (175).jpg""]",761,5,5,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:04:46.732,2026-06-03T09:05:04.025,17.293,6,1,Click on the images containing bicycles.,"[""Car (110).jpg"", ""Hydrant (103).jpg"", ""Bicycle (1).jpg"", ""Bridge (76).jpg"", ""Bicycle (737).jpg"", ""Bus (123).jpg"", ""Stair (567).jpg"", ""Cross (18).jpg"", ""Bicycle (745).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 4, 8]","[""Bicycle (1).jpg"", ""Bicycle (737).jpg"", ""Bicycle (745).jpg""]",758,6,6,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:05:04.029,2026-06-03T09:05:17.808,13.779,7,1,Click on the images containing bicycles.,"[""Bridge (29).jpg"", ""Bicycle (102).jpg"", ""Bridge (42).jpg"", ""Bicycle (501).jpg"", ""Tlight (83).jpg"", ""Tlight (54).jpg"", ""Stair (469).jpg"", ""Bicycle (52).jpg"", ""Bicycle (364).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 3, 7, 8]","[""Bicycle (102).jpg"", ""Bicycle (501).jpg"", ""Bicycle (52).jpg"", ""Bicycle (364).jpg""]",754,7,7,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:05:17.814,2026-06-03T09:05:31.873,14.059,8,0,Click on the images containing bicycles.,"[""Palm (17).jpg"", ""Bridge (105).jpg"", ""Bicycle (555).jpg"", ""Bicycle (561).jpg"", ""Bicycle (50).jpg"", ""Palm (49).jpg"", ""Stair (1464).jpg"", ""Bicycle (670).jpg"", ""Car (64).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 4, 7]","[""Bicycle (561).jpg"", ""Bicycle (50).jpg"", ""Bicycle (670).jpg""]",750,8,7,10,submit,
4b49247f549d494a8fb63f53e2b7503f,captcha_pre,83,21,female,2026-06-03T09:05:33.881,2026-06-03T09:05:48.353,14.472,9,1,Click on the images containing bicycles.,"[""Bicycle (155).jpg"", ""Hydrant (53).jpg"", ""Car (96).jpg"", ""Bus (64).jpg"", ""Palm (117).jpg"", ""Bicycle (564).jpg"", ""Hydrant (90).jpg"", ""Tlight (93).jpg"", ""Bicycle (47).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 5, 8]","[""Bicycle (155).jpg"", ""Bicycle (564).jpg"", ""Bicycle (47).jpg""]",747,9,8,10,submit,
