exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:56:04.453,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:56:04.483,2026-06-03T11:56:34.980,30.497,1,1,Click on the images containing bicycles.,"[""Chimney (124).jpg"", ""Stair (483).jpg"", ""Palm (44).jpg"", ""Hydrant (36).jpg"", ""Bicycle (658).jpg"", ""Cross (117).jpg"", ""Bicycle (609).jpg"", ""Bicycle (693).jpg"", ""Bicycle (296).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[4, 6, 7, 8]","[""Bicycle (658).jpg"", ""Bicycle (609).jpg"", ""Bicycle (693).jpg"", ""Bicycle (296).jpg""]",776,1,1,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:56:34.987,2026-06-03T11:56:46.707,11.72,2,1,Click on the images containing bicycles.,"[""Bicycle (597).jpg"", ""Cross (75).jpg"", ""Hydrant (129).jpg"", ""Bicycle (764).jpg"", ""Bicycle (47).jpg"", ""Cross (106).jpg"", ""Bus (34).jpg"", ""Bicycle (32).jpg"", ""Bicycle (118).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (597).jpg"", ""Bicycle (764).jpg"", ""Bicycle (47).jpg"", ""Bicycle (32).jpg"", ""Bicycle (118).jpg""]",771,2,2,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:56:46.713,2026-06-03T11:56:58.772,12.059,3,1,Click on the images containing bicycles.,"[""Bicycle (644).jpg"", ""Bicycle (648).jpg"", ""Bicycle (236).jpg"", ""Bicycle (93).jpg"", ""Bridge (37).jpg"", ""Bridge (120).jpg"", ""Car (133).jpg"", ""Palm (46).jpg"", ""Bicycle (139).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 3, 8]","[""Bicycle (644).jpg"", ""Bicycle (648).jpg"", ""Bicycle (236).jpg"", ""Bicycle (93).jpg"", ""Bicycle (139).jpg""]",766,3,3,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:56:58.777,2026-06-03T11:57:10.652,11.875,4,1,Click on the images containing bicycles.,"[""Bridge (35).jpg"", ""Bicycle (632).jpg"", ""Car (97).jpg"", ""Bridge (131).jpg"", ""Tlight (10).jpg"", ""Palm (16).jpg"", ""Bicycle (431).jpg"", ""Bicycle (636).jpg"", ""Stair (1245).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (632).jpg"", ""Bicycle (431).jpg"", ""Bicycle (636).jpg""]",763,4,4,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:57:10.657,2026-06-03T11:57:20.636,9.979,5,1,Click on the images containing bicycles.,"[""Hydrant (24).jpg"", ""Chimney (3).jpg"", ""Bicycle (27).jpg"", ""Bicycle (83).jpg"", ""Bicycle (243).jpg"", ""Car (37).jpg"", ""Bridge (45).jpg"", ""Chimney (120).jpg"", ""Bus (139).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (27).jpg"", ""Bicycle (83).jpg"", ""Bicycle (243).jpg""]",760,5,5,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:57:20.642,2026-06-03T11:57:30.868,10.226,6,1,Click on the images containing bicycles.,"[""Tlight (102).jpg"", ""Bicycle (592).jpg"", ""Tlight (121).jpg"", ""Hydrant (58).jpg"", ""Cross (53).jpg"", ""Bicycle (273).jpg"", ""Bicycle (65).jpg"", ""Cross (120).jpg"", ""Hydrant (88).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5, 6]","[""Bicycle (592).jpg"", ""Bicycle (273).jpg"", ""Bicycle (65).jpg""]",757,6,6,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:57:30.874,2026-06-03T11:57:38.196,7.322,7,0,Click on the images containing bicycles.,"[""Bicycle (409).jpg"", ""Car (139).jpg"", ""Bridge (23).jpg"", ""Bicycle (123).jpg"", ""Chimney (25).jpg"", ""Bicycle (657).jpg"", ""Bicycle (153).jpg"", ""Bicycle (704).jpg"", ""Hydrant (112).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[0, 5, 6]","[""Bicycle (409).jpg"", ""Bicycle (657).jpg"", ""Bicycle (153).jpg""]",752,7,6,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:57:40.206,2026-06-03T11:57:52.564,12.358,8,1,Click on the images containing bicycles.,"[""Bicycle (191).jpg"", ""Palm (85).jpg"", ""Chimney (45).jpg"", ""Bridge (100).jpg"", ""Bridge (108).jpg"", ""Cross (35).jpg"", ""Bicycle (663).jpg"", ""Bicycle (619).jpg"", ""Bicycle (509).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (191).jpg"", ""Bicycle (663).jpg"", ""Bicycle (619).jpg"", ""Bicycle (509).jpg""]",748,8,7,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:57:52.569,2026-06-03T11:58:05.340,12.771,9,1,Click on the images containing bicycles.,"[""Stair (1060).jpg"", ""Palm (17).jpg"", ""Hydrant (27).jpg"", ""Bicycle (39).jpg"", ""Bus (113).jpg"", ""Bus (131).jpg"", ""Hydrant (125).jpg"", ""Bicycle (642).jpg"", ""Bicycle (147).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (39).jpg"", ""Bicycle (642).jpg"", ""Bicycle (147).jpg""]",745,9,8,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:58:05.346,2026-06-03T11:58:22.244,16.898,10,1,Click on the images containing bicycles.,"[""Bicycle (511).jpg"", ""Chimney (37).jpg"", ""Cross (19).jpg"", ""Cross (30).jpg"", ""Bicycle (641).jpg"", ""Bicycle (719).jpg"", ""Hydrant (21).jpg"", ""Bicycle (756).jpg"", ""Hydrant (100).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (511).jpg"", ""Bicycle (641).jpg"", ""Bicycle (719).jpg"", ""Bicycle (756).jpg""]",741,10,9,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:58:22.248,2026-06-03T11:58:35.084,12.836,11,1,Click on the images containing bicycles.,"[""Cross (97).jpg"", ""Bicycle (732).jpg"", ""Hydrant (33).jpg"", ""Bicycle (399).jpg"", ""Chimney (43).jpg"", ""Bridge (137).jpg"", ""Bicycle (564).jpg"", ""Chimney (33).jpg"", ""Chimney (56).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (732).jpg"", ""Bicycle (399).jpg"", ""Bicycle (564).jpg""]",738,11,10,10,submit,
6ef02b96983e45069d1b474941116646,captcha_pre,85,22,female,2026-06-03T11:58:22.248,2026-06-03T11:58:37.692,15.444,11,,Click on the images containing bicycles.,[],[],[],[],738,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
6ef02b96983e45069d1b474941116646,q_pre_captcha,85,22,female,2026-06-03T11:58:37.701,2026-06-03T11:59:02.372,24.671,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""5"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_enjoyment"": ""5"", ""captcha_task_fun"": ""5"", ""captcha_task_difficulty"": ""2""}"
6ef02b96983e45069d1b474941116646,q_pre_idaq,85,22,female,2026-06-03T11:59:02.384,2026-06-03T12:01:53.863,171.479,,,,,,,,,,,,submit,"{""idaq_28"": ""4"", ""idaq_10"": ""3"", ""idaq_14"": ""4"", ""idaq_2"": ""6"", ""idaq_8"": ""6"", ""idaq_25"": ""8"", ""idaq_12"": ""7"", ""idaq_26"": ""3"", ""idaq_27"": ""7"", ""idaq_13"": ""2"", ""idaq_19"": ""9"", ""idaq_17"": ""4"", ""idaq_30"": ""5"", ""idaq_6"": ""8"", ""idaq_16"": ""8"", ""idaq_23"": ""6"", ""idaq_7"": ""6"", ""idaq_21"": ""7"", ""idaq_24"": ""8"", ""idaq_20"": ""8"", ""idaq_1"": ""4"", ""idaq_9"": ""2"", ""idaq_3"": ""5"", ""idaq_15"": ""6"", ""idaq_29"": ""6"", ""idaq_18"": ""8"", ""idaq_5"": ""6"", ""idaq_11"": ""6"", ""idaq_22"": ""8"", ""idaq_4"": ""7""}"
6ef02b96983e45069d1b474941116646,q_pre_2050,85,22,female,2026-06-03T12:01:53.873,2026-06-03T12:03:54.127,120.254,,,,,,,,,,,,submit,"{""2050_crime"": ""4"", ""2050_sports"": ""3"", ""2050_flight_attendants"": ""7"", ""2050_shelters"": ""2"", ""2050_police"": ""3"", ""2050_rights"": ""5"", ""2050_other_worlds"": ""6"", ""2050_hiking"": ""5"", ""2050_school"": ""3"", ""2050_experiments"": ""7"", ""2050_rubbish_collectors"": ""9"", ""2050_neurosurgery"": ""4"", ""2050_art"": ""6"", ""2050_nursing_home"": ""5"", ""2050_mannequins"": ""6""}"
6ef02b96983e45069d1b474941116646,q_post_gators,85,22,female,2026-06-03T12:16:32.631,2026-06-03T12:19:11.017,158.386,,,,,,,,,,,,submit,"{""gators_12"": ""6"", ""gators_13"": ""6"", ""gators_3"": ""5"", ""gators_15"": ""4"", ""gators_11"": ""3"", ""gators_4"": ""4"", ""gators_14"": ""4"", ""gators_10"": ""6"", ""gators_19"": ""6"", ""gators_2"": ""5"", ""gators_6"": ""3"", ""gators_8"": ""3"", ""gators_9"": ""2"", ""gators_5"": ""5"", ""gators_7"": ""3"", ""gators_1"": ""5"", ""gators_20"": ""6"", ""gators_18"": ""3"", ""gators_16"": ""5"", ""gators_17"": ""5""}"
6ef02b96983e45069d1b474941116646,q_post_specific,85,22,female,2026-06-03T12:19:11.029,2026-06-03T12:19:43.368,32.339,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""6"", ""robot_friendliness"": ""6"", ""robot_likeability"": ""6"", ""robot_empathy"": ""6"", ""mentacy_belief"": ""1"", ""belief_confidence"": ""4""}"
6ef02b96983e45069d1b474941116646,captcha_post,85,22,female,2026-06-03T12:19:43.406,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
6ef02b96983e45069d1b474941116646,captcha_post,85,22,female,2026-06-03T12:19:43.427,2026-06-03T12:19:54.969,11.542,1,1,Click on the images containing bicycles.,"[""Bicycle (4).jpg"", ""Bicycle (340).jpg"", ""Stair (483).jpg"", ""Palm (9).jpg"", ""Chimney (46).jpg"", ""Cross (95).jpg"", ""Tlight (83).jpg"", ""Bicycle (92).jpg"", ""Stair (792).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (4).jpg"", ""Bicycle (340).jpg"", ""Bicycle (92).jpg""]",777,1,1,1000,submit,
6ef02b96983e45069d1b474941116646,captcha_post,85,22,female,2026-06-03T12:19:54.974,2026-06-03T12:20:03.465,8.491,2,1,Click on the images containing bicycles.,"[""Bridge (75).jpg"", ""Bridge (97).jpg"", ""Bicycle (435).jpg"", ""Bridge (33).jpg"", ""Cross (100).jpg"", ""Hydrant (111).jpg"", ""Hydrant (139).jpg"", ""Bicycle (351).jpg"", ""Bicycle (367).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (435).jpg"", ""Bicycle (351).jpg"", ""Bicycle (367).jpg""]",774,2,2,1000,submit,
6ef02b96983e45069d1b474941116646,captcha_post,85,22,female,2026-06-03T12:20:03.471,2026-06-03T12:20:14.418,10.947,3,0,Click on the images containing bicycles.,"[""Chimney (3).jpg"", ""Stair (339).jpg"", ""Bicycle (327).jpg"", ""Bicycle (615).jpg"", ""Bicycle (160).jpg"", ""Chimney (53).jpg"", ""Car (116).jpg"", ""Stair (1456).jpg"", ""Chimney (35).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3]","[""Bicycle (327).jpg"", ""Bicycle (615).jpg""]",771,3,2,1000,submit,
6ef02b96983e45069d1b474941116646,captcha_post,85,22,female,2026-06-03T12:20:16.427,2026-06-03T12:20:27.281,10.854,4,1,Click on the images containing bicycles.,"[""Tlight (95).jpg"", ""Car (34).jpg"", ""Bus (110).jpg"", ""Hydrant (76).jpg"", ""Bicycle (314).jpg"", ""Bus (80).jpg"", ""Cross (44).jpg"", ""Bicycle (159).jpg"", ""Bicycle (437).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (314).jpg"", ""Bicycle (159).jpg"", ""Bicycle (437).jpg""]",768,4,3,1000,submit,
6ef02b96983e45069d1b474941116646,captcha_post,85,22,female,2026-06-03T12:20:27.286,2026-06-03T12:20:34.410,7.124,5,1,Click on the images containing bicycles.,"[""Chimney (21).jpg"", ""Bicycle (718).jpg"", ""Bicycle (284).jpg"", ""Stair (1466).jpg"", ""Car (83).jpg"", ""Bicycle (689).jpg"", ""Tlight (78).jpg"", ""Hydrant (80).jpg"", ""Car (69).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (718).jpg"", ""Bicycle (284).jpg"", ""Bicycle (689).jpg""]",765,5,4,1000,submit,
