exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:00:07.290,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:00:07.320,2026-06-03T13:00:49.036,41.716,1,1,Click on the images containing bicycles.,"[""Palm (92).jpg"", ""Bicycle (306).jpg"", ""Bicycle (216).jpg"", ""Bridge (97).jpg"", ""Palm (42).jpg"", ""Bus (109).jpg"", ""Bicycle (747).jpg"", ""Bridge (138).jpg"", ""Cross (96).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 6]","[""Bicycle (306).jpg"", ""Bicycle (216).jpg"", ""Bicycle (747).jpg""]",777,1,1,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:00:49.043,2026-06-03T13:01:02.653,13.61,2,1,Click on the images containing bicycles.,"[""Car (33).jpg"", ""Bus (40).jpg"", ""Stair (246).jpg"", ""Tlight (130).jpg"", ""Bicycle (427).jpg"", ""Bicycle (317).jpg"", ""Bicycle (157).jpg"", ""Stair (1319).jpg"", ""Cross (8).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (427).jpg"", ""Bicycle (317).jpg"", ""Bicycle (157).jpg""]",774,2,2,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:01:02.660,2026-06-03T13:01:17.630,14.97,3,1,Click on the images containing bicycles.,"[""Bridge (51).jpg"", ""Bicycle (679).jpg"", ""Tlight (19).jpg"", ""Bicycle (640).jpg"", ""Stair (1454).jpg"", ""Tlight (108).jpg"", ""Hydrant (97).jpg"", ""Bicycle (27).jpg"", ""Hydrant (25).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (679).jpg"", ""Bicycle (640).jpg"", ""Bicycle (27).jpg""]",771,3,3,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:01:17.635,2026-06-03T13:01:32.455,14.82,4,1,Click on the images containing bicycles.,"[""Bicycle (101).jpg"", ""Stair (544).jpg"", ""Hydrant (85).jpg"", ""Bicycle (500).jpg"", ""Chimney (40).jpg"", ""Chimney (41).jpg"", ""Bicycle (558).jpg"", ""Palm (114).jpg"", ""Palm (54).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (101).jpg"", ""Bicycle (500).jpg"", ""Bicycle (558).jpg""]",768,4,4,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:01:32.460,2026-06-03T13:01:55.536,23.076,5,1,Click on the images containing bicycles.,"[""Hydrant (115).jpg"", ""Cross (75).jpg"", ""Bicycle (124).jpg"", ""Stair (1012).jpg"", ""Bicycle (626).jpg"", ""Tlight (107).jpg"", ""Bicycle (740).jpg"", ""Palm (1).jpg"", ""Car (82).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 4, 6]","[""Bicycle (124).jpg"", ""Bicycle (626).jpg"", ""Bicycle (740).jpg""]",765,5,5,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:01:55.541,2026-06-03T13:02:05.719,10.178,6,1,Click on the images containing bicycles.,"[""Chimney (65).jpg"", ""Bicycle (100).jpg"", ""Bicycle (329).jpg"", ""Tlight (113).jpg"", ""Bicycle (103).jpg"", ""Stair (1416).jpg"", ""Palm (100).jpg"", ""Tlight (68).jpg"", ""Hydrant (90).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 4]","[""Bicycle (100).jpg"", ""Bicycle (329).jpg"", ""Bicycle (103).jpg""]",762,6,6,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:02:05.724,2026-06-03T13:02:20.183,14.459,7,1,Click on the images containing bicycles.,"[""Bicycle (660).jpg"", ""Bicycle (732).jpg"", ""Chimney (31).jpg"", ""Hydrant (105).jpg"", ""Palm (49).jpg"", ""Bicycle (208).jpg"", ""Stair (1465).jpg"", ""Palm (16).jpg"", ""Bus (21).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (660).jpg"", ""Bicycle (732).jpg"", ""Bicycle (208).jpg""]",759,7,7,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:02:20.188,2026-06-03T13:02:39.359,19.171,8,0,Click on the images containing bicycles.,"[""Bicycle (343).jpg"", ""Stair (408).jpg"", ""Palm (13).jpg"", ""Tlight (106).jpg"", ""Chimney (45).jpg"", ""Bicycle (279).jpg"", ""Bridge (31).jpg"", ""Bicycle (715).jpg"", ""Bus (47).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[5, 7]","[""Bicycle (279).jpg"", ""Bicycle (715).jpg""]",756,8,7,10,submit,
29f3281611134ec99e6253f3ba8577f6,captcha_pre,86,18,male,2026-06-03T13:02:41.369,2026-06-03T13:02:56.184,14.815,9,1,Click on the images containing bicycles.,"[""Cross (95).jpg"", ""Stair (109).jpg"", ""Bridge (139).jpg"", ""Cross (33).jpg"", ""Bus (36).jpg"", ""Bicycle (404).jpg"", ""Bicycle (520).jpg"", ""Tlight (104).jpg"", ""Bicycle (12).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (404).jpg"", ""Bicycle (520).jpg"", ""Bicycle (12).jpg""]",753,9,8,10,submit,
