exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:35:45.676,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:35:45.703,2026-06-04T12:36:41.875,56.172,1,1,Click on the images containing bicycles.,"[""Bicycle (358).jpg"", ""Palm (43).jpg"", ""Chimney (2).jpg"", ""Bicycle (405).jpg"", ""Chimney (20).jpg"", ""Hydrant (61).jpg"", ""Cross (57).jpg"", ""Hydrant (42).jpg"", ""Bicycle (220).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (358).jpg"", ""Bicycle (405).jpg"", ""Bicycle (220).jpg""]",777,1,1,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:36:41.880,2026-06-04T12:36:57.723,15.843,2,1,Click on the images containing bicycles.,"[""Cross (27).jpg"", ""Bicycle (504).jpg"", ""Car (62).jpg"", ""Bicycle (697).jpg"", ""Bicycle (587).jpg"", ""Bicycle (37).jpg"", ""Stair (1052).jpg"", ""Bicycle (630).jpg"", ""Bus (72).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 3, 4, 5, 7]","[""Bicycle (504).jpg"", ""Bicycle (697).jpg"", ""Bicycle (587).jpg"", ""Bicycle (37).jpg"", ""Bicycle (630).jpg""]",772,2,2,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:36:57.729,2026-06-04T12:37:11.115,13.386,3,1,Click on the images containing bicycles.,"[""Cross (53).jpg"", ""Bicycle (642).jpg"", ""Bicycle (318).jpg"", ""Bus (82).jpg"", ""Stair (1183).jpg"", ""Stair (793).jpg"", ""Bicycle (312).jpg"", ""Bicycle (278).jpg"", ""Bicycle (446).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 6, 7, 8]","[""Bicycle (642).jpg"", ""Bicycle (318).jpg"", ""Bicycle (312).jpg"", ""Bicycle (278).jpg"", ""Bicycle (446).jpg""]",767,3,3,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:37:11.121,2026-06-04T12:37:32.892,21.771,4,1,Click on the images containing bicycles.,"[""Bicycle (72).jpg"", ""Bicycle (299).jpg"", ""Bus (93).jpg"", ""Cross (96).jpg"", ""Tlight (104).jpg"", ""Bicycle (53).jpg"", ""Car (97).jpg"", ""Bicycle (457).jpg"", ""Hydrant (76).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 5, 7]","[""Bicycle (72).jpg"", ""Bicycle (299).jpg"", ""Bicycle (53).jpg"", ""Bicycle (457).jpg""]",763,4,4,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:37:32.898,2026-06-04T12:37:50.548,17.65,5,1,Click on the images containing bicycles.,"[""Bicycle (168).jpg"", ""Bicycle (589).jpg"", ""Tlight (4).jpg"", ""Palm (54).jpg"", ""Bicycle (303).jpg"", ""Tlight (109).jpg"", ""Bicycle (494).jpg"", ""Stair (427).jpg"", ""Bicycle (389).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 4, 6, 8]","[""Bicycle (168).jpg"", ""Bicycle (589).jpg"", ""Bicycle (303).jpg"", ""Bicycle (494).jpg"", ""Bicycle (389).jpg""]",758,5,5,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:37:50.554,2026-06-04T12:38:03.237,12.683,6,0,Click on the images containing bicycles.,"[""Chimney (76).jpg"", ""Bicycle (607).jpg"", ""Cross (25).jpg"", ""Chimney (48).jpg"", ""Palm (112).jpg"", ""Bicycle (357).jpg"", ""Bicycle (735).jpg"", ""Bridge (112).jpg"", ""Bicycle (197).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (607).jpg"", ""Bicycle (357).jpg"", ""Bicycle (197).jpg""]",754,6,5,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:38:05.247,2026-06-04T12:38:19.861,14.614,7,1,Click on the images containing bicycles.,"[""Bus (71).jpg"", ""Bicycle (327).jpg"", ""Stair (482).jpg"", ""Bicycle (332).jpg"", ""Tlight (85).jpg"", ""Bicycle (470).jpg"", ""Bicycle (437).jpg"", ""Bicycle (186).jpg"", ""Car (133).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 3, 5, 6, 7]","[""Bicycle (327).jpg"", ""Bicycle (332).jpg"", ""Bicycle (470).jpg"", ""Bicycle (437).jpg"", ""Bicycle (186).jpg""]",749,7,6,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:38:19.866,2026-06-04T12:38:34.133,14.267,8,0,Click on the images containing bicycles.,"[""Bicycle (569).jpg"", ""Palm (47).jpg"", ""Bicycle (208).jpg"", ""Bicycle (160).jpg"", ""Stair (383).jpg"", ""Chimney (87).jpg"", ""Hydrant (29).jpg"", ""Car (128).jpg"", ""Hydrant (72).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 2]","[""Bicycle (569).jpg"", ""Bicycle (208).jpg""]",746,8,6,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:38:36.143,2026-06-04T12:38:50.422,14.279,9,1,Click on the images containing bicycles.,"[""Bicycle (383).jpg"", ""Bicycle (286).jpg"", ""Cross (59).jpg"", ""Bridge (88).jpg"", ""Bicycle (429).jpg"", ""Bridge (22).jpg"", ""Tlight (5).jpg"", ""Palm (108).jpg"", ""Cross (16).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (383).jpg"", ""Bicycle (286).jpg"", ""Bicycle (429).jpg""]",743,9,7,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:38:50.428,2026-06-04T12:39:05.159,14.731,10,1,Click on the images containing bicycles.,"[""Bicycle (506).jpg"", ""Chimney (13).jpg"", ""Hydrant (65).jpg"", ""Bicycle (563).jpg"", ""Bicycle (304).jpg"", ""Car (102).jpg"", ""Hydrant (100).jpg"", ""Cross (21).jpg"", ""Bridge (78).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (506).jpg"", ""Bicycle (563).jpg"", ""Bicycle (304).jpg""]",740,10,8,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:39:05.164,2026-06-04T12:39:23.511,18.347,11,1,Click on the images containing bicycles.,"[""Bicycle (753).jpg"", ""Tlight (98).jpg"", ""Bicycle (183).jpg"", ""Cross (111).jpg"", ""Bicycle (231).jpg"", ""Bus (30).jpg"", ""Hydrant (79).jpg"", ""Bicycle (333).jpg"", ""Bicycle (582).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 4, 7, 8]","[""Bicycle (753).jpg"", ""Bicycle (183).jpg"", ""Bicycle (231).jpg"", ""Bicycle (333).jpg"", ""Bicycle (582).jpg""]",735,11,9,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:39:23.516,2026-06-04T12:39:34.582,11.066,12,0,Click on the images containing bicycles.,"[""Bicycle (581).jpg"", ""Tlight (9).jpg"", ""Bridge (87).jpg"", ""Bicycle (134).jpg"", ""Bicycle (210).jpg"", ""Chimney (22).jpg"", ""Bicycle (236).jpg"", ""Bicycle (452).jpg"", ""Hydrant (101).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[3, 4, 6, 7]","[""Bicycle (134).jpg"", ""Bicycle (210).jpg"", ""Bicycle (236).jpg"", ""Bicycle (452).jpg""]",730,12,9,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:39:36.592,2026-06-04T12:39:49.543,12.951,13,1,Click on the images containing bicycles.,"[""Chimney (98).jpg"", ""Bicycle (663).jpg"", ""Bicycle (706).jpg"", ""Cross (3).jpg"", ""Bicycle (428).jpg"", ""Bicycle (747).jpg"", ""Tlight (96).jpg"", ""Chimney (92).jpg"", ""Bicycle (313).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 4, 5, 8]","[""Bicycle (663).jpg"", ""Bicycle (706).jpg"", ""Bicycle (428).jpg"", ""Bicycle (747).jpg"", ""Bicycle (313).jpg""]",725,13,10,10,submit,
b25159abbbbd4325b7db1ca255b54e0f,captcha_pre,87,18,female,2026-06-04T12:39:36.592,2026-06-04T12:39:52.614,16.022,13,,Click on the images containing bicycles.,[],[],[],[],725,13,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
