exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:26:32.814,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:26:32.843,2026-06-04T14:27:21.793,48.95,1,1,Click on the images containing bicycles.,"[""Palm (6).jpg"", ""Car (84).jpg"", ""Chimney (28).jpg"", ""Cross (45).jpg"", ""Bridge (30).jpg"", ""Bicycle (146).jpg"", ""Bicycle (247).jpg"", ""Bus (80).jpg"", ""Bicycle (617).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (146).jpg"", ""Bicycle (247).jpg"", ""Bicycle (617).jpg""]",777,1,1,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:27:21.799,2026-06-04T14:27:36.439,14.64,2,1,Click on the images containing bicycles.,"[""Bicycle (523).jpg"", ""Cross (36).jpg"", ""Bicycle (122).jpg"", ""Bicycle (409).jpg"", ""Palm (92).jpg"", ""Car (94).jpg"", ""Bicycle (741).jpg"", ""Bridge (55).jpg"", ""Chimney (47).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (523).jpg"", ""Bicycle (122).jpg"", ""Bicycle (409).jpg"", ""Bicycle (741).jpg""]",773,2,2,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:27:36.447,2026-06-04T14:27:48.471,12.024,3,1,Click on the images containing bicycles.,"[""Bicycle (530).jpg"", ""Bicycle (286).jpg"", ""Bicycle (323).jpg"", ""Bicycle (616).jpg"", ""Chimney (95).jpg"", ""Cross (68).jpg"", ""Bicycle (136).jpg"", ""Bridge (96).jpg"", ""Bridge (132).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (530).jpg"", ""Bicycle (286).jpg"", ""Bicycle (323).jpg"", ""Bicycle (616).jpg"", ""Bicycle (136).jpg""]",768,3,3,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:27:48.477,2026-06-04T14:27:56.264,7.787,4,1,Click on the images containing bicycles.,"[""Bicycle (719).jpg"", ""Bus (92).jpg"", ""Bicycle (758).jpg"", ""Bicycle (192).jpg"", ""Bicycle (327).jpg"", ""Chimney (48).jpg"", ""Bus (57).jpg"", ""Tlight (68).jpg"", ""Bus (82).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3, 4]","[""Bicycle (719).jpg"", ""Bicycle (758).jpg"", ""Bicycle (192).jpg"", ""Bicycle (327).jpg""]",764,4,4,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:27:56.268,2026-06-04T14:28:06.830,10.562,5,1,Click on the images containing bicycles.,"[""Bicycle (547).jpg"", ""Palm (10).jpg"", ""Bicycle (631).jpg"", ""Cross (8).jpg"", ""Bicycle (701).jpg"", ""Bicycle (745).jpg"", ""Bicycle (372).jpg"", ""Car (124).jpg"", ""Palm (64).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 4, 5, 6]","[""Bicycle (547).jpg"", ""Bicycle (631).jpg"", ""Bicycle (701).jpg"", ""Bicycle (745).jpg"", ""Bicycle (372).jpg""]",759,5,5,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:28:06.838,2026-06-04T14:28:21.199,14.361,6,1,Click on the images containing bicycles.,"[""Bicycle (257).jpg"", ""Stair (1416).jpg"", ""Bicycle (231).jpg"", ""Car (130).jpg"", ""Bicycle (12).jpg"", ""Chimney (45).jpg"", ""Hydrant (93).jpg"", ""Bicycle (689).jpg"", ""Bus (59).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 4, 7]","[""Bicycle (257).jpg"", ""Bicycle (231).jpg"", ""Bicycle (12).jpg"", ""Bicycle (689).jpg""]",755,6,6,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:28:21.205,2026-06-04T14:28:33.735,12.53,7,1,Click on the images containing bicycles.,"[""Bicycle (155).jpg"", ""Chimney (119).jpg"", ""Stair (594).jpg"", ""Bicycle (411).jpg"", ""Bicycle (187).jpg"", ""Bus (84).jpg"", ""Bicycle (197).jpg"", ""Bus (46).jpg"", ""Bicycle (739).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 4, 6, 8]","[""Bicycle (155).jpg"", ""Bicycle (411).jpg"", ""Bicycle (187).jpg"", ""Bicycle (197).jpg"", ""Bicycle (739).jpg""]",750,7,7,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:28:33.741,2026-06-04T14:28:43.655,9.914,8,1,Click on the images containing bicycles.,"[""Tlight (131).jpg"", ""Tlight (124).jpg"", ""Bicycle (459).jpg"", ""Bicycle (677).jpg"", ""Bicycle (188).jpg"", ""Chimney (81).jpg"", ""Car (102).jpg"", ""Car (92).jpg"", ""Bus (96).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (459).jpg"", ""Bicycle (677).jpg"", ""Bicycle (188).jpg""]",747,8,8,10,submit,
3eb0c114aa4148f1b53368b9104e5494,captcha_pre,88,18,male,2026-06-04T14:28:43.660,2026-06-04T14:28:53.198,9.538,9,1,Click on the images containing bicycles.,"[""Bicycle (299).jpg"", ""Bicycle (322).jpg"", ""Palm (122).jpg"", ""Bicycle (514).jpg"", ""Bicycle (239).jpg"", ""Bridge (95).jpg"", ""Tlight (57).jpg"", ""Hydrant (114).jpg"", ""Bicycle (402).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 4, 8]","[""Bicycle (299).jpg"", ""Bicycle (322).jpg"", ""Bicycle (514).jpg"", ""Bicycle (239).jpg"", ""Bicycle (402).jpg""]",742,9,9,10,submit,
