exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:53:20.463,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:53:20.489,2026-06-05T08:54:12.869,52.38,1,1,Click on the images containing bicycles.,"[""Bicycle (131).jpg"", ""Bicycle (656).jpg"", ""Bicycle (715).jpg"", ""Stair (1134).jpg"", ""Tlight (6).jpg"", ""Stair (482).jpg"", ""Tlight (88).jpg"", ""Stair (469).jpg"", ""Stair (48).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (131).jpg"", ""Bicycle (656).jpg"", ""Bicycle (715).jpg""]",777,1,1,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:54:12.875,2026-06-05T08:54:29.853,16.978,2,1,Click on the images containing bicycles.,"[""Bicycle (312).jpg"", ""Bridge (89).jpg"", ""Palm (10).jpg"", ""Car (66).jpg"", ""Cross (88).jpg"", ""Bicycle (647).jpg"", ""Bicycle (666).jpg"", ""Bus (71).jpg"", ""Bicycle (712).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 5, 6, 8]","[""Bicycle (312).jpg"", ""Bicycle (647).jpg"", ""Bicycle (666).jpg"", ""Bicycle (712).jpg""]",773,2,2,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:54:29.859,2026-06-05T08:54:47.188,17.329,3,1,Click on the images containing bicycles.,"[""Bicycle (228).jpg"", ""Bicycle (707).jpg"", ""Car (124).jpg"", ""Hydrant (100).jpg"", ""Bicycle (438).jpg"", ""Bicycle (484).jpg"", ""Bicycle (502).jpg"", ""Cross (47).jpg"", ""Tlight (61).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 4, 5, 6]","[""Bicycle (228).jpg"", ""Bicycle (707).jpg"", ""Bicycle (438).jpg"", ""Bicycle (484).jpg"", ""Bicycle (502).jpg""]",768,3,3,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:54:47.194,2026-06-05T08:55:06.596,19.402,4,1,Click on the images containing bicycles.,"[""Tlight (124).jpg"", ""Bridge (35).jpg"", ""Bus (109).jpg"", ""Palm (83).jpg"", ""Bicycle (726).jpg"", ""Bicycle (602).jpg"", ""Bicycle (401).jpg"", ""Stair (71).jpg"", ""Bicycle (720).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[4, 5, 6, 8]","[""Bicycle (726).jpg"", ""Bicycle (602).jpg"", ""Bicycle (401).jpg"", ""Bicycle (720).jpg""]",764,4,4,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:55:06.601,2026-06-05T08:55:25.764,19.163,5,1,Click on the images containing bicycles.,"[""Bicycle (572).jpg"", ""Bicycle (421).jpg"", ""Bicycle (225).jpg"", ""Hydrant (66).jpg"", ""Bicycle (589).jpg"", ""Car (31).jpg"", ""Palm (57).jpg"", ""Bicycle (136).jpg"", ""Tlight (72).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 4, 7]","[""Bicycle (572).jpg"", ""Bicycle (421).jpg"", ""Bicycle (225).jpg"", ""Bicycle (589).jpg"", ""Bicycle (136).jpg""]",759,5,5,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:55:25.768,2026-06-05T08:55:39.613,13.845,6,1,Click on the images containing bicycles.,"[""Bus (120).jpg"", ""Palm (51).jpg"", ""Stair (253).jpg"", ""Tlight (8).jpg"", ""Bicycle (436).jpg"", ""Tlight (117).jpg"", ""Bicycle (319).jpg"", ""Stair (1349).jpg"", ""Bicycle (26).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[4, 6, 8]","[""Bicycle (436).jpg"", ""Bicycle (319).jpg"", ""Bicycle (26).jpg""]",756,6,6,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:55:39.618,2026-06-05T08:55:55.804,16.186,7,1,Click on the images containing bicycles.,"[""Palm (60).jpg"", ""Stair (1227).jpg"", ""Bridge (90).jpg"", ""Bicycle (752).jpg"", ""Bicycle (70).jpg"", ""Bus (95).jpg"", ""Car (26).jpg"", ""Bicycle (316).jpg"", ""Bicycle (44).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[3, 4, 7, 8]","[""Bicycle (752).jpg"", ""Bicycle (70).jpg"", ""Bicycle (316).jpg"", ""Bicycle (44).jpg""]",752,7,7,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:55:55.809,2026-06-05T08:56:19.540,23.731,8,1,Click on the images containing bicycles.,"[""Bicycle (383).jpg"", ""Chimney (74).jpg"", ""Bicycle (601).jpg"", ""Bicycle (234).jpg"", ""Bicycle (519).jpg"", ""Tlight (93).jpg"", ""Stair (1245).jpg"", ""Hydrant (46).jpg"", ""Chimney (65).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3, 4]","[""Bicycle (383).jpg"", ""Bicycle (601).jpg"", ""Bicycle (234).jpg"", ""Bicycle (519).jpg""]",748,8,8,10,submit,
3bcabb5c49e047648a901f992091f96b,captcha_pre,89,19,female,2026-06-05T08:56:19.545,2026-06-05T08:56:31.605,12.06,9,1,Click on the images containing bicycles.,"[""Bicycle (341).jpg"", ""Chimney (112).jpg"", ""Bicycle (771).jpg"", ""Bicycle (221).jpg"", ""Stair (323).jpg"", ""Bicycle (88).jpg"", ""Hydrant (85).jpg"", ""Cross (78).jpg"", ""Bicycle (373).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 3, 5, 8]","[""Bicycle (341).jpg"", ""Bicycle (771).jpg"", ""Bicycle (221).jpg"", ""Bicycle (88).jpg"", ""Bicycle (373).jpg""]",743,9,9,10,submit,
