exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T09:59:48.770,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T09:59:48.800,2026-06-05T10:00:20.791,31.991,1,0,Click on the images containing bicycles.,"[""Bicycle (737).jpg"", ""Car (114).jpg"", ""Tlight (101).jpg"", ""Chimney (100).jpg"", ""Chimney (75).jpg"", ""Tlight (102).jpg"", ""Cross (57).jpg"", ""Bicycle (290).jpg"", ""Bicycle (248).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[7, 8]","[""Bicycle (290).jpg"", ""Bicycle (248).jpg""]",777,1,0,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:00:22.801,2026-06-05T10:00:35.768,12.967,2,1,Click on the images containing bicycles.,"[""Cross (36).jpg"", ""Cross (120).jpg"", ""Hydrant (102).jpg"", ""Bicycle (323).jpg"", ""Bicycle (51).jpg"", ""Chimney (46).jpg"", ""Bicycle (610).jpg"", ""Cross (9).jpg"", ""Bicycle (165).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[3, 4, 6, 8]","[""Bicycle (323).jpg"", ""Bicycle (51).jpg"", ""Bicycle (610).jpg"", ""Bicycle (165).jpg""]",773,2,1,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:00:35.773,2026-06-05T10:00:45.903,10.13,3,0,Click on the images containing bicycles.,"[""Bicycle (240).jpg"", ""Bicycle (156).jpg"", ""Car (71).jpg"", ""Bus (103).jpg"", ""Stair (1249).jpg"", ""Chimney (91).jpg"", ""Bridge (57).jpg"", ""Hydrant (40).jpg"", ""Bicycle (772).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 8]","[""Bicycle (240).jpg"", ""Bicycle (156).jpg"", ""Bus (103).jpg"", ""Bicycle (772).jpg""]",770,3,1,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:00:47.912,2026-06-05T10:00:57.582,9.67,4,1,Click on the images containing bicycles.,"[""Bus (92).jpg"", ""Bicycle (554).jpg"", ""Bicycle (723).jpg"", ""Stair (544).jpg"", ""Bicycle (626).jpg"", ""Hydrant (99).jpg"", ""Stair (136).jpg"", ""Bicycle (668).jpg"", ""Chimney (101).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 4, 7]","[""Bicycle (554).jpg"", ""Bicycle (723).jpg"", ""Bicycle (626).jpg"", ""Bicycle (668).jpg""]",766,4,2,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:00:57.587,2026-06-05T10:01:05.669,8.082,5,1,Click on the images containing bicycles.,"[""Bicycle (5).jpg"", ""Tlight (112).jpg"", ""Tlight (53).jpg"", ""Bicycle (118).jpg"", ""Tlight (4).jpg"", ""Palm (74).jpg"", ""Bridge (83).jpg"", ""Bicycle (28).jpg"", ""Bicycle (531).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (5).jpg"", ""Bicycle (118).jpg"", ""Bicycle (28).jpg"", ""Bicycle (531).jpg""]",762,5,3,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:01:05.674,2026-06-05T10:01:12.100,6.426,6,1,Click on the images containing bicycles.,"[""Bridge (34).jpg"", ""Bicycle (254).jpg"", ""Bicycle (433).jpg"", ""Tlight (61).jpg"", ""Stair (1031).jpg"", ""Chimney (87).jpg"", ""Stair (323).jpg"", ""Stair (439).jpg"", ""Bicycle (678).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (254).jpg"", ""Bicycle (433).jpg"", ""Bicycle (678).jpg""]",759,6,4,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:01:12.108,2026-06-05T10:01:19.685,7.577,7,1,Click on the images containing bicycles.,"[""Car (102).jpg"", ""Bicycle (106).jpg"", ""Hydrant (126).jpg"", ""Bicycle (456).jpg"", ""Stair (1459).jpg"", ""Bus (48).jpg"", ""Bus (77).jpg"", ""Bicycle (686).jpg"", ""Hydrant (131).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (106).jpg"", ""Bicycle (456).jpg"", ""Bicycle (686).jpg""]",756,7,5,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:01:19.690,2026-06-05T10:01:33.647,13.957,8,1,Click on the images containing bicycles.,"[""Bicycle (209).jpg"", ""Bicycle (49).jpg"", ""Car (92).jpg"", ""Car (139).jpg"", ""Chimney (17).jpg"", ""Bicycle (129).jpg"", ""Bicycle (184).jpg"", ""Palm (65).jpg"", ""Bicycle (18).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 1, 5, 6, 8]","[""Bicycle (209).jpg"", ""Bicycle (49).jpg"", ""Bicycle (129).jpg"", ""Bicycle (184).jpg"", ""Bicycle (18).jpg""]",751,8,6,10,submit,
6f42e8850a04453d827fbc7e5c24f0cd,captcha_pre,90,25,female,2026-06-05T10:01:33.653,2026-06-05T10:01:46.502,12.849,9,1,Click on the images containing bicycles.,"[""Chimney (122).jpg"", ""Bicycle (299).jpg"", ""Bus (28).jpg"", ""Bicycle (451).jpg"", ""Chimney (54).jpg"", ""Bicycle (100).jpg"", ""Bicycle (509).jpg"", ""Car (108).jpg"", ""Chimney (86).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 5, 6]","[""Bicycle (299).jpg"", ""Bicycle (451).jpg"", ""Bicycle (100).jpg"", ""Bicycle (509).jpg""]",747,9,7,10,submit,
