exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:54:58.266,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:54:58.296,2026-06-05T13:55:52.617,54.321,1,1,Click on the images containing bicycles.,"[""Bridge (71).jpg"", ""Bus (138).jpg"", ""Car (107).jpg"", ""Bicycle (292).jpg"", ""Cross (47).jpg"", ""Bicycle (581).jpg"", ""Bicycle (29).jpg"", ""Palm (107).jpg"", ""Tlight (50).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[3, 5, 6]","[""Bicycle (292).jpg"", ""Bicycle (581).jpg"", ""Bicycle (29).jpg""]",777,1,1,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:55:52.623,2026-06-05T13:56:07.459,14.836,2,1,Click on the images containing bicycles.,"[""Bicycle (415).jpg"", ""Car (137).jpg"", ""Bicycle (482).jpg"", ""Palm (94).jpg"", ""Bus (30).jpg"", ""Bicycle (408).jpg"", ""Stair (989).jpg"", ""Bicycle (459).jpg"", ""Stair (642).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 5, 7]","[""Bicycle (415).jpg"", ""Bicycle (482).jpg"", ""Bicycle (408).jpg"", ""Bicycle (459).jpg""]",773,2,2,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:56:07.464,2026-06-05T13:56:42.258,34.794,3,1,Click on the images containing bicycles.,"[""Bus (65).jpg"", ""Bicycle (586).jpg"", ""Bicycle (203).jpg"", ""Cross (75).jpg"", ""Bicycle (561).jpg"", ""Bridge (39).jpg"", ""Bicycle (670).jpg"", ""Palm (56).jpg"", ""Bicycle (717).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 2, 4, 6, 8]","[""Bicycle (586).jpg"", ""Bicycle (203).jpg"", ""Bicycle (561).jpg"", ""Bicycle (670).jpg"", ""Bicycle (717).jpg""]",768,3,3,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:56:42.265,2026-06-05T13:56:53.864,11.599,4,1,Click on the images containing bicycles.,"[""Hydrant (111).jpg"", ""Bus (121).jpg"", ""Bicycle (192).jpg"", ""Bicycle (593).jpg"", ""Cross (15).jpg"", ""Car (138).jpg"", ""Tlight (105).jpg"", ""Cross (21).jpg"", ""Bicycle (571).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 8]","[""Bicycle (192).jpg"", ""Bicycle (593).jpg"", ""Bicycle (571).jpg""]",765,4,4,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:56:53.869,2026-06-05T13:57:05.753,11.884,5,1,Click on the images containing bicycles.,"[""Hydrant (67).jpg"", ""Bicycle (714).jpg"", ""Bicycle (590).jpg"", ""Bicycle (527).jpg"", ""Bicycle (622).jpg"", ""Bridge (46).jpg"", ""Stair (1460).jpg"", ""Tlight (71).jpg"", ""Bicycle (326).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3, 4, 8]","[""Bicycle (714).jpg"", ""Bicycle (590).jpg"", ""Bicycle (527).jpg"", ""Bicycle (622).jpg"", ""Bicycle (326).jpg""]",760,5,5,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:57:05.759,2026-06-05T13:57:24.775,19.016,6,1,Click on the images containing bicycles.,"[""Bicycle (585).jpg"", ""Bicycle (185).jpg"", ""Palm (79).jpg"", ""Chimney (104).jpg"", ""Hydrant (40).jpg"", ""Cross (31).jpg"", ""Cross (113).jpg"", ""Bridge (94).jpg"", ""Bicycle (770).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (585).jpg"", ""Bicycle (185).jpg"", ""Bicycle (770).jpg""]",757,6,6,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:57:24.780,2026-06-05T13:57:40.953,16.173,7,1,Click on the images containing bicycles.,"[""Car (23).jpg"", ""Bridge (73).jpg"", ""Cross (57).jpg"", ""Car (66).jpg"", ""Bridge (24).jpg"", ""Bicycle (509).jpg"", ""Bicycle (554).jpg"", ""Bicycle (765).jpg"", ""Hydrant (105).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[5, 6, 7]","[""Bicycle (509).jpg"", ""Bicycle (554).jpg"", ""Bicycle (765).jpg""]",754,7,7,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:57:40.959,2026-06-05T13:57:55.745,14.786,8,1,Click on the images containing bicycles.,"[""Bicycle (22).jpg"", ""Bicycle (34).jpg"", ""Car (30).jpg"", ""Stair (1221).jpg"", ""Tlight (128).jpg"", ""Bus (74).jpg"", ""Bicycle (449).jpg"", ""Bicycle (566).jpg"", ""Bicycle (274).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 1, 6, 7, 8]","[""Bicycle (22).jpg"", ""Bicycle (34).jpg"", ""Bicycle (449).jpg"", ""Bicycle (566).jpg"", ""Bicycle (274).jpg""]",749,8,8,10,submit,
56cbbb378c52498b954a8fab34ec0c8b,captcha_pre,91,20,male,2026-06-05T13:57:55.750,2026-06-05T13:58:08.216,12.466,9,1,Click on the images containing bicycles.,"[""Palm (74).jpg"", ""Stair (1434).jpg"", ""Chimney (76).jpg"", ""Bicycle (559).jpg"", ""Palm (123).jpg"", ""Chimney (66).jpg"", ""Bicycle (247).jpg"", ""Bicycle (287).jpg"", ""Tlight (137).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (559).jpg"", ""Bicycle (247).jpg"", ""Bicycle (287).jpg""]",746,9,9,10,submit,
