exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T14:58:40.742,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T14:58:40.775,2026-06-05T14:59:28.984,48.209,1,0,Click on the images containing bicycles.,"[""Bicycle (503).jpg"", ""Bus (103).jpg"", ""Bicycle (545).jpg"", ""Bicycle (436).jpg"", ""Bus (64).jpg"", ""Bicycle (316).jpg"", ""Hydrant (80).jpg"", ""Bicycle (224).jpg"", ""Hydrant (127).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 2, 3, 5, 7]","[""Bicycle (503).jpg"", ""Bus (103).jpg"", ""Bicycle (545).jpg"", ""Bicycle (436).jpg"", ""Bicycle (316).jpg"", ""Bicycle (224).jpg""]",775,1,0,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T14:59:30.994,2026-06-05T15:00:03.919,32.925,2,1,Click on the images containing bicycles.,"[""Bridge (30).jpg"", ""Cross (90).jpg"", ""Bicycle (715).jpg"", ""Tlight (115).jpg"", ""Cross (73).jpg"", ""Car (127).jpg"", ""Stair (243).jpg"", ""Bicycle (674).jpg"", ""Bicycle (225).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (715).jpg"", ""Bicycle (674).jpg"", ""Bicycle (225).jpg""]",772,2,1,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:00:03.923,2026-06-05T15:00:21.575,17.652,3,1,Click on the images containing bicycles.,"[""Chimney (69).jpg"", ""Palm (17).jpg"", ""Cross (55).jpg"", ""Cross (68).jpg"", ""Tlight (4).jpg"", ""Chimney (1).jpg"", ""Bicycle (291).jpg"", ""Bicycle (292).jpg"", ""Bicycle (314).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7, 8]","[""Bicycle (291).jpg"", ""Bicycle (292).jpg"", ""Bicycle (314).jpg""]",769,3,2,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:00:21.580,2026-06-05T15:00:37.303,15.723,4,0,Click on the images containing bicycles.,"[""Bicycle (360).jpg"", ""Bicycle (426).jpg"", ""Tlight (89).jpg"", ""Bicycle (420).jpg"", ""Bicycle (343).jpg"", ""Tlight (47).jpg"", ""Bus (71).jpg"", ""Palm (114).jpg"", ""Bicycle (683).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 4]","[""Bicycle (360).jpg"", ""Bicycle (426).jpg"", ""Bicycle (420).jpg"", ""Bicycle (343).jpg""]",764,4,2,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:00:39.313,2026-06-05T15:00:50.807,11.494,5,0,Click on the images containing bicycles.,"[""Cross (92).jpg"", ""Tlight (13).jpg"", ""Bicycle (398).jpg"", ""Car (88).jpg"", ""Bicycle (401).jpg"", ""Bicycle (454).jpg"", ""Bicycle (425).jpg"", ""Bicycle (694).jpg"", ""Cross (15).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[2, 4, 5, 7]","[""Bicycle (398).jpg"", ""Bicycle (401).jpg"", ""Bicycle (454).jpg"", ""Bicycle (694).jpg""]",759,5,2,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:00:52.816,2026-06-05T15:01:02.247,9.431,6,1,Click on the images containing bicycles.,"[""Bicycle (600).jpg"", ""Cross (2).jpg"", ""Car (22).jpg"", ""Chimney (29).jpg"", ""Bicycle (287).jpg"", ""Tlight (104).jpg"", ""Cross (44).jpg"", ""Bicycle (652).jpg"", ""Hydrant (128).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 4, 7]","[""Bicycle (600).jpg"", ""Bicycle (287).jpg"", ""Bicycle (652).jpg""]",756,6,3,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:01:02.252,2026-06-05T15:01:12.839,10.587,7,1,Click on the images containing bicycles.,"[""Chimney (3).jpg"", ""Bicycle (724).jpg"", ""Bicycle (390).jpg"", ""Hydrant (134).jpg"", ""Cross (72).jpg"", ""Stair (246).jpg"", ""Stair (482).jpg"", ""Bicycle (37).jpg"", ""Stair (1401).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 7]","[""Bicycle (724).jpg"", ""Bicycle (390).jpg"", ""Bicycle (37).jpg""]",753,7,4,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:01:12.845,2026-06-05T15:01:27.375,14.53,8,1,Click on the images containing bicycles.,"[""Car (54).jpg"", ""Tlight (65).jpg"", ""Car (85).jpg"", ""Palm (44).jpg"", ""Bicycle (181).jpg"", ""Bicycle (84).jpg"", ""Stair (1237).jpg"", ""Stair (642).jpg"", ""Bicycle (85).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[4, 5, 8]","[""Bicycle (181).jpg"", ""Bicycle (84).jpg"", ""Bicycle (85).jpg""]",750,8,5,10,submit,
cac7f82de156438db54cf8562985564c,captcha_pre,92,38,female,2026-06-05T15:01:27.380,2026-06-05T15:01:40.768,13.388,9,1,Click on the images containing bicycles.,"[""Bicycle (322).jpg"", ""Car (39).jpg"", ""Bicycle (124).jpg"", ""Stair (989).jpg"", ""Bicycle (375).jpg"", ""Bicycle (46).jpg"", ""Car (40).jpg"", ""Hydrant (103).jpg"", ""Bicycle (349).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 4, 5, 8]","[""Bicycle (322).jpg"", ""Bicycle (124).jpg"", ""Bicycle (375).jpg"", ""Bicycle (46).jpg"", ""Bicycle (349).jpg""]",745,9,6,10,submit,
