exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:33:41.762,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:33:41.793,2026-06-18T12:34:21.724,39.931,1,1,Click on the images containing bicycles.,"[""Car (67).jpg"", ""Hydrant (101).jpg"", ""Tlight (118).jpg"", ""Bridge (40).jpg"", ""Bicycle (602).jpg"", ""Bicycle (87).jpg"", ""Bicycle (212).jpg"", ""Bicycle (694).jpg"", ""Car (108).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[4, 5, 6, 7]","[""Bicycle (602).jpg"", ""Bicycle (87).jpg"", ""Bicycle (212).jpg"", ""Bicycle (694).jpg""]",776,1,1,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:34:21.728,2026-06-18T12:34:34.967,13.239,2,1,Click on the images containing bicycles.,"[""Tlight (130).jpg"", ""Stair (1000).jpg"", ""Chimney (30).jpg"", ""Bicycle (220).jpg"", ""Chimney (6).jpg"", ""Bicycle (680).jpg"", ""Stair (1224).jpg"", ""Bicycle (161).jpg"", ""Bicycle (62).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 5, 7, 8]","[""Bicycle (220).jpg"", ""Bicycle (680).jpg"", ""Bicycle (161).jpg"", ""Bicycle (62).jpg""]",772,2,2,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:34:34.971,2026-06-18T12:34:49.884,14.913,3,1,Click on the images containing bicycles.,"[""Cross (12).jpg"", ""Bicycle (347).jpg"", ""Bicycle (467).jpg"", ""Bicycle (269).jpg"", ""Car (132).jpg"", ""Bus (48).jpg"", ""Cross (17).jpg"", ""Bridge (111).jpg"", ""Cross (43).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3]","[""Bicycle (347).jpg"", ""Bicycle (467).jpg"", ""Bicycle (269).jpg""]",769,3,3,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:34:49.889,2026-06-18T12:35:04.551,14.662,4,1,Click on the images containing bicycles.,"[""Palm (60).jpg"", ""Bicycle (27).jpg"", ""Bicycle (551).jpg"", ""Hydrant (112).jpg"", ""Bicycle (237).jpg"", ""Tlight (50).jpg"", ""Cross (37).jpg"", ""Bicycle (775).jpg"", ""Bicycle (97).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 4, 7, 8]","[""Bicycle (27).jpg"", ""Bicycle (551).jpg"", ""Bicycle (237).jpg"", ""Bicycle (775).jpg"", ""Bicycle (97).jpg""]",764,4,4,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:35:04.555,2026-06-18T12:35:15.764,11.209,5,1,Click on the images containing bicycles.,"[""Bicycle (685).jpg"", ""Chimney (50).jpg"", ""Stair (435).jpg"", ""Palm (85).jpg"", ""Hydrant (108).jpg"", ""Bicycle (599).jpg"", ""Bus (68).jpg"", ""Bicycle (496).jpg"", ""Chimney (10).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (685).jpg"", ""Bicycle (599).jpg"", ""Bicycle (496).jpg""]",761,5,5,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:35:15.769,2026-06-18T12:35:24.940,9.171,6,1,Click on the images containing bicycles.,"[""Cross (97).jpg"", ""Bicycle (556).jpg"", ""Bridge (68).jpg"", ""Bridge (99).jpg"", ""Bicycle (149).jpg"", ""Bicycle (71).jpg"", ""Bicycle (105).jpg"", ""Hydrant (110).jpg"", ""Bicycle (607).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[1, 4, 5, 6, 8]","[""Bicycle (556).jpg"", ""Bicycle (149).jpg"", ""Bicycle (71).jpg"", ""Bicycle (105).jpg"", ""Bicycle (607).jpg""]",756,6,6,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:35:24.945,2026-06-18T12:35:37.501,12.556,7,0,Click on the images containing bicycles.,"[""Palm (11).jpg"", ""Bicycle (56).jpg"", ""Bicycle (57).jpg"", ""Cross (86).jpg"", ""Bridge (128).jpg"", ""Stair (236).jpg"", ""Stair (672).jpg"", ""Bicycle (620).jpg"", ""Hydrant (120).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 7]","[""Bicycle (56).jpg"", ""Bicycle (620).jpg""]",753,7,6,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:35:39.509,2026-06-18T12:35:47.886,8.377,8,1,Click on the images containing bicycles.,"[""Bicycle (12).jpg"", ""Stair (253).jpg"", ""Chimney (114).jpg"", ""Bicycle (446).jpg"", ""Bicycle (171).jpg"", ""Stair (917).jpg"", ""Cross (48).jpg"", ""Cross (32).jpg"", ""Palm (114).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (12).jpg"", ""Bicycle (446).jpg"", ""Bicycle (171).jpg""]",750,8,7,10,submit,
a0f2fb5dabb146c2830289f564f52723,captcha_pre,93,20,female,2026-06-18T12:35:47.890,2026-06-18T12:35:59.773,11.883,9,1,Click on the images containing bicycles.,"[""Hydrant (61).jpg"", ""Bridge (98).jpg"", ""Hydrant (87).jpg"", ""Bicycle (445).jpg"", ""Bicycle (727).jpg"", ""Bicycle (548).jpg"", ""Cross (73).jpg"", ""Bicycle (167).jpg"", ""Bicycle (398).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T""]","[3, 4, 5, 7, 8]","[""Bicycle (445).jpg"", ""Bicycle (727).jpg"", ""Bicycle (548).jpg"", ""Bicycle (167).jpg"", ""Bicycle (398).jpg""]",745,9,8,10,submit,
