exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:32:49.127,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:32:49.159,2026-06-18T15:33:39.485,50.326,1,1,Click on the images containing bicycles.,"[""Cross (110).jpg"", ""Tlight (66).jpg"", ""Tlight (69).jpg"", ""Tlight (90).jpg"", ""Bicycle (252).jpg"", ""Bridge (37).jpg"", ""Bicycle (652).jpg"", ""Bicycle (317).jpg"", ""Bicycle (377).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[4, 6, 7, 8]","[""Bicycle (252).jpg"", ""Bicycle (652).jpg"", ""Bicycle (317).jpg"", ""Bicycle (377).jpg""]",776,1,1,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:33:39.490,2026-06-18T15:33:48.580,9.09,2,1,Click on the images containing bicycles.,"[""Bicycle (242).jpg"", ""Tlight (85).jpg"", ""Car (45).jpg"", ""Cross (38).jpg"", ""Cross (13).jpg"", ""Bicycle (251).jpg"", ""Bicycle (604).jpg"", ""Palm (67).jpg"", ""Bicycle (420).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 5, 6, 8]","[""Bicycle (242).jpg"", ""Bicycle (251).jpg"", ""Bicycle (604).jpg"", ""Bicycle (420).jpg""]",772,2,2,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:33:48.585,2026-06-18T15:34:00.061,11.476,3,1,Click on the images containing bicycles.,"[""Bicycle (470).jpg"", ""Tlight (126).jpg"", ""Bridge (31).jpg"", ""Bicycle (30).jpg"", ""Chimney (42).jpg"", ""Hydrant (36).jpg"", ""Bicycle (260).jpg"", ""Car (42).jpg"", ""Chimney (122).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (470).jpg"", ""Bicycle (30).jpg"", ""Bicycle (260).jpg""]",769,3,3,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:34:00.066,2026-06-18T15:34:09.037,8.971,4,1,Click on the images containing bicycles.,"[""Bicycle (548).jpg"", ""Hydrant (137).jpg"", ""Bicycle (380).jpg"", ""Tlight (13).jpg"", ""Chimney (18).jpg"", ""Palm (136).jpg"", ""Bicycle (106).jpg"", ""Hydrant (110).jpg"", ""Car (96).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 6]","[""Bicycle (548).jpg"", ""Bicycle (380).jpg"", ""Bicycle (106).jpg""]",766,4,4,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:34:09.042,2026-06-18T15:34:15.989,6.947,5,1,Click on the images containing bicycles.,"[""Bicycle (294).jpg"", ""Bicycle (591).jpg"", ""Hydrant (95).jpg"", ""Palm (115).jpg"", ""Cross (119).jpg"", ""Bicycle (774).jpg"", ""Car (23).jpg"", ""Chimney (53).jpg"", ""Palm (79).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (294).jpg"", ""Bicycle (591).jpg"", ""Bicycle (774).jpg""]",763,5,5,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:34:15.993,2026-06-18T15:34:24.541,8.548,6,0,Click on the images containing bicycles.,"[""Chimney (52).jpg"", ""Bicycle (322).jpg"", ""Palm (126).jpg"", ""Bridge (69).jpg"", ""Hydrant (132).jpg"", ""Palm (13).jpg"", ""Stair (243).jpg"", ""Bicycle (662).jpg"", ""Bicycle (516).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 8]","[""Bicycle (322).jpg"", ""Bicycle (516).jpg""]",760,6,5,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:34:26.548,2026-06-18T15:34:37.748,11.2,7,1,Click on the images containing bicycles.,"[""Bicycle (253).jpg"", ""Tlight (125).jpg"", ""Bridge (122).jpg"", ""Bicycle (216).jpg"", ""Hydrant (24).jpg"", ""Bridge (48).jpg"", ""Bicycle (431).jpg"", ""Bus (137).jpg"", ""Bus (95).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (253).jpg"", ""Bicycle (216).jpg"", ""Bicycle (431).jpg""]",757,7,6,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:34:37.753,2026-06-18T15:34:47.933,10.18,8,1,Click on the images containing bicycles.,"[""Bicycle (202).jpg"", ""Tlight (62).jpg"", ""Bicycle (723).jpg"", ""Hydrant (33).jpg"", ""Palm (62).jpg"", ""Stair (1463).jpg"", ""Bicycle (765).jpg"", ""Bicycle (157).jpg"", ""Bicycle (244).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (202).jpg"", ""Bicycle (723).jpg"", ""Bicycle (765).jpg"", ""Bicycle (157).jpg"", ""Bicycle (244).jpg""]",752,8,7,10,submit,
e312b7d80e494d47aa5f5b624b07fb52,captcha_pre,94,25,female,2026-06-18T15:34:47.938,2026-06-18T15:34:58.573,10.635,9,0,Click on the images containing bicycles.,"[""Cross (89).jpg"", ""Bicycle (588).jpg"", ""Bicycle (21).jpg"", ""Bus (129).jpg"", ""Bicycle (701).jpg"", ""Tlight (138).jpg"", ""Bridge (127).jpg"", ""Stair (1388).jpg"", ""Palm (74).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 4]","[""Bicycle (21).jpg"", ""Bicycle (701).jpg""]",749,9,7,10,submit,
