exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:03:13.210,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:03:13.241,2026-06-19T12:03:58.379,45.138,1,1,Click on the images containing bicycles.,"[""Cross (56).jpg"", ""Cross (41).jpg"", ""Bicycle (455).jpg"", ""Bicycle (374).jpg"", ""Bicycle (409).jpg"", ""Bridge (75).jpg"", ""Bridge (131).jpg"", ""Bicycle (765).jpg"", ""Bicycle (34).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[2, 3, 4, 7, 8]","[""Bicycle (455).jpg"", ""Bicycle (374).jpg"", ""Bicycle (409).jpg"", ""Bicycle (765).jpg"", ""Bicycle (34).jpg""]",775,1,1,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:03:58.385,2026-06-19T12:04:15.706,17.321,2,1,Click on the images containing bicycles.,"[""Bicycle (284).jpg"", ""Cross (109).jpg"", ""Bicycle (609).jpg"", ""Bicycle (217).jpg"", ""Bicycle (457).jpg"", ""Bus (109).jpg"", ""Bus (135).jpg"", ""Bridge (63).jpg"", ""Bicycle (533).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 4, 8]","[""Bicycle (284).jpg"", ""Bicycle (609).jpg"", ""Bicycle (217).jpg"", ""Bicycle (457).jpg"", ""Bicycle (533).jpg""]",770,2,2,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:04:15.711,2026-06-19T12:04:30.418,14.707,3,1,Click on the images containing bicycles.,"[""Bicycle (4).jpg"", ""Cross (106).jpg"", ""Tlight (136).jpg"", ""Bicycle (176).jpg"", ""Hydrant (33).jpg"", ""Car (129).jpg"", ""Bus (26).jpg"", ""Bicycle (283).jpg"", ""Stair (499).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 3, 7]","[""Bicycle (4).jpg"", ""Bicycle (176).jpg"", ""Bicycle (283).jpg""]",767,3,3,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:04:30.423,2026-06-19T12:04:40.098,9.675,4,1,Click on the images containing bicycles.,"[""Cross (30).jpg"", ""Stair (1191).jpg"", ""Bicycle (725).jpg"", ""Hydrant (101).jpg"", ""Bicycle (709).jpg"", ""Palm (5).jpg"", ""Bridge (132).jpg"", ""Bicycle (730).jpg"", ""Bridge (103).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (725).jpg"", ""Bicycle (709).jpg"", ""Bicycle (730).jpg""]",764,4,4,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:04:40.103,2026-06-19T12:04:55.194,15.091,5,1,Click on the images containing bicycles.,"[""Cross (52).jpg"", ""Bicycle (682).jpg"", ""Car (57).jpg"", ""Bicycle (773).jpg"", ""Bicycle (508).jpg"", ""Bicycle (269).jpg"", ""Bicycle (62).jpg"", ""Tlight (100).jpg"", ""Hydrant (70).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (682).jpg"", ""Bicycle (773).jpg"", ""Bicycle (508).jpg"", ""Bicycle (269).jpg"", ""Bicycle (62).jpg""]",759,5,5,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:04:55.200,2026-06-19T12:05:12.314,17.114,6,1,Click on the images containing bicycles.,"[""Stair (700).jpg"", ""Bridge (42).jpg"", ""Bicycle (619).jpg"", ""Car (80).jpg"", ""Chimney (73).jpg"", ""Bicycle (64).jpg"", ""Bicycle (437).jpg"", ""Bicycle (488).jpg"", ""Bicycle (265).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[2, 5, 6, 7, 8]","[""Bicycle (619).jpg"", ""Bicycle (64).jpg"", ""Bicycle (437).jpg"", ""Bicycle (488).jpg"", ""Bicycle (265).jpg""]",754,6,6,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:05:12.320,2026-06-19T12:05:26.505,14.185,7,1,Click on the images containing bicycles.,"[""Bicycle (245).jpg"", ""Bus (100).jpg"", ""Bicycle (746).jpg"", ""Hydrant (43).jpg"", ""Stair (260).jpg"", ""Bicycle (649).jpg"", ""Bicycle (740).jpg"", ""Bicycle (672).jpg"", ""Bus (138).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[0, 2, 5, 6, 7]","[""Bicycle (245).jpg"", ""Bicycle (746).jpg"", ""Bicycle (649).jpg"", ""Bicycle (740).jpg"", ""Bicycle (672).jpg""]",749,7,7,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:05:26.510,2026-06-19T12:05:42.274,15.764,8,1,Click on the images containing bicycles.,"[""Bus (44).jpg"", ""Palm (125).jpg"", ""Bridge (67).jpg"", ""Bicycle (37).jpg"", ""Bicycle (769).jpg"", ""Car (93).jpg"", ""Cross (39).jpg"", ""Bicycle (425).jpg"", ""Palm (41).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 4, 7]","[""Bicycle (37).jpg"", ""Bicycle (769).jpg"", ""Bicycle (425).jpg""]",746,8,8,10,submit,
9fe6b2f6555c47e9ac69dd8a62679aaf,captcha_pre,95,21,female,2026-06-19T12:05:42.279,2026-06-19T12:05:58.137,15.858,9,1,Click on the images containing bicycles.,"[""Hydrant (113).jpg"", ""Bicycle (578).jpg"", ""Palm (110).jpg"", ""Bicycle (551).jpg"", ""Bicycle (476).jpg"", ""Bicycle (16).jpg"", ""Bus (24).jpg"", ""Bicycle (342).jpg"", ""Tlight (48).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 3, 4, 5, 7]","[""Bicycle (578).jpg"", ""Bicycle (551).jpg"", ""Bicycle (476).jpg"", ""Bicycle (16).jpg"", ""Bicycle (342).jpg""]",741,9,9,10,submit,
