exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
3e0a216249f6428a879be37b1eb5f75f,q_post_gators,95,25,female,2026-06-19T13:28:47.720,2026-06-19T13:31:14.983,147.263,,,,,,,,,,,,submit,"{""gators_6"": ""3"", ""gators_4"": ""4"", ""gators_14"": ""3"", ""gators_12"": ""5"", ""gators_17"": ""4"", ""gators_16"": ""3"", ""gators_7"": ""2"", ""gators_1"": ""4"", ""gators_2"": ""5"", ""gators_13"": ""4"", ""gators_20"": ""4"", ""gators_19"": ""5"", ""gators_18"": ""1"", ""gators_10"": ""2"", ""gators_5"": ""4"", ""gators_9"": ""1"", ""gators_3"": ""3"", ""gators_15"": ""4"", ""gators_11"": ""5"", ""gators_8"": ""1""}"
3e0a216249f6428a879be37b1eb5f75f,q_post_specific,95,25,female,2026-06-19T13:31:14.991,2026-06-19T13:31:36.784,21.793,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""5"", ""robot_likeability"": ""6"", ""conversation_interestingness"": ""6"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""7""}"
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:31:36.828,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:31:36.860,2026-06-19T13:31:50.698,13.838,1,1,Click on the images containing bicycles.,"[""Bicycle (156).jpg"", ""Stair (594).jpg"", ""Bicycle (174).jpg"", ""Bridge (86).jpg"", ""Bicycle (118).jpg"", ""Stair (884).jpg"", ""Bicycle (38).jpg"", ""Chimney (64).jpg"", ""Bicycle (359).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 4, 6, 8]","[""Bicycle (156).jpg"", ""Bicycle (174).jpg"", ""Bicycle (118).jpg"", ""Bicycle (38).jpg"", ""Bicycle (359).jpg""]",775,1,1,1000,submit,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:31:50.704,2026-06-19T13:31:59.257,8.553,2,1,Click on the images containing bicycles.,"[""Palm (116).jpg"", ""Bicycle (753).jpg"", ""Bridge (103).jpg"", ""Bicycle (500).jpg"", ""Car (83).jpg"", ""Bicycle (552).jpg"", ""Bicycle (142).jpg"", ""Car (96).jpg"", ""Car (100).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 5, 6]","[""Bicycle (753).jpg"", ""Bicycle (500).jpg"", ""Bicycle (552).jpg"", ""Bicycle (142).jpg""]",771,2,2,1000,submit,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:31:59.263,2026-06-19T13:32:11.208,11.945,3,0,Click on the images containing bicycles.,"[""Palm (126).jpg"", ""Car (94).jpg"", ""Bicycle (27).jpg"", ""Cross (114).jpg"", ""Bicycle (462).jpg"", ""Bus (118).jpg"", ""Cross (64).jpg"", ""Bicycle (280).jpg"", ""Bicycle (771).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (462).jpg"", ""Bicycle (280).jpg"", ""Bicycle (771).jpg""]",767,3,2,1000,submit,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:32:13.217,2026-06-19T13:32:24.106,10.889,4,1,Click on the images containing bicycles.,"[""Bicycle (754).jpg"", ""Bus (26).jpg"", ""Bicycle (475).jpg"", ""Bicycle (182).jpg"", ""Bus (123).jpg"", ""Tlight (130).jpg"", ""Tlight (87).jpg"", ""Bus (35).jpg"", ""Bicycle (630).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 8]","[""Bicycle (754).jpg"", ""Bicycle (475).jpg"", ""Bicycle (182).jpg"", ""Bicycle (630).jpg""]",763,4,3,1000,submit,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:32:24.110,2026-06-19T13:32:30.826,6.716,5,1,Click on the images containing bicycles.,"[""Cross (94).jpg"", ""Car (136).jpg"", ""Car (137).jpg"", ""Tlight (68).jpg"", ""Bicycle (574).jpg"", ""Car (103).jpg"", ""Bicycle (502).jpg"", ""Bicycle (622).jpg"", ""Bicycle (256).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[4, 6, 7, 8]","[""Bicycle (574).jpg"", ""Bicycle (502).jpg"", ""Bicycle (622).jpg"", ""Bicycle (256).jpg""]",759,5,4,1000,submit,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:32:30.831,2026-06-19T13:32:43.066,12.235,6,1,Click on the images containing bicycles.,"[""Bicycle (769).jpg"", ""Bicycle (324).jpg"", ""Bicycle (155).jpg"", ""Palm (1).jpg"", ""Bicycle (448).jpg"", ""Palm (89).jpg"", ""Bicycle (251).jpg"", ""Palm (63).jpg"", ""Bridge (78).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 4, 6]","[""Bicycle (769).jpg"", ""Bicycle (324).jpg"", ""Bicycle (155).jpg"", ""Bicycle (448).jpg"", ""Bicycle (251).jpg""]",754,6,5,1000,submit,
3e0a216249f6428a879be37b1eb5f75f,captcha_post,95,25,female,2026-06-19T13:32:43.072,2026-06-19T13:32:51.806,8.734,7,1,Click on the images containing bicycles.,"[""Bicycle (151).jpg"", ""Tlight (50).jpg"", ""Bus (51).jpg"", ""Tlight (10).jpg"", ""Bicycle (73).jpg"", ""Bicycle (344).jpg"", ""Bus (54).jpg"", ""Cross (18).jpg"", ""Stair (699).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 4, 5]","[""Bicycle (151).jpg"", ""Bicycle (73).jpg"", ""Bicycle (344).jpg""]",751,7,6,1000,submit,
