exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:22:00.893,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:22:00.933,2026-06-19T15:22:26.632,25.699,1,1,Click on the images containing bicycles.,"[""Car (39).jpg"", ""Chimney (28).jpg"", ""Bridge (91).jpg"", ""Chimney (55).jpg"", ""Bicycle (548).jpg"", ""Bicycle (118).jpg"", ""Chimney (79).jpg"", ""Bicycle (723).jpg"", ""Bicycle (598).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (548).jpg"", ""Bicycle (118).jpg"", ""Bicycle (723).jpg"", ""Bicycle (598).jpg""]",776,1,1,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:22:26.637,2026-06-19T15:22:47.712,21.075,2,1,Click on the images containing bicycles.,"[""Car (73).jpg"", ""Bicycle (395).jpg"", ""Bicycle (139).jpg"", ""Bridge (99).jpg"", ""Bicycle (28).jpg"", ""Bicycle (473).jpg"", ""Chimney (8).jpg"", ""Car (140).jpg"", ""Bicycle (487).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 4, 5, 8]","[""Bicycle (395).jpg"", ""Bicycle (139).jpg"", ""Bicycle (28).jpg"", ""Bicycle (473).jpg"", ""Bicycle (487).jpg""]",771,2,2,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:22:47.718,2026-06-19T15:22:56.631,8.913,3,1,Click on the images containing bicycles.,"[""Bicycle (268).jpg"", ""Tlight (86).jpg"", ""Bicycle (157).jpg"", ""Bicycle (87).jpg"", ""Hydrant (48).jpg"", ""Tlight (18).jpg"", ""Hydrant (62).jpg"", ""Palm (19).jpg"", ""Bicycle (79).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 8]","[""Bicycle (268).jpg"", ""Bicycle (157).jpg"", ""Bicycle (87).jpg"", ""Bicycle (79).jpg""]",767,3,3,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:22:56.636,2026-06-19T15:23:07.904,11.268,4,1,Click on the images containing bicycles.,"[""Bicycle (219).jpg"", ""Car (93).jpg"", ""Bridge (95).jpg"", ""Bicycle (230).jpg"", ""Stair (418).jpg"", ""Tlight (68).jpg"", ""Hydrant (24).jpg"", ""Bicycle (206).jpg"", ""Bicycle (178).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (219).jpg"", ""Bicycle (230).jpg"", ""Bicycle (206).jpg"", ""Bicycle (178).jpg""]",763,4,4,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:23:07.908,2026-06-19T15:23:20.847,12.939,5,0,Click on the images containing bicycles.,"[""Bicycle (11).jpg"", ""Palm (104).jpg"", ""Bicycle (702).jpg"", ""Hydrant (55).jpg"", ""Tlight (66).jpg"", ""Chimney (109).jpg"", ""Bicycle (259).jpg"", ""Bicycle (703).jpg"", ""Palm (101).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (11).jpg"", ""Bicycle (702).jpg"", ""Bicycle (703).jpg""]",759,5,4,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:23:22.858,2026-06-19T15:23:23.056,0.198,6,0,Click on the images containing bicycles.,"[""Bicycle (48).jpg"", ""Palm (58).jpg"", ""Palm (41).jpg"", ""Bicycle (674).jpg"", ""Hydrant (37).jpg"", ""Bus (87).jpg"", ""Car (107).jpg"", ""Bus (84).jpg"", ""Bicycle (521).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]",[],[],756,6,4,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:23:25.067,2026-06-19T15:23:43.105,18.038,7,1,Click on the images containing bicycles.,"[""Palm (124).jpg"", ""Bicycle (354).jpg"", ""Bicycle (415).jpg"", ""Bicycle (483).jpg"", ""Palm (111).jpg"", ""Bicycle (750).jpg"", ""Bicycle (361).jpg"", ""Bridge (73).jpg"", ""Car (52).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 3, 5, 6]","[""Bicycle (354).jpg"", ""Bicycle (415).jpg"", ""Bicycle (483).jpg"", ""Bicycle (750).jpg"", ""Bicycle (361).jpg""]",751,7,5,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:23:43.110,2026-06-19T15:23:53.745,10.635,8,1,Click on the images containing bicycles.,"[""Bicycle (223).jpg"", ""Chimney (74).jpg"", ""Bicycle (720).jpg"", ""Palm (121).jpg"", ""Bicycle (484).jpg"", ""Car (115).jpg"", ""Bicycle (5).jpg"", ""Stair (236).jpg"", ""Bicycle (737).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 4, 6, 8]","[""Bicycle (223).jpg"", ""Bicycle (720).jpg"", ""Bicycle (484).jpg"", ""Bicycle (5).jpg"", ""Bicycle (737).jpg""]",746,8,6,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:23:53.749,2026-06-19T15:24:06.785,13.036,9,1,Click on the images containing bicycles.,"[""Bicycle (743).jpg"", ""Car (24).jpg"", ""Bicycle (14).jpg"", ""Bicycle (161).jpg"", ""Stair (363).jpg"", ""Bicycle (264).jpg"", ""Tlight (41).jpg"", ""Hydrant (80).jpg"", ""Bicycle (513).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 3, 5, 8]","[""Bicycle (743).jpg"", ""Bicycle (14).jpg"", ""Bicycle (161).jpg"", ""Bicycle (264).jpg"", ""Bicycle (513).jpg""]",741,9,7,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:24:06.790,2026-06-19T15:24:20.681,13.891,10,1,Click on the images containing bicycles.,"[""Bicycle (39).jpg"", ""Bicycle (92).jpg"", ""Bicycle (689).jpg"", ""Stair (896).jpg"", ""Bicycle (399).jpg"", ""Bridge (104).jpg"", ""Tlight (11).jpg"", ""Hydrant (92).jpg"", ""Bicycle (411).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 4, 8]","[""Bicycle (39).jpg"", ""Bicycle (92).jpg"", ""Bicycle (689).jpg"", ""Bicycle (399).jpg"", ""Bicycle (411).jpg""]",736,10,8,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:24:20.686,2026-06-19T15:24:28.273,7.587,11,1,Click on the images containing bicycles.,"[""Car (127).jpg"", ""Bicycle (616).jpg"", ""Bicycle (410).jpg"", ""Cross (51).jpg"", ""Bicycle (698).jpg"", ""Bridge (26).jpg"", ""Hydrant (89).jpg"", ""Hydrant (47).jpg"", ""Bus (54).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 4]","[""Bicycle (616).jpg"", ""Bicycle (410).jpg"", ""Bicycle (698).jpg""]",733,11,9,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:24:28.279,2026-06-19T15:24:35.914,7.635,12,1,Click on the images containing bicycles.,"[""Car (88).jpg"", ""Hydrant (32).jpg"", ""Bicycle (249).jpg"", ""Bicycle (678).jpg"", ""Tlight (98).jpg"", ""Bicycle (129).jpg"", ""Bicycle (108).jpg"", ""Bicycle (533).jpg"", ""Bridge (77).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 3, 5, 6, 7]","[""Bicycle (249).jpg"", ""Bicycle (678).jpg"", ""Bicycle (129).jpg"", ""Bicycle (108).jpg"", ""Bicycle (533).jpg""]",728,12,10,10,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_pre,97,25,female,2026-06-19T15:24:28.279,2026-06-19T15:24:38.586,10.307,12,,Click on the images containing bicycles.,[],[],[],[],728,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
0503638ffc4841e7a0e1111abdca18e9,q_pre_captcha,97,25,female,2026-06-19T15:24:38.595,2026-06-19T15:25:03.833,25.238,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""6"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""5"", ""captcha_task_meaningfulness"": ""4""}"
0503638ffc4841e7a0e1111abdca18e9,q_pre_idaq,97,25,female,2026-06-19T15:25:03.845,2026-06-19T15:28:01.425,177.58,,,,,,,,,,,,submit,"{""idaq_27"": ""10"", ""idaq_21"": ""10"", ""idaq_14"": ""10"", ""idaq_23"": ""10"", ""idaq_22"": ""10"", ""idaq_29"": ""10"", ""idaq_17"": ""1"", ""idaq_12"": ""10"", ""idaq_11"": ""1"", ""idaq_28"": ""10"", ""idaq_6"": ""10"", ""idaq_8"": ""7"", ""idaq_4"": ""10"", ""idaq_10"": ""2"", ""idaq_2"": ""10"", ""idaq_24"": ""7"", ""idaq_18"": ""10"", ""idaq_3"": ""1"", ""idaq_20"": ""10"", ""idaq_26"": ""9"", ""idaq_9"": ""1"", ""idaq_1"": ""2"", ""idaq_13"": ""1"", ""idaq_30"": ""8"", ""idaq_7"": ""2"", ""idaq_16"": ""10"", ""idaq_5"": ""5"", ""idaq_15"": ""2"", ""idaq_19"": ""10"", ""idaq_25"": ""10""}"
0503638ffc4841e7a0e1111abdca18e9,q_pre_2050,97,25,female,2026-06-19T15:28:01.439,2026-06-19T15:29:51.176,109.737,,,,,,,,,,,,submit,"{""2050_crime"": ""10"", ""2050_school"": ""2"", ""2050_neurosurgery"": ""5"", ""2050_experiments"": ""3"", ""2050_shelters"": ""1"", ""2050_hiking"": ""9"", ""2050_other_worlds"": ""9"", ""2050_rights"": ""3"", ""2050_nursing_home"": ""2"", ""2050_mannequins"": ""9"", ""2050_rubbish_collectors"": ""10"", ""2050_police"": ""4"", ""2050_art"": ""2"", ""2050_sports"": ""3"", ""2050_flight_attendants"": ""5""}"
0503638ffc4841e7a0e1111abdca18e9,q_post_gators,97,25,female,2026-06-19T15:42:36.262,2026-06-19T15:44:44.662,128.4,,,,,,,,,,,,submit,"{""gators_9"": ""1"", ""gators_3"": ""7"", ""gators_13"": ""7"", ""gators_20"": ""7"", ""gators_12"": ""7"", ""gators_14"": ""6"", ""gators_5"": ""4"", ""gators_7"": ""1"", ""gators_16"": ""1"", ""gators_15"": ""7"", ""gators_6"": ""1"", ""gators_19"": ""6"", ""gators_17"": ""4"", ""gators_18"": ""1"", ""gators_10"": ""1"", ""gators_8"": ""1"", ""gators_2"": ""6"", ""gators_1"": ""6"", ""gators_11"": ""7"", ""gators_4"": ""7""}"
0503638ffc4841e7a0e1111abdca18e9,q_post_specific,97,25,female,2026-06-19T15:44:44.673,2026-06-19T15:45:06.052,21.379,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""7"", ""robot_friendliness"": ""7"", ""mentacy_belief"": ""1"", ""belief_confidence"": ""6"", ""robot_likeability"": ""7"", ""robot_empathy"": ""7""}"
0503638ffc4841e7a0e1111abdca18e9,captcha_post,97,25,female,2026-06-19T15:45:06.096,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
0503638ffc4841e7a0e1111abdca18e9,captcha_post,97,25,female,2026-06-19T15:45:06.113,2026-06-19T15:45:18.606,12.493,1,1,Click on the images containing bicycles.,"[""Chimney (124).jpg"", ""Hydrant (70).jpg"", ""Hydrant (24).jpg"", ""Bicycle (374).jpg"", ""Stair (951).jpg"", ""Bicycle (749).jpg"", ""Bicycle (668).jpg"", ""Bicycle (722).jpg"", ""Hydrant (87).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[3, 5, 6, 7]","[""Bicycle (374).jpg"", ""Bicycle (749).jpg"", ""Bicycle (668).jpg"", ""Bicycle (722).jpg""]",776,1,1,1000,submit,
0503638ffc4841e7a0e1111abdca18e9,captcha_post,97,25,female,2026-06-19T15:45:18.611,2026-06-19T15:45:26.621,8.01,2,1,Click on the images containing bicycles.,"[""Bicycle (673).jpg"", ""Hydrant (74).jpg"", ""Bicycle (126).jpg"", ""Bicycle (191).jpg"", ""Bicycle (678).jpg"", ""Hydrant (136).jpg"", ""Stair (331).jpg"", ""Chimney (90).jpg"", ""Bicycle (81).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 4, 8]","[""Bicycle (673).jpg"", ""Bicycle (126).jpg"", ""Bicycle (191).jpg"", ""Bicycle (678).jpg"", ""Bicycle (81).jpg""]",771,2,2,1000,submit,
