exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T08:58:26.010,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T08:58:26.039,2026-06-29T08:59:04.929,38.89,1,0,Click on the images containing bicycles.,"[""Bicycle (200).jpg"", ""Bicycle (335).jpg"", ""Bicycle (182).jpg"", ""Stair (700).jpg"", ""Bicycle (645).jpg"", ""Palm (127).jpg"", ""Bicycle (758).jpg"", ""Stair (469).jpg"", ""Hydrant (108).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 6]","[""Bicycle (200).jpg"", ""Bicycle (335).jpg"", ""Bicycle (182).jpg"", ""Bicycle (758).jpg""]",775,1,0,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T08:59:06.939,2026-06-29T08:59:21.482,14.543,2,0,Click on the images containing bicycles.,"[""Tlight (133).jpg"", ""Tlight (134).jpg"", ""Palm (81).jpg"", ""Stair (253).jpg"", ""Stair (1335).jpg"", ""Stair (418).jpg"", ""Bicycle (498).jpg"", ""Bicycle (419).jpg"", ""Bicycle (567).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 8]","[""Bicycle (498).jpg"", ""Bicycle (567).jpg""]",772,2,0,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T08:59:23.493,2026-06-29T08:59:39.706,16.213,3,1,Click on the images containing bicycles.,"[""Hydrant (37).jpg"", ""Palm (121).jpg"", ""Palm (125).jpg"", ""Bicycle (548).jpg"", ""Bicycle (695).jpg"", ""Cross (64).jpg"", ""Chimney (69).jpg"", ""Bicycle (362).jpg"", ""Stair (14).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 4, 7]","[""Bicycle (548).jpg"", ""Bicycle (695).jpg"", ""Bicycle (362).jpg""]",769,3,1,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T08:59:39.712,2026-06-29T08:59:50.416,10.704,4,1,Click on the images containing bicycles.,"[""Bicycle (712).jpg"", ""Chimney (58).jpg"", ""Bicycle (604).jpg"", ""Bus (30).jpg"", ""Palm (70).jpg"", ""Bicycle (373).jpg"", ""Bicycle (96).jpg"", ""Cross (45).jpg"", ""Bridge (29).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (712).jpg"", ""Bicycle (604).jpg"", ""Bicycle (373).jpg"", ""Bicycle (96).jpg""]",765,4,2,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T08:59:50.423,2026-06-29T09:00:14.922,24.499,5,1,Click on the images containing bicycles.,"[""Cross (70).jpg"", ""Cross (79).jpg"", ""Bicycle (184).jpg"", ""Chimney (104).jpg"", ""Bicycle (744).jpg"", ""Bridge (80).jpg"", ""Bridge (51).jpg"", ""Bicycle (43).jpg"", ""Car (33).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (184).jpg"", ""Bicycle (744).jpg"", ""Bicycle (43).jpg""]",762,5,3,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T09:00:14.926,2026-06-29T09:00:24.762,9.836,6,1,Click on the images containing bicycles.,"[""Bicycle (538).jpg"", ""Cross (81).jpg"", ""Bicycle (459).jpg"", ""Palm (83).jpg"", ""Stair (672).jpg"", ""Bicycle (472).jpg"", ""Chimney (81).jpg"", ""Palm (54).jpg"", ""Bicycle (51).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 5, 8]","[""Bicycle (538).jpg"", ""Bicycle (459).jpg"", ""Bicycle (472).jpg"", ""Bicycle (51).jpg""]",758,6,4,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T09:00:24.767,2026-06-29T09:00:32.343,7.576,7,1,Click on the images containing bicycles.,"[""Hydrant (122).jpg"", ""Tlight (138).jpg"", ""Bicycle (49).jpg"", ""Bicycle (672).jpg"", ""Chimney (14).jpg"", ""Bicycle (417).jpg"", ""Bridge (45).jpg"", ""Chimney (73).jpg"", ""Cross (31).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 5]","[""Bicycle (49).jpg"", ""Bicycle (672).jpg"", ""Bicycle (417).jpg""]",755,7,5,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T09:00:32.350,2026-06-29T09:00:39.033,6.683,8,1,Click on the images containing bicycles.,"[""Bicycle (600).jpg"", ""Bicycle (717).jpg"", ""Bridge (31).jpg"", ""Bicycle (456).jpg"", ""Chimney (118).jpg"", ""Bus (53).jpg"", ""Bicycle (113).jpg"", ""Cross (107).jpg"", ""Stair (1319).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 3, 6]","[""Bicycle (600).jpg"", ""Bicycle (717).jpg"", ""Bicycle (456).jpg"", ""Bicycle (113).jpg""]",751,8,6,10,submit,
51fdf791ec3446e99d9b0ed31790ea8e,captcha_pre,98,18,female,2026-06-29T09:00:39.039,2026-06-29T09:00:47.739,8.7,9,1,Click on the images containing bicycles.,"[""Bicycle (164).jpg"", ""Bicycle (47).jpg"", ""Bicycle (482).jpg"", ""Chimney (127).jpg"", ""Stair (363).jpg"", ""Bicycle (619).jpg"", ""Bicycle (654).jpg"", ""Stair (393).jpg"", ""Chimney (51).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 2, 5, 6]","[""Bicycle (164).jpg"", ""Bicycle (47).jpg"", ""Bicycle (482).jpg"", ""Bicycle (619).jpg"", ""Bicycle (654).jpg""]",746,9,7,10,submit,
