exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:57:05.647,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:57:05.678,2026-06-29T10:57:46.471,40.793,1,1,Click on the images containing bicycles.,"[""Hydrant (123).jpg"", ""Bicycle (707).jpg"", ""Car (136).jpg"", ""Bicycle (101).jpg"", ""Palm (119).jpg"", ""Bicycle (448).jpg"", ""Tlight (16).jpg"", ""Bicycle (559).jpg"", ""Bicycle (488).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 3, 5, 7, 8]","[""Bicycle (707).jpg"", ""Bicycle (101).jpg"", ""Bicycle (448).jpg"", ""Bicycle (559).jpg"", ""Bicycle (488).jpg""]",775,1,1,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:57:46.476,2026-06-29T10:58:13.391,26.915,2,1,Click on the images containing bicycles.,"[""Bicycle (45).jpg"", ""Bus (83).jpg"", ""Cross (38).jpg"", ""Car (116).jpg"", ""Bicycle (531).jpg"", ""Bicycle (765).jpg"", ""Bicycle (391).jpg"", ""Hydrant (32).jpg"", ""Stair (840).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 4, 5, 6]","[""Bicycle (45).jpg"", ""Bicycle (531).jpg"", ""Bicycle (765).jpg"", ""Bicycle (391).jpg""]",771,2,2,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:58:13.396,2026-06-29T10:58:25.846,12.45,3,1,Click on the images containing bicycles.,"[""Bicycle (569).jpg"", ""Bus (116).jpg"", ""Bus (112).jpg"", ""Bicycle (74).jpg"", ""Chimney (7).jpg"", ""Car (43).jpg"", ""Bicycle (203).jpg"", ""Bicycle (355).jpg"", ""Palm (125).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (569).jpg"", ""Bicycle (74).jpg"", ""Bicycle (203).jpg"", ""Bicycle (355).jpg""]",767,3,3,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:58:25.851,2026-06-29T10:58:39.550,13.699,4,1,Click on the images containing bicycles.,"[""Hydrant (107).jpg"", ""Bus (87).jpg"", ""Bicycle (468).jpg"", ""Bridge (54).jpg"", ""Bus (62).jpg"", ""Bicycle (691).jpg"", ""Chimney (13).jpg"", ""Bicycle (481).jpg"", ""Stair (408).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 5, 7]","[""Bicycle (468).jpg"", ""Bicycle (691).jpg"", ""Bicycle (481).jpg""]",764,4,4,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:58:39.556,2026-06-29T10:58:47.999,8.443,5,1,Click on the images containing bicycles.,"[""Bicycle (654).jpg"", ""Bicycle (614).jpg"", ""Bus (120).jpg"", ""Bicycle (411).jpg"", ""Bridge (121).jpg"", ""Stair (1353).jpg"", ""Stair (700).jpg"", ""Bicycle (645).jpg"", ""Bus (89).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 3, 7]","[""Bicycle (654).jpg"", ""Bicycle (614).jpg"", ""Bicycle (411).jpg"", ""Bicycle (645).jpg""]",760,5,5,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:58:48.004,2026-06-29T10:58:57.440,9.436,6,1,Click on the images containing bicycles.,"[""Bicycle (320).jpg"", ""Cross (100).jpg"", ""Bicycle (647).jpg"", ""Bicycle (634).jpg"", ""Bus (90).jpg"", ""Tlight (103).jpg"", ""Palm (97).jpg"", ""Chimney (95).jpg"", ""Palm (101).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3]","[""Bicycle (320).jpg"", ""Bicycle (647).jpg"", ""Bicycle (634).jpg""]",757,6,6,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:58:57.445,2026-06-29T10:59:11.431,13.986,7,0,Click on the images containing bicycles.,"[""Cross (54).jpg"", ""Bridge (30).jpg"", ""Bicycle (10).jpg"", ""Bicycle (213).jpg"", ""Bicycle (410).jpg"", ""Palm (17).jpg"", ""Bicycle (498).jpg"", ""Tlight (88).jpg"", ""Bicycle (519).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 4, 6, 7, 8]","[""Bicycle (10).jpg"", ""Bicycle (213).jpg"", ""Bicycle (410).jpg"", ""Bicycle (498).jpg"", ""Tlight (88).jpg"", ""Bicycle (519).jpg""]",752,7,6,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:59:13.440,2026-06-29T10:59:29.895,16.455,8,1,Click on the images containing bicycles.,"[""Bus (27).jpg"", ""Stair (116).jpg"", ""Bicycle (467).jpg"", ""Cross (69).jpg"", ""Bicycle (290).jpg"", ""Bicycle (60).jpg"", ""Chimney (12).jpg"", ""Bicycle (305).jpg"", ""Bicycle (605).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[2, 4, 5, 7, 8]","[""Bicycle (467).jpg"", ""Bicycle (290).jpg"", ""Bicycle (60).jpg"", ""Bicycle (305).jpg"", ""Bicycle (605).jpg""]",747,8,7,10,submit,
a7eaeb8e27f545dea3a9aa7dbdca372a,captcha_pre,99,26,female,2026-06-29T10:59:29.900,2026-06-29T10:59:41.000,11.1,9,1,Click on the images containing bicycles.,"[""Tlight (79).jpg"", ""Bicycle (703).jpg"", ""Bus (104).jpg"", ""Bicycle (485).jpg"", ""Hydrant (41).jpg"", ""Bicycle (205).jpg"", ""Car (115).jpg"", ""Bicycle (255).jpg"", ""Car (74).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 3, 5, 7]","[""Bicycle (703).jpg"", ""Bicycle (485).jpg"", ""Bicycle (205).jpg"", ""Bicycle (255).jpg""]",743,9,8,10,submit,
