exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:02:37.434,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:02:37.469,2026-06-29T12:03:27.648,50.179,1,0,Click on the images containing bicycles.,"[""Bicycle (107).jpg"", ""Bicycle (520).jpg"", ""Chimney (30).jpg"", ""Hydrant (61).jpg"", ""Bicycle (67).jpg"", ""Bicycle (190).jpg"", ""Bicycle (721).jpg"", ""Bridge (114).jpg"", ""Bridge (32).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 4, 5, 6]","[""Bicycle (520).jpg"", ""Bicycle (67).jpg"", ""Bicycle (190).jpg"", ""Bicycle (721).jpg""]",775,1,0,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:03:29.658,2026-06-29T12:04:04.121,34.463,2,0,Click on the images containing bicycles.,"[""Bicycle (756).jpg"", ""Stair (1388).jpg"", ""Palm (120).jpg"", ""Bicycle (390).jpg"", ""Stair (1422).jpg"", ""Hydrant (40).jpg"", ""Bus (53).jpg"", ""Bridge (38).jpg"", ""Bicycle (388).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 8]","[""Bicycle (756).jpg"", ""Bicycle (388).jpg""]",772,2,0,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:04:06.132,2026-06-29T12:04:45.912,39.78,3,1,Click on the images containing bicycles.,"[""Stair (116).jpg"", ""Bicycle (540).jpg"", ""Bicycle (69).jpg"", ""Hydrant (91).jpg"", ""Stair (889).jpg"", ""Bicycle (156).jpg"", ""Bicycle (305).jpg"", ""Bicycle (701).jpg"", ""Stair (48).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 2, 5, 6, 7]","[""Bicycle (540).jpg"", ""Bicycle (69).jpg"", ""Bicycle (156).jpg"", ""Bicycle (305).jpg"", ""Bicycle (701).jpg""]",767,3,1,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:04:45.917,2026-06-29T12:05:08.385,22.468,4,1,Click on the images containing bicycles.,"[""Bicycle (743).jpg"", ""Bicycle (207).jpg"", ""Chimney (20).jpg"", ""Stair (1456).jpg"", ""Cross (119).jpg"", ""Stair (1249).jpg"", ""Palm (128).jpg"", ""Bicycle (436).jpg"", ""Bridge (92).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (743).jpg"", ""Bicycle (207).jpg"", ""Bicycle (436).jpg""]",764,4,2,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:05:08.391,2026-06-29T12:05:27.497,19.106,5,1,Click on the images containing bicycles.,"[""Bicycle (749).jpg"", ""Car (25).jpg"", ""Tlight (100).jpg"", ""Tlight (78).jpg"", ""Tlight (58).jpg"", ""Palm (65).jpg"", ""Bicycle (570).jpg"", ""Bicycle (683).jpg"", ""Stair (981).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (749).jpg"", ""Bicycle (570).jpg"", ""Bicycle (683).jpg""]",761,5,3,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:05:27.501,2026-06-29T12:05:52.641,25.14,6,1,Click on the images containing bicycles.,"[""Bicycle (8).jpg"", ""Bicycle (566).jpg"", ""Stair (912).jpg"", ""Chimney (19).jpg"", ""Bicycle (329).jpg"", ""Cross (8).jpg"", ""Bicycle (691).jpg"", ""Tlight (96).jpg"", ""Bicycle (326).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 4, 6, 8]","[""Bicycle (8).jpg"", ""Bicycle (566).jpg"", ""Bicycle (329).jpg"", ""Bicycle (691).jpg"", ""Bicycle (326).jpg""]",756,6,4,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:05:52.646,2026-06-29T12:06:12.802,20.156,7,1,Click on the images containing bicycles.,"[""Bicycle (391).jpg"", ""Bicycle (693).jpg"", ""Bicycle (321).jpg"", ""Bridge (72).jpg"", ""Bicycle (372).jpg"", ""Cross (74).jpg"", ""Stair (439).jpg"", ""Bicycle (586).jpg"", ""Bridge (86).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 4, 7]","[""Bicycle (391).jpg"", ""Bicycle (693).jpg"", ""Bicycle (321).jpg"", ""Bicycle (372).jpg"", ""Bicycle (586).jpg""]",751,7,5,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:06:12.807,2026-06-29T12:06:30.251,17.444,8,1,Click on the images containing bicycles.,"[""Bicycle (55).jpg"", ""Car (29).jpg"", ""Car (110).jpg"", ""Tlight (68).jpg"", ""Bus (90).jpg"", ""Bicycle (230).jpg"", ""Bridge (78).jpg"", ""Bicycle (432).jpg"", ""Stair (469).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (55).jpg"", ""Bicycle (230).jpg"", ""Bicycle (432).jpg""]",748,8,6,10,submit,
2389f9c564314743a5900f16e31d8416,captcha_pre,100,36,male,2026-06-29T12:06:30.256,2026-06-29T12:06:38.909,8.653,9,1,Click on the images containing bicycles.,"[""Bicycle (551).jpg"", ""Bicycle (521).jpg"", ""Stair (840).jpg"", ""Hydrant (110).jpg"", ""Bicycle (192).jpg"", ""Bridge (61).jpg"", ""Palm (126).jpg"", ""Chimney (128).jpg"", ""Bridge (93).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (551).jpg"", ""Bicycle (521).jpg"", ""Bicycle (192).jpg""]",745,9,7,10,submit,
