exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:25:26.168,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:25:26.205,2026-07-02T11:26:02.857,36.652,1,1,Click on the images containing bicycles.,"[""Bicycle (216).jpg"", ""Bicycle (193).jpg"", ""Bicycle (280).jpg"", ""Bus (87).jpg"", ""Chimney (119).jpg"", ""Palm (133).jpg"", ""Bicycle (353).jpg"", ""Bus (27).jpg"", ""Bicycle (733).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (216).jpg"", ""Bicycle (193).jpg"", ""Bicycle (280).jpg"", ""Bicycle (353).jpg"", ""Bicycle (733).jpg""]",775,1,1,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:26:02.862,2026-07-02T11:26:19.409,16.547,2,0,Click on the images containing bicycles.,"[""Bicycle (417).jpg"", ""Stair (672).jpg"", ""Bicycle (301).jpg"", ""Bicycle (491).jpg"", ""Chimney (102).jpg"", ""Bicycle (366).jpg"", ""Chimney (100).jpg"", ""Bicycle (404).jpg"", ""Bus (67).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 3, 5, 7]","[""Bicycle (301).jpg"", ""Bicycle (491).jpg"", ""Bicycle (366).jpg"", ""Bicycle (404).jpg""]",770,2,1,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:26:21.419,2026-07-02T11:26:32.632,11.213,3,0,Click on the images containing bicycles.,"[""Cross (41).jpg"", ""Hydrant (107).jpg"", ""Tlight (74).jpg"", ""Bicycle (518).jpg"", ""Bridge (102).jpg"", ""Bicycle (113).jpg"", ""Cross (75).jpg"", ""Hydrant (24).jpg"", ""Bicycle (180).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5]","[""Bicycle (518).jpg"", ""Bicycle (113).jpg""]",767,3,1,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:26:34.642,2026-07-02T11:26:49.025,14.383,4,0,Click on the images containing bicycles.,"[""Hydrant (122).jpg"", ""Bicycle (7).jpg"", ""Cross (3).jpg"", ""Bicycle (379).jpg"", ""Bus (36).jpg"", ""Bus (106).jpg"", ""Bicycle (59).jpg"", ""Bicycle (1).jpg"", ""Bicycle (85).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 3, 6, 8]","[""Bicycle (7).jpg"", ""Bicycle (379).jpg"", ""Bicycle (59).jpg"", ""Bicycle (85).jpg""]",762,4,1,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:26:51.033,2026-07-02T11:26:58.913,7.88,5,0,Click on the images containing bicycles.,"[""Bicycle (274).jpg"", ""Tlight (47).jpg"", ""Bicycle (463).jpg"", ""Chimney (46).jpg"", ""Palm (73).jpg"", ""Bus (117).jpg"", ""Hydrant (55).jpg"", ""Cross (39).jpg"", ""Bicycle (11).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[2, 8]","[""Bicycle (463).jpg"", ""Bicycle (11).jpg""]",759,5,1,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:27:00.923,2026-07-02T11:27:10.033,9.11,6,1,Click on the images containing bicycles.,"[""Bicycle (307).jpg"", ""Car (73).jpg"", ""Stair (1012).jpg"", ""Hydrant (32).jpg"", ""Stair (1227).jpg"", ""Bicycle (129).jpg"", ""Chimney (120).jpg"", ""Bicycle (654).jpg"", ""Palm (119).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (307).jpg"", ""Bicycle (129).jpg"", ""Bicycle (654).jpg""]",756,6,2,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:27:10.038,2026-07-02T11:27:31.946,21.908,7,1,Click on the images containing bicycles.,"[""Bicycle (743).jpg"", ""Chimney (115).jpg"", ""Hydrant (81).jpg"", ""Bicycle (713).jpg"", ""Hydrant (21).jpg"", ""Bicycle (410).jpg"", ""Bridge (81).jpg"", ""Cross (9).jpg"", ""Bicycle (196).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 5, 8]","[""Bicycle (743).jpg"", ""Bicycle (713).jpg"", ""Bicycle (410).jpg"", ""Bicycle (196).jpg""]",752,7,3,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:27:31.950,2026-07-02T11:27:40.379,8.429,8,1,Click on the images containing bicycles.,"[""Car (65).jpg"", ""Palm (132).jpg"", ""Stair (109).jpg"", ""Bicycle (479).jpg"", ""Bicycle (329).jpg"", ""Stair (1377).jpg"", ""Bicycle (166).jpg"", ""Bicycle (602).jpg"", ""Bicycle (703).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T""]","[3, 4, 6, 7, 8]","[""Bicycle (479).jpg"", ""Bicycle (329).jpg"", ""Bicycle (166).jpg"", ""Bicycle (602).jpg"", ""Bicycle (703).jpg""]",747,8,4,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:27:40.384,2026-07-02T11:27:48.339,7.955,9,1,Click on the images containing bicycles.,"[""Bicycle (322).jpg"", ""Bicycle (729).jpg"", ""Bicycle (629).jpg"", ""Hydrant (109).jpg"", ""Tlight (100).jpg"", ""Bus (23).jpg"", ""Hydrant (75).jpg"", ""Stair (424).jpg"", ""Palm (123).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (322).jpg"", ""Bicycle (729).jpg"", ""Bicycle (629).jpg""]",744,9,5,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:27:48.345,2026-07-02T11:27:53.874,5.529,10,1,Click on the images containing bicycles.,"[""Cross (33).jpg"", ""Car (96).jpg"", ""Bicycle (327).jpg"", ""Bicycle (372).jpg"", ""Hydrant (35).jpg"", ""Bridge (84).jpg"", ""Bicycle (565).jpg"", ""Bus (118).jpg"", ""Bridge (23).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 6]","[""Bicycle (327).jpg"", ""Bicycle (372).jpg"", ""Bicycle (565).jpg""]",741,10,6,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:27:53.879,2026-07-02T11:28:01.202,7.323,11,1,Click on the images containing bicycles.,"[""Stair (1240).jpg"", ""Car (84).jpg"", ""Bus (128).jpg"", ""Car (99).jpg"", ""Bicycle (560).jpg"", ""Bicycle (395).jpg"", ""Bicycle (574).jpg"", ""Chimney (50).jpg"", ""Tlight (109).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (560).jpg"", ""Bicycle (395).jpg"", ""Bicycle (574).jpg""]",738,11,7,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:28:01.207,2026-07-02T11:28:11.428,10.221,12,1,Click on the images containing bicycles.,"[""Stair (1060).jpg"", ""Bicycle (264).jpg"", ""Bicycle (223).jpg"", ""Stair (1457).jpg"", ""Bridge (118).jpg"", ""Bicycle (474).jpg"", ""Hydrant (133).jpg"", ""Bicycle (558).jpg"", ""Bicycle (436).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 2, 5, 7, 8]","[""Bicycle (264).jpg"", ""Bicycle (223).jpg"", ""Bicycle (474).jpg"", ""Bicycle (558).jpg"", ""Bicycle (436).jpg""]",733,12,8,10,submit,
846efc72e21e4402b3c5638b28a00e7c,captcha_pre,101,22,female,2026-07-02T11:28:11.434,2026-07-02T11:28:18.377,6.943,13,1,Click on the images containing bicycles.,"[""Tlight (11).jpg"", ""Tlight (59).jpg"", ""Palm (127).jpg"", ""Bus (94).jpg"", ""Bicycle (437).jpg"", ""Palm (113).jpg"", ""Car (49).jpg"", ""Bicycle (573).jpg"", ""Bicycle (492).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (437).jpg"", ""Bicycle (573).jpg"", ""Bicycle (492).jpg""]",730,13,9,10,submit,
