exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:04:03.364,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:04:03.396,2026-07-03T13:04:49.882,46.486,1,1,Click on the images containing bicycles.,"[""Bicycle (137).jpg"", ""Hydrant (70).jpg"", ""Bicycle (727).jpg"", ""Palm (75).jpg"", ""Bicycle (409).jpg"", ""Chimney (126).jpg"", ""Tlight (54).jpg"", ""Chimney (105).jpg"", ""Palm (53).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (137).jpg"", ""Bicycle (727).jpg"", ""Bicycle (409).jpg""]",777,1,1,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:04:49.888,2026-07-03T13:05:09.380,19.492,2,1,Click on the images containing bicycles.,"[""Cross (84).jpg"", ""Car (45).jpg"", ""Bicycle (116).jpg"", ""Bicycle (54).jpg"", ""Bicycle (411).jpg"", ""Chimney (96).jpg"", ""Bicycle (667).jpg"", ""Bridge (80).jpg"", ""Bicycle (654).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 4, 6, 8]","[""Bicycle (116).jpg"", ""Bicycle (54).jpg"", ""Bicycle (411).jpg"", ""Bicycle (667).jpg"", ""Bicycle (654).jpg""]",772,2,2,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:05:09.385,2026-07-03T13:05:31.698,22.313,3,1,Click on the images containing bicycles.,"[""Bicycle (102).jpg"", ""Bicycle (472).jpg"", ""Palm (66).jpg"", ""Chimney (76).jpg"", ""Palm (112).jpg"", ""Bicycle (396).jpg"", ""Bicycle (254).jpg"", ""Bridge (70).jpg"", ""Hydrant (46).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 5, 6]","[""Bicycle (102).jpg"", ""Bicycle (472).jpg"", ""Bicycle (396).jpg"", ""Bicycle (254).jpg""]",768,3,3,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:05:31.703,2026-07-03T13:05:40.778,9.075,4,1,Click on the images containing bicycles.,"[""Chimney (41).jpg"", ""Hydrant (86).jpg"", ""Palm (59).jpg"", ""Hydrant (132).jpg"", ""Palm (13).jpg"", ""Bicycle (58).jpg"", ""Bicycle (431).jpg"", ""Palm (51).jpg"", ""Bicycle (288).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (58).jpg"", ""Bicycle (431).jpg"", ""Bicycle (288).jpg""]",765,4,4,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:05:40.784,2026-07-03T13:05:52.109,11.325,5,1,Click on the images containing bicycles.,"[""Bicycle (563).jpg"", ""Stair (383).jpg"", ""Bicycle (544).jpg"", ""Car (67).jpg"", ""Bicycle (564).jpg"", ""Cross (24).jpg"", ""Hydrant (24).jpg"", ""Tlight (118).jpg"", ""Bicycle (526).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 4, 8]","[""Bicycle (563).jpg"", ""Bicycle (544).jpg"", ""Bicycle (564).jpg"", ""Bicycle (526).jpg""]",761,5,5,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:05:52.115,2026-07-03T13:06:06.410,14.295,6,1,Click on the images containing bicycles.,"[""Bus (140).jpg"", ""Bicycle (772).jpg"", ""Bicycle (696).jpg"", ""Car (75).jpg"", ""Hydrant (31).jpg"", ""Hydrant (114).jpg"", ""Bicycle (85).jpg"", ""Bicycle (233).jpg"", ""Bicycle (600).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 6, 7, 8]","[""Bicycle (772).jpg"", ""Bicycle (696).jpg"", ""Bicycle (85).jpg"", ""Bicycle (233).jpg"", ""Bicycle (600).jpg""]",756,6,6,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:06:06.416,2026-07-03T13:06:16.548,10.132,7,1,Click on the images containing bicycles.,"[""Palm (113).jpg"", ""Bicycle (161).jpg"", ""Cross (31).jpg"", ""Car (123).jpg"", ""Bicycle (258).jpg"", ""Bus (42).jpg"", ""Stair (1286).jpg"", ""Bicycle (376).jpg"", ""Hydrant (56).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 4, 7]","[""Bicycle (161).jpg"", ""Bicycle (258).jpg"", ""Bicycle (376).jpg""]",753,7,7,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:06:16.553,2026-07-03T13:06:32.267,15.714,8,0,Click on the images containing bicycles.,"[""Bicycle (125).jpg"", ""Bicycle (369).jpg"", ""Bus (43).jpg"", ""Stair (793).jpg"", ""Bus (106).jpg"", ""Palm (76).jpg"", ""Bicycle (735).jpg"", ""Stair (1319).jpg"", ""Bicycle (551).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (125).jpg"", ""Bicycle (369).jpg"", ""Bicycle (551).jpg""]",749,8,7,10,submit,
07dd2d8b11c14d899c947ce60d0acebf,captcha_pre,101,40,female,2026-07-03T13:06:34.275,2026-07-03T13:06:47.299,13.024,9,1,Click on the images containing bicycles.,"[""Chimney (12).jpg"", ""Bicycle (159).jpg"", ""Chimney (29).jpg"", ""Bicycle (361).jpg"", ""Chimney (91).jpg"", ""Bicycle (749).jpg"", ""Stair (912).jpg"", ""Bicycle (492).jpg"", ""Bicycle (122).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 3, 5, 7, 8]","[""Bicycle (159).jpg"", ""Bicycle (361).jpg"", ""Bicycle (749).jpg"", ""Bicycle (492).jpg"", ""Bicycle (122).jpg""]",744,9,8,10,submit,
