exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:02:37.801,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:02:37.828,2026-07-07T09:03:01.478,23.65,1,0,Click on the images containing bicycles.,"[""Bicycle (693).jpg"", ""Bicycle (45).jpg"", ""Bicycle (403).jpg"", ""Bus (106).jpg"", ""Car (38).jpg"", ""Bicycle (19).jpg"", ""Cross (102).jpg"", ""Hydrant (133).jpg"", ""Chimney (108).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (693).jpg"", ""Bicycle (45).jpg"", ""Bicycle (19).jpg""]",776,1,0,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:03:03.486,2026-07-07T09:03:12.840,9.354,2,1,Click on the images containing bicycles.,"[""Bridge (36).jpg"", ""Bus (45).jpg"", ""Bicycle (377).jpg"", ""Chimney (30).jpg"", ""Bicycle (139).jpg"", ""Bicycle (343).jpg"", ""Hydrant (118).jpg"", ""Bicycle (331).jpg"", ""Stair (1237).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 4, 5, 7]","[""Bicycle (377).jpg"", ""Bicycle (139).jpg"", ""Bicycle (343).jpg"", ""Bicycle (331).jpg""]",772,2,1,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:03:12.846,2026-07-07T09:03:24.254,11.408,3,1,Click on the images containing bicycles.,"[""Bus (108).jpg"", ""Bus (89).jpg"", ""Bicycle (102).jpg"", ""Bicycle (12).jpg"", ""Bicycle (231).jpg"", ""Bicycle (774).jpg"", ""Car (139).jpg"", ""Car (49).jpg"", ""Bicycle (715).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 4, 5, 8]","[""Bicycle (102).jpg"", ""Bicycle (12).jpg"", ""Bicycle (231).jpg"", ""Bicycle (774).jpg"", ""Bicycle (715).jpg""]",767,3,2,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:03:24.259,2026-07-07T09:03:38.398,14.139,4,1,Click on the images containing bicycles.,"[""Bicycle (158).jpg"", ""Hydrant (60).jpg"", ""Hydrant (40).jpg"", ""Bicycle (17).jpg"", ""Bus (48).jpg"", ""Stair (874).jpg"", ""Chimney (74).jpg"", ""Cross (47).jpg"", ""Bicycle (766).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (158).jpg"", ""Bicycle (17).jpg"", ""Bicycle (766).jpg""]",764,4,3,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:03:38.404,2026-07-07T09:03:57.199,18.795,5,1,Click on the images containing bicycles.,"[""Bicycle (506).jpg"", ""Bus (114).jpg"", ""Hydrant (59).jpg"", ""Bicycle (714).jpg"", ""Car (37).jpg"", ""Tlight (136).jpg"", ""Chimney (92).jpg"", ""Bicycle (247).jpg"", ""Bicycle (113).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (506).jpg"", ""Bicycle (714).jpg"", ""Bicycle (247).jpg"", ""Bicycle (113).jpg""]",760,5,4,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:03:57.205,2026-07-07T09:04:14.247,17.042,6,1,Click on the images containing bicycles.,"[""Tlight (111).jpg"", ""Bicycle (53).jpg"", ""Bicycle (397).jpg"", ""Bicycle (498).jpg"", ""Bicycle (644).jpg"", ""Palm (98).jpg"", ""Bus (68).jpg"", ""Bicycle (409).jpg"", ""Chimney (114).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 4, 7]","[""Bicycle (53).jpg"", ""Bicycle (397).jpg"", ""Bicycle (498).jpg"", ""Bicycle (644).jpg"", ""Bicycle (409).jpg""]",755,6,5,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:04:14.252,2026-07-07T09:04:23.319,9.067,7,0,Click on the images containing bicycles.,"[""Bicycle (685).jpg"", ""Bicycle (538).jpg"", ""Chimney (91).jpg"", ""Bicycle (199).jpg"", ""Tlight (116).jpg"", ""Stair (717).jpg"", ""Bicycle (740).jpg"", ""Cross (3).jpg"", ""Bridge (132).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (685).jpg"", ""Bicycle (538).jpg"", ""Bicycle (740).jpg""]",751,7,5,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:04:25.329,2026-07-07T09:04:39.607,14.278,8,1,Click on the images containing bicycles.,"[""Tlight (90).jpg"", ""Chimney (118).jpg"", ""Bicycle (67).jpg"", ""Hydrant (83).jpg"", ""Bicycle (722).jpg"", ""Bicycle (8).jpg"", ""Bicycle (525).jpg"", ""Bus (44).jpg"", ""Bicycle (83).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (67).jpg"", ""Bicycle (722).jpg"", ""Bicycle (8).jpg"", ""Bicycle (525).jpg"", ""Bicycle (83).jpg""]",746,8,6,10,submit,
87d85fdb81a34e5fb43c540288216aaf,captcha_pre,102,18,female,2026-07-07T09:04:39.612,2026-07-07T09:04:52.815,13.203,9,1,Click on the images containing bicycles.,"[""Tlight (76).jpg"", ""Cross (79).jpg"", ""Bicycle (615).jpg"", ""Bicycle (10).jpg"", ""Bicycle (641).jpg"", ""Chimney (63).jpg"", ""Hydrant (69).jpg"", ""Bridge (41).jpg"", ""Bicycle (620).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 4, 8]","[""Bicycle (615).jpg"", ""Bicycle (10).jpg"", ""Bicycle (641).jpg"", ""Bicycle (620).jpg""]",742,9,7,10,submit,
