exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:50:36.930,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:50:36.956,2026-07-08T09:51:21.137,44.181,1,1,Click on the images containing bicycles.,"[""Tlight (4).jpg"", ""Bus (77).jpg"", ""Bicycle (90).jpg"", ""Stair (1458).jpg"", ""Stair (1249).jpg"", ""Stair (208).jpg"", ""Bicycle (673).jpg"", ""Bicycle (29).jpg"", ""Cross (119).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 6, 7]","[""Bicycle (90).jpg"", ""Bicycle (673).jpg"", ""Bicycle (29).jpg""]",777,1,1,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:51:21.142,2026-07-08T09:51:33.663,12.521,2,1,Click on the images containing bicycles.,"[""Car (101).jpg"", ""Stair (1377).jpg"", ""Cross (94).jpg"", ""Bicycle (492).jpg"", ""Bicycle (85).jpg"", ""Bridge (128).jpg"", ""Bicycle (262).jpg"", ""Hydrant (125).jpg"", ""Bridge (101).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 4, 6]","[""Bicycle (492).jpg"", ""Bicycle (85).jpg"", ""Bicycle (262).jpg""]",774,2,2,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:51:33.672,2026-07-08T09:51:43.224,9.552,3,1,Click on the images containing bicycles.,"[""Hydrant (24).jpg"", ""Bicycle (128).jpg"", ""Palm (124).jpg"", ""Cross (38).jpg"", ""Hydrant (119).jpg"", ""Car (58).jpg"", ""Bridge (95).jpg"", ""Bicycle (465).jpg"", ""Bicycle (204).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 7, 8]","[""Bicycle (128).jpg"", ""Bicycle (465).jpg"", ""Bicycle (204).jpg""]",771,3,3,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:51:43.229,2026-07-08T09:51:49.471,6.242,4,1,Click on the images containing bicycles.,"[""Bicycle (572).jpg"", ""Bicycle (91).jpg"", ""Tlight (107).jpg"", ""Chimney (108).jpg"", ""Tlight (55).jpg"", ""Cross (115).jpg"", ""Car (69).jpg"", ""Bus (75).jpg"", ""Bicycle (209).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (572).jpg"", ""Bicycle (91).jpg"", ""Bicycle (209).jpg""]",768,4,4,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:51:49.476,2026-07-08T09:51:57.728,8.252,5,1,Click on the images containing bicycles.,"[""Bicycle (162).jpg"", ""Bicycle (174).jpg"", ""Bridge (85).jpg"", ""Car (85).jpg"", ""Bicycle (260).jpg"", ""Tlight (98).jpg"", ""Bicycle (558).jpg"", ""Cross (107).jpg"", ""Chimney (111).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 4, 6]","[""Bicycle (162).jpg"", ""Bicycle (174).jpg"", ""Bicycle (260).jpg"", ""Bicycle (558).jpg""]",764,5,5,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:51:57.733,2026-07-08T09:52:11.424,13.691,6,0,Click on the images containing bicycles.,"[""Bicycle (130).jpg"", ""Bicycle (731).jpg"", ""Bus (71).jpg"", ""Stair (594).jpg"", ""Bicycle (58).jpg"", ""Bus (127).jpg"", ""Bicycle (766).jpg"", ""Bus (111).jpg"", ""Bicycle (139).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 4, 6, 8]","[""Bicycle (130).jpg"", ""Bicycle (58).jpg"", ""Bicycle (766).jpg"", ""Bicycle (139).jpg""]",759,6,5,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:52:13.431,2026-07-08T09:52:20.695,7.264,7,1,Click on the images containing bicycles.,"[""Bicycle (411).jpg"", ""Bicycle (609).jpg"", ""Bus (118).jpg"", ""Stair (951).jpg"", ""Hydrant (94).jpg"", ""Chimney (128).jpg"", ""Bicycle (427).jpg"", ""Bicycle (278).jpg"", ""Tlight (48).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (411).jpg"", ""Bicycle (609).jpg"", ""Bicycle (427).jpg"", ""Bicycle (278).jpg""]",755,7,6,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:52:20.701,2026-07-08T09:52:30.743,10.042,8,1,Click on the images containing bicycles.,"[""Bicycle (767).jpg"", ""Bridge (46).jpg"", ""Chimney (55).jpg"", ""Bicycle (66).jpg"", ""Bicycle (63).jpg"", ""Bicycle (340).jpg"", ""Palm (73).jpg"", ""Car (98).jpg"", ""Bicycle (179).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 4, 5, 8]","[""Bicycle (767).jpg"", ""Bicycle (66).jpg"", ""Bicycle (63).jpg"", ""Bicycle (340).jpg"", ""Bicycle (179).jpg""]",750,8,7,10,submit,
54c0bc6aeb364c928a0a270057f5bdbb,captcha_pre,103,21,male,2026-07-08T09:52:30.748,2026-07-08T09:52:37.296,6.548,9,1,Click on the images containing bicycles.,"[""Tlight (138).jpg"", ""Bicycle (32).jpg"", ""Bicycle (97).jpg"", ""Bicycle (501).jpg"", ""Tlight (73).jpg"", ""Hydrant (51).jpg"", ""Bus (63).jpg"", ""Bridge (70).jpg"", ""Bicycle (151).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3, 8]","[""Bicycle (32).jpg"", ""Bicycle (97).jpg"", ""Bicycle (501).jpg"", ""Bicycle (151).jpg""]",746,9,8,10,submit,
