exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T07:59:10.113,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T07:59:10.139,2026-09-11T07:59:45.712,35.573,1,1,Click on the images containing bicycles.,"[""Hydrant (99).jpg"", ""Bicycle (131).jpg"", ""Bicycle (632).jpg"", ""Bicycle (40).jpg"", ""Bicycle (504).jpg"", ""Hydrant (86).jpg"", ""Car (91).jpg"", ""Bicycle (86).jpg"", ""Stair (945).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 4, 7]","[""Bicycle (131).jpg"", ""Bicycle (632).jpg"", ""Bicycle (40).jpg"", ""Bicycle (504).jpg"", ""Bicycle (86).jpg""]",775,1,1,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T07:59:45.718,2026-09-11T07:59:54.072,8.354,2,1,Click on the images containing bicycles.,"[""Bicycle (625).jpg"", ""Bus (83).jpg"", ""Bicycle (116).jpg"", ""Bicycle (419).jpg"", ""Bridge (134).jpg"", ""Bridge (110).jpg"", ""Tlight (86).jpg"", ""Bicycle (732).jpg"", ""Cross (36).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 7]","[""Bicycle (625).jpg"", ""Bicycle (116).jpg"", ""Bicycle (419).jpg"", ""Bicycle (732).jpg""]",771,2,2,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T07:59:54.076,2026-09-11T08:00:03.847,9.771,3,1,Click on the images containing bicycles.,"[""Bicycle (533).jpg"", ""Bicycle (141).jpg"", ""Car (108).jpg"", ""Bicycle (544).jpg"", ""Chimney (9).jpg"", ""Bicycle (150).jpg"", ""Stair (421).jpg"", ""Bicycle (461).jpg"", ""Palm (102).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 3, 5, 7]","[""Bicycle (533).jpg"", ""Bicycle (141).jpg"", ""Bicycle (544).jpg"", ""Bicycle (150).jpg"", ""Bicycle (461).jpg""]",766,3,3,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T08:00:03.852,2026-09-11T08:00:11.440,7.588,4,1,Click on the images containing bicycles.,"[""Bicycle (390).jpg"", ""Car (126).jpg"", ""Bridge (51).jpg"", ""Hydrant (108).jpg"", ""Bicycle (96).jpg"", ""Bicycle (403).jpg"", ""Bicycle (275).jpg"", ""Chimney (71).jpg"", ""Hydrant (21).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 4, 5, 6]","[""Bicycle (390).jpg"", ""Bicycle (96).jpg"", ""Bicycle (403).jpg"", ""Bicycle (275).jpg""]",762,4,4,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T08:00:11.444,2026-09-11T08:00:22.519,11.075,5,1,Click on the images containing bicycles.,"[""Bicycle (615).jpg"", ""Chimney (92).jpg"", ""Car (54).jpg"", ""Car (85).jpg"", ""Car (122).jpg"", ""Bicycle (45).jpg"", ""Bus (105).jpg"", ""Bicycle (375).jpg"", ""Bicycle (554).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (615).jpg"", ""Bicycle (45).jpg"", ""Bicycle (375).jpg"", ""Bicycle (554).jpg""]",758,5,5,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T08:00:22.523,2026-09-11T08:00:35.760,13.237,6,1,Click on the images containing bicycles.,"[""Bicycle (492).jpg"", ""Bicycle (655).jpg"", ""Bicycle (637).jpg"", ""Stair (312).jpg"", ""Stair (793).jpg"", ""Bicycle (512).jpg"", ""Bicycle (360).jpg"", ""Tlight (102).jpg"", ""Cross (22).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 2, 5, 6]","[""Bicycle (492).jpg"", ""Bicycle (655).jpg"", ""Bicycle (637).jpg"", ""Bicycle (512).jpg"", ""Bicycle (360).jpg""]",753,6,6,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T08:00:35.766,2026-09-11T08:00:43.648,7.882,7,1,Click on the images containing bicycles.,"[""Bicycle (219).jpg"", ""Cross (93).jpg"", ""Bicycle (435).jpg"", ""Bicycle (28).jpg"", ""Bicycle (719).jpg"", ""Tlight (138).jpg"", ""Stair (1060).jpg"", ""Stair (58).jpg"", ""Bicycle (690).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 4, 8]","[""Bicycle (219).jpg"", ""Bicycle (435).jpg"", ""Bicycle (28).jpg"", ""Bicycle (719).jpg"", ""Bicycle (690).jpg""]",748,7,7,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T08:00:43.652,2026-09-11T08:00:55.992,12.34,8,1,Click on the images containing bicycles.,"[""Bicycle (239).jpg"", ""Tlight (42).jpg"", ""Stair (439).jpg"", ""Bicycle (564).jpg"", ""Bicycle (380).jpg"", ""Bridge (120).jpg"", ""Bicycle (707).jpg"", ""Cross (101).jpg"", ""Bicycle (306).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 4, 6, 8]","[""Bicycle (239).jpg"", ""Bicycle (564).jpg"", ""Bicycle (380).jpg"", ""Bicycle (707).jpg"", ""Bicycle (306).jpg""]",743,8,8,10,submit,
28536282559c41af816f7b628833558e,captcha_pre,201,29,male,2026-09-11T08:00:55.997,2026-09-11T08:01:04.056,8.059,9,1,Click on the images containing bicycles.,"[""Bicycle (2).jpg"", ""Bicycle (603).jpg"", ""Bus (109).jpg"", ""Palm (108).jpg"", ""Bicycle (436).jpg"", ""Hydrant (111).jpg"", ""Bicycle (192).jpg"", ""Palm (103).jpg"", ""Bicycle (305).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 4, 6, 8]","[""Bicycle (2).jpg"", ""Bicycle (603).jpg"", ""Bicycle (436).jpg"", ""Bicycle (192).jpg"", ""Bicycle (305).jpg""]",738,9,9,10,submit,
