exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T11:59:36.167,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T11:59:36.191,2026-03-30T12:00:22.794,46.603,1,1,Click on the images containing bicycles.,"[""Bicycle (24).jpg"", ""Bicycle (733).jpg"", ""Bicycle (222).jpg"", ""Cross (74).jpg"", ""Tlight (55).jpg"", ""Bicycle (444).jpg"", ""Bridge (61).jpg"", ""Bridge (138).jpg"", ""Bicycle (638).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 2, 5, 8]","[""Bicycle (24).jpg"", ""Bicycle (733).jpg"", ""Bicycle (222).jpg"", ""Bicycle (444).jpg"", ""Bicycle (638).jpg""]",775,1,1,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:00:22.800,2026-03-30T12:00:37.953,15.153,2,1,Click on the images containing bicycles.,"[""Bicycle (687).jpg"", ""Bicycle (719).jpg"", ""Bicycle (95).jpg"", ""Tlight (138).jpg"", ""Chimney (18).jpg"", ""Tlight (54).jpg"", ""Car (59).jpg"", ""Bicycle (284).jpg"", ""Bicycle (351).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 2, 7, 8]","[""Bicycle (687).jpg"", ""Bicycle (719).jpg"", ""Bicycle (95).jpg"", ""Bicycle (284).jpg"", ""Bicycle (351).jpg""]",770,2,2,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:00:37.960,2026-03-30T12:00:49.737,11.777,3,1,Click on the images containing bicycles.,"[""Palm (67).jpg"", ""Bus (137).jpg"", ""Bicycle (244).jpg"", ""Palm (104).jpg"", ""Bus (80).jpg"", ""Stair (749).jpg"", ""Tlight (67).jpg"", ""Bicycle (310).jpg"", ""Bicycle (537).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (244).jpg"", ""Bicycle (310).jpg"", ""Bicycle (537).jpg""]",767,3,3,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:00:49.743,2026-03-30T12:01:07.729,17.986,4,1,Click on the images containing bicycles.,"[""Bicycle (271).jpg"", ""Hydrant (120).jpg"", ""Bicycle (664).jpg"", ""Bicycle (597).jpg"", ""Palm (130).jpg"", ""Cross (120).jpg"", ""Bicycle (428).jpg"", ""Bus (101).jpg"", ""Tlight (78).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (271).jpg"", ""Bicycle (664).jpg"", ""Bicycle (597).jpg"", ""Bicycle (428).jpg""]",763,4,4,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:01:07.736,2026-03-30T12:01:23.313,15.577,5,1,Click on the images containing bicycles.,"[""Stair (1463).jpg"", ""Bicycle (598).jpg"", ""Palm (63).jpg"", ""Tlight (88).jpg"", ""Bicycle (434).jpg"", ""Cross (16).jpg"", ""Bus (74).jpg"", ""Car (129).jpg"", ""Bicycle (625).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 4, 8]","[""Bicycle (598).jpg"", ""Bicycle (434).jpg"", ""Bicycle (625).jpg""]",760,5,5,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:01:23.319,2026-03-30T12:01:40.153,16.834,6,0,Click on the images containing bicycles.,"[""Bus (103).jpg"", ""Chimney (25).jpg"", ""Tlight (118).jpg"", ""Tlight (137).jpg"", ""Bicycle (675).jpg"", ""Tlight (127).jpg"", ""Bus (61).jpg"", ""Bicycle (405).jpg"", ""Bicycle (368).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 4, 7, 8]","[""Bus (103).jpg"", ""Bicycle (675).jpg"", ""Bicycle (405).jpg"", ""Bicycle (368).jpg""]",757,6,5,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:01:42.162,2026-03-30T12:01:58.481,16.319,7,1,Click on the images containing bicycles.,"[""Bicycle (741).jpg"", ""Car (97).jpg"", ""Bicycle (78).jpg"", ""Bicycle (248).jpg"", ""Bicycle (327).jpg"", ""Palm (44).jpg"", ""Chimney (84).jpg"", ""Cross (65).jpg"", ""Tlight (65).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3, 4]","[""Bicycle (741).jpg"", ""Bicycle (78).jpg"", ""Bicycle (248).jpg"", ""Bicycle (327).jpg""]",753,7,6,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:01:58.488,2026-03-30T12:02:10.792,12.304,8,1,Click on the images containing bicycles.,"[""Chimney (113).jpg"", ""Tlight (66).jpg"", ""Car (30).jpg"", ""Bicycle (216).jpg"", ""Bicycle (711).jpg"", ""Bicycle (630).jpg"", ""Cross (102).jpg"", ""Bicycle (657).jpg"", ""Tlight (19).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[3, 4, 5, 7]","[""Bicycle (216).jpg"", ""Bicycle (711).jpg"", ""Bicycle (630).jpg"", ""Bicycle (657).jpg""]",749,8,7,10,submit,
31fba82c3fd14c3199dc4c1d46ad63db,captcha_pre,202,18,female,2026-03-30T12:02:10.799,2026-03-30T12:02:19.817,9.018,9,1,Click on the images containing bicycles.,"[""Bicycle (348).jpg"", ""Bicycle (668).jpg"", ""Cross (96).jpg"", ""Bicycle (659).jpg"", ""Tlight (70).jpg"", ""Palm (4).jpg"", ""Cross (44).jpg"", ""Cross (18).jpg"", ""Bus (46).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (348).jpg"", ""Bicycle (668).jpg"", ""Bicycle (659).jpg""]",746,9,8,10,submit,
