exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:54:37.633,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:54:37.661,2026-09-11T08:55:12.474,34.813,1,1,Click on the images containing bicycles.,"[""Bridge (84).jpg"", ""Bicycle (370).jpg"", ""Palm (123).jpg"", ""Palm (119).jpg"", ""Tlight (61).jpg"", ""Bicycle (738).jpg"", ""Bridge (117).jpg"", ""Stair (1416).jpg"", ""Bicycle (42).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (370).jpg"", ""Bicycle (738).jpg"", ""Bicycle (42).jpg""]",777,1,1,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:55:12.479,2026-09-11T08:55:24.403,11.924,2,1,Click on the images containing bicycles.,"[""Car (114).jpg"", ""Tlight (114).jpg"", ""Bus (99).jpg"", ""Bicycle (700).jpg"", ""Bicycle (772).jpg"", ""Bicycle (351).jpg"", ""Bus (75).jpg"", ""Bicycle (84).jpg"", ""Car (60).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[3, 4, 5, 7]","[""Bicycle (700).jpg"", ""Bicycle (772).jpg"", ""Bicycle (351).jpg"", ""Bicycle (84).jpg""]",773,2,2,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:55:24.408,2026-09-11T08:55:32.891,8.483,3,1,Click on the images containing bicycles.,"[""Tlight (130).jpg"", ""Bicycle (559).jpg"", ""Hydrant (57).jpg"", ""Bicycle (471).jpg"", ""Palm (50).jpg"", ""Bicycle (262).jpg"", ""Tlight (131).jpg"", ""Cross (117).jpg"", ""Bicycle (24).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 5, 8]","[""Bicycle (559).jpg"", ""Bicycle (471).jpg"", ""Bicycle (262).jpg"", ""Bicycle (24).jpg""]",769,3,3,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:55:32.895,2026-09-11T08:55:43.907,11.012,4,1,Click on the images containing bicycles.,"[""Bicycle (305).jpg"", ""Bicycle (640).jpg"", ""Bicycle (43).jpg"", ""Chimney (9).jpg"", ""Bicycle (715).jpg"", ""Car (91).jpg"", ""Cross (9).jpg"", ""Bicycle (403).jpg"", ""Cross (67).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 4, 7]","[""Bicycle (305).jpg"", ""Bicycle (640).jpg"", ""Bicycle (43).jpg"", ""Bicycle (715).jpg"", ""Bicycle (403).jpg""]",764,4,4,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:55:43.912,2026-09-11T08:55:55.490,11.578,5,1,Click on the images containing bicycles.,"[""Cross (56).jpg"", ""Chimney (61).jpg"", ""Tlight (91).jpg"", ""Bicycle (177).jpg"", ""Tlight (76).jpg"", ""Bicycle (758).jpg"", ""Bicycle (340).jpg"", ""Car (25).jpg"", ""Bicycle (453).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[3, 5, 6, 8]","[""Bicycle (177).jpg"", ""Bicycle (758).jpg"", ""Bicycle (340).jpg"", ""Bicycle (453).jpg""]",760,5,5,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:55:55.495,2026-09-11T08:56:06.722,11.227,6,0,Click on the images containing bicycles.,"[""Tlight (118).jpg"", ""Bicycle (735).jpg"", ""Bicycle (99).jpg"", ""Bicycle (496).jpg"", ""Tlight (103).jpg"", ""Bus (42).jpg"", ""Hydrant (59).jpg"", ""Bridge (125).jpg"", ""Bicycle (442).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3]","[""Bicycle (735).jpg"", ""Bicycle (99).jpg"", ""Bicycle (496).jpg""]",756,6,5,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:56:08.731,2026-09-11T08:56:16.194,7.463,7,1,Click on the images containing bicycles.,"[""Cross (6).jpg"", ""Cross (79).jpg"", ""Bicycle (428).jpg"", ""Palm (8).jpg"", ""Bus (21).jpg"", ""Palm (100).jpg"", ""Palm (59).jpg"", ""Bicycle (224).jpg"", ""Bicycle (419).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (428).jpg"", ""Bicycle (224).jpg"", ""Bicycle (419).jpg""]",753,7,6,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:56:16.199,2026-09-11T08:56:26.418,10.219,8,0,Click on the images containing bicycles.,"[""Bicycle (651).jpg"", ""Bicycle (268).jpg"", ""Bicycle (628).jpg"", ""Bicycle (54).jpg"", ""Bridge (104).jpg"", ""Chimney (40).jpg"", ""Bicycle (692).jpg"", ""Chimney (10).jpg"", ""Palm (137).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (651).jpg"", ""Bicycle (268).jpg"", ""Bicycle (628).jpg"", ""Bicycle (54).jpg""]",748,8,6,10,submit,
e9e46da2a58b4ba7ab41655a0cd2b216,captcha_pre,202,22,male,2026-09-11T08:56:28.427,2026-09-11T08:56:35.467,7.04,9,0,Click on the images containing bicycles.,"[""Bicycle (611).jpg"", ""Chimney (122).jpg"", ""Chimney (74).jpg"", ""Bridge (121).jpg"", ""Cross (35).jpg"", ""Bicycle (36).jpg"", ""Bicycle (213).jpg"", ""Bicycle (649).jpg"", ""Bicycle (456).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (611).jpg"", ""Bicycle (36).jpg"", ""Bicycle (649).jpg"", ""Bicycle (456).jpg""]",743,9,6,10,submit,
