exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:00:45.786,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:00:45.817,2026-09-12T09:01:34.150,48.333,1,0,Click on the images containing bicycles.,"[""Bicycle (110).jpg"", ""Bus (59).jpg"", ""Chimney (58).jpg"", ""Bicycle (553).jpg"", ""Stair (981).jpg"", ""Bicycle (180).jpg"", ""Car (136).jpg"", ""Tlight (8).jpg"", ""Tlight (11).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 3]","[""Bicycle (110).jpg"", ""Bicycle (553).jpg""]",777,1,0,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:01:36.159,2026-09-12T09:01:53.845,17.686,2,1,Click on the images containing bicycles.,"[""Bicycle (710).jpg"", ""Palm (5).jpg"", ""Bicycle (463).jpg"", ""Car (78).jpg"", ""Cross (3).jpg"", ""Bicycle (241).jpg"", ""Bicycle (299).jpg"", ""Bus (49).jpg"", ""Bus (96).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (710).jpg"", ""Bicycle (463).jpg"", ""Bicycle (241).jpg"", ""Bicycle (299).jpg""]",773,2,1,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:01:53.850,2026-09-12T09:02:07.284,13.434,3,0,Click on the images containing bicycles.,"[""Tlight (47).jpg"", ""Bicycle (346).jpg"", ""Bicycle (48).jpg"", ""Bicycle (457).jpg"", ""Hydrant (127).jpg"", ""Bicycle (160).jpg"", ""Car (106).jpg"", ""Bicycle (134).jpg"", ""Chimney (113).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 3, 7]","[""Bicycle (346).jpg"", ""Bicycle (48).jpg"", ""Bicycle (457).jpg"", ""Bicycle (134).jpg""]",768,3,1,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:02:09.294,2026-09-12T09:02:26.533,17.239,4,1,Click on the images containing bicycles.,"[""Bicycle (620).jpg"", ""Bicycle (634).jpg"", ""Chimney (14).jpg"", ""Bridge (85).jpg"", ""Stair (243).jpg"", ""Bicycle (612).jpg"", ""Car (41).jpg"", ""Bus (90).jpg"", ""Bus (26).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (620).jpg"", ""Bicycle (634).jpg"", ""Bicycle (612).jpg""]",765,4,2,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:02:26.537,2026-09-12T09:02:35.278,8.741,5,1,Click on the images containing bicycles.,"[""Bicycle (490).jpg"", ""Chimney (109).jpg"", ""Bridge (45).jpg"", ""Tlight (135).jpg"", ""Tlight (9).jpg"", ""Bicycle (63).jpg"", ""Tlight (10).jpg"", ""Bicycle (445).jpg"", ""Bicycle (693).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (490).jpg"", ""Bicycle (63).jpg"", ""Bicycle (445).jpg"", ""Bicycle (693).jpg""]",761,5,3,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:02:35.284,2026-09-12T09:02:41.308,6.024,6,1,Click on the images containing bicycles.,"[""Bicycle (148).jpg"", ""Bicycle (471).jpg"", ""Chimney (10).jpg"", ""Car (117).jpg"", ""Hydrant (72).jpg"", ""Palm (12).jpg"", ""Cross (113).jpg"", ""Bicycle (159).jpg"", ""Hydrant (80).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (148).jpg"", ""Bicycle (471).jpg"", ""Bicycle (159).jpg""]",758,6,4,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:02:41.312,2026-09-12T09:02:48.611,7.299,7,1,Click on the images containing bicycles.,"[""Chimney (107).jpg"", ""Bicycle (474).jpg"", ""Bicycle (349).jpg"", ""Bridge (114).jpg"", ""Palm (89).jpg"", ""Bridge (96).jpg"", ""Stair (1000).jpg"", ""Bridge (87).jpg"", ""Bicycle (28).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (474).jpg"", ""Bicycle (349).jpg"", ""Bicycle (28).jpg""]",755,7,5,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:02:48.617,2026-09-12T09:02:59.661,11.044,8,1,Click on the images containing bicycles.,"[""Cross (47).jpg"", ""Bus (39).jpg"", ""Bicycle (485).jpg"", ""Chimney (2).jpg"", ""Bicycle (288).jpg"", ""Cross (38).jpg"", ""Bicycle (766).jpg"", ""Hydrant (24).jpg"", ""Bicycle (166).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 4, 6, 8]","[""Bicycle (485).jpg"", ""Bicycle (288).jpg"", ""Bicycle (766).jpg"", ""Bicycle (166).jpg""]",751,8,6,10,submit,
8f1a909da4ab4634bf2fd2d67dcf966c,captcha_pre,203,24,female,2026-09-12T09:02:59.665,2026-09-12T09:03:17.172,17.507,9,1,Click on the images containing bicycles.,"[""Stair (1149).jpg"", ""Tlight (108).jpg"", ""Bicycle (51).jpg"", ""Hydrant (54).jpg"", ""Bicycle (343).jpg"", ""Bicycle (555).jpg"", ""Bicycle (68).jpg"", ""Hydrant (79).jpg"", ""Bicycle (348).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (51).jpg"", ""Bicycle (343).jpg"", ""Bicycle (555).jpg"", ""Bicycle (68).jpg"", ""Bicycle (348).jpg""]",746,9,7,10,submit,
