exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:00:15.884,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:00:15.908,2026-09-12T11:00:55.560,39.652,1,1,Click on the images containing bicycles.,"[""Cross (16).jpg"", ""Car (91).jpg"", ""Palm (55).jpg"", ""Bus (69).jpg"", ""Bridge (130).jpg"", ""Bicycle (107).jpg"", ""Bicycle (475).jpg"", ""Bicycle (612).jpg"", ""Bridge (115).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[5, 6, 7]","[""Bicycle (107).jpg"", ""Bicycle (475).jpg"", ""Bicycle (612).jpg""]",777,1,1,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:00:55.564,2026-09-12T11:01:07.247,11.683,2,1,Click on the images containing bicycles.,"[""Bus (98).jpg"", ""Car (129).jpg"", ""Hydrant (66).jpg"", ""Bicycle (674).jpg"", ""Bicycle (347).jpg"", ""Bridge (133).jpg"", ""Bus (109).jpg"", ""Bicycle (208).jpg"", ""Bicycle (240).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[3, 4, 7, 8]","[""Bicycle (674).jpg"", ""Bicycle (347).jpg"", ""Bicycle (208).jpg"", ""Bicycle (240).jpg""]",773,2,2,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:01:07.252,2026-09-12T11:01:16.648,9.396,3,1,Click on the images containing bicycles.,"[""Bicycle (292).jpg"", ""Bicycle (638).jpg"", ""Hydrant (112).jpg"", ""Bicycle (113).jpg"", ""Bicycle (498).jpg"", ""Cross (58).jpg"", ""Bicycle (354).jpg"", ""Stair (246).jpg"", ""Stair (1237).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 3, 4, 6]","[""Bicycle (292).jpg"", ""Bicycle (638).jpg"", ""Bicycle (113).jpg"", ""Bicycle (498).jpg"", ""Bicycle (354).jpg""]",768,3,3,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:01:16.653,2026-09-12T11:01:29.400,12.747,4,1,Click on the images containing bicycles.,"[""Bicycle (100).jpg"", ""Bicycle (544).jpg"", ""Bus (134).jpg"", ""Bicycle (770).jpg"", ""Tlight (17).jpg"", ""Stair (951).jpg"", ""Stair (700).jpg"", ""Palm (10).jpg"", ""Cross (53).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (100).jpg"", ""Bicycle (544).jpg"", ""Bicycle (770).jpg""]",765,4,4,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:01:29.409,2026-09-12T11:01:41.136,11.727,5,1,Click on the images containing bicycles.,"[""Stair (1358).jpg"", ""Bicycle (140).jpg"", ""Bridge (62).jpg"", ""Bicycle (636).jpg"", ""Bicycle (456).jpg"", ""Bus (61).jpg"", ""Bridge (75).jpg"", ""Tlight (94).jpg"", ""Stair (1138).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 3, 4]","[""Bicycle (140).jpg"", ""Bicycle (636).jpg"", ""Bicycle (456).jpg""]",762,5,5,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:01:41.141,2026-09-12T11:01:53.067,11.926,6,1,Click on the images containing bicycles.,"[""Bicycle (356).jpg"", ""Bus (54).jpg"", ""Bicycle (618).jpg"", ""Bicycle (653).jpg"", ""Tlight (13).jpg"", ""Bridge (99).jpg"", ""Bicycle (338).jpg"", ""Palm (104).jpg"", ""Hydrant (60).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (356).jpg"", ""Bicycle (618).jpg"", ""Bicycle (653).jpg"", ""Bicycle (338).jpg""]",758,6,6,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:01:53.071,2026-09-12T11:02:05.018,11.947,7,1,Click on the images containing bicycles.,"[""Car (33).jpg"", ""Tlight (11).jpg"", ""Car (94).jpg"", ""Bicycle (27).jpg"", ""Bus (49).jpg"", ""Chimney (43).jpg"", ""Hydrant (84).jpg"", ""Bicycle (489).jpg"", ""Bicycle (355).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (27).jpg"", ""Bicycle (489).jpg"", ""Bicycle (355).jpg""]",755,7,7,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:02:05.023,2026-09-12T11:02:16.897,11.874,8,1,Click on the images containing bicycles.,"[""Bicycle (185).jpg"", ""Bicycle (742).jpg"", ""Bicycle (190).jpg"", ""Bridge (100).jpg"", ""Bicycle (246).jpg"", ""Bicycle (606).jpg"", ""Chimney (51).jpg"", ""Bus (51).jpg"", ""Bridge (56).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 4, 5]","[""Bicycle (185).jpg"", ""Bicycle (742).jpg"", ""Bicycle (190).jpg"", ""Bicycle (246).jpg"", ""Bicycle (606).jpg""]",750,8,8,10,submit,
f4ca6835ffa3411491c46b31801d52b3,captcha_pre,204,18,female,2026-09-12T11:02:16.902,2026-09-12T11:02:27.825,10.923,9,1,Click on the images containing bicycles.,"[""Bridge (50).jpg"", ""Bicycle (272).jpg"", ""Bicycle (195).jpg"", ""Cross (75).jpg"", ""Bicycle (51).jpg"", ""Bicycle (525).jpg"", ""Bicycle (484).jpg"", ""Bus (45).jpg"", ""Chimney (39).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 4, 5, 6]","[""Bicycle (272).jpg"", ""Bicycle (195).jpg"", ""Bicycle (51).jpg"", ""Bicycle (525).jpg"", ""Bicycle (484).jpg""]",745,9,9,10,submit,
