exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:01:31.140,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:01:31.172,2026-09-14T10:02:20.616,49.444,1,1,Click on the images containing bicycles.,"[""Bicycle (392).jpg"", ""Bicycle (233).jpg"", ""Bus (134).jpg"", ""Stair (884).jpg"", ""Hydrant (24).jpg"", ""Bicycle (161).jpg"", ""Bicycle (9).jpg"", ""Bus (93).jpg"", ""Bicycle (711).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 1, 5, 6, 8]","[""Bicycle (392).jpg"", ""Bicycle (233).jpg"", ""Bicycle (161).jpg"", ""Bicycle (9).jpg"", ""Bicycle (711).jpg""]",775,1,1,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:02:20.621,2026-09-14T10:02:28.663,8.042,2,1,Click on the images containing bicycles.,"[""Bicycle (250).jpg"", ""Chimney (17).jpg"", ""Bridge (46).jpg"", ""Bus (28).jpg"", ""Bicycle (430).jpg"", ""Palm (109).jpg"", ""Chimney (87).jpg"", ""Car (86).jpg"", ""Bicycle (419).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 4, 8]","[""Bicycle (250).jpg"", ""Bicycle (430).jpg"", ""Bicycle (419).jpg""]",772,2,2,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:02:28.668,2026-09-14T10:02:42.869,14.201,3,1,Click on the images containing bicycles.,"[""Bicycle (695).jpg"", ""Bus (94).jpg"", ""Bicycle (489).jpg"", ""Tlight (97).jpg"", ""Bicycle (39).jpg"", ""Stair (1151).jpg"", ""Bicycle (259).jpg"", ""Tlight (129).jpg"", ""Palm (6).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (695).jpg"", ""Bicycle (489).jpg"", ""Bicycle (39).jpg"", ""Bicycle (259).jpg""]",768,3,3,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:02:42.873,2026-09-14T10:02:59.680,16.807,4,0,Click on the images containing bicycles.,"[""Tlight (63).jpg"", ""Hydrant (103).jpg"", ""Bicycle (13).jpg"", ""Bicycle (677).jpg"", ""Bicycle (307).jpg"", ""Bicycle (425).jpg"", ""Bicycle (496).jpg"", ""Palm (116).jpg"", ""Stair (705).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 3, 4, 6]","[""Bicycle (13).jpg"", ""Bicycle (677).jpg"", ""Bicycle (307).jpg"", ""Bicycle (496).jpg""]",763,4,3,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:03:01.689,2026-09-14T10:03:16.793,15.104,5,1,Click on the images containing bicycles.,"[""Bus (128).jpg"", ""Bicycle (572).jpg"", ""Palm (50).jpg"", ""Bridge (97).jpg"", ""Bicycle (196).jpg"", ""Bicycle (530).jpg"", ""Bicycle (248).jpg"", ""Bus (125).jpg"", ""Bicycle (339).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[1, 4, 5, 6, 8]","[""Bicycle (572).jpg"", ""Bicycle (196).jpg"", ""Bicycle (530).jpg"", ""Bicycle (248).jpg"", ""Bicycle (339).jpg""]",758,5,4,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:03:16.798,2026-09-14T10:03:30.151,13.353,6,1,Click on the images containing bicycles.,"[""Bicycle (258).jpg"", ""Hydrant (75).jpg"", ""Hydrant (107).jpg"", ""Bridge (76).jpg"", ""Bicycle (747).jpg"", ""Bicycle (591).jpg"", ""Car (116).jpg"", ""Bicycle (461).jpg"", ""Bicycle (457).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[0, 4, 5, 7, 8]","[""Bicycle (258).jpg"", ""Bicycle (747).jpg"", ""Bicycle (591).jpg"", ""Bicycle (461).jpg"", ""Bicycle (457).jpg""]",753,6,5,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:03:30.156,2026-09-14T10:03:40.935,10.779,7,1,Click on the images containing bicycles.,"[""Car (87).jpg"", ""Car (111).jpg"", ""Bicycle (580).jpg"", ""Bus (75).jpg"", ""Bicycle (58).jpg"", ""Bicycle (113).jpg"", ""Bicycle (121).jpg"", ""Bicycle (140).jpg"", ""Car (133).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[2, 4, 5, 6, 7]","[""Bicycle (580).jpg"", ""Bicycle (58).jpg"", ""Bicycle (113).jpg"", ""Bicycle (121).jpg"", ""Bicycle (140).jpg""]",748,7,6,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:03:40.939,2026-09-14T10:03:50.086,9.147,8,1,Click on the images containing bicycles.,"[""Palm (106).jpg"", ""Hydrant (27).jpg"", ""Bridge (73).jpg"", ""Chimney (16).jpg"", ""Hydrant (140).jpg"", ""Bicycle (638).jpg"", ""Bicycle (623).jpg"", ""Bicycle (610).jpg"", ""Hydrant (36).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[5, 6, 7]","[""Bicycle (638).jpg"", ""Bicycle (623).jpg"", ""Bicycle (610).jpg""]",745,8,7,10,submit,
ec27625bffb245a59aa409e9df2eb9c3,captcha_pre,205,22,female,2026-09-14T10:03:50.090,2026-09-14T10:04:01.967,11.877,9,1,Click on the images containing bicycles.,"[""Bicycle (459).jpg"", ""Bicycle (452).jpg"", ""Bicycle (133).jpg"", ""Bus (26).jpg"", ""Bicycle (200).jpg"", ""Hydrant (25).jpg"", ""Cross (39).jpg"", ""Car (45).jpg"", ""Bicycle (174).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 4, 8]","[""Bicycle (459).jpg"", ""Bicycle (452).jpg"", ""Bicycle (133).jpg"", ""Bicycle (200).jpg"", ""Bicycle (174).jpg""]",740,9,8,10,submit,
