exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:00:01.942,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:00:01.978,2026-03-31T10:00:37.335,35.357,1,1,Click on the images containing bicycles.,"[""Bicycle (380).jpg"", ""Cross (32).jpg"", ""Bus (58).jpg"", ""Palm (60).jpg"", ""Bicycle (240).jpg"", ""Palm (15).jpg"", ""Bicycle (200).jpg"", ""Car (69).jpg"", ""Bicycle (219).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 4, 6, 8]","[""Bicycle (380).jpg"", ""Bicycle (240).jpg"", ""Bicycle (200).jpg"", ""Bicycle (219).jpg""]",776,1,1,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:00:37.343,2026-03-31T10:00:50.003,12.66,2,0,Click on the images containing bicycles.,"[""Bicycle (629).jpg"", ""Bicycle (132).jpg"", ""Bicycle (25).jpg"", ""Palm (65).jpg"", ""Stair (699).jpg"", ""Chimney (44).jpg"", ""Bicycle (632).jpg"", ""Bicycle (505).jpg"", ""Cross (69).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (629).jpg"", ""Bicycle (132).jpg"", ""Bicycle (632).jpg"", ""Bicycle (505).jpg""]",771,2,1,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:00:52.007,2026-03-31T10:01:09.943,17.936,3,1,Click on the images containing bicycles.,"[""Hydrant (51).jpg"", ""Bicycle (117).jpg"", ""Car (126).jpg"", ""Bicycle (144).jpg"", ""Car (84).jpg"", ""Bicycle (293).jpg"", ""Palm (86).jpg"", ""Bus (82).jpg"", ""Cross (24).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 5]","[""Bicycle (117).jpg"", ""Bicycle (144).jpg"", ""Bicycle (293).jpg""]",768,3,2,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:01:09.950,2026-03-31T10:01:21.958,12.008,4,1,Click on the images containing bicycles.,"[""Bridge (58).jpg"", ""Palm (93).jpg"", ""Bicycle (603).jpg"", ""Stair (116).jpg"", ""Bicycle (614).jpg"", ""Bicycle (650).jpg"", ""Bridge (23).jpg"", ""Stair (408).jpg"", ""Tlight (98).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 4, 5]","[""Bicycle (603).jpg"", ""Bicycle (614).jpg"", ""Bicycle (650).jpg""]",765,4,3,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:01:21.972,2026-03-31T10:01:29.846,7.874,5,0,Click on the images containing bicycles.,"[""Palm (95).jpg"", ""Bicycle (250).jpg"", ""Bicycle (138).jpg"", ""Bicycle (735).jpg"", ""Car (35).jpg"", ""Stair (1377).jpg"", ""Hydrant (120).jpg"", ""Bus (73).jpg"", ""Bicycle (239).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3]","[""Bicycle (250).jpg"", ""Bicycle (138).jpg"", ""Bicycle (735).jpg""]",761,5,3,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:01:31.852,2026-03-31T10:01:47.974,16.122,6,1,Click on the images containing bicycles.,"[""Bicycle (774).jpg"", ""Bridge (24).jpg"", ""Bicycle (343).jpg"", ""Hydrant (80).jpg"", ""Bicycle (567).jpg"", ""Stair (1467).jpg"", ""Tlight (130).jpg"", ""Bicycle (584).jpg"", ""Bus (43).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 4, 7]","[""Bicycle (774).jpg"", ""Bicycle (343).jpg"", ""Bicycle (567).jpg"", ""Bicycle (584).jpg""]",757,6,4,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:01:47.981,2026-03-31T10:02:03.695,15.714,7,1,Click on the images containing bicycles.,"[""Bicycle (7).jpg"", ""Bicycle (459).jpg"", ""Bicycle (98).jpg"", ""Cross (112).jpg"", ""Stair (681).jpg"", ""Hydrant (49).jpg"", ""Tlight (122).jpg"", ""Bicycle (558).jpg"", ""Bicycle (669).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 2, 7, 8]","[""Bicycle (7).jpg"", ""Bicycle (459).jpg"", ""Bicycle (98).jpg"", ""Bicycle (558).jpg"", ""Bicycle (669).jpg""]",752,7,5,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:02:03.703,2026-03-31T10:02:14.702,10.999,8,1,Click on the images containing bicycles.,"[""Chimney (74).jpg"", ""Bicycle (575).jpg"", ""Chimney (29).jpg"", ""Chimney (62).jpg"", ""Chimney (25).jpg"", ""Bicycle (736).jpg"", ""Bicycle (672).jpg"", ""Chimney (79).jpg"", ""Bus (59).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5, 6]","[""Bicycle (575).jpg"", ""Bicycle (736).jpg"", ""Bicycle (672).jpg""]",749,8,6,10,submit,
7d99c9ed3d804a9d981499b4d8a65d5d,captcha_pre,206,20,male,2026-03-31T10:02:14.708,2026-03-31T10:02:29.222,14.514,9,1,Click on the images containing bicycles.,"[""Bicycle (127).jpg"", ""Bicycle (317).jpg"", ""Bicycle (87).jpg"", ""Bridge (80).jpg"", ""Hydrant (57).jpg"", ""Car (74).jpg"", ""Bicycle (189).jpg"", ""Palm (108).jpg"", ""Bicycle (697).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (127).jpg"", ""Bicycle (317).jpg"", ""Bicycle (87).jpg"", ""Bicycle (189).jpg"", ""Bicycle (697).jpg""]",744,9,7,10,submit,
