exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:02:09.034,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:02:09.063,2026-09-14T11:02:59.518,50.455,1,1,Click on the images containing bicycles.,"[""Hydrant (56).jpg"", ""Bicycle (458).jpg"", ""Car (67).jpg"", ""Car (112).jpg"", ""Stair (219).jpg"", ""Bicycle (387).jpg"", ""Bicycle (107).jpg"", ""Bridge (137).jpg"", ""Bicycle (363).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 5, 6, 8]","[""Bicycle (458).jpg"", ""Bicycle (387).jpg"", ""Bicycle (107).jpg"", ""Bicycle (363).jpg""]",776,1,1,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:02:59.523,2026-09-14T11:03:12.207,12.684,2,0,Click on the images containing bicycles.,"[""Bus (100).jpg"", ""Bicycle (21).jpg"", ""Bicycle (434).jpg"", ""Bicycle (688).jpg"", ""Bicycle (225).jpg"", ""Chimney (128).jpg"", ""Car (35).jpg"", ""Tlight (84).jpg"", ""Car (111).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 4]","[""Bicycle (21).jpg"", ""Bicycle (434).jpg"", ""Bicycle (225).jpg""]",772,2,1,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:03:14.216,2026-09-14T11:03:26.576,12.36,3,1,Click on the images containing bicycles.,"[""Bicycle (627).jpg"", ""Bicycle (617).jpg"", ""Bicycle (282).jpg"", ""Cross (63).jpg"", ""Cross (88).jpg"", ""Stair (1240).jpg"", ""Bicycle (605).jpg"", ""Bridge (62).jpg"", ""Bicycle (516).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (627).jpg"", ""Bicycle (617).jpg"", ""Bicycle (282).jpg"", ""Bicycle (605).jpg"", ""Bicycle (516).jpg""]",767,3,2,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:03:26.582,2026-09-14T11:03:39.127,12.545,4,1,Click on the images containing bicycles.,"[""Bicycle (751).jpg"", ""Bicycle (44).jpg"", ""Bicycle (666).jpg"", ""Bicycle (154).jpg"", ""Chimney (47).jpg"", ""Hydrant (99).jpg"", ""Bicycle (224).jpg"", ""Tlight (53).jpg"", ""Stair (427).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (751).jpg"", ""Bicycle (44).jpg"", ""Bicycle (666).jpg"", ""Bicycle (154).jpg"", ""Bicycle (224).jpg""]",762,4,3,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:03:39.132,2026-09-14T11:03:48.511,9.379,5,0,Click on the images containing bicycles.,"[""Hydrant (29).jpg"", ""Bicycle (677).jpg"", ""Bus (82).jpg"", ""Chimney (81).jpg"", ""Bicycle (228).jpg"", ""Bicycle (737).jpg"", ""Stair (363).jpg"", ""Bicycle (422).jpg"", ""Bus (96).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 4, 7]","[""Bicycle (677).jpg"", ""Bicycle (228).jpg"", ""Bicycle (422).jpg""]",758,5,3,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:03:50.520,2026-09-14T11:04:00.135,9.615,6,1,Click on the images containing bicycles.,"[""Chimney (27).jpg"", ""Palm (141).jpg"", ""Tlight (94).jpg"", ""Bicycle (734).jpg"", ""Car (22).jpg"", ""Chimney (58).jpg"", ""Bicycle (419).jpg"", ""Bicycle (293).jpg"", ""Bicycle (476).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[3, 6, 7, 8]","[""Bicycle (734).jpg"", ""Bicycle (419).jpg"", ""Bicycle (293).jpg"", ""Bicycle (476).jpg""]",754,6,4,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:00.140,2026-09-14T11:04:11.785,11.645,7,1,Click on the images containing bicycles.,"[""Bicycle (388).jpg"", ""Bicycle (252).jpg"", ""Bus (85).jpg"", ""Cross (21).jpg"", ""Bicycle (421).jpg"", ""Bicycle (490).jpg"", ""Bicycle (153).jpg"", ""Stair (1052).jpg"", ""Bridge (136).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 4, 5, 6]","[""Bicycle (388).jpg"", ""Bicycle (252).jpg"", ""Bicycle (421).jpg"", ""Bicycle (490).jpg"", ""Bicycle (153).jpg""]",749,7,5,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:11.789,2026-09-14T11:04:19.615,7.826,8,1,Click on the images containing bicycles.,"[""Bicycle (528).jpg"", ""Bicycle (27).jpg"", ""Hydrant (94).jpg"", ""Bicycle (273).jpg"", ""Cross (22).jpg"", ""Chimney (66).jpg"", ""Bus (123).jpg"", ""Bicycle (630).jpg"", ""Bicycle (374).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 3, 7, 8]","[""Bicycle (528).jpg"", ""Bicycle (27).jpg"", ""Bicycle (273).jpg"", ""Bicycle (630).jpg"", ""Bicycle (374).jpg""]",744,8,6,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:19.620,2026-09-14T11:04:31.016,11.396,9,1,Click on the images containing bicycles.,"[""Hydrant (70).jpg"", ""Bicycle (439).jpg"", ""Bus (119).jpg"", ""Bicycle (309).jpg"", ""Bicycle (652).jpg"", ""Bicycle (57).jpg"", ""Bicycle (172).jpg"", ""Tlight (99).jpg"", ""Hydrant (38).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (439).jpg"", ""Bicycle (309).jpg"", ""Bicycle (652).jpg"", ""Bicycle (57).jpg"", ""Bicycle (172).jpg""]",739,9,7,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:31.021,2026-09-14T11:04:39.871,8.85,10,1,Click on the images containing bicycles.,"[""Chimney (38).jpg"", ""Stair (705).jpg"", ""Bicycle (288).jpg"", ""Bus (45).jpg"", ""Bicycle (766).jpg"", ""Cross (67).jpg"", ""Hydrant (76).jpg"", ""Bicycle (220).jpg"", ""Stair (973).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (288).jpg"", ""Bicycle (766).jpg"", ""Bicycle (220).jpg""]",736,10,8,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:39.876,2026-09-14T11:04:49.240,9.364,11,0,Click on the images containing bicycles.,"[""Tlight (18).jpg"", ""Bicycle (30).jpg"", ""Bicycle (104).jpg"", ""Hydrant (36).jpg"", ""Bicycle (16).jpg"", ""Bicycle (754).jpg"", ""Bicycle (117).jpg"", ""Car (97).jpg"", ""Stair (1060).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 4, 5, 6]","[""Bicycle (104).jpg"", ""Bicycle (16).jpg"", ""Bicycle (754).jpg"", ""Bicycle (117).jpg""]",731,11,8,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:51.249,2026-09-14T11:04:58.202,6.953,12,1,Click on the images containing bicycles.,"[""Hydrant (105).jpg"", ""Chimney (29).jpg"", ""Bicycle (685).jpg"", ""Cross (23).jpg"", ""Bicycle (566).jpg"", ""Bicycle (318).jpg"", ""Bridge (35).jpg"", ""Bicycle (182).jpg"", ""Cross (4).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 4, 5, 7]","[""Bicycle (685).jpg"", ""Bicycle (566).jpg"", ""Bicycle (318).jpg"", ""Bicycle (182).jpg""]",727,12,9,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:58.207,2026-09-14T11:05:05.008,6.801,13,1,Click on the images containing bicycles.,"[""Tlight (10).jpg"", ""Hydrant (49).jpg"", ""Bicycle (267).jpg"", ""Bicycle (379).jpg"", ""Cross (73).jpg"", ""Hydrant (122).jpg"", ""Bus (102).jpg"", ""Bicycle (190).jpg"", ""Bridge (32).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 7]","[""Bicycle (267).jpg"", ""Bicycle (379).jpg"", ""Bicycle (190).jpg""]",724,13,10,10,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_pre,206,21,female,2026-09-14T11:04:58.207,2026-09-14T11:05:08.545,10.338,13,,Click on the images containing bicycles.,[],[],[],[],724,13,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
f7c27b004a094f019e744b9fd8524a0e,q_pre_captcha,206,21,female,2026-09-14T11:05:08.554,2026-09-14T11:05:31.160,22.606,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""5"", ""captcha_task_fun"": ""6"", ""general_captcha_liking"": ""5"", ""captcha_task_difficulty"": ""3"", ""captcha_task_meaningfulness"": ""4""}"
f7c27b004a094f019e744b9fd8524a0e,q_pre_idaq,206,21,female,2026-09-14T11:05:31.172,2026-09-14T11:08:45.723,194.551,,,,,,,,,,,,submit,"{""idaq_24"": ""7"", ""idaq_13"": ""1"", ""idaq_14"": ""1"", ""idaq_2"": ""5"", ""idaq_4"": ""10"", ""idaq_20"": ""7"", ""idaq_3"": ""2"", ""idaq_12"": ""7"", ""idaq_19"": ""8"", ""idaq_25"": ""9"", ""idaq_27"": ""6"", ""idaq_21"": ""1"", ""idaq_17"": ""1"", ""idaq_15"": ""2"", ""idaq_1"": ""5"", ""idaq_6"": ""7"", ""idaq_29"": ""7"", ""idaq_9"": ""1"", ""idaq_23"": ""5"", ""idaq_16"": ""10"", ""idaq_18"": ""6"", ""idaq_28"": ""6"", ""idaq_10"": ""2"", ""idaq_26"": ""1"", ""idaq_30"": ""2"", ""idaq_11"": ""1"", ""idaq_7"": ""1"", ""idaq_8"": ""5"", ""idaq_22"": ""7"", ""idaq_5"": ""2""}"
f7c27b004a094f019e744b9fd8524a0e,q_pre_2050,206,21,female,2026-09-14T11:08:45.734,2026-09-14T11:11:51.110,185.376,,,,,,,,,,,,submit,"{""2050_rubbish_collectors"": ""4"", ""2050_art"": ""7"", ""2050_experiments"": ""4"", ""2050_neurosurgery"": ""1"", ""2050_shelters"": ""1"", ""2050_crime"": ""10"", ""2050_nursing_home"": ""5"", ""2050_hiking"": ""1"", ""2050_sports"": ""1"", ""2050_rights"": ""1"", ""2050_police"": ""1"", ""2050_mannequins"": ""3"", ""2050_other_worlds"": ""1"", ""2050_flight_attendants"": ""1"", ""2050_school"": ""1""}"
f7c27b004a094f019e744b9fd8524a0e,q_post_gators,206,21,female,2026-09-14T11:24:37.424,2026-09-14T11:26:31.953,114.529,,,,,,,,,,,,submit,"{""gators_18"": ""2"", ""gators_9"": ""3"", ""gators_3"": ""4"", ""gators_15"": ""3"", ""gators_20"": ""6"", ""gators_16"": ""4"", ""gators_7"": ""3"", ""gators_8"": ""2"", ""gators_6"": ""2"", ""gators_14"": ""6"", ""gators_11"": ""6"", ""gators_2"": ""4"", ""gators_19"": ""5"", ""gators_4"": ""4"", ""gators_10"": ""3"", ""gators_13"": ""6"", ""gators_5"": ""6"", ""gators_12"": ""6"", ""gators_17"": ""4"", ""gators_1"": ""3""}"
f7c27b004a094f019e744b9fd8524a0e,q_post_specific,206,21,female,2026-09-14T11:26:31.963,2026-09-14T11:26:51.831,19.868,,,,,,,,,,,,submit,"{""robot_likeability"": ""6"", ""robot_friendliness"": ""6"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""7"", ""conversation_interestingness"": ""6"", ""robot_empathy"": ""5""}"
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:26:51.880,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:26:51.892,2026-09-14T11:26:58.826,6.934,1,1,Click on the images containing bicycles.,"[""Bus (80).jpg"", ""Bicycle (771).jpg"", ""Palm (89).jpg"", ""Palm (53).jpg"", ""Bicycle (567).jpg"", ""Hydrant (30).jpg"", ""Bicycle (652).jpg"", ""Car (36).jpg"", ""Car (119).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 4, 6]","[""Bicycle (771).jpg"", ""Bicycle (567).jpg"", ""Bicycle (652).jpg""]",777,1,1,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:26:58.831,2026-09-14T11:27:06.410,7.579,2,1,Click on the images containing bicycles.,"[""Stair (884).jpg"", ""Bicycle (496).jpg"", ""Car (120).jpg"", ""Car (65).jpg"", ""Bicycle (243).jpg"", ""Car (56).jpg"", ""Bicycle (769).jpg"", ""Car (117).jpg"", ""Car (125).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 4, 6]","[""Bicycle (496).jpg"", ""Bicycle (243).jpg"", ""Bicycle (769).jpg""]",774,2,2,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:06.415,2026-09-14T11:27:12.794,6.379,3,1,Click on the images containing bicycles.,"[""Bicycle (62).jpg"", ""Bicycle (318).jpg"", ""Chimney (94).jpg"", ""Tlight (86).jpg"", ""Chimney (69).jpg"", ""Bicycle (614).jpg"", ""Hydrant (91).jpg"", ""Hydrant (99).jpg"", ""Bicycle (435).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 5, 8]","[""Bicycle (62).jpg"", ""Bicycle (318).jpg"", ""Bicycle (614).jpg"", ""Bicycle (435).jpg""]",770,3,3,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:12.799,2026-09-14T11:27:18.473,5.674,4,1,Click on the images containing bicycles.,"[""Palm (9).jpg"", ""Bicycle (188).jpg"", ""Stair (1052).jpg"", ""Bridge (133).jpg"", ""Cross (119).jpg"", ""Bicycle (277).jpg"", ""Bicycle (638).jpg"", ""Bicycle (163).jpg"", ""Chimney (71).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 5, 6, 7]","[""Bicycle (188).jpg"", ""Bicycle (277).jpg"", ""Bicycle (638).jpg"", ""Bicycle (163).jpg""]",766,4,4,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:18.480,2026-09-14T11:27:23.104,4.624,5,0,Click on the images containing bicycles.,"[""Bicycle (37).jpg"", ""Bicycle (742).jpg"", ""Bicycle (390).jpg"", ""Bicycle (419).jpg"", ""Bicycle (670).jpg"", ""Stair (339).jpg"", ""Palm (106).jpg"", ""Hydrant (107).jpg"", ""Stair (749).jpg""]","[""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (37).jpg"", ""Bicycle (742).jpg"", ""Bicycle (390).jpg"", ""Bicycle (419).jpg""]",761,5,4,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:25.113,2026-09-14T11:27:30.634,5.521,6,1,Click on the images containing bicycles.,"[""Tlight (12).jpg"", ""Stair (260).jpg"", ""Chimney (10).jpg"", ""Bicycle (420).jpg"", ""Bicycle (312).jpg"", ""Bicycle (175).jpg"", ""Chimney (19).jpg"", ""Tlight (18).jpg"", ""Bridge (39).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[3, 4, 5]","[""Bicycle (420).jpg"", ""Bicycle (312).jpg"", ""Bicycle (175).jpg""]",758,6,5,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:30.638,2026-09-14T11:27:34.151,3.513,7,0,Click on the images containing bicycles.,"[""Cross (35).jpg"", ""Palm (141).jpg"", ""Cross (2).jpg"", ""Bicycle (561).jpg"", ""Bicycle (253).jpg"", ""Bicycle (720).jpg"", ""Hydrant (34).jpg"", ""Bridge (73).jpg"", ""Bicycle (775).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[4, 5, 8]","[""Bicycle (253).jpg"", ""Bicycle (720).jpg"", ""Bicycle (775).jpg""]",754,7,5,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:36.161,2026-09-14T11:27:42.059,5.898,8,1,Click on the images containing bicycles.,"[""Palm (43).jpg"", ""Bicycle (589).jpg"", ""Bicycle (389).jpg"", ""Chimney (32).jpg"", ""Bicycle (306).jpg"", ""Bicycle (283).jpg"", ""Bridge (132).jpg"", ""Bus (126).jpg"", ""Cross (60).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (589).jpg"", ""Bicycle (389).jpg"", ""Bicycle (306).jpg"", ""Bicycle (283).jpg""]",750,8,6,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:42.063,2026-09-14T11:27:48.203,6.14,9,1,Click on the images containing bicycles.,"[""Chimney (23).jpg"", ""Bicycle (247).jpg"", ""Palm (68).jpg"", ""Bicycle (133).jpg"", ""Cross (1).jpg"", ""Cross (17).jpg"", ""Stair (1249).jpg"", ""Bicycle (280).jpg"", ""Bicycle (322).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 3, 7, 8]","[""Bicycle (247).jpg"", ""Bicycle (133).jpg"", ""Bicycle (280).jpg"", ""Bicycle (322).jpg""]",746,9,7,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:48.208,2026-09-14T11:27:54.227,6.019,10,1,Click on the images containing bicycles.,"[""Hydrant (100).jpg"", ""Stair (1349).jpg"", ""Chimney (8).jpg"", ""Bicycle (143).jpg"", ""Palm (128).jpg"", ""Bicycle (328).jpg"", ""Chimney (30).jpg"", ""Bicycle (553).jpg"", ""Bicycle (700).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 5, 7, 8]","[""Bicycle (143).jpg"", ""Bicycle (328).jpg"", ""Bicycle (553).jpg"", ""Bicycle (700).jpg""]",742,10,8,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:27:54.231,2026-09-14T11:28:03.203,8.972,11,0,Click on the images containing bicycles.,"[""Bus (72).jpg"", ""Bicycle (642).jpg"", ""Tlight (57).jpg"", ""Bicycle (281).jpg"", ""Bicycle (367).jpg"", ""Cross (93).jpg"", ""Bicycle (93).jpg"", ""Bicycle (387).jpg"", ""Tlight (91).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 3, 4, 7]","[""Bicycle (642).jpg"", ""Bicycle (281).jpg"", ""Bicycle (367).jpg"", ""Bicycle (387).jpg""]",737,11,8,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:28:05.212,2026-09-14T11:28:11.746,6.534,12,1,Click on the images containing bicycles.,"[""Bicycle (711).jpg"", ""Bicycle (191).jpg"", ""Tlight (2).jpg"", ""Car (71).jpg"", ""Bicycle (200).jpg"", ""Bicycle (439).jpg"", ""Bicycle (426).jpg"", ""Stair (1012).jpg"", ""Hydrant (64).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 4, 5, 6]","[""Bicycle (711).jpg"", ""Bicycle (191).jpg"", ""Bicycle (200).jpg"", ""Bicycle (439).jpg"", ""Bicycle (426).jpg""]",732,12,9,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:28:11.751,2026-09-14T11:28:19.491,7.74,13,1,Click on the images containing bicycles.,"[""Bicycle (103).jpg"", ""Bridge (25).jpg"", ""Bridge (119).jpg"", ""Bicycle (350).jpg"", ""Palm (126).jpg"", ""Stair (439).jpg"", ""Bicycle (101).jpg"", ""Chimney (51).jpg"", ""Car (138).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (103).jpg"", ""Bicycle (350).jpg"", ""Bicycle (101).jpg""]",729,13,10,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:28:19.495,2026-09-14T11:28:26.354,6.859,14,0,Click on the images containing bicycles.,"[""Stair (136).jpg"", ""Bicycle (27).jpg"", ""Bicycle (3).jpg"", ""Bicycle (158).jpg"", ""Bicycle (417).jpg"", ""Bridge (54).jpg"", ""Bicycle (384).jpg"", ""Bus (135).jpg"", ""Stair (427).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 6]","[""Bicycle (27).jpg"", ""Bicycle (3).jpg"", ""Bicycle (158).jpg"", ""Bicycle (384).jpg""]",724,14,10,1000,submit,
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:28:28.362,2026-09-14T11:28:29.512,1.15,15,,Click on the images containing bicycles.,"[""Chimney (14).jpg"", ""Bridge (110).jpg"", ""Bridge (67).jpg"", ""Bicycle (282).jpg"", ""Tlight (11).jpg"", ""Cross (7).jpg"", ""Bicycle (77).jpg"", ""Bicycle (181).jpg"", ""Bicycle (602).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]",[],[],720,14,10,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
f7c27b004a094f019e744b9fd8524a0e,captcha_post,206,21,female,2026-09-14T11:28:28.362,2026-09-14T11:28:29.515,1.153,15,,Click on the images containing bicycles.,[],[],[],[],720,14,10,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
