exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:05:40.604,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:05:40.634,2026-09-15T09:06:22.267,41.633,1,1,Click on the images containing bicycles.,"[""Bus (31).jpg"", ""Bicycle (84).jpg"", ""Bicycle (636).jpg"", ""Hydrant (57).jpg"", ""Bridge (127).jpg"", ""Hydrant (73).jpg"", ""Stair (749).jpg"", ""Bicycle (739).jpg"", ""Bicycle (538).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 7, 8]","[""Bicycle (84).jpg"", ""Bicycle (636).jpg"", ""Bicycle (739).jpg"", ""Bicycle (538).jpg""]",776,1,1,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:06:22.272,2026-09-15T09:06:50.386,28.114,2,1,Click on the images containing bicycles.,"[""Bicycle (367).jpg"", ""Bicycle (191).jpg"", ""Bicycle (351).jpg"", ""Tlight (91).jpg"", ""Bridge (128).jpg"", ""Car (61).jpg"", ""Cross (44).jpg"", ""Palm (116).jpg"", ""Bicycle (504).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 8]","[""Bicycle (367).jpg"", ""Bicycle (191).jpg"", ""Bicycle (351).jpg"", ""Bicycle (504).jpg""]",772,2,2,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:06:50.391,2026-09-15T09:07:08.250,17.859,3,1,Click on the images containing bicycles.,"[""Bicycle (312).jpg"", ""Chimney (58).jpg"", ""Bicycle (450).jpg"", ""Bicycle (509).jpg"", ""Stair (243).jpg"", ""Hydrant (86).jpg"", ""Bicycle (338).jpg"", ""Chimney (48).jpg"", ""Tlight (10).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (312).jpg"", ""Bicycle (450).jpg"", ""Bicycle (509).jpg"", ""Bicycle (338).jpg""]",768,3,3,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:07:08.255,2026-09-15T09:07:30.552,22.297,4,1,Click on the images containing bicycles.,"[""Bicycle (648).jpg"", ""Stair (312).jpg"", ""Bicycle (652).jpg"", ""Bus (127).jpg"", ""Bicycle (525).jpg"", ""Bridge (76).jpg"", ""Bridge (110).jpg"", ""Chimney (82).jpg"", ""Hydrant (105).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (648).jpg"", ""Bicycle (652).jpg"", ""Bicycle (525).jpg""]",765,4,4,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:07:30.556,2026-09-15T09:07:48.618,18.062,5,1,Click on the images containing bicycles.,"[""Cross (30).jpg"", ""Bicycle (587).jpg"", ""Chimney (34).jpg"", ""Bus (136).jpg"", ""Car (125).jpg"", ""Bicycle (771).jpg"", ""Cross (89).jpg"", ""Bridge (22).jpg"", ""Bicycle (493).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (587).jpg"", ""Bicycle (771).jpg"", ""Bicycle (493).jpg""]",762,5,5,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:07:48.623,2026-09-15T09:08:01.154,12.531,6,1,Click on the images containing bicycles.,"[""Bridge (90).jpg"", ""Bus (133).jpg"", ""Stair (253).jpg"", ""Bridge (21).jpg"", ""Hydrant (94).jpg"", ""Bicycle (718).jpg"", ""Hydrant (63).jpg"", ""Bicycle (506).jpg"", ""Bicycle (49).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (718).jpg"", ""Bicycle (506).jpg"", ""Bicycle (49).jpg""]",759,6,6,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:08:01.158,2026-09-15T09:08:16.754,15.596,7,1,Click on the images containing bicycles.,"[""Bicycle (269).jpg"", ""Bicycle (135).jpg"", ""Tlight (135).jpg"", ""Chimney (27).jpg"", ""Palm (127).jpg"", ""Palm (105).jpg"", ""Bicycle (569).jpg"", ""Bicycle (380).jpg"", ""Hydrant (67).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (269).jpg"", ""Bicycle (135).jpg"", ""Bicycle (569).jpg"", ""Bicycle (380).jpg""]",755,7,7,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:08:16.759,2026-09-15T09:08:36.681,19.922,8,1,Click on the images containing bicycles.,"[""Bicycle (623).jpg"", ""Car (118).jpg"", ""Hydrant (116).jpg"", ""Palm (5).jpg"", ""Bicycle (524).jpg"", ""Chimney (61).jpg"", ""Bicycle (710).jpg"", ""Car (103).jpg"", ""Cross (82).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (623).jpg"", ""Bicycle (524).jpg"", ""Bicycle (710).jpg""]",752,8,8,10,submit,
eccc01f71e844ed3af9cfb7cb4c6606e,captcha_pre,208,20,female,2026-09-15T09:08:36.687,2026-09-15T09:08:55.391,18.704,9,1,Click on the images containing bicycles.,"[""Bicycle (393).jpg"", ""Bicycle (446).jpg"", ""Bicycle (282).jpg"", ""Car (132).jpg"", ""Bicycle (169).jpg"", ""Tlight (73).jpg"", ""Bridge (129).jpg"", ""Bridge (25).jpg"", ""Hydrant (70).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 4]","[""Bicycle (393).jpg"", ""Bicycle (446).jpg"", ""Bicycle (282).jpg"", ""Bicycle (169).jpg""]",748,9,9,10,submit,
