exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:30:33.488,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:30:33.521,2026-04-01T11:31:21.723,48.202,1,1,Click on the images containing bicycles.,"[""Bus (31).jpg"", ""Bus (25).jpg"", ""Bicycle (322).jpg"", ""Bicycle (227).jpg"", ""Chimney (117).jpg"", ""Car (104).jpg"", ""Bicycle (396).jpg"", ""Chimney (99).jpg"", ""Bridge (31).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 6]","[""Bicycle (322).jpg"", ""Bicycle (227).jpg"", ""Bicycle (396).jpg""]",777,1,1,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:31:21.730,2026-04-01T11:31:52.106,30.376,2,1,Click on the images containing bicycles.,"[""Hydrant (56).jpg"", ""Bus (22).jpg"", ""Bicycle (465).jpg"", ""Cross (3).jpg"", ""Chimney (120).jpg"", ""Bicycle (204).jpg"", ""Cross (74).jpg"", ""Bicycle (400).jpg"", ""Bridge (139).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 5, 7]","[""Bicycle (465).jpg"", ""Bicycle (204).jpg"", ""Bicycle (400).jpg""]",774,2,2,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:31:52.113,2026-04-01T11:32:05.707,13.594,3,1,Click on the images containing bicycles.,"[""Bicycle (743).jpg"", ""Cross (72).jpg"", ""Palm (106).jpg"", ""Bridge (65).jpg"", ""Bicycle (661).jpg"", ""Bicycle (581).jpg"", ""Stair (483).jpg"", ""Bicycle (278).jpg"", ""Tlight (86).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (743).jpg"", ""Bicycle (661).jpg"", ""Bicycle (581).jpg"", ""Bicycle (278).jpg""]",770,3,3,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:32:05.714,2026-04-01T11:32:19.212,13.498,4,1,Click on the images containing bicycles.,"[""Bus (49).jpg"", ""Stair (889).jpg"", ""Bus (83).jpg"", ""Bicycle (647).jpg"", ""Palm (120).jpg"", ""Bicycle (418).jpg"", ""Bridge (96).jpg"", ""Bicycle (503).jpg"", ""Car (133).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[3, 5, 7]","[""Bicycle (647).jpg"", ""Bicycle (418).jpg"", ""Bicycle (503).jpg""]",767,4,4,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:32:19.219,2026-04-01T11:32:29.002,9.783,5,1,Click on the images containing bicycles.,"[""Bicycle (246).jpg"", ""Bicycle (696).jpg"", ""Bus (26).jpg"", ""Cross (23).jpg"", ""Chimney (39).jpg"", ""Cross (89).jpg"", ""Bus (35).jpg"", ""Hydrant (94).jpg"", ""Bicycle (225).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (246).jpg"", ""Bicycle (696).jpg"", ""Bicycle (225).jpg""]",764,5,5,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:32:29.009,2026-04-01T11:32:44.292,15.283,6,0,Click on the images containing bicycles.,"[""Car (100).jpg"", ""Bicycle (180).jpg"", ""Chimney (36).jpg"", ""Stair (1221).jpg"", ""Bicycle (280).jpg"", ""Bicycle (719).jpg"", ""Tlight (59).jpg"", ""Hydrant (48).jpg"", ""Hydrant (113).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[4, 5]","[""Bicycle (280).jpg"", ""Bicycle (719).jpg""]",761,6,5,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:32:46.300,2026-04-01T11:32:56.762,10.462,7,1,Click on the images containing bicycles.,"[""Bicycle (270).jpg"", ""Cross (106).jpg"", ""Bicycle (458).jpg"", ""Palm (63).jpg"", ""Palm (45).jpg"", ""Tlight (89).jpg"", ""Bicycle (162).jpg"", ""Bicycle (489).jpg"", ""Cross (61).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 6, 7]","[""Bicycle (270).jpg"", ""Bicycle (458).jpg"", ""Bicycle (162).jpg"", ""Bicycle (489).jpg""]",757,7,6,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:32:56.769,2026-04-01T11:33:06.434,9.665,8,1,Click on the images containing bicycles.,"[""Bus (94).jpg"", ""Bicycle (587).jpg"", ""Bicycle (357).jpg"", ""Chimney (16).jpg"", ""Car (44).jpg"", ""Hydrant (78).jpg"", ""Bicycle (124).jpg"", ""Bicycle (56).jpg"", ""Bicycle (704).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 6, 7, 8]","[""Bicycle (587).jpg"", ""Bicycle (357).jpg"", ""Bicycle (124).jpg"", ""Bicycle (56).jpg"", ""Bicycle (704).jpg""]",752,8,7,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:33:06.440,2026-04-01T11:33:21.682,15.242,9,1,Click on the images containing bicycles.,"[""Car (123).jpg"", ""Chimney (46).jpg"", ""Cross (59).jpg"", ""Bicycle (252).jpg"", ""Bicycle (608).jpg"", ""Bicycle (382).jpg"", ""Bicycle (81).jpg"", ""Bicycle (221).jpg"", ""Stair (840).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D""]","[3, 4, 5, 6, 7]","[""Bicycle (252).jpg"", ""Bicycle (608).jpg"", ""Bicycle (382).jpg"", ""Bicycle (81).jpg"", ""Bicycle (221).jpg""]",747,9,8,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:33:21.689,2026-04-01T11:33:35.275,13.586,10,1,Click on the images containing bicycles.,"[""Bicycle (59).jpg"", ""Chimney (92).jpg"", ""Bicycle (195).jpg"", ""Bus (86).jpg"", ""Palm (19).jpg"", ""Bicycle (552).jpg"", ""Bicycle (523).jpg"", ""Bus (44).jpg"", ""Stair (1138).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (59).jpg"", ""Bicycle (195).jpg"", ""Bicycle (552).jpg"", ""Bicycle (523).jpg""]",743,10,9,10,submit,
fa6aa1fa0e8646b39cceb3cbabda1edc,captcha_pre,209,20,female,2026-04-01T11:33:35.281,2026-04-01T11:33:46.538,11.257,11,1,Click on the images containing bicycles.,"[""Bicycle (649).jpg"", ""Chimney (2).jpg"", ""Bridge (51).jpg"", ""Bus (27).jpg"", ""Bicycle (645).jpg"", ""Bicycle (183).jpg"", ""Hydrant (55).jpg"", ""Bicycle (626).jpg"", ""Cross (24).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (649).jpg"", ""Bicycle (645).jpg"", ""Bicycle (183).jpg"", ""Bicycle (626).jpg""]",739,11,10,10,submit,
