exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:00:53.906,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:00:53.938,2026-09-15T12:01:36.587,42.649,1,0,Click on the images containing bicycles.,"[""Bicycle (704).jpg"", ""Tlight (74).jpg"", ""Cross (110).jpg"", ""Bicycle (183).jpg"", ""Bicycle (316).jpg"", ""Cross (5).jpg"", ""Car (140).jpg"", ""Hydrant (140).jpg"", ""Bicycle (117).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[3, 4, 8]","[""Bicycle (183).jpg"", ""Bicycle (316).jpg"", ""Bicycle (117).jpg""]",776,1,0,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:01:38.596,2026-09-15T12:01:50.227,11.631,2,1,Click on the images containing bicycles.,"[""Hydrant (79).jpg"", ""Car (125).jpg"", ""Bicycle (535).jpg"", ""Bicycle (516).jpg"", ""Chimney (58).jpg"", ""Chimney (81).jpg"", ""Chimney (9).jpg"", ""Bicycle (668).jpg"", ""Stair (1237).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 7]","[""Bicycle (535).jpg"", ""Bicycle (516).jpg"", ""Bicycle (668).jpg""]",773,2,1,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:01:50.231,2026-09-15T12:01:56.042,5.811,3,1,Click on the images containing bicycles.,"[""Bicycle (223).jpg"", ""Chimney (2).jpg"", ""Bus (120).jpg"", ""Bicycle (186).jpg"", ""Bicycle (106).jpg"", ""Cross (3).jpg"", ""Tlight (102).jpg"", ""Car (137).jpg"", ""Tlight (129).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (223).jpg"", ""Bicycle (186).jpg"", ""Bicycle (106).jpg""]",770,3,2,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:01:56.047,2026-09-15T12:02:07.067,11.02,4,1,Click on the images containing bicycles.,"[""Hydrant (92).jpg"", ""Car (116).jpg"", ""Bicycle (520).jpg"", ""Bicycle (710).jpg"", ""Cross (19).jpg"", ""Chimney (13).jpg"", ""Bicycle (247).jpg"", ""Bicycle (630).jpg"", ""Bus (115).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (520).jpg"", ""Bicycle (710).jpg"", ""Bicycle (247).jpg"", ""Bicycle (630).jpg""]",766,4,3,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:02:07.071,2026-09-15T12:02:20.395,13.324,5,1,Click on the images containing bicycles.,"[""Cross (72).jpg"", ""Bicycle (685).jpg"", ""Bus (44).jpg"", ""Bicycle (269).jpg"", ""Bicycle (151).jpg"", ""Bicycle (35).jpg"", ""Bicycle (754).jpg"", ""Car (40).jpg"", ""Chimney (68).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (685).jpg"", ""Bicycle (269).jpg"", ""Bicycle (151).jpg"", ""Bicycle (35).jpg"", ""Bicycle (754).jpg""]",761,5,4,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:02:20.400,2026-09-15T12:02:40.563,20.163,6,1,Click on the images containing bicycles.,"[""Palm (94).jpg"", ""Bridge (105).jpg"", ""Bicycle (621).jpg"", ""Bicycle (146).jpg"", ""Palm (48).jpg"", ""Bicycle (302).jpg"", ""Bicycle (554).jpg"", ""Chimney (19).jpg"", ""Bicycle (585).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[2, 3, 5, 6, 8]","[""Bicycle (621).jpg"", ""Bicycle (146).jpg"", ""Bicycle (302).jpg"", ""Bicycle (554).jpg"", ""Bicycle (585).jpg""]",756,6,5,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:02:40.568,2026-09-15T12:02:47.163,6.595,7,1,Click on the images containing bicycles.,"[""Tlight (65).jpg"", ""Tlight (124).jpg"", ""Bridge (112).jpg"", ""Bridge (129).jpg"", ""Bicycle (595).jpg"", ""Bicycle (436).jpg"", ""Bicycle (307).jpg"", ""Bridge (23).jpg"", ""Bridge (78).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (595).jpg"", ""Bicycle (436).jpg"", ""Bicycle (307).jpg""]",753,7,6,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:02:47.167,2026-09-15T12:02:57.850,10.683,8,1,Click on the images containing bicycles.,"[""Bus (74).jpg"", ""Bus (52).jpg"", ""Bicycle (171).jpg"", ""Bicycle (600).jpg"", ""Hydrant (42).jpg"", ""Bicycle (68).jpg"", ""Bus (71).jpg"", ""Bus (50).jpg"", ""Hydrant (41).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 5]","[""Bicycle (171).jpg"", ""Bicycle (600).jpg"", ""Bicycle (68).jpg""]",750,8,7,10,submit,
6b842a05694d4841bdc1786f60b20fbe,captcha_pre,209,23,female,2026-09-15T12:02:57.855,2026-09-15T12:03:13.818,15.963,9,0,Click on the images containing bicycles.,"[""Cross (39).jpg"", ""Palm (49).jpg"", ""Bicycle (63).jpg"", ""Cross (10).jpg"", ""Bicycle (195).jpg"", ""Bicycle (112).jpg"", ""Chimney (96).jpg"", ""Bicycle (742).jpg"", ""Stair (1416).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 5, 7]","[""Bicycle (63).jpg"", ""Bicycle (112).jpg"", ""Bicycle (742).jpg""]",746,9,7,10,submit,
