exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:38:19.269,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:38:19.298,2026-04-01T12:38:53.300,34.002,1,1,Click on the images containing bicycles.,"[""Cross (69).jpg"", ""Cross (95).jpg"", ""Car (59).jpg"", ""Stair (1388).jpg"", ""Bicycle (111).jpg"", ""Bicycle (117).jpg"", ""Palm (118).jpg"", ""Bicycle (363).jpg"", ""Tlight (130).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (111).jpg"", ""Bicycle (117).jpg"", ""Bicycle (363).jpg""]",777,1,1,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:38:53.307,2026-04-01T12:39:02.939,9.632,2,1,Click on the images containing bicycles.,"[""Car (136).jpg"", ""Hydrant (122).jpg"", ""Bus (62).jpg"", ""Bicycle (771).jpg"", ""Bicycle (61).jpg"", ""Bicycle (386).jpg"", ""Bicycle (279).jpg"", ""Tlight (138).jpg"", ""Bicycle (533).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T""]","[3, 4, 5, 6, 8]","[""Bicycle (771).jpg"", ""Bicycle (61).jpg"", ""Bicycle (386).jpg"", ""Bicycle (279).jpg"", ""Bicycle (533).jpg""]",772,2,2,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:02.945,2026-04-01T12:39:07.931,4.986,3,0,Click on the images containing bicycles.,"[""Palm (11).jpg"", ""Cross (85).jpg"", ""Bicycle (130).jpg"", ""Bicycle (349).jpg"", ""Chimney (45).jpg"", ""Bicycle (57).jpg"", ""Bicycle (161).jpg"", ""Bicycle (115).jpg"", ""Stair (1459).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (130).jpg"", ""Bicycle (349).jpg"", ""Bicycle (161).jpg"", ""Bicycle (115).jpg""]",767,3,2,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:09.940,2026-04-01T12:39:14.412,4.472,4,1,Click on the images containing bicycles.,"[""Bridge (42).jpg"", ""Bicycle (212).jpg"", ""Car (67).jpg"", ""Bridge (68).jpg"", ""Palm (80).jpg"", ""Bicycle (664).jpg"", ""Hydrant (70).jpg"", ""Hydrant (67).jpg"", ""Bicycle (17).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (212).jpg"", ""Bicycle (664).jpg"", ""Bicycle (17).jpg""]",764,4,3,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:14.418,2026-04-01T12:39:21.069,6.651,5,0,Click on the images containing bicycles.,"[""Bridge (84).jpg"", ""Bicycle (270).jpg"", ""Bicycle (148).jpg"", ""Bus (59).jpg"", ""Bicycle (501).jpg"", ""Bicycle (199).jpg"", ""Bicycle (293).jpg"", ""Bus (91).jpg"", ""Bridge (63).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 4, 5, 6]","[""Bicycle (270).jpg"", ""Bicycle (501).jpg"", ""Bicycle (199).jpg"", ""Bicycle (293).jpg""]",759,5,3,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:23.077,2026-04-01T12:39:29.275,6.198,6,1,Click on the images containing bicycles.,"[""Hydrant (42).jpg"", ""Hydrant (45).jpg"", ""Palm (19).jpg"", ""Hydrant (98).jpg"", ""Bicycle (155).jpg"", ""Bicycle (143).jpg"", ""Bicycle (13).jpg"", ""Bicycle (696).jpg"", ""Hydrant (129).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[4, 5, 6, 7]","[""Bicycle (155).jpg"", ""Bicycle (143).jpg"", ""Bicycle (13).jpg"", ""Bicycle (696).jpg""]",755,6,4,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:29.282,2026-04-01T12:39:30.763,1.481,7,0,Click on the images containing bicycles.,"[""Cross (15).jpg"", ""Bus (42).jpg"", ""Car (111).jpg"", ""Stair (1349).jpg"", ""Bicycle (68).jpg"", ""Bicycle (144).jpg"", ""Bicycle (108).jpg"", ""Bicycle (662).jpg"", ""Bicycle (67).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]",[],[],750,7,4,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:32.773,2026-04-01T12:39:39.652,6.879,8,0,Click on the images containing bicycles.,"[""Bridge (35).jpg"", ""Bicycle (469).jpg"", ""Bicycle (714).jpg"", ""Bicycle (93).jpg"", ""Car (113).jpg"", ""Chimney (49).jpg"", ""Bicycle (439).jpg"", ""Bicycle (73).jpg"", ""Stair (398).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 6, 7]","[""Bicycle (469).jpg"", ""Bicycle (714).jpg"", ""Bicycle (439).jpg"", ""Bicycle (73).jpg""]",745,8,4,10,submit,
41c4d435aa594fedb96603afa919e8b9,captcha_pre,210,18,female,2026-04-01T12:39:41.660,2026-04-01T12:39:51.980,10.32,9,0,Click on the images containing bicycles.,"[""Hydrant (112).jpg"", ""Bicycle (634).jpg"", ""Bicycle (23).jpg"", ""Bicycle (410).jpg"", ""Palm (106).jpg"", ""Bicycle (506).jpg"", ""Car (73).jpg"", ""Stair (672).jpg"", ""Bicycle (145).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 3, 5]","[""Bicycle (634).jpg"", ""Bicycle (23).jpg"", ""Bicycle (410).jpg"", ""Bicycle (506).jpg""]",740,9,4,10,submit,
