exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:23:16.362,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:23:16.381,2026-04-01T13:23:55.778,39.397,1,1,Click on the images containing bicycles.,"[""Bicycle (663).jpg"", ""Bridge (78).jpg"", ""Bicycle (241).jpg"", ""Bicycle (498).jpg"", ""Palm (78).jpg"", ""Bicycle (578).jpg"", ""Hydrant (87).jpg"", ""Bicycle (176).jpg"", ""Chimney (63).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 3, 5, 7]","[""Bicycle (663).jpg"", ""Bicycle (241).jpg"", ""Bicycle (498).jpg"", ""Bicycle (578).jpg"", ""Bicycle (176).jpg""]",775,1,1,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:23:55.783,2026-04-01T13:24:12.793,17.01,2,1,Click on the images containing bicycles.,"[""Bicycle (292).jpg"", ""Bicycle (404).jpg"", ""Bicycle (584).jpg"", ""Tlight (2).jpg"", ""Bicycle (538).jpg"", ""Bicycle (287).jpg"", ""Chimney (48).jpg"", ""Cross (83).jpg"", ""Cross (57).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 4, 5]","[""Bicycle (292).jpg"", ""Bicycle (404).jpg"", ""Bicycle (584).jpg"", ""Bicycle (538).jpg"", ""Bicycle (287).jpg""]",770,2,2,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:24:12.800,2026-04-01T13:24:18.838,6.038,3,1,Click on the images containing bicycles.,"[""Palm (94).jpg"", ""Bicycle (58).jpg"", ""Tlight (107).jpg"", ""Bicycle (431).jpg"", ""Chimney (90).jpg"", ""Stair (1459).jpg"", ""Bicycle (645).jpg"", ""Bus (125).jpg"", ""Tlight (108).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (58).jpg"", ""Bicycle (431).jpg"", ""Bicycle (645).jpg""]",767,3,3,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:24:18.847,2026-04-01T13:24:27.145,8.298,4,1,Click on the images containing bicycles.,"[""Bicycle (437).jpg"", ""Bicycle (511).jpg"", ""Bicycle (741).jpg"", ""Bicycle (688).jpg"", ""Tlight (136).jpg"", ""Bicycle (137).jpg"", ""Chimney (113).jpg"", ""Car (51).jpg"", ""Chimney (72).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 3, 5]","[""Bicycle (437).jpg"", ""Bicycle (511).jpg"", ""Bicycle (741).jpg"", ""Bicycle (688).jpg"", ""Bicycle (137).jpg""]",762,4,4,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:24:27.152,2026-04-01T13:24:35.882,8.73,5,1,Click on the images containing bicycles.,"[""Car (57).jpg"", ""Bicycle (387).jpg"", ""Car (44).jpg"", ""Tlight (110).jpg"", ""Bicycle (389).jpg"", ""Bicycle (339).jpg"", ""Stair (1224).jpg"", ""Bicycle (231).jpg"", ""Bicycle (734).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (387).jpg"", ""Bicycle (389).jpg"", ""Bicycle (339).jpg"", ""Bicycle (231).jpg"", ""Bicycle (734).jpg""]",757,5,5,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:24:35.888,2026-04-01T13:24:49.225,13.337,6,1,Click on the images containing bicycles.,"[""Bicycle (283).jpg"", ""Stair (1245).jpg"", ""Bicycle (419).jpg"", ""Hydrant (91).jpg"", ""Cross (51).jpg"", ""Car (59).jpg"", ""Bicycle (507).jpg"", ""Bicycle (122).jpg"", ""Bicycle (655).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (283).jpg"", ""Bicycle (419).jpg"", ""Bicycle (507).jpg"", ""Bicycle (122).jpg"", ""Bicycle (655).jpg""]",752,6,6,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:24:49.230,2026-04-01T13:24:57.897,8.667,7,1,Click on the images containing bicycles.,"[""Car (60).jpg"", ""Car (135).jpg"", ""Bicycle (198).jpg"", ""Hydrant (30).jpg"", ""Bicycle (209).jpg"", ""Bicycle (497).jpg"", ""Bicycle (641).jpg"", ""Bicycle (558).jpg"", ""Bridge (51).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[2, 4, 5, 6, 7]","[""Bicycle (198).jpg"", ""Bicycle (209).jpg"", ""Bicycle (497).jpg"", ""Bicycle (641).jpg"", ""Bicycle (558).jpg""]",747,7,7,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:24:57.904,2026-04-01T13:25:07.129,9.225,8,1,Click on the images containing bicycles.,"[""Chimney (107).jpg"", ""Hydrant (71).jpg"", ""Cross (89).jpg"", ""Car (45).jpg"", ""Bicycle (608).jpg"", ""Bicycle (240).jpg"", ""Palm (103).jpg"", ""Bicycle (273).jpg"", ""Cross (11).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (608).jpg"", ""Bicycle (240).jpg"", ""Bicycle (273).jpg""]",744,8,8,10,submit,
0e51f287c2f94f41bebe4f23d4f315ca,captcha_pre,211,18,male,2026-04-01T13:25:07.137,2026-04-01T13:25:13.657,6.52,9,0,Click on the images containing bicycles.,"[""Bicycle (413).jpg"", ""Bridge (84).jpg"", ""Bicycle (254).jpg"", ""Bicycle (476).jpg"", ""Bus (122).jpg"", ""Bridge (28).jpg"", ""Bus (101).jpg"", ""Cross (78).jpg"", ""Bicycle (184).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 8]","[""Bicycle (254).jpg"", ""Bicycle (476).jpg"", ""Bicycle (184).jpg""]",740,9,8,10,submit,
