exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:03:08.664,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:03:08.690,2026-09-15T14:03:46.065,37.375,1,1,Click on the images containing bicycles.,"[""Car (118).jpg"", ""Bicycle (214).jpg"", ""Bus (112).jpg"", ""Bicycle (643).jpg"", ""Bicycle (255).jpg"", ""Hydrant (28).jpg"", ""Bicycle (538).jpg"", ""Hydrant (40).jpg"", ""Bicycle (247).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 4, 6, 8]","[""Bicycle (214).jpg"", ""Bicycle (643).jpg"", ""Bicycle (255).jpg"", ""Bicycle (538).jpg"", ""Bicycle (247).jpg""]",775,1,1,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:03:46.070,2026-09-15T14:03:57.359,11.289,2,1,Click on the images containing bicycles.,"[""Bicycle (213).jpg"", ""Palm (69).jpg"", ""Hydrant (22).jpg"", ""Bicycle (397).jpg"", ""Bicycle (116).jpg"", ""Cross (53).jpg"", ""Bridge (127).jpg"", ""Car (37).jpg"", ""Bicycle (736).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 4, 8]","[""Bicycle (213).jpg"", ""Bicycle (397).jpg"", ""Bicycle (116).jpg"", ""Bicycle (736).jpg""]",771,2,2,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:03:57.364,2026-09-15T14:04:04.661,7.297,3,1,Click on the images containing bicycles.,"[""Stair (38).jpg"", ""Bridge (82).jpg"", ""Bus (32).jpg"", ""Bus (133).jpg"", ""Bicycle (509).jpg"", ""Hydrant (47).jpg"", ""Bicycle (402).jpg"", ""Bicycle (188).jpg"", ""Stair (1460).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (509).jpg"", ""Bicycle (402).jpg"", ""Bicycle (188).jpg""]",768,3,3,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:04:04.666,2026-09-15T14:04:17.821,13.155,4,1,Click on the images containing bicycles.,"[""Bus (140).jpg"", ""Tlight (72).jpg"", ""Bicycle (678).jpg"", ""Chimney (23).jpg"", ""Bicycle (196).jpg"", ""Bicycle (131).jpg"", ""Bicycle (752).jpg"", ""Stair (68).jpg"", ""Bus (71).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 4, 5, 6]","[""Bicycle (678).jpg"", ""Bicycle (196).jpg"", ""Bicycle (131).jpg"", ""Bicycle (752).jpg""]",764,4,4,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:04:17.827,2026-09-15T14:04:33.044,15.217,5,1,Click on the images containing bicycles.,"[""Bicycle (587).jpg"", ""Bus (105).jpg"", ""Hydrant (129).jpg"", ""Bridge (91).jpg"", ""Bicycle (690).jpg"", ""Bicycle (697).jpg"", ""Bicycle (540).jpg"", ""Tlight (2).jpg"", ""Stair (1454).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 4, 5, 6]","[""Bicycle (587).jpg"", ""Bicycle (690).jpg"", ""Bicycle (697).jpg"", ""Bicycle (540).jpg""]",760,5,5,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:04:33.049,2026-09-15T14:04:46.860,13.811,6,1,Click on the images containing bicycles.,"[""Car (47).jpg"", ""Car (100).jpg"", ""Palm (91).jpg"", ""Bicycle (205).jpg"", ""Bicycle (703).jpg"", ""Bicycle (374).jpg"", ""Bicycle (103).jpg"", ""Car (24).jpg"", ""Stair (1286).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[3, 4, 5, 6]","[""Bicycle (205).jpg"", ""Bicycle (703).jpg"", ""Bicycle (374).jpg"", ""Bicycle (103).jpg""]",756,6,6,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:04:46.864,2026-09-15T14:04:58.036,11.172,7,1,Click on the images containing bicycles.,"[""Bicycle (170).jpg"", ""Tlight (122).jpg"", ""Cross (74).jpg"", ""Bicycle (180).jpg"", ""Tlight (58).jpg"", ""Cross (90).jpg"", ""Bicycle (440).jpg"", ""Bicycle (94).jpg"", ""Tlight (55).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (170).jpg"", ""Bicycle (180).jpg"", ""Bicycle (440).jpg"", ""Bicycle (94).jpg""]",752,7,7,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:04:58.042,2026-09-15T14:05:04.147,6.105,8,0,Click on the images containing bicycles.,"[""Car (73).jpg"", ""Car (74).jpg"", ""Cross (48).jpg"", ""Car (127).jpg"", ""Bicycle (254).jpg"", ""Bicycle (524).jpg"", ""Cross (10).jpg"", ""Bicycle (775).jpg"", ""Bicycle (327).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 8]","[""Bicycle (254).jpg"", ""Bicycle (524).jpg"", ""Bicycle (327).jpg""]",748,8,7,10,submit,
ebe2a3c63df545d2a8ffc890bc6fb355,captcha_pre,211,19,female,2026-09-15T14:05:06.157,2026-09-15T14:05:13.483,7.326,9,1,Click on the images containing bicycles.,"[""Bicycle (326).jpg"", ""Hydrant (119).jpg"", ""Bicycle (714).jpg"", ""Bicycle (455).jpg"", ""Hydrant (87).jpg"", ""Bridge (49).jpg"", ""Cross (70).jpg"", ""Car (120).jpg"", ""Cross (52).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3]","[""Bicycle (326).jpg"", ""Bicycle (714).jpg"", ""Bicycle (455).jpg""]",745,9,8,10,submit,
