exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:57:32.983,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:57:33.008,2026-04-02T11:58:15.212,42.204,1,1,Click on the images containing bicycles.,"[""Bicycle (707).jpg"", ""Tlight (56).jpg"", ""Bridge (27).jpg"", ""Hydrant (61).jpg"", ""Tlight (44).jpg"", ""Bicycle (114).jpg"", ""Hydrant (60).jpg"", ""Bicycle (361).jpg"", ""Chimney (121).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (707).jpg"", ""Bicycle (114).jpg"", ""Bicycle (361).jpg""]",777,1,1,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:58:15.218,2026-04-02T11:58:36.035,20.817,2,0,Click on the images containing bicycles.,"[""Bicycle (23).jpg"", ""Bicycle (70).jpg"", ""Tlight (125).jpg"", ""Bicycle (723).jpg"", ""Stair (1456).jpg"", ""Bicycle (211).jpg"", ""Bridge (52).jpg"", ""Bridge (111).jpg"", ""Chimney (52).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (23).jpg"", ""Bicycle (70).jpg"", ""Bicycle (211).jpg""]",773,2,1,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:58:38.043,2026-04-02T11:58:50.523,12.48,3,1,Click on the images containing bicycles.,"[""Bicycle (260).jpg"", ""Hydrant (69).jpg"", ""Stair (1098).jpg"", ""Chimney (124).jpg"", ""Bicycle (714).jpg"", ""Bicycle (459).jpg"", ""Chimney (30).jpg"", ""Bicycle (343).jpg"", ""Bicycle (596).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[0, 4, 5, 7, 8]","[""Bicycle (260).jpg"", ""Bicycle (714).jpg"", ""Bicycle (459).jpg"", ""Bicycle (343).jpg"", ""Bicycle (596).jpg""]",768,3,2,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:58:50.530,2026-04-02T11:59:00.443,9.913,4,1,Click on the images containing bicycles.,"[""Car (118).jpg"", ""Car (108).jpg"", ""Bicycle (770).jpg"", ""Cross (27).jpg"", ""Car (22).jpg"", ""Bicycle (77).jpg"", ""Chimney (44).jpg"", ""Bridge (38).jpg"", ""Bicycle (165).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 5, 8]","[""Bicycle (770).jpg"", ""Bicycle (77).jpg"", ""Bicycle (165).jpg""]",765,4,3,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:00.449,2026-04-02T11:59:11.756,11.307,5,1,Click on the images containing bicycles.,"[""Palm (125).jpg"", ""Bicycle (610).jpg"", ""Bridge (103).jpg"", ""Bicycle (719).jpg"", ""Bicycle (600).jpg"", ""Bicycle (549).jpg"", ""Cross (77).jpg"", ""Car (125).jpg"", ""Bicycle (569).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 4, 5, 8]","[""Bicycle (610).jpg"", ""Bicycle (719).jpg"", ""Bicycle (600).jpg"", ""Bicycle (549).jpg"", ""Bicycle (569).jpg""]",760,5,4,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:11.763,2026-04-02T11:59:19.204,7.441,6,1,Click on the images containing bicycles.,"[""Bicycle (353).jpg"", ""Bicycle (112).jpg"", ""Palm (110).jpg"", ""Bicycle (67).jpg"", ""Tlight (9).jpg"", ""Tlight (20).jpg"", ""Bus (116).jpg"", ""Cross (10).jpg"", ""Bus (98).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (353).jpg"", ""Bicycle (112).jpg"", ""Bicycle (67).jpg""]",757,6,5,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:19.211,2026-04-02T11:59:27.236,8.025,7,1,Click on the images containing bicycles.,"[""Cross (26).jpg"", ""Palm (108).jpg"", ""Bicycle (244).jpg"", ""Bicycle (631).jpg"", ""Hydrant (71).jpg"", ""Cross (113).jpg"", ""Bicycle (120).jpg"", ""Hydrant (77).jpg"", ""Palm (101).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 6]","[""Bicycle (244).jpg"", ""Bicycle (631).jpg"", ""Bicycle (120).jpg""]",754,7,6,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:27.242,2026-04-02T11:59:43.852,16.61,8,1,Click on the images containing bicycles.,"[""Palm (94).jpg"", ""Hydrant (66).jpg"", ""Bicycle (131).jpg"", ""Chimney (53).jpg"", ""Bicycle (507).jpg"", ""Bicycle (83).jpg"", ""Bicycle (581).jpg"", ""Hydrant (48).jpg"", ""Stair (1095).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 4, 5, 6]","[""Bicycle (131).jpg"", ""Bicycle (507).jpg"", ""Bicycle (83).jpg"", ""Bicycle (581).jpg""]",750,8,7,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:43.857,2026-04-02T11:59:50.802,6.945,9,1,Click on the images containing bicycles.,"[""Car (54).jpg"", ""Bicycle (179).jpg"", ""Bridge (42).jpg"", ""Bicycle (464).jpg"", ""Bicycle (42).jpg"", ""Bicycle (703).jpg"", ""Bicycle (418).jpg"", ""Chimney (111).jpg"", ""Hydrant (86).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (179).jpg"", ""Bicycle (464).jpg"", ""Bicycle (42).jpg"", ""Bicycle (703).jpg"", ""Bicycle (418).jpg""]",745,9,8,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:50.809,2026-04-02T11:59:55.996,5.187,10,1,Click on the images containing bicycles.,"[""Bridge (110).jpg"", ""Bicycle (198).jpg"", ""Bicycle (35).jpg"", ""Bus (65).jpg"", ""Bicycle (49).jpg"", ""Car (123).jpg"", ""Bicycle (341).jpg"", ""Bicycle (15).jpg"", ""Chimney (3).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 4, 6, 7]","[""Bicycle (198).jpg"", ""Bicycle (35).jpg"", ""Bicycle (49).jpg"", ""Bicycle (341).jpg"", ""Bicycle (15).jpg""]",740,10,9,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T11:59:56.000,2026-04-02T12:00:01.676,5.676,11,0,Click on the images containing bicycles.,"[""Bicycle (698).jpg"", ""Bicycle (487).jpg"", ""Bicycle (25).jpg"", ""Stair (1227).jpg"", ""Bicycle (564).jpg"", ""Chimney (15).jpg"", ""Car (101).jpg"", ""Bridge (129).jpg"", ""Bicycle (568).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 4, 8]","[""Bicycle (698).jpg"", ""Bicycle (487).jpg"", ""Bicycle (564).jpg"", ""Bicycle (568).jpg""]",735,11,9,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T12:00:03.684,2026-04-02T12:00:11.419,7.735,12,1,Click on the images containing bicycles.,"[""Cross (46).jpg"", ""Cross (1).jpg"", ""Chimney (104).jpg"", ""Bicycle (716).jpg"", ""Bicycle (230).jpg"", ""Cross (102).jpg"", ""Bus (58).jpg"", ""Bicycle (110).jpg"", ""Bicycle (431).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[3, 4, 7, 8]","[""Bicycle (716).jpg"", ""Bicycle (230).jpg"", ""Bicycle (110).jpg"", ""Bicycle (431).jpg""]",731,12,10,10,submit,
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_pre,212,17,female,2026-04-02T12:00:03.684,2026-04-02T12:00:11.425,7.741,12,,Click on the images containing bicycles.,[],[],[],[],731,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
28d3eb02ba2a436c8d137ee09d8f8ad5,q_pre_captcha,212,17,female,2026-04-02T12:00:11.436,2026-04-02T12:00:38.772,27.336,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""5"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""2"", ""captcha_task_difficulty"": ""2""}"
28d3eb02ba2a436c8d137ee09d8f8ad5,q_pre_idaq,212,17,female,2026-04-02T12:00:38.787,2026-04-02T12:04:41.264,242.477,,,,,,,,,,,,submit,"{""idaq_14"": ""3"", ""idaq_23"": ""3"", ""idaq_6"": ""8"", ""idaq_12"": ""9"", ""idaq_3"": ""9"", ""idaq_24"": ""9"", ""idaq_7"": ""2"", ""idaq_17"": ""2"", ""idaq_25"": ""8"", ""idaq_2"": ""6"", ""idaq_28"": ""4"", ""idaq_11"": ""2"", ""idaq_18"": ""7"", ""idaq_22"": ""9"", ""idaq_21"": ""8"", ""idaq_1"": ""3"", ""idaq_19"": ""9"", ""idaq_13"": ""1"", ""idaq_27"": ""7"", ""idaq_5"": ""8"", ""idaq_29"": ""9"", ""idaq_4"": ""2"", ""idaq_8"": ""5"", ""idaq_30"": ""6"", ""idaq_26"": ""7"", ""idaq_9"": ""1"", ""idaq_15"": ""3"", ""idaq_20"": ""9"", ""idaq_10"": ""8"", ""idaq_16"": ""10""}"
28d3eb02ba2a436c8d137ee09d8f8ad5,q_pre_2050,212,17,female,2026-04-02T12:04:41.276,2026-04-02T12:06:38.099,116.823,,,,,,,,,,,,submit,"{""2050_neurosurgery"": ""5"", ""2050_rights"": ""7"", ""2050_sports"": ""3"", ""2050_other_worlds"": ""7"", ""2050_crime"": ""6"", ""2050_hiking"": ""6"", ""2050_mannequins"": ""7"", ""2050_art"": ""7"", ""2050_school"": ""8"", ""2050_shelters"": ""2"", ""2050_police"": ""4"", ""2050_flight_attendants"": ""4"", ""2050_experiments"": ""7"", ""2050_rubbish_collectors"": ""8"", ""2050_nursing_home"": ""3""}"
28d3eb02ba2a436c8d137ee09d8f8ad5,q_post_gators,212,17,female,2026-04-02T12:23:52.560,2026-04-02T12:25:42.204,109.644,,,,,,,,,,,,submit,"{""gators_12"": ""7"", ""gators_3"": ""5"", ""gators_1"": ""3"", ""gators_6"": ""4"", ""gators_4"": ""3"", ""gators_11"": ""7"", ""gators_15"": ""6"", ""gators_2"": ""7"", ""gators_10"": ""6"", ""gators_19"": ""7"", ""gators_17"": ""7"", ""gators_18"": ""7"", ""gators_14"": ""6"", ""gators_7"": ""6"", ""gators_8"": ""6"", ""gators_20"": ""6"", ""gators_16"": ""6"", ""gators_9"": ""4"", ""gators_13"": ""4"", ""gators_5"": ""2""}"
28d3eb02ba2a436c8d137ee09d8f8ad5,q_post_specific,212,17,female,2026-04-02T12:25:42.222,2026-04-02T12:26:10.772,28.55,,,,,,,,,,,,submit,"{""robot_likeability"": ""6"", ""robot_empathy"": ""5"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""5"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""5""}"
28d3eb02ba2a436c8d137ee09d8f8ad5,captcha_post,212,17,female,2026-04-02T12:26:10.826,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
