exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:01:56.687,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:01:56.716,2026-09-15T15:02:34.880,38.164,1,1,Click on the images containing bicycles.,"[""Bridge (82).jpg"", ""Car (27).jpg"", ""Bicycle (322).jpg"", ""Chimney (22).jpg"", ""Bicycle (156).jpg"", ""Bicycle (196).jpg"", ""Hydrant (111).jpg"", ""Bridge (58).jpg"", ""Bicycle (149).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 4, 5, 8]","[""Bicycle (322).jpg"", ""Bicycle (156).jpg"", ""Bicycle (196).jpg"", ""Bicycle (149).jpg""]",776,1,1,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:02:34.888,2026-09-15T15:02:45.770,10.882,2,1,Click on the images containing bicycles.,"[""Chimney (102).jpg"", ""Bicycle (692).jpg"", ""Bus (81).jpg"", ""Bicycle (239).jpg"", ""Palm (126).jpg"", ""Bicycle (698).jpg"", ""Bicycle (714).jpg"", ""Hydrant (74).jpg"", ""Hydrant (140).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 5, 6]","[""Bicycle (692).jpg"", ""Bicycle (239).jpg"", ""Bicycle (698).jpg"", ""Bicycle (714).jpg""]",772,2,2,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:02:45.776,2026-09-15T15:02:55.763,9.987,3,1,Click on the images containing bicycles.,"[""Bicycle (484).jpg"", ""Tlight (51).jpg"", ""Bicycle (376).jpg"", ""Bicycle (619).jpg"", ""Hydrant (80).jpg"", ""Stair (443).jpg"", ""Bridge (66).jpg"", ""Bridge (60).jpg"", ""Bicycle (125).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 8]","[""Bicycle (484).jpg"", ""Bicycle (376).jpg"", ""Bicycle (619).jpg"", ""Bicycle (125).jpg""]",768,3,3,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:02:55.768,2026-09-15T15:03:06.339,10.571,4,1,Click on the images containing bicycles.,"[""Bicycle (464).jpg"", ""Palm (1).jpg"", ""Chimney (29).jpg"", ""Car (94).jpg"", ""Cross (85).jpg"", ""Stair (68).jpg"", ""Bicycle (446).jpg"", ""Bicycle (531).jpg"", ""Stair (439).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (464).jpg"", ""Bicycle (446).jpg"", ""Bicycle (531).jpg""]",765,4,4,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:03:06.344,2026-09-15T15:03:21.099,14.755,5,1,Click on the images containing bicycles.,"[""Bicycle (309).jpg"", ""Car (38).jpg"", ""Bridge (54).jpg"", ""Bicycle (489).jpg"", ""Chimney (53).jpg"", ""Tlight (72).jpg"", ""Bus (41).jpg"", ""Bus (35).jpg"", ""Bicycle (3).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (309).jpg"", ""Bicycle (489).jpg"", ""Bicycle (3).jpg""]",762,5,5,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:03:21.105,2026-09-15T15:03:36.923,15.818,6,1,Click on the images containing bicycles.,"[""Bicycle (2).jpg"", ""Bicycle (403).jpg"", ""Bicycle (427).jpg"", ""Bicycle (263).jpg"", ""Bridge (77).jpg"", ""Palm (46).jpg"", ""Stair (14).jpg"", ""Hydrant (75).jpg"", ""Bridge (26).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (2).jpg"", ""Bicycle (403).jpg"", ""Bicycle (427).jpg"", ""Bicycle (263).jpg""]",758,6,6,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:03:36.928,2026-09-15T15:03:51.919,14.991,7,1,Click on the images containing bicycles.,"[""Bicycle (76).jpg"", ""Bicycle (465).jpg"", ""Bicycle (474).jpg"", ""Tlight (69).jpg"", ""Bus (49).jpg"", ""Bicycle (575).jpg"", ""Bicycle (9).jpg"", ""Car (39).jpg"", ""Palm (127).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 2, 5, 6]","[""Bicycle (76).jpg"", ""Bicycle (465).jpg"", ""Bicycle (474).jpg"", ""Bicycle (575).jpg"", ""Bicycle (9).jpg""]",753,7,7,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:03:51.924,2026-09-15T15:04:06.340,14.416,8,0,Click on the images containing bicycles.,"[""Bus (135).jpg"", ""Bicycle (338).jpg"", ""Bridge (107).jpg"", ""Cross (105).jpg"", ""Bicycle (31).jpg"", ""Bicycle (409).jpg"", ""Cross (21).jpg"", ""Bicycle (131).jpg"", ""Bicycle (35).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 5, 7, 8]","[""Bicycle (338).jpg"", ""Bicycle (409).jpg"", ""Bicycle (131).jpg"", ""Bicycle (35).jpg""]",748,8,7,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:04:08.349,2026-09-15T15:04:16.748,8.399,9,1,Click on the images containing bicycles.,"[""Cross (1).jpg"", ""Cross (56).jpg"", ""Car (50).jpg"", ""Bicycle (547).jpg"", ""Stair (1467).jpg"", ""Chimney (25).jpg"", ""Stair (1134).jpg"", ""Bicycle (123).jpg"", ""Bicycle (502).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (547).jpg"", ""Bicycle (123).jpg"", ""Bicycle (502).jpg""]",745,9,8,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:04:16.752,2026-09-15T15:04:24.650,7.898,10,1,Click on the images containing bicycles.,"[""Bicycle (422).jpg"", ""Bicycle (223).jpg"", ""Bus (110).jpg"", ""Bicycle (428).jpg"", ""Bus (39).jpg"", ""Palm (48).jpg"", ""Tlight (52).jpg"", ""Palm (132).jpg"", ""Bus (21).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (422).jpg"", ""Bicycle (223).jpg"", ""Bicycle (428).jpg""]",742,10,9,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:04:24.655,2026-09-15T15:04:40.644,15.989,11,1,Click on the images containing bicycles.,"[""Tlight (140).jpg"", ""Cross (63).jpg"", ""Bicycle (30).jpg"", ""Bicycle (242).jpg"", ""Palm (117).jpg"", ""Bicycle (524).jpg"", ""Bicycle (734).jpg"", ""Bridge (70).jpg"", ""Bicycle (702).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[2, 3, 5, 6, 8]","[""Bicycle (30).jpg"", ""Bicycle (242).jpg"", ""Bicycle (524).jpg"", ""Bicycle (734).jpg"", ""Bicycle (702).jpg""]",737,11,10,10,submit,
46b9e0df766b4f43811fbd80d785b64b,captcha_pre,212,26,female,2026-09-15T15:04:24.655,2026-09-15T15:04:44.145,19.49,11,,Click on the images containing bicycles.,[],[],[],[],737,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
46b9e0df766b4f43811fbd80d785b64b,q_pre_captcha,212,26,female,2026-09-15T15:04:44.155,2026-09-15T15:05:12.898,28.743,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""5"", ""captcha_task_meaningfulness"": ""3"", ""general_captcha_liking"": ""3"", ""captcha_task_fun"": ""4"", ""captcha_task_difficulty"": ""2""}"
