exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:00:42.865,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:00:42.886,2026-04-02T13:01:23.730,40.844,1,1,Click on the images containing bicycles.,"[""Bicycle (256).jpg"", ""Palm (137).jpg"", ""Cross (103).jpg"", ""Bicycle (451).jpg"", ""Bicycle (87).jpg"", ""Cross (118).jpg"", ""Palm (130).jpg"", ""Bicycle (578).jpg"", ""Bicycle (413).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (256).jpg"", ""Bicycle (451).jpg"", ""Bicycle (87).jpg"", ""Bicycle (578).jpg"", ""Bicycle (413).jpg""]",775,1,1,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:01:23.737,2026-04-02T13:01:32.689,8.952,2,1,Click on the images containing bicycles.,"[""Car (136).jpg"", ""Bicycle (320).jpg"", ""Tlight (83).jpg"", ""Bus (93).jpg"", ""Bicycle (743).jpg"", ""Bridge (28).jpg"", ""Bicycle (419).jpg"", ""Chimney (71).jpg"", ""Bicycle (404).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 4, 6, 8]","[""Bicycle (320).jpg"", ""Bicycle (743).jpg"", ""Bicycle (419).jpg"", ""Bicycle (404).jpg""]",771,2,2,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:01:32.696,2026-04-02T13:01:41.697,9.001,3,1,Click on the images containing bicycles.,"[""Bicycle (108).jpg"", ""Bicycle (96).jpg"", ""Bicycle (5).jpg"", ""Bicycle (233).jpg"", ""Bus (138).jpg"", ""Bicycle (22).jpg"", ""Bus (139).jpg"", ""Tlight (121).jpg"", ""Palm (63).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 3, 5]","[""Bicycle (108).jpg"", ""Bicycle (96).jpg"", ""Bicycle (5).jpg"", ""Bicycle (233).jpg"", ""Bicycle (22).jpg""]",766,3,3,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:01:41.704,2026-04-02T13:01:54.353,12.649,4,1,Click on the images containing bicycles.,"[""Car (37).jpg"", ""Hydrant (25).jpg"", ""Stair (339).jpg"", ""Car (108).jpg"", ""Car (112).jpg"", ""Bicycle (613).jpg"", ""Car (65).jpg"", ""Bicycle (382).jpg"", ""Bicycle (416).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (613).jpg"", ""Bicycle (382).jpg"", ""Bicycle (416).jpg""]",763,4,4,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:01:54.360,2026-04-02T13:02:02.473,8.113,5,1,Click on the images containing bicycles.,"[""Cross (81).jpg"", ""Bicycle (541).jpg"", ""Bicycle (772).jpg"", ""Chimney (92).jpg"", ""Bicycle (6).jpg"", ""Tlight (91).jpg"", ""Tlight (135).jpg"", ""Bicycle (519).jpg"", ""Bicycle (288).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 4, 7, 8]","[""Bicycle (541).jpg"", ""Bicycle (772).jpg"", ""Bicycle (6).jpg"", ""Bicycle (519).jpg"", ""Bicycle (288).jpg""]",758,5,5,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:02:02.479,2026-04-02T13:02:13.121,10.642,6,0,Click on the images containing bicycles.,"[""Stair (116).jpg"", ""Tlight (126).jpg"", ""Car (51).jpg"", ""Bicycle (304).jpg"", ""Bicycle (293).jpg"", ""Tlight (114).jpg"", ""Tlight (136).jpg"", ""Hydrant (125).jpg"", ""Bicycle (123).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[3, 8]","[""Bicycle (304).jpg"", ""Bicycle (123).jpg""]",755,6,5,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:02:15.130,2026-04-02T13:02:26.344,11.214,7,1,Click on the images containing bicycles.,"[""Chimney (21).jpg"", ""Chimney (34).jpg"", ""Stair (1401).jpg"", ""Car (133).jpg"", ""Bicycle (321).jpg"", ""Bicycle (401).jpg"", ""Bicycle (373).jpg"", ""Bicycle (753).jpg"", ""Bicycle (769).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]","[4, 5, 6, 7, 8]","[""Bicycle (321).jpg"", ""Bicycle (401).jpg"", ""Bicycle (373).jpg"", ""Bicycle (753).jpg"", ""Bicycle (769).jpg""]",750,7,6,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:02:26.350,2026-04-02T13:02:34.896,8.546,8,1,Click on the images containing bicycles.,"[""Bridge (36).jpg"", ""Hydrant (58).jpg"", ""Car (56).jpg"", ""Bicycle (759).jpg"", ""Bicycle (489).jpg"", ""Bus (37).jpg"", ""Bicycle (216).jpg"", ""Bridge (83).jpg"", ""Palm (8).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 4, 6]","[""Bicycle (759).jpg"", ""Bicycle (489).jpg"", ""Bicycle (216).jpg""]",747,8,7,10,submit,
1aad827625794bcaac83d8e110e7b4db,captcha_pre,213,18,female,2026-04-02T13:02:34.902,2026-04-02T13:02:42.881,7.979,9,0,Click on the images containing bicycles.,"[""Car (58).jpg"", ""Bicycle (728).jpg"", ""Bicycle (547).jpg"", ""Bicycle (254).jpg"", ""Bicycle (203).jpg"", ""Bus (80).jpg"", ""Hydrant (40).jpg"", ""Bridge (37).jpg"", ""Bicycle (623).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 4, 8]","[""Bicycle (547).jpg"", ""Bicycle (254).jpg"", ""Bicycle (203).jpg"", ""Bicycle (623).jpg""]",742,9,7,10,submit,
