exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:03:21.940,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:03:21.972,2026-09-16T10:03:51.116,29.144,1,1,Click on the images containing bicycles.,"[""Tlight (93).jpg"", ""Cross (65).jpg"", ""Bicycle (83).jpg"", ""Car (127).jpg"", ""Bicycle (3).jpg"", ""Bicycle (188).jpg"", ""Cross (46).jpg"", ""Hydrant (79).jpg"", ""Palm (71).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 4, 5]","[""Bicycle (83).jpg"", ""Bicycle (3).jpg"", ""Bicycle (188).jpg""]",777,1,1,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:03:51.121,2026-09-16T10:04:01.258,10.137,2,1,Click on the images containing bicycles.,"[""Palm (72).jpg"", ""Bicycle (133).jpg"", ""Bicycle (655).jpg"", ""Bridge (76).jpg"", ""Stair (1466).jpg"", ""Bicycle (488).jpg"", ""Bicycle (754).jpg"", ""Palm (104).jpg"", ""Tlight (129).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 5, 6]","[""Bicycle (133).jpg"", ""Bicycle (655).jpg"", ""Bicycle (488).jpg"", ""Bicycle (754).jpg""]",773,2,2,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:04:01.264,2026-09-16T10:04:14.809,13.545,3,0,Click on the images containing bicycles.,"[""Hydrant (38).jpg"", ""Bicycle (242).jpg"", ""Cross (33).jpg"", ""Palm (99).jpg"", ""Car (96).jpg"", ""Bicycle (444).jpg"", ""Bicycle (746).jpg"", ""Cross (63).jpg"", ""Bicycle (592).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (242).jpg"", ""Bicycle (444).jpg"", ""Bicycle (592).jpg""]",769,3,2,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:04:16.817,2026-09-16T10:04:33.930,17.113,4,1,Click on the images containing bicycles.,"[""Tlight (111).jpg"", ""Bicycle (196).jpg"", ""Bus (21).jpg"", ""Palm (120).jpg"", ""Bridge (104).jpg"", ""Bicycle (103).jpg"", ""Tlight (62).jpg"", ""Bicycle (223).jpg"", ""Stair (705).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (196).jpg"", ""Bicycle (103).jpg"", ""Bicycle (223).jpg""]",766,4,3,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:04:33.935,2026-09-16T10:04:56.505,22.57,5,1,Click on the images containing bicycles.,"[""Cross (36).jpg"", ""Bridge (79).jpg"", ""Bicycle (53).jpg"", ""Tlight (42).jpg"", ""Stair (1391).jpg"", ""Bicycle (609).jpg"", ""Bicycle (740).jpg"", ""Bicycle (598).jpg"", ""Bicycle (537).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[2, 5, 6, 7, 8]","[""Bicycle (53).jpg"", ""Bicycle (609).jpg"", ""Bicycle (740).jpg"", ""Bicycle (598).jpg"", ""Bicycle (537).jpg""]",761,5,4,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:04:56.510,2026-09-16T10:05:12.147,15.637,6,1,Click on the images containing bicycles.,"[""Bicycle (502).jpg"", ""Bicycle (145).jpg"", ""Stair (499).jpg"", ""Bicycle (456).jpg"", ""Chimney (65).jpg"", ""Stair (1349).jpg"", ""Car (48).jpg"", ""Bicycle (97).jpg"", ""Palm (73).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 3, 7]","[""Bicycle (502).jpg"", ""Bicycle (145).jpg"", ""Bicycle (456).jpg"", ""Bicycle (97).jpg""]",757,6,5,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:05:12.151,2026-09-16T10:05:28.699,16.548,7,1,Click on the images containing bicycles.,"[""Bicycle (396).jpg"", ""Bicycle (613).jpg"", ""Bridge (108).jpg"", ""Cross (13).jpg"", ""Hydrant (71).jpg"", ""Stair (1098).jpg"", ""Bicycle (30).jpg"", ""Bicycle (81).jpg"", ""Cross (64).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (396).jpg"", ""Bicycle (613).jpg"", ""Bicycle (30).jpg"", ""Bicycle (81).jpg""]",753,7,6,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:05:28.704,2026-09-16T10:05:44.682,15.978,8,1,Click on the images containing bicycles.,"[""Car (139).jpg"", ""Bicycle (195).jpg"", ""Bus (132).jpg"", ""Bicycle (154).jpg"", ""Bus (75).jpg"", ""Bridge (40).jpg"", ""Bicycle (16).jpg"", ""Bicycle (450).jpg"", ""Car (79).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 3, 6, 7]","[""Bicycle (195).jpg"", ""Bicycle (154).jpg"", ""Bicycle (16).jpg"", ""Bicycle (450).jpg""]",749,8,7,10,submit,
d7b30d41ade74fc5aa5598790aa5996a,captcha_pre,213,22,female,2026-09-16T10:05:44.687,2026-09-16T10:05:59.465,14.778,9,1,Click on the images containing bicycles.,"[""Bicycle (126).jpg"", ""Stair (838).jpg"", ""Hydrant (32).jpg"", ""Palm (63).jpg"", ""Tlight (1).jpg"", ""Bus (68).jpg"", ""Bicycle (591).jpg"", ""Bicycle (185).jpg"", ""Chimney (72).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (126).jpg"", ""Bicycle (591).jpg"", ""Bicycle (185).jpg""]",746,9,8,10,submit,
