exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T10:59:38.848,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T10:59:38.879,2026-09-16T11:00:14.222,35.343,1,1,Click on the images containing bicycles.,"[""Bicycle (480).jpg"", ""Bus (92).jpg"", ""Tlight (50).jpg"", ""Bus (40).jpg"", ""Tlight (20).jpg"", ""Car (99).jpg"", ""Bicycle (289).jpg"", ""Cross (35).jpg"", ""Bicycle (680).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (480).jpg"", ""Bicycle (289).jpg"", ""Bicycle (680).jpg""]",777,1,1,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:00:14.226,2026-09-16T11:00:24.437,10.211,2,1,Click on the images containing bicycles.,"[""Car (136).jpg"", ""Bus (72).jpg"", ""Palm (113).jpg"", ""Bicycle (703).jpg"", ""Chimney (39).jpg"", ""Bicycle (635).jpg"", ""Bicycle (651).jpg"", ""Hydrant (96).jpg"", ""Palm (64).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[3, 5, 6]","[""Bicycle (703).jpg"", ""Bicycle (635).jpg"", ""Bicycle (651).jpg""]",774,2,2,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:00:24.442,2026-09-16T11:00:35.077,10.635,3,1,Click on the images containing bicycles.,"[""Bicycle (636).jpg"", ""Tlight (8).jpg"", ""Stair (705).jpg"", ""Chimney (57).jpg"", ""Stair (469).jpg"", ""Stair (567).jpg"", ""Cross (13).jpg"", ""Bicycle (355).jpg"", ""Bicycle (114).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 7, 8]","[""Bicycle (636).jpg"", ""Bicycle (355).jpg"", ""Bicycle (114).jpg""]",771,3,3,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:00:35.081,2026-09-16T11:00:48.693,13.612,4,1,Click on the images containing bicycles.,"[""Bicycle (245).jpg"", ""Cross (63).jpg"", ""Cross (61).jpg"", ""Palm (10).jpg"", ""Bus (27).jpg"", ""Hydrant (122).jpg"", ""Bicycle (313).jpg"", ""Bicycle (751).jpg"", ""Palm (1).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (245).jpg"", ""Bicycle (313).jpg"", ""Bicycle (751).jpg""]",768,4,4,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:00:48.698,2026-09-16T11:01:01.692,12.994,5,1,Click on the images containing bicycles.,"[""Bicycle (317).jpg"", ""Stair (1358).jpg"", ""Bridge (128).jpg"", ""Hydrant (119).jpg"", ""Palm (47).jpg"", ""Bicycle (50).jpg"", ""Bicycle (389).jpg"", ""Chimney (18).jpg"", ""Bicycle (133).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 5, 6, 8]","[""Bicycle (317).jpg"", ""Bicycle (50).jpg"", ""Bicycle (389).jpg"", ""Bicycle (133).jpg""]",764,5,5,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:01:01.696,2026-09-16T11:01:12.270,10.574,6,0,Click on the images containing bicycles.,"[""Cross (98).jpg"", ""Bicycle (534).jpg"", ""Bicycle (513).jpg"", ""Chimney (37).jpg"", ""Stair (427).jpg"", ""Bicycle (414).jpg"", ""Bus (65).jpg"", ""Bicycle (14).jpg"", ""Cross (89).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (534).jpg"", ""Bicycle (414).jpg"", ""Bicycle (14).jpg""]",760,6,5,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:01:14.279,2026-09-16T11:01:24.709,10.43,7,1,Click on the images containing bicycles.,"[""Bus (62).jpg"", ""Cross (84).jpg"", ""Bus (86).jpg"", ""Hydrant (108).jpg"", ""Bicycle (535).jpg"", ""Tlight (110).jpg"", ""Bicycle (296).jpg"", ""Bicycle (231).jpg"", ""Chimney (31).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (535).jpg"", ""Bicycle (296).jpg"", ""Bicycle (231).jpg""]",757,7,6,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:01:24.714,2026-09-16T11:01:33.981,9.267,8,1,Click on the images containing bicycles.,"[""Car (32).jpg"", ""Bicycle (274).jpg"", ""Cross (11).jpg"", ""Cross (65).jpg"", ""Bicycle (392).jpg"", ""Bicycle (206).jpg"", ""Bus (140).jpg"", ""Palm (43).jpg"", ""Bridge (43).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 4, 5]","[""Bicycle (274).jpg"", ""Bicycle (392).jpg"", ""Bicycle (206).jpg""]",754,8,7,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:01:33.985,2026-09-16T11:01:45.437,11.452,9,1,Click on the images containing bicycles.,"[""Bicycle (497).jpg"", ""Chimney (109).jpg"", ""Bicycle (407).jpg"", ""Bicycle (52).jpg"", ""Bus (48).jpg"", ""Cross (74).jpg"", ""Bicycle (760).jpg"", ""Cross (93).jpg"", ""Bicycle (279).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 3, 6, 8]","[""Bicycle (497).jpg"", ""Bicycle (407).jpg"", ""Bicycle (52).jpg"", ""Bicycle (760).jpg"", ""Bicycle (279).jpg""]",749,9,8,10,submit,
f015c2847449411bb642b7d37dce8f07,captcha_pre,214,19,female,2026-09-16T11:01:45.441,2026-09-16T11:01:55.317,9.876,10,1,Click on the images containing bicycles.,"[""Stair (1240).jpg"", ""Bicycle (479).jpg"", ""Cross (120).jpg"", ""Bus (54).jpg"", ""Bicycle (759).jpg"", ""Bus (44).jpg"", ""Bus (123).jpg"", ""Bicycle (325).jpg"", ""Bus (57).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 4, 7]","[""Bicycle (479).jpg"", ""Bicycle (759).jpg"", ""Bicycle (325).jpg""]",746,10,9,10,submit,
