exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:03:11.521,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:03:11.548,2026-09-16T14:03:49.231,37.683,1,1,Click on the images containing bicycles.,"[""Bicycle (92).jpg"", ""Stair (1191).jpg"", ""Bicycle (287).jpg"", ""Bicycle (509).jpg"", ""Car (77).jpg"", ""Bus (62).jpg"", ""Cross (79).jpg"", ""Bicycle (362).jpg"", ""Tlight (83).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 7]","[""Bicycle (92).jpg"", ""Bicycle (287).jpg"", ""Bicycle (509).jpg"", ""Bicycle (362).jpg""]",776,1,1,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:03:49.235,2026-09-16T14:04:08.094,18.859,2,1,Click on the images containing bicycles.,"[""Bicycle (512).jpg"", ""Bicycle (406).jpg"", ""Car (122).jpg"", ""Bicycle (139).jpg"", ""Bicycle (367).jpg"", ""Chimney (7).jpg"", ""Bicycle (706).jpg"", ""Bus (102).jpg"", ""Bridge (84).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 3, 4, 6]","[""Bicycle (512).jpg"", ""Bicycle (406).jpg"", ""Bicycle (139).jpg"", ""Bicycle (367).jpg"", ""Bicycle (706).jpg""]",771,2,2,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:04:08.099,2026-09-16T14:04:22.070,13.971,3,0,Click on the images containing bicycles.,"[""Bicycle (325).jpg"", ""Chimney (24).jpg"", ""Bicycle (215).jpg"", ""Bicycle (104).jpg"", ""Bicycle (124).jpg"", ""Bridge (89).jpg"", ""Bicycle (21).jpg"", ""Cross (34).jpg"", ""Chimney (72).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (325).jpg"", ""Bicycle (215).jpg"", ""Bicycle (124).jpg"", ""Bicycle (21).jpg""]",766,3,2,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:04:24.080,2026-09-16T14:04:45.774,21.694,4,1,Click on the images containing bicycles.,"[""Bicycle (204).jpg"", ""Cross (44).jpg"", ""Bicycle (535).jpg"", ""Palm (124).jpg"", ""Tlight (115).jpg"", ""Bridge (21).jpg"", ""Bicycle (497).jpg"", ""Bicycle (69).jpg"", ""Bicycle (595).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (204).jpg"", ""Bicycle (535).jpg"", ""Bicycle (497).jpg"", ""Bicycle (69).jpg"", ""Bicycle (595).jpg""]",761,4,3,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:04:45.779,2026-09-16T14:04:54.077,8.298,5,0,Click on the images containing bicycles.,"[""Chimney (47).jpg"", ""Bus (117).jpg"", ""Bicycle (24).jpg"", ""Cross (6).jpg"", ""Bridge (70).jpg"", ""Bridge (47).jpg"", ""Hydrant (82).jpg"", ""Bicycle (729).jpg"", ""Bicycle (429).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7]","[""Bicycle (24).jpg"", ""Bicycle (729).jpg""]",758,5,3,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:04:56.084,2026-09-16T14:05:06.079,9.995,6,1,Click on the images containing bicycles.,"[""Cross (115).jpg"", ""Tlight (105).jpg"", ""Bicycle (549).jpg"", ""Palm (89).jpg"", ""Bicycle (655).jpg"", ""Palm (111).jpg"", ""Cross (106).jpg"", ""Bicycle (767).jpg"", ""Palm (50).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (549).jpg"", ""Bicycle (655).jpg"", ""Bicycle (767).jpg""]",755,6,4,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:05:06.083,2026-09-16T14:05:20.408,14.325,7,0,Click on the images containing bicycles.,"[""Bicycle (70).jpg"", ""Car (92).jpg"", ""Tlight (132).jpg"", ""Hydrant (57).jpg"", ""Bicycle (255).jpg"", ""Cross (12).jpg"", ""Bicycle (187).jpg"", ""Bicycle (773).jpg"", ""Car (52).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (70).jpg"", ""Bicycle (187).jpg"", ""Bicycle (773).jpg""]",751,7,4,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:05:22.416,2026-09-16T14:05:36.887,14.471,8,1,Click on the images containing bicycles.,"[""Bicycle (413).jpg"", ""Bicycle (235).jpg"", ""Bicycle (775).jpg"", ""Bicycle (663).jpg"", ""Bicycle (34).jpg"", ""Hydrant (32).jpg"", ""Stair (1377).jpg"", ""Bridge (122).jpg"", ""Bus (40).jpg""]","[""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3, 4]","[""Bicycle (413).jpg"", ""Bicycle (235).jpg"", ""Bicycle (775).jpg"", ""Bicycle (663).jpg"", ""Bicycle (34).jpg""]",746,8,5,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:05:36.892,2026-09-16T14:05:46.641,9.749,9,0,Click on the images containing bicycles.,"[""Stair (427).jpg"", ""Bicycle (260).jpg"", ""Stair (1459).jpg"", ""Stair (838).jpg"", ""Cross (114).jpg"", ""Bicycle (242).jpg"", ""Bicycle (67).jpg"", ""Hydrant (110).jpg"", ""Bus (76).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 4, 5, 6]","[""Bicycle (260).jpg"", ""Cross (114).jpg"", ""Bicycle (242).jpg"", ""Bicycle (67).jpg""]",743,9,5,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:05:48.648,2026-09-16T14:05:55.584,6.936,10,1,Click on the images containing bicycles.,"[""Bicycle (779).jpg"", ""Bicycle (382).jpg"", ""Bicycle (154).jpg"", ""Palm (126).jpg"", ""Bicycle (261).jpg"", ""Palm (129).jpg"", ""Palm (107).jpg"", ""Palm (53).jpg"", ""Tlight (8).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 4]","[""Bicycle (779).jpg"", ""Bicycle (382).jpg"", ""Bicycle (154).jpg"", ""Bicycle (261).jpg""]",739,10,6,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:05:55.590,2026-09-16T14:06:07.071,11.481,11,1,Click on the images containing bicycles.,"[""Bicycle (97).jpg"", ""Bicycle (678).jpg"", ""Cross (104).jpg"", ""Bus (80).jpg"", ""Stair (1368).jpg"", ""Bicycle (129).jpg"", ""Bicycle (288).jpg"", ""Stair (1319).jpg"", ""Bicycle (282).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 1, 5, 6, 8]","[""Bicycle (97).jpg"", ""Bicycle (678).jpg"", ""Bicycle (129).jpg"", ""Bicycle (288).jpg"", ""Bicycle (282).jpg""]",734,11,7,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:06:07.076,2026-09-16T14:06:22.855,15.779,12,1,Click on the images containing bicycles.,"[""Bridge (30).jpg"", ""Bicycle (40).jpg"", ""Palm (90).jpg"", ""Bicycle (686).jpg"", ""Cross (13).jpg"", ""Bicycle (626).jpg"", ""Bicycle (616).jpg"", ""Car (99).jpg"", ""Bicycle (318).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 3, 5, 6, 8]","[""Bicycle (40).jpg"", ""Bicycle (686).jpg"", ""Bicycle (626).jpg"", ""Bicycle (616).jpg"", ""Bicycle (318).jpg""]",729,12,8,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:06:22.859,2026-09-16T14:06:37.847,14.988,13,0,Click on the images containing bicycles.,"[""Car (55).jpg"", ""Bicycle (25).jpg"", ""Bicycle (573).jpg"", ""Hydrant (61).jpg"", ""Bicycle (280).jpg"", ""Bicycle (608).jpg"", ""Bus (32).jpg"", ""Bicycle (269).jpg"", ""Bridge (116).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 4, 5, 7]","[""Bicycle (25).jpg"", ""Bicycle (280).jpg"", ""Bicycle (608).jpg"", ""Bicycle (269).jpg""]",724,13,8,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:06:39.856,2026-09-16T14:06:48.856,9.0,14,1,Click on the images containing bicycles.,"[""Cross (119).jpg"", ""Bicycle (720).jpg"", ""Stair (421).jpg"", ""Palm (18).jpg"", ""Bicycle (72).jpg"", ""Cross (118).jpg"", ""Cross (9).jpg"", ""Cross (39).jpg"", ""Bicycle (47).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 4, 8]","[""Bicycle (720).jpg"", ""Bicycle (72).jpg"", ""Bicycle (47).jpg""]",721,14,9,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:06:48.861,2026-09-16T14:07:06.927,18.066,15,1,Click on the images containing bicycles.,"[""Bicycle (107).jpg"", ""Bicycle (671).jpg"", ""Palm (82).jpg"", ""Bicycle (462).jpg"", ""Bicycle (623).jpg"", ""Bus (25).jpg"", ""Chimney (126).jpg"", ""Tlight (61).jpg"", ""Bicycle (206).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 4, 8]","[""Bicycle (107).jpg"", ""Bicycle (671).jpg"", ""Bicycle (462).jpg"", ""Bicycle (623).jpg"", ""Bicycle (206).jpg""]",716,15,10,10,submit,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_pre,215,25,male,2026-09-16T14:06:48.861,2026-09-16T14:07:11.391,22.53,15,,Click on the images containing bicycles.,[],[],[],[],716,15,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,q_pre_captcha,215,25,male,2026-09-16T14:07:11.399,2026-09-16T14:07:36.647,25.248,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""2"", ""captcha_task_fun"": ""2"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_enjoyment"": ""1"", ""general_captcha_liking"": ""1""}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,q_pre_idaq,215,25,male,2026-09-16T14:07:36.658,2026-09-16T14:11:03.737,207.079,,,,,,,,,,,,submit,"{""idaq_17"": ""5"", ""idaq_3"": ""2"", ""idaq_24"": ""4"", ""idaq_25"": ""6"", ""idaq_5"": ""8"", ""idaq_18"": ""4"", ""idaq_1"": ""8"", ""idaq_6"": ""5"", ""idaq_21"": ""1"", ""idaq_9"": ""1"", ""idaq_14"": ""3"", ""idaq_16"": ""10"", ""idaq_19"": ""6"", ""idaq_11"": ""1"", ""idaq_29"": ""2"", ""idaq_22"": ""2"", ""idaq_20"": ""4"", ""idaq_23"": ""2"", ""idaq_4"": ""2"", ""idaq_12"": ""5"", ""idaq_13"": ""1"", ""idaq_15"": ""3"", ""idaq_28"": ""6"", ""idaq_8"": ""4"", ""idaq_10"": ""2"", ""idaq_2"": ""5"", ""idaq_7"": ""2"", ""idaq_27"": ""6"", ""idaq_30"": ""5"", ""idaq_26"": ""3""}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,q_pre_2050,215,25,male,2026-09-16T14:11:03.747,2026-09-16T14:14:05.513,181.766,,,,,,,,,,,,submit,"{""2050_crime"": ""1"", ""2050_other_worlds"": ""5"", ""2050_nursing_home"": ""9"", ""2050_sports"": ""7"", ""2050_shelters"": ""1"", ""2050_experiments"": ""6"", ""2050_neurosurgery"": ""4"", ""2050_art"": ""5"", ""2050_flight_attendants"": ""7"", ""2050_rubbish_collectors"": ""9"", ""2050_hiking"": ""6"", ""2050_school"": ""4"", ""2050_rights"": ""1"", ""2050_mannequins"": ""8"", ""2050_police"": ""1""}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,q_post_gators,215,25,male,2026-09-16T14:26:50.999,2026-09-16T14:30:31.345,220.346,,,,,,,,,,,,submit,"{""gators_14"": ""5"", ""gators_5"": ""5"", ""gators_8"": ""2"", ""gators_18"": ""6"", ""gators_9"": ""1"", ""gators_2"": ""3"", ""gators_20"": ""5"", ""gators_10"": ""6"", ""gators_1"": ""2"", ""gators_13"": ""6"", ""gators_6"": ""1"", ""gators_4"": ""7"", ""gators_7"": ""1"", ""gators_3"": ""4"", ""gators_11"": ""5"", ""gators_19"": ""7"", ""gators_15"": ""5"", ""gators_17"": ""4"", ""gators_12"": ""6"", ""gators_16"": ""6""}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,q_post_specific,215,25,male,2026-09-16T14:30:31.358,2026-09-16T14:31:09.891,38.533,,,,,,,,,,,,submit,"{""mentacy_belief"": ""1"", ""belief_confidence"": ""4"", ""robot_empathy"": ""2"", ""conversation_interestingness"": ""6"", ""robot_likeability"": ""5"", ""robot_friendliness"": ""6""}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_post,215,25,male,2026-09-16T14:31:09.935,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_post,215,25,male,2026-09-16T14:31:09.948,2026-09-16T14:31:25.873,15.925,1,,Click on the images containing bicycles.,"[""Hydrant (50).jpg"", ""Bridge (120).jpg"", ""Palm (134).jpg"", ""Chimney (120).jpg"", ""Bridge (118).jpg"", ""Bicycle (749).jpg"", ""Bicycle (623).jpg"", ""Car (53).jpg"", ""Bicycle (449).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]",[],[],777,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
7d77f454a6214b9eb0a5fd99cd4e2fc5,captcha_post,215,25,male,2026-09-16T14:31:09.948,2026-09-16T14:31:25.877,15.929,1,,Click on the images containing bicycles.,[],[],[],[],777,0,0,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
