exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:03:50.351,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:03:50.378,2026-09-17T10:04:29.732,39.354,1,1,Click on the images containing bicycles.,"[""Bicycle (723).jpg"", ""Bicycle (587).jpg"", ""Stair (1052).jpg"", ""Stair (260).jpg"", ""Bicycle (298).jpg"", ""Stair (973).jpg"", ""Palm (128).jpg"", ""Bicycle (712).jpg"", ""Bicycle (46).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 4, 7, 8]","[""Bicycle (723).jpg"", ""Bicycle (587).jpg"", ""Bicycle (298).jpg"", ""Bicycle (712).jpg"", ""Bicycle (46).jpg""]",775,1,1,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:04:29.736,2026-09-17T10:04:40.401,10.665,2,1,Click on the images containing bicycles.,"[""Bus (34).jpg"", ""Bicycle (684).jpg"", ""Bus (114).jpg"", ""Bus (22).jpg"", ""Cross (88).jpg"", ""Bridge (79).jpg"", ""Bicycle (607).jpg"", ""Bicycle (45).jpg"", ""Palm (89).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (684).jpg"", ""Bicycle (607).jpg"", ""Bicycle (45).jpg""]",772,2,2,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:04:40.405,2026-09-17T10:04:54.026,13.621,3,0,Click on the images containing bicycles.,"[""Hydrant (28).jpg"", ""Tlight (58).jpg"", ""Bicycle (267).jpg"", ""Bicycle (639).jpg"", ""Bicycle (21).jpg"", ""Car (103).jpg"", ""Bus (103).jpg"", ""Stair (165).jpg"", ""Bicycle (286).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 4, 6, 8]","[""Bicycle (267).jpg"", ""Bicycle (639).jpg"", ""Bicycle (21).jpg"", ""Bus (103).jpg"", ""Bicycle (286).jpg""]",768,3,2,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:04:56.038,2026-09-17T10:05:10.522,14.484,4,1,Click on the images containing bicycles.,"[""Bicycle (653).jpg"", ""Stair (1031).jpg"", ""Car (55).jpg"", ""Bicycle (158).jpg"", ""Bicycle (279).jpg"", ""Bicycle (296).jpg"", ""Bicycle (681).jpg"", ""Cross (115).jpg"", ""Hydrant (56).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 3, 4, 5, 6]","[""Bicycle (653).jpg"", ""Bicycle (158).jpg"", ""Bicycle (279).jpg"", ""Bicycle (296).jpg"", ""Bicycle (681).jpg""]",763,4,3,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:05:10.527,2026-09-17T10:05:23.706,13.179,5,1,Click on the images containing bicycles.,"[""Palm (47).jpg"", ""Bus (138).jpg"", ""Cross (16).jpg"", ""Bicycle (69).jpg"", ""Bicycle (754).jpg"", ""Bicycle (412).jpg"", ""Bridge (36).jpg"", ""Chimney (42).jpg"", ""Bicycle (134).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[3, 4, 5, 8]","[""Bicycle (69).jpg"", ""Bicycle (754).jpg"", ""Bicycle (412).jpg"", ""Bicycle (134).jpg""]",759,5,4,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:05:23.711,2026-09-17T10:05:30.379,6.668,6,1,Click on the images containing bicycles.,"[""Tlight (50).jpg"", ""Bicycle (760).jpg"", ""Car (132).jpg"", ""Tlight (83).jpg"", ""Bicycle (551).jpg"", ""Bicycle (652).jpg"", ""Bicycle (346).jpg"", ""Bicycle (121).jpg"", ""Hydrant (40).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[1, 4, 5, 6, 7]","[""Bicycle (760).jpg"", ""Bicycle (551).jpg"", ""Bicycle (652).jpg"", ""Bicycle (346).jpg"", ""Bicycle (121).jpg""]",754,6,5,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:05:30.384,2026-09-17T10:05:36.554,6.17,7,0,Click on the images containing bicycles.,"[""Bicycle (83).jpg"", ""Bicycle (481).jpg"", ""Tlight (136).jpg"", ""Bus (28).jpg"", ""Chimney (82).jpg"", ""Palm (110).jpg"", ""Bicycle (440).jpg"", ""Stair (981).jpg"", ""Car (128).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1]","[""Bicycle (83).jpg"", ""Bicycle (481).jpg""]",751,7,5,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:05:38.562,2026-09-17T10:05:48.899,10.337,8,1,Click on the images containing bicycles.,"[""Bus (74).jpg"", ""Bus (47).jpg"", ""Bicycle (657).jpg"", ""Bicycle (685).jpg"", ""Bicycle (331).jpg"", ""Stair (408).jpg"", ""Palm (60).jpg"", ""Bicycle (713).jpg"", ""Tlight (79).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 4, 7]","[""Bicycle (657).jpg"", ""Bicycle (685).jpg"", ""Bicycle (331).jpg"", ""Bicycle (713).jpg""]",747,8,6,10,submit,
11fd887f8f19412cadd87ca6afb286f8,captcha_pre,216,24,female,2026-09-17T10:05:48.903,2026-09-17T10:05:55.866,6.963,9,1,Click on the images containing bicycles.,"[""Hydrant (21).jpg"", ""Bicycle (80).jpg"", ""Bicycle (540).jpg"", ""Palm (98).jpg"", ""Cross (93).jpg"", ""Palm (46).jpg"", ""Bicycle (415).jpg"", ""Hydrant (89).jpg"", ""Chimney (2).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 6]","[""Bicycle (80).jpg"", ""Bicycle (540).jpg"", ""Bicycle (415).jpg""]",744,9,7,10,submit,
