exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:02:59.335,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:02:59.360,2026-09-17T13:03:35.384,36.024,1,0,Click on the images containing bicycles.,"[""Bicycle (335).jpg"", ""Bicycle (679).jpg"", ""Palm (89).jpg"", ""Stair (793).jpg"", ""Bridge (72).jpg"", ""Bicycle (77).jpg"", ""Bus (55).jpg"", ""Bicycle (779).jpg"", ""Palm (102).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (335).jpg"", ""Bicycle (679).jpg"", ""Bicycle (779).jpg""]",776,1,0,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:03:37.393,2026-09-17T13:03:48.432,11.039,2,1,Click on the images containing bicycles.,"[""Bicycle (151).jpg"", ""Chimney (32).jpg"", ""Bicycle (386).jpg"", ""Bicycle (310).jpg"", ""Chimney (94).jpg"", ""Stair (1000).jpg"", ""Chimney (93).jpg"", ""Bicycle (371).jpg"", ""Palm (81).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 7]","[""Bicycle (151).jpg"", ""Bicycle (386).jpg"", ""Bicycle (310).jpg"", ""Bicycle (371).jpg""]",772,2,1,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:03:48.437,2026-09-17T13:04:00.015,11.578,3,1,Click on the images containing bicycles.,"[""Bicycle (472).jpg"", ""Bicycle (71).jpg"", ""Car (42).jpg"", ""Bicycle (550).jpg"", ""Cross (81).jpg"", ""Bicycle (229).jpg"", ""Bicycle (116).jpg"", ""Car (51).jpg"", ""Stair (312).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 3, 5, 6]","[""Bicycle (472).jpg"", ""Bicycle (71).jpg"", ""Bicycle (550).jpg"", ""Bicycle (229).jpg"", ""Bicycle (116).jpg""]",767,3,2,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:04:00.020,2026-09-17T13:04:10.336,10.316,4,1,Click on the images containing bicycles.,"[""Bicycle (219).jpg"", ""Chimney (35).jpg"", ""Palm (131).jpg"", ""Bus (87).jpg"", ""Bicycle (354).jpg"", ""Car (139).jpg"", ""Bicycle (292).jpg"", ""Bicycle (524).jpg"", ""Chimney (4).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 4, 6, 7]","[""Bicycle (219).jpg"", ""Bicycle (354).jpg"", ""Bicycle (292).jpg"", ""Bicycle (524).jpg""]",763,4,3,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:04:10.341,2026-09-17T13:04:21.271,10.93,5,1,Click on the images containing bicycles.,"[""Palm (129).jpg"", ""Bicycle (222).jpg"", ""Hydrant (57).jpg"", ""Tlight (20).jpg"", ""Car (121).jpg"", ""Bicycle (69).jpg"", ""Bridge (102).jpg"", ""Bridge (138).jpg"", ""Bicycle (565).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (222).jpg"", ""Bicycle (69).jpg"", ""Bicycle (565).jpg""]",760,5,4,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:04:21.276,2026-09-17T13:04:27.631,6.355,6,1,Click on the images containing bicycles.,"[""Stair (243).jpg"", ""Car (89).jpg"", ""Car (29).jpg"", ""Bus (43).jpg"", ""Cross (115).jpg"", ""Chimney (64).jpg"", ""Bicycle (607).jpg"", ""Bicycle (11).jpg"", ""Bicycle (290).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7, 8]","[""Bicycle (607).jpg"", ""Bicycle (11).jpg"", ""Bicycle (290).jpg""]",757,6,5,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:04:27.636,2026-09-17T13:04:37.335,9.699,7,1,Click on the images containing bicycles.,"[""Bicycle (665).jpg"", ""Bridge (132).jpg"", ""Cross (111).jpg"", ""Hydrant (29).jpg"", ""Stair (792).jpg"", ""Bus (63).jpg"", ""Bicycle (157).jpg"", ""Bicycle (26).jpg"", ""Chimney (15).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (665).jpg"", ""Bicycle (157).jpg"", ""Bicycle (26).jpg""]",754,7,6,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:04:37.339,2026-09-17T13:04:47.118,9.779,8,1,Click on the images containing bicycles.,"[""Bicycle (618).jpg"", ""Tlight (91).jpg"", ""Bicycle (249).jpg"", ""Bicycle (722).jpg"", ""Hydrant (97).jpg"", ""Cross (52).jpg"", ""Tlight (41).jpg"", ""Bicycle (210).jpg"", ""Bicycle (602).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 3, 7, 8]","[""Bicycle (618).jpg"", ""Bicycle (249).jpg"", ""Bicycle (722).jpg"", ""Bicycle (210).jpg"", ""Bicycle (602).jpg""]",749,8,7,10,submit,
47c59ebdd44145ef97ae8bfb1bf5ee52,captcha_pre,219,24,female,2026-09-17T13:04:47.123,2026-09-17T13:04:59.279,12.156,9,0,Click on the images containing bicycles.,"[""Bridge (113).jpg"", ""Bus (74).jpg"", ""Bicycle (330).jpg"", ""Bus (127).jpg"", ""Palm (87).jpg"", ""Bicycle (626).jpg"", ""Palm (1).jpg"", ""Bicycle (534).jpg"", ""Bridge (100).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 5]","[""Bicycle (330).jpg"", ""Bicycle (626).jpg""]",746,9,7,10,submit,
