exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:21:33.971,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:21:39.352,2026-07-21T16:22:17.947,38.595,1,0,Click on the images containing bicycles.,"[""Bicycle (465).jpg"", ""Hydrant (49).jpg"", ""Car (82).jpg"", ""Stair (1149).jpg"", ""Bicycle (549).jpg"", ""Chimney (94).jpg"", ""Cross (85).jpg"", ""Car (48).jpg"", ""Bicycle (737).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 4]","[""Bicycle (465).jpg"", ""Bicycle (549).jpg""]",777,1,0,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:22:19.955,2026-07-21T16:22:42.438,22.483,2,1,Click on the images containing bicycles.,"[""Cross (48).jpg"", ""Stair (1335).jpg"", ""Car (22).jpg"", ""Car (126).jpg"", ""Bicycle (695).jpg"", ""Bicycle (416).jpg"", ""Cross (37).jpg"", ""Bicycle (461).jpg"", ""Bus (49).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (695).jpg"", ""Bicycle (416).jpg"", ""Bicycle (461).jpg""]",774,2,1,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:22:42.444,2026-07-21T16:22:56.166,13.722,3,0,Click on the images containing bicycles.,"[""Chimney (45).jpg"", ""Bicycle (119).jpg"", ""Bicycle (717).jpg"", ""Bicycle (396).jpg"", ""Palm (95).jpg"", ""Tlight (52).jpg"", ""Bicycle (775).jpg"", ""Stair (331).jpg"", ""Bicycle (174).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 2, 6, 8]","[""Bicycle (119).jpg"", ""Bicycle (717).jpg"", ""Bicycle (775).jpg"", ""Bicycle (174).jpg""]",769,3,1,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:22:58.175,2026-07-21T16:24:25.936,87.761,4,1,Click on the images containing bicycles.,"[""Bicycle (545).jpg"", ""Bicycle (730).jpg"", ""Tlight (124).jpg"", ""Bus (24).jpg"", ""Bicycle (558).jpg"", ""Car (116).jpg"", ""Cross (52).jpg"", ""Bridge (82).jpg"", ""Bicycle (612).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 4, 8]","[""Bicycle (545).jpg"", ""Bicycle (730).jpg"", ""Bicycle (558).jpg"", ""Bicycle (612).jpg""]",765,4,2,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:24:25.940,2026-07-21T16:24:39.215,13.275,5,1,Click on the images containing bicycles.,"[""Bicycle (11).jpg"", ""Bicycle (181).jpg"", ""Bus (114).jpg"", ""Palm (73).jpg"", ""Bicycle (252).jpg"", ""Hydrant (85).jpg"", ""Bridge (48).jpg"", ""Bicycle (198).jpg"", ""Bicycle (625).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 4, 7, 8]","[""Bicycle (11).jpg"", ""Bicycle (181).jpg"", ""Bicycle (252).jpg"", ""Bicycle (198).jpg"", ""Bicycle (625).jpg""]",760,5,3,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:24:39.220,2026-07-21T16:24:58.646,19.426,6,1,Click on the images containing bicycles.,"[""Bicycle (600).jpg"", ""Bridge (72).jpg"", ""Chimney (77).jpg"", ""Bicycle (41).jpg"", ""Bridge (63).jpg"", ""Tlight (73).jpg"", ""Bicycle (705).jpg"", ""Bicycle (660).jpg"", ""Bicycle (76).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 3, 6, 7, 8]","[""Bicycle (600).jpg"", ""Bicycle (41).jpg"", ""Bicycle (705).jpg"", ""Bicycle (660).jpg"", ""Bicycle (76).jpg""]",755,6,4,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:24:58.652,2026-07-21T16:25:09.838,11.186,7,1,Click on the images containing bicycles.,"[""Bicycle (58).jpg"", ""Bus (126).jpg"", ""Car (135).jpg"", ""Hydrant (28).jpg"", ""Stair (483).jpg"", ""Bridge (46).jpg"", ""Bicycle (427).jpg"", ""Bus (93).jpg"", ""Bicycle (754).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (58).jpg"", ""Bicycle (427).jpg"", ""Bicycle (754).jpg""]",752,7,5,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:25:09.843,2026-07-21T16:25:22.277,12.434,8,0,Click on the images containing bicycles.,"[""Palm (124).jpg"", ""Bicycle (302).jpg"", ""Bicycle (18).jpg"", ""Stair (1455).jpg"", ""Bicycle (77).jpg"", ""Palm (13).jpg"", ""Stair (1456).jpg"", ""Bicycle (526).jpg"", ""Stair (418).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (18).jpg"", ""Bicycle (77).jpg"", ""Bicycle (526).jpg""]",748,8,5,10,submit,
7257c7b07606427cbc121bd40b399847,captcha_pre,666,666,other,2026-07-21T16:25:24.287,2026-07-21T16:26:15.985,51.698,9,1,Click on the images containing bicycles.,"[""Stair (1434).jpg"", ""Bicycle (493).jpg"", ""Bridge (47).jpg"", ""Bicycle (280).jpg"", ""Bicycle (356).jpg"", ""Tlight (10).jpg"", ""Stair (1368).jpg"", ""Bus (97).jpg"", ""Car (123).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 3, 4]","[""Bicycle (493).jpg"", ""Bicycle (280).jpg"", ""Bicycle (356).jpg""]",745,9,6,10,submit,
