exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:46:43.675,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:46:47.151,2026-08-14T10:47:57.625,70.474,1,1,Click on the images containing bicycles.,"[""Bicycle (687).jpg"", ""Bridge (51).jpg"", ""Chimney (117).jpg"", ""Bicycle (625).jpg"", ""Bicycle (401).jpg"", ""Bicycle (394).jpg"", ""Hydrant (128).jpg"", ""Chimney (118).jpg"", ""Bus (33).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 4, 5]","[""Bicycle (687).jpg"", ""Bicycle (625).jpg"", ""Bicycle (401).jpg"", ""Bicycle (394).jpg""]",776,1,1,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:47:57.640,2026-08-14T10:48:03.766,6.126,2,1,Click on the images containing bicycles.,"[""Chimney (97).jpg"", ""Bicycle (409).jpg"", ""Stair (71).jpg"", ""Bicycle (294).jpg"", ""Bridge (49).jpg"", ""Car (72).jpg"", ""Bicycle (37).jpg"", ""Palm (14).jpg"", ""Tlight (45).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (409).jpg"", ""Bicycle (294).jpg"", ""Bicycle (37).jpg""]",773,2,2,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:03.782,2026-08-14T10:48:10.281,6.499,3,1,Click on the images containing bicycles.,"[""Bridge (58).jpg"", ""Bus (122).jpg"", ""Bus (97).jpg"", ""Bicycle (347).jpg"", ""Bicycle (95).jpg"", ""Bridge (27).jpg"", ""Bicycle (371).jpg"", ""Tlight (88).jpg"", ""Stair (793).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 4, 6]","[""Bicycle (347).jpg"", ""Bicycle (95).jpg"", ""Bicycle (371).jpg""]",770,3,3,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:10.297,2026-08-14T10:48:17.611,7.314,4,1,Click on the images containing bicycles.,"[""Tlight (81).jpg"", ""Chimney (124).jpg"", ""Tlight (138).jpg"", ""Bicycle (103).jpg"", ""Bus (133).jpg"", ""Bicycle (116).jpg"", ""Palm (85).jpg"", ""Bicycle (146).jpg"", ""Bicycle (431).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 5, 7, 8]","[""Bicycle (103).jpg"", ""Bicycle (116).jpg"", ""Bicycle (146).jpg"", ""Bicycle (431).jpg""]",766,4,4,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:17.622,2026-08-14T10:48:24.844,7.222,5,1,Click on the images containing bicycles.,"[""Stair (838).jpg"", ""Bicycle (71).jpg"", ""Hydrant (88).jpg"", ""Palm (107).jpg"", ""Bicycle (108).jpg"", ""Hydrant (31).jpg"", ""Hydrant (70).jpg"", ""Bicycle (609).jpg"", ""Bicycle (654).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 4, 7, 8]","[""Bicycle (71).jpg"", ""Bicycle (108).jpg"", ""Bicycle (609).jpg"", ""Bicycle (654).jpg""]",762,5,5,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:24.844,2026-08-14T10:48:30.704,5.86,6,1,Click on the images containing bicycles.,"[""Bicycle (501).jpg"", ""Bicycle (705).jpg"", ""Bicycle (614).jpg"", ""Chimney (68).jpg"", ""Bicycle (415).jpg"", ""Hydrant (92).jpg"", ""Hydrant (93).jpg"", ""Stair (567).jpg"", ""Chimney (19).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 4]","[""Bicycle (501).jpg"", ""Bicycle (705).jpg"", ""Bicycle (614).jpg"", ""Bicycle (415).jpg""]",758,6,6,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:30.726,2026-08-14T10:48:37.705,6.979,7,1,Click on the images containing bicycles.,"[""Tlight (139).jpg"", ""Bicycle (245).jpg"", ""Bicycle (573).jpg"", ""Tlight (140).jpg"", ""Bicycle (168).jpg"", ""Bicycle (554).jpg"", ""Bicycle (236).jpg"", ""Hydrant (51).jpg"", ""Cross (112).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 4, 5, 6]","[""Bicycle (245).jpg"", ""Bicycle (573).jpg"", ""Bicycle (168).jpg"", ""Bicycle (554).jpg"", ""Bicycle (236).jpg""]",753,7,7,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:37.725,2026-08-14T10:48:46.407,8.682,8,1,Click on the images containing bicycles.,"[""Bus (60).jpg"", ""Stair (699).jpg"", ""Cross (30).jpg"", ""Bus (93).jpg"", ""Bicycle (647).jpg"", ""Bicycle (183).jpg"", ""Bicycle (739).jpg"", ""Stair (1249).jpg"", ""Bicycle (636).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[4, 5, 6, 8]","[""Bicycle (647).jpg"", ""Bicycle (183).jpg"", ""Bicycle (739).jpg"", ""Bicycle (636).jpg""]",749,8,8,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:46.422,2026-08-14T10:48:55.438,9.016,9,1,Click on the images containing bicycles.,"[""Bridge (96).jpg"", ""Bicycle (264).jpg"", ""Hydrant (57).jpg"", ""Bus (109).jpg"", ""Stair (861).jpg"", ""Bicycle (186).jpg"", ""Bicycle (565).jpg"", ""Bicycle (377).jpg"", ""Bicycle (549).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[1, 5, 6, 7, 8]","[""Bicycle (264).jpg"", ""Bicycle (186).jpg"", ""Bicycle (565).jpg"", ""Bicycle (377).jpg"", ""Bicycle (549).jpg""]",744,9,9,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:55.438,2026-08-14T10:49:03.396,7.958,10,1,Click on the images containing bicycles.,"[""Tlight (136).jpg"", ""Chimney (34).jpg"", ""Bicycle (579).jpg"", ""Bicycle (131).jpg"", ""Bicycle (164).jpg"", ""Hydrant (97).jpg"", ""Bicycle (621).jpg"", ""Bicycle (97).jpg"", ""Palm (128).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 4, 6, 7]","[""Bicycle (579).jpg"", ""Bicycle (131).jpg"", ""Bicycle (164).jpg"", ""Bicycle (621).jpg"", ""Bicycle (97).jpg""]",739,10,10,10,submit,
1c837e9ff5b94468bf0248b1d4681373,captcha_pre,999,999,female,2026-08-14T10:48:55.438,2026-08-14T10:49:04.782,9.344,10,,Click on the images containing bicycles.,[],[],[],[],739,10,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
1c837e9ff5b94468bf0248b1d4681373,q_pre_captcha,999,999,female,2026-08-14T10:49:04.800,2026-08-14T10:49:06.767,1.967,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
