exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:18:14.637,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:18:14.660,2026-03-09T15:18:30.479,15.819,1,1,Click on the images containing bicycles.,"[""Bicycle (399).jpg"", ""Bicycle (167).jpg"", ""Bicycle (241).jpg"", ""Cross (72).jpg"", ""Palm (80).jpg"", ""Stair (1353).jpg"", ""Bicycle (346).jpg"", ""Cross (53).jpg"", ""Bicycle (91).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (399).jpg"", ""Bicycle (167).jpg"", ""Bicycle (241).jpg"", ""Bicycle (346).jpg"", ""Bicycle (91).jpg""]",775,1,1,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:18:30.485,2026-03-09T15:18:38.566,8.081,2,0,Click on the images containing bicycles.,"[""Bicycle (661).jpg"", ""Car (57).jpg"", ""Chimney (83).jpg"", ""Bicycle (340).jpg"", ""Bus (134).jpg"", ""Car (24).jpg"", ""Bicycle (580).jpg"", ""Bridge (93).jpg"", ""Bridge (56).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[3, 6]","[""Bicycle (340).jpg"", ""Bicycle (580).jpg""]",772,2,1,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:18:40.574,2026-03-09T15:18:50.942,10.368,3,1,Click on the images containing bicycles.,"[""Bicycle (569).jpg"", ""Stair (109).jpg"", ""Bridge (134).jpg"", ""Bicycle (729).jpg"", ""Bicycle (416).jpg"", ""Palm (66).jpg"", ""Bicycle (89).jpg"", ""Bicycle (103).jpg"", ""Palm (15).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 4, 6, 7]","[""Bicycle (569).jpg"", ""Bicycle (729).jpg"", ""Bicycle (416).jpg"", ""Bicycle (89).jpg"", ""Bicycle (103).jpg""]",767,3,2,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:18:50.948,2026-03-09T15:19:01.028,10.08,4,1,Click on the images containing bicycles.,"[""Bicycle (693).jpg"", ""Stair (1183).jpg"", ""Bicycle (63).jpg"", ""Car (71).jpg"", ""Palm (136).jpg"", ""Tlight (113).jpg"", ""Bicycle (288).jpg"", ""Cross (41).jpg"", ""Bicycle (311).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 6, 8]","[""Bicycle (693).jpg"", ""Bicycle (63).jpg"", ""Bicycle (288).jpg"", ""Bicycle (311).jpg""]",763,4,3,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:19:01.034,2026-03-09T15:19:10.015,8.981,5,1,Click on the images containing bicycles.,"[""Car (97).jpg"", ""Bicycle (364).jpg"", ""Bus (107).jpg"", ""Chimney (108).jpg"", ""Bicycle (171).jpg"", ""Hydrant (79).jpg"", ""Bicycle (267).jpg"", ""Stair (989).jpg"", ""Bicycle (393).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 4, 6, 8]","[""Bicycle (364).jpg"", ""Bicycle (171).jpg"", ""Bicycle (267).jpg"", ""Bicycle (393).jpg""]",759,5,4,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:19:10.022,2026-03-09T15:19:16.277,6.255,6,1,Click on the images containing bicycles.,"[""Bridge (135).jpg"", ""Tlight (106).jpg"", ""Palm (92).jpg"", ""Bicycle (193).jpg"", ""Palm (102).jpg"", ""Palm (97).jpg"", ""Bicycle (4).jpg"", ""Bicycle (708).jpg"", ""Hydrant (84).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (193).jpg"", ""Bicycle (4).jpg"", ""Bicycle (708).jpg""]",756,6,5,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:19:16.283,2026-03-09T15:19:25.565,9.282,7,1,Click on the images containing bicycles.,"[""Bicycle (484).jpg"", ""Car (90).jpg"", ""Cross (42).jpg"", ""Palm (7).jpg"", ""Bicycle (62).jpg"", ""Bicycle (215).jpg"", ""Bus (65).jpg"", ""Bicycle (536).jpg"", ""Hydrant (73).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (484).jpg"", ""Bicycle (62).jpg"", ""Bicycle (215).jpg"", ""Bicycle (536).jpg""]",752,7,6,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:19:25.572,2026-03-09T15:19:35.309,9.737,8,1,Click on the images containing bicycles.,"[""Car (119).jpg"", ""Bicycle (593).jpg"", ""Bicycle (579).jpg"", ""Hydrant (23).jpg"", ""Chimney (119).jpg"", ""Bus (85).jpg"", ""Bicycle (359).jpg"", ""Bicycle (368).jpg"", ""Stair (1095).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 6, 7]","[""Bicycle (593).jpg"", ""Bicycle (579).jpg"", ""Bicycle (359).jpg"", ""Bicycle (368).jpg""]",748,8,7,10,submit,
6e60e678bf4440fcad684c2be69b10e1,captcha_pre,103,23,male,2026-03-09T15:19:35.315,2026-03-09T15:19:42.812,7.497,9,1,Click on the images containing bicycles.,"[""Bicycle (40).jpg"", ""Hydrant (22).jpg"", ""Bicycle (44).jpg"", ""Bicycle (691).jpg"", ""Car (85).jpg"", ""Hydrant (77).jpg"", ""Bus (30).jpg"", ""Palm (79).jpg"", ""Bicycle (778).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 8]","[""Bicycle (40).jpg"", ""Bicycle (44).jpg"", ""Bicycle (691).jpg"", ""Bicycle (778).jpg""]",744,9,8,10,submit,
