exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T13:59:51.246,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T13:59:51.271,2026-03-19T14:00:10.064,18.793,1,1,Click on the images containing bicycles.,"[""Bicycle (503).jpg"", ""Tlight (140).jpg"", ""Tlight (96).jpg"", ""Bridge (92).jpg"", ""Bicycle (197).jpg"", ""Bicycle (99).jpg"", ""Bicycle (287).jpg"", ""Bicycle (607).jpg"", ""Bridge (65).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[0, 4, 5, 6, 7]","[""Bicycle (503).jpg"", ""Bicycle (197).jpg"", ""Bicycle (99).jpg"", ""Bicycle (287).jpg"", ""Bicycle (607).jpg""]",775,1,1,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:00:10.071,2026-03-19T14:00:25.495,15.424,2,0,Click on the images containing bicycles.,"[""Bicycle (513).jpg"", ""Bridge (74).jpg"", ""Bicycle (670).jpg"", ""Stair (1149).jpg"", ""Bicycle (389).jpg"", ""Bicycle (755).jpg"", ""Hydrant (85).jpg"", ""Car (114).jpg"", ""Bicycle (685).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 4, 5, 8]","[""Bicycle (670).jpg"", ""Bicycle (389).jpg"", ""Bicycle (755).jpg"", ""Bicycle (685).jpg""]",770,2,1,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:00:27.503,2026-03-19T14:00:41.463,13.96,3,0,Click on the images containing bicycles.,"[""Hydrant (126).jpg"", ""Bicycle (154).jpg"", ""Bridge (40).jpg"", ""Bicycle (66).jpg"", ""Bicycle (780).jpg"", ""Chimney (22).jpg"", ""Bicycle (657).jpg"", ""Bicycle (23).jpg"", ""Car (95).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 3, 6, 7]","[""Bicycle (154).jpg"", ""Bicycle (66).jpg"", ""Bicycle (657).jpg"", ""Bicycle (23).jpg""]",765,3,1,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:00:43.471,2026-03-19T14:00:52.335,8.864,4,0,Click on the images containing bicycles.,"[""Bicycle (345).jpg"", ""Bicycle (666).jpg"", ""Bicycle (109).jpg"", ""Bicycle (339).jpg"", ""Bus (108).jpg"", ""Stair (418).jpg"", ""Bicycle (703).jpg"", ""Palm (79).jpg"", ""Chimney (97).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (345).jpg"", ""Bicycle (666).jpg"", ""Bicycle (109).jpg""]",760,4,1,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:00:54.345,2026-03-19T14:01:07.359,13.014,5,1,Click on the images containing bicycles.,"[""Bicycle (126).jpg"", ""Cross (12).jpg"", ""Bridge (76).jpg"", ""Tlight (99).jpg"", ""Tlight (43).jpg"", ""Car (22).jpg"", ""Bus (66).jpg"", ""Bicycle (213).jpg"", ""Bicycle (632).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 7, 8]","[""Bicycle (126).jpg"", ""Bicycle (213).jpg"", ""Bicycle (632).jpg""]",757,5,2,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:01:07.364,2026-03-19T14:01:21.929,14.565,6,1,Click on the images containing bicycles.,"[""Bicycle (527).jpg"", ""Bicycle (319).jpg"", ""Bicycle (244).jpg"", ""Hydrant (77).jpg"", ""Car (42).jpg"", ""Cross (4).jpg"", ""Bicycle (730).jpg"", ""Palm (89).jpg"", ""Bicycle (753).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (527).jpg"", ""Bicycle (319).jpg"", ""Bicycle (244).jpg"", ""Bicycle (730).jpg"", ""Bicycle (753).jpg""]",752,6,3,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:01:21.935,2026-03-19T14:01:29.663,7.728,7,1,Click on the images containing bicycles.,"[""Stair (641).jpg"", ""Palm (69).jpg"", ""Bicycle (583).jpg"", ""Chimney (81).jpg"", ""Tlight (52).jpg"", ""Hydrant (54).jpg"", ""Bicycle (348).jpg"", ""Bicycle (49).jpg"", ""Tlight (80).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 6, 7]","[""Bicycle (583).jpg"", ""Bicycle (348).jpg"", ""Bicycle (49).jpg""]",749,7,4,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:01:29.668,2026-03-19T14:01:36.799,7.131,8,1,Click on the images containing bicycles.,"[""Bus (67).jpg"", ""Tlight (46).jpg"", ""Bicycle (639).jpg"", ""Chimney (41).jpg"", ""Cross (28).jpg"", ""Bicycle (702).jpg"", ""Bicycle (194).jpg"", ""Bus (55).jpg"", ""Bus (84).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[2, 5, 6]","[""Bicycle (639).jpg"", ""Bicycle (702).jpg"", ""Bicycle (194).jpg""]",746,8,5,10,submit,
68378011c3f44d52a62e3ddc81c16a49,captcha_pre,111,23,male,2026-03-19T14:01:36.804,2026-03-19T14:01:44.895,8.091,9,1,Click on the images containing bicycles.,"[""Bicycle (618).jpg"", ""Bicycle (570).jpg"", ""Chimney (46).jpg"", ""Bicycle (453).jpg"", ""Chimney (29).jpg"", ""Bus (49).jpg"", ""Chimney (100).jpg"", ""Palm (50).jpg"", ""Hydrant (39).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (618).jpg"", ""Bicycle (570).jpg"", ""Bicycle (453).jpg""]",743,9,6,10,submit,
