exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T11:58:36.344,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T11:58:36.375,2026-03-23T11:59:17.898,41.523,1,1,Click on the images containing bicycles.,"[""Bus (26).jpg"", ""Bicycle (141).jpg"", ""Chimney (14).jpg"", ""Bicycle (73).jpg"", ""Bicycle (162).jpg"", ""Stair (1422).jpg"", ""Bicycle (305).jpg"", ""Bus (129).jpg"", ""Bridge (98).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 4, 6]","[""Bicycle (141).jpg"", ""Bicycle (73).jpg"", ""Bicycle (162).jpg"", ""Bicycle (305).jpg""]",776,1,1,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T11:59:17.904,2026-03-23T11:59:34.513,16.609,2,0,Click on the images containing bicycles.,"[""Bicycle (706).jpg"", ""Tlight (129).jpg"", ""Bicycle (551).jpg"", ""Tlight (47).jpg"", ""Bicycle (698).jpg"", ""Bicycle (513).jpg"", ""Bicycle (258).jpg"", ""Hydrant (136).jpg"", ""Palm (62).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (706).jpg"", ""Bicycle (551).jpg"", ""Bicycle (698).jpg"", ""Bicycle (258).jpg""]",771,2,1,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T11:59:36.521,2026-03-23T11:59:54.337,17.816,3,1,Click on the images containing bicycles.,"[""Bicycle (639).jpg"", ""Car (55).jpg"", ""Chimney (75).jpg"", ""Bicycle (432).jpg"", ""Cross (71).jpg"", ""Car (65).jpg"", ""Cross (29).jpg"", ""Hydrant (87).jpg"", ""Bicycle (710).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (639).jpg"", ""Bicycle (432).jpg"", ""Bicycle (710).jpg""]",768,3,2,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T11:59:54.343,2026-03-23T12:00:05.128,10.785,4,1,Click on the images containing bicycles.,"[""Palm (138).jpg"", ""Bicycle (664).jpg"", ""Bicycle (264).jpg"", ""Car (100).jpg"", ""Bus (60).jpg"", ""Bridge (97).jpg"", ""Bus (84).jpg"", ""Palm (54).jpg"", ""Bicycle (381).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (664).jpg"", ""Bicycle (264).jpg"", ""Bicycle (381).jpg""]",765,4,3,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T12:00:05.134,2026-03-23T12:00:14.456,9.322,5,1,Click on the images containing bicycles.,"[""Bicycle (182).jpg"", ""Bridge (49).jpg"", ""Chimney (34).jpg"", ""Bicycle (442).jpg"", ""Hydrant (76).jpg"", ""Bus (117).jpg"", ""Palm (11).jpg"", ""Bicycle (109).jpg"", ""Bicycle (390).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (182).jpg"", ""Bicycle (442).jpg"", ""Bicycle (109).jpg"", ""Bicycle (390).jpg""]",761,5,4,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T12:00:14.463,2026-03-23T12:00:23.361,8.898,6,0,Click on the images containing bicycles.,"[""Bicycle (77).jpg"", ""Bus (123).jpg"", ""Bicycle (64).jpg"", ""Tlight (134).jpg"", ""Bicycle (448).jpg"", ""Bicycle (417).jpg"", ""Bus (67).jpg"", ""Chimney (23).jpg"", ""Tlight (71).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (77).jpg"", ""Bicycle (64).jpg"", ""Bicycle (448).jpg""]",757,6,4,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T12:00:25.370,2026-03-23T12:00:31.153,5.783,7,1,Click on the images containing bicycles.,"[""Chimney (80).jpg"", ""Bicycle (445).jpg"", ""Bridge (118).jpg"", ""Bicycle (647).jpg"", ""Bicycle (668).jpg"", ""Car (74).jpg"", ""Palm (102).jpg"", ""Chimney (22).jpg"", ""Hydrant (59).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 3, 4]","[""Bicycle (445).jpg"", ""Bicycle (647).jpg"", ""Bicycle (668).jpg""]",754,7,5,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T12:00:31.159,2026-03-23T12:00:47.041,15.882,8,1,Click on the images containing bicycles.,"[""Bicycle (37).jpg"", ""Bicycle (346).jpg"", ""Tlight (95).jpg"", ""Car (111).jpg"", ""Tlight (105).jpg"", ""Stair (1458).jpg"", ""Bicycle (97).jpg"", ""Hydrant (83).jpg"", ""Tlight (11).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (37).jpg"", ""Bicycle (346).jpg"", ""Bicycle (97).jpg""]",751,8,6,10,submit,
f8865f0bb87d4051a5464b09411f947b,captcha_pre,115,18,female,2026-03-23T12:00:47.046,2026-03-23T12:00:55.264,8.218,9,1,Click on the images containing bicycles.,"[""Palm (137).jpg"", ""Bicycle (230).jpg"", ""Stair (427).jpg"", ""Chimney (95).jpg"", ""Stair (1457).jpg"", ""Bicycle (537).jpg"", ""Stair (1134).jpg"", ""Bicycle (155).jpg"", ""Cross (92).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (230).jpg"", ""Bicycle (537).jpg"", ""Bicycle (155).jpg""]",748,9,7,10,submit,
