exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:03:25.623,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:03:25.650,2026-03-23T14:04:05.156,39.506,1,1,Click on the images containing bicycles.,"[""Bicycle (218).jpg"", ""Bridge (80).jpg"", ""Bicycle (553).jpg"", ""Bicycle (611).jpg"", ""Palm (135).jpg"", ""Cross (55).jpg"", ""Bicycle (68).jpg"", ""Car (79).jpg"", ""Palm (7).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (218).jpg"", ""Bicycle (553).jpg"", ""Bicycle (611).jpg"", ""Bicycle (68).jpg""]",776,1,1,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:04:05.163,2026-03-23T14:04:23.708,18.545,2,1,Click on the images containing bicycles.,"[""Bicycle (459).jpg"", ""Bridge (68).jpg"", ""Palm (84).jpg"", ""Bridge (123).jpg"", ""Bicycle (774).jpg"", ""Bicycle (29).jpg"", ""Bicycle (694).jpg"", ""Chimney (53).jpg"", ""Bicycle (673).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[0, 4, 5, 6, 8]","[""Bicycle (459).jpg"", ""Bicycle (774).jpg"", ""Bicycle (29).jpg"", ""Bicycle (694).jpg"", ""Bicycle (673).jpg""]",771,2,2,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:04:23.714,2026-03-23T14:04:39.868,16.154,3,1,Click on the images containing bicycles.,"[""Bicycle (594).jpg"", ""Chimney (19).jpg"", ""Bicycle (745).jpg"", ""Hydrant (54).jpg"", ""Bus (126).jpg"", ""Car (70).jpg"", ""Bicycle (157).jpg"", ""Cross (64).jpg"", ""Bicycle (674).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 6, 8]","[""Bicycle (594).jpg"", ""Bicycle (745).jpg"", ""Bicycle (157).jpg"", ""Bicycle (674).jpg""]",767,3,3,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:04:39.876,2026-03-23T14:04:49.004,9.128,4,0,Click on the images containing bicycles.,"[""Car (100).jpg"", ""Bus (94).jpg"", ""Bridge (70).jpg"", ""Bicycle (688).jpg"", ""Bicycle (343).jpg"", ""Stair (116).jpg"", ""Bicycle (71).jpg"", ""Car (137).jpg"", ""Bicycle (35).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[4, 6, 8]","[""Bicycle (343).jpg"", ""Bicycle (71).jpg"", ""Bicycle (35).jpg""]",763,4,3,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:04:51.012,2026-03-23T14:05:04.508,13.496,5,1,Click on the images containing bicycles.,"[""Cross (22).jpg"", ""Stair (1227).jpg"", ""Hydrant (115).jpg"", ""Bicycle (692).jpg"", ""Palm (102).jpg"", ""Bridge (30).jpg"", ""Bicycle (300).jpg"", ""Bicycle (90).jpg"", ""Car (126).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (692).jpg"", ""Bicycle (300).jpg"", ""Bicycle (90).jpg""]",760,5,4,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:05:04.515,2026-03-23T14:05:17.588,13.073,6,1,Click on the images containing bicycles.,"[""Bridge (102).jpg"", ""Bicycle (377).jpg"", ""Bicycle (756).jpg"", ""Hydrant (47).jpg"", ""Bicycle (527).jpg"", ""Palm (124).jpg"", ""Bus (31).jpg"", ""Bicycle (12).jpg"", ""Hydrant (72).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 4, 7]","[""Bicycle (377).jpg"", ""Bicycle (756).jpg"", ""Bicycle (527).jpg"", ""Bicycle (12).jpg""]",756,6,5,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:05:17.596,2026-03-23T14:05:32.587,14.991,7,0,Click on the images containing bicycles.,"[""Bicycle (711).jpg"", ""Hydrant (86).jpg"", ""Cross (114).jpg"", ""Bridge (94).jpg"", ""Bus (64).jpg"", ""Bicycle (405).jpg"", ""Bus (62).jpg"", ""Palm (62).jpg"", ""Bicycle (193).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 5, 8]","[""Bicycle (711).jpg"", ""Cross (114).jpg"", ""Bicycle (405).jpg"", ""Bicycle (193).jpg""]",753,7,5,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:05:34.596,2026-03-23T14:05:52.203,17.607,8,0,Click on the images containing bicycles.,"[""Hydrant (134).jpg"", ""Bicycle (685).jpg"", ""Bicycle (152).jpg"", ""Stair (1458).jpg"", ""Bicycle (718).jpg"", ""Bicycle (453).jpg"", ""Bridge (99).jpg"", ""Bridge (119).jpg"", ""Bridge (78).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 4, 5]","[""Bicycle (685).jpg"", ""Bicycle (152).jpg"", ""Stair (1458).jpg"", ""Bicycle (718).jpg"", ""Bicycle (453).jpg""]",749,8,5,10,submit,
2840ab0d484e4db7b7d4cfca4428a32d,captcha_pre,116,19,female,2026-03-23T14:05:54.212,2026-03-23T14:06:05.412,11.2,9,1,Click on the images containing bicycles.,"[""Bicycle (471).jpg"", ""Tlight (115).jpg"", ""Cross (101).jpg"", ""Stair (1134).jpg"", ""Bicycle (285).jpg"", ""Bicycle (516).jpg"", ""Chimney (113).jpg"", ""Bicycle (241).jpg"", ""Bus (33).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (471).jpg"", ""Bicycle (285).jpg"", ""Bicycle (516).jpg"", ""Bicycle (241).jpg""]",745,9,6,10,submit,
