exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:01:25.773,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:01:25.793,2026-03-27T13:02:02.246,36.453,1,1,Click on the images containing bicycles.,"[""Bicycle (294).jpg"", ""Bicycle (628).jpg"", ""Bicycle (135).jpg"", ""Palm (72).jpg"", ""Bicycle (529).jpg"", ""Palm (105).jpg"", ""Tlight (94).jpg"", ""Bicycle (756).jpg"", ""Stair (116).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 4, 7]","[""Bicycle (294).jpg"", ""Bicycle (628).jpg"", ""Bicycle (135).jpg"", ""Bicycle (529).jpg"", ""Bicycle (756).jpg""]",775,1,1,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:02:02.252,2026-03-27T13:02:21.348,19.096,2,1,Click on the images containing bicycles.,"[""Hydrant (112).jpg"", ""Bicycle (517).jpg"", ""Chimney (57).jpg"", ""Bicycle (423).jpg"", ""Car (53).jpg"", ""Bicycle (580).jpg"", ""Bicycle (129).jpg"", ""Bicycle (348).jpg"", ""Chimney (115).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 3, 5, 6, 7]","[""Bicycle (517).jpg"", ""Bicycle (423).jpg"", ""Bicycle (580).jpg"", ""Bicycle (129).jpg"", ""Bicycle (348).jpg""]",770,2,2,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:02:21.355,2026-03-27T13:02:31.125,9.77,3,0,Click on the images containing bicycles.,"[""Cross (36).jpg"", ""Bicycle (267).jpg"", ""Bicycle (228).jpg"", ""Bus (103).jpg"", ""Car (71).jpg"", ""Tlight (59).jpg"", ""Hydrant (46).jpg"", ""Bicycle (57).jpg"", ""Bus (40).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3]","[""Bicycle (267).jpg"", ""Bicycle (228).jpg"", ""Bus (103).jpg""]",767,3,2,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:02:33.133,2026-03-27T13:02:45.594,12.461,4,1,Click on the images containing bicycles.,"[""Tlight (114).jpg"", ""Car (73).jpg"", ""Bicycle (271).jpg"", ""Car (86).jpg"", ""Palm (125).jpg"", ""Stair (748).jpg"", ""Bicycle (412).jpg"", ""Bicycle (719).jpg"", ""Stair (383).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 6, 7]","[""Bicycle (271).jpg"", ""Bicycle (412).jpg"", ""Bicycle (719).jpg""]",764,4,3,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:02:45.597,2026-03-27T13:02:56.570,10.973,5,1,Click on the images containing bicycles.,"[""Hydrant (92).jpg"", ""Bicycle (12).jpg"", ""Car (92).jpg"", ""Cross (54).jpg"", ""Tlight (137).jpg"", ""Car (49).jpg"", ""Bicycle (351).jpg"", ""Car (106).jpg"", ""Bicycle (603).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (12).jpg"", ""Bicycle (351).jpg"", ""Bicycle (603).jpg""]",761,5,4,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:02:56.573,2026-03-27T13:03:08.637,12.064,6,1,Click on the images containing bicycles.,"[""Bicycle (337).jpg"", ""Tlight (121).jpg"", ""Chimney (50).jpg"", ""Car (83).jpg"", ""Stair (594).jpg"", ""Bicycle (515).jpg"", ""Palm (59).jpg"", ""Bicycle (174).jpg"", ""Bicycle (540).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (337).jpg"", ""Bicycle (515).jpg"", ""Bicycle (174).jpg"", ""Bicycle (540).jpg""]",757,6,5,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:03:08.643,2026-03-27T13:03:22.842,14.199,7,1,Click on the images containing bicycles.,"[""Cross (49).jpg"", ""Bicycle (537).jpg"", ""Chimney (106).jpg"", ""Bicycle (637).jpg"", ""Bicycle (127).jpg"", ""Bicycle (516).jpg"", ""Tlight (134).jpg"", ""Bridge (52).jpg"", ""Bicycle (203).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 4, 5, 8]","[""Bicycle (537).jpg"", ""Bicycle (637).jpg"", ""Bicycle (127).jpg"", ""Bicycle (516).jpg"", ""Bicycle (203).jpg""]",752,7,6,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:03:22.844,2026-03-27T13:03:35.554,12.71,8,1,Click on the images containing bicycles.,"[""Bus (50).jpg"", ""Bicycle (201).jpg"", ""Bicycle (670).jpg"", ""Bicycle (197).jpg"", ""Palm (84).jpg"", ""Car (74).jpg"", ""Chimney (7).jpg"", ""Bicycle (449).jpg"", ""Bridge (115).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 7]","[""Bicycle (201).jpg"", ""Bicycle (670).jpg"", ""Bicycle (197).jpg"", ""Bicycle (449).jpg""]",748,8,7,10,submit,
67af87be5389499fa766413f01441f3d,captcha_pre,201,18,female,2026-03-27T13:03:35.557,2026-03-27T13:03:44.571,9.014,9,0,Click on the images containing bicycles.,"[""Cross (47).jpg"", ""Bicycle (645).jpg"", ""Bicycle (83).jpg"", ""Tlight (86).jpg"", ""Palm (102).jpg"", ""Hydrant (121).jpg"", ""Bicycle (345).jpg"", ""Bicycle (259).jpg"", ""Bicycle (181).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 6, 8]","[""Bicycle (645).jpg"", ""Bicycle (83).jpg"", ""Bicycle (345).jpg"", ""Bicycle (181).jpg""]",743,9,7,10,submit,
