exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:01:55.545,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:01:55.573,2026-03-30T13:02:36.364,40.791,1,1,Click on the images containing bicycles.,"[""Bicycle (120).jpg"", ""Tlight (77).jpg"", ""Bicycle (645).jpg"", ""Cross (8).jpg"", ""Bicycle (530).jpg"", ""Bicycle (620).jpg"", ""Car (49).jpg"", ""Chimney (51).jpg"", ""Bicycle (705).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 4, 5, 8]","[""Bicycle (120).jpg"", ""Bicycle (645).jpg"", ""Bicycle (530).jpg"", ""Bicycle (620).jpg"", ""Bicycle (705).jpg""]",775,1,1,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:02:36.370,2026-03-30T13:02:59.602,23.232,2,1,Click on the images containing bicycles.,"[""Bicycle (723).jpg"", ""Bicycle (112).jpg"", ""Hydrant (86).jpg"", ""Bridge (111).jpg"", ""Chimney (36).jpg"", ""Palm (43).jpg"", ""Stair (421).jpg"", ""Bicycle (309).jpg"", ""Chimney (105).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (723).jpg"", ""Bicycle (112).jpg"", ""Bicycle (309).jpg""]",772,2,2,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:02:59.609,2026-03-30T13:03:21.242,21.633,3,0,Click on the images containing bicycles.,"[""Bicycle (628).jpg"", ""Hydrant (36).jpg"", ""Bicycle (244).jpg"", ""Tlight (121).jpg"", ""Chimney (30).jpg"", ""Bicycle (239).jpg"", ""Chimney (71).jpg"", ""Bicycle (717).jpg"", ""Bicycle (732).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 2, 7, 8]","[""Bicycle (628).jpg"", ""Bicycle (244).jpg"", ""Bicycle (717).jpg"", ""Bicycle (732).jpg""]",767,3,2,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:03:23.252,2026-03-30T13:03:37.962,14.71,4,0,Click on the images containing bicycles.,"[""Bicycle (119).jpg"", ""Bicycle (554).jpg"", ""Car (56).jpg"", ""Palm (81).jpg"", ""Bicycle (188).jpg"", ""Stair (1353).jpg"", ""Chimney (13).jpg"", ""Bicycle (80).jpg"", ""Bicycle (442).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 4, 7]","[""Bicycle (554).jpg"", ""Bicycle (188).jpg"", ""Bicycle (80).jpg""]",762,4,2,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:03:39.972,2026-03-30T13:03:53.650,13.678,5,0,Click on the images containing bicycles.,"[""Bicycle (195).jpg"", ""Bridge (55).jpg"", ""Bridge (69).jpg"", ""Bicycle (254).jpg"", ""Stair (1358).jpg"", ""Car (99).jpg"", ""Bicycle (375).jpg"", ""Car (50).jpg"", ""Hydrant (57).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[3, 6]","[""Bicycle (254).jpg"", ""Bicycle (375).jpg""]",759,5,2,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:03:55.658,2026-03-30T13:04:12.018,16.36,6,1,Click on the images containing bicycles.,"[""Car (105).jpg"", ""Bridge (60).jpg"", ""Bicycle (140).jpg"", ""Cross (9).jpg"", ""Bicycle (552).jpg"", ""Bicycle (54).jpg"", ""Bicycle (308).jpg"", ""Bicycle (564).jpg"", ""Bridge (34).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[2, 4, 5, 6, 7]","[""Bicycle (140).jpg"", ""Bicycle (552).jpg"", ""Bicycle (54).jpg"", ""Bicycle (308).jpg"", ""Bicycle (564).jpg""]",754,6,3,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:04:12.024,2026-03-30T13:04:36.162,24.138,7,0,Click on the images containing bicycles.,"[""Bicycle (646).jpg"", ""Bicycle (766).jpg"", ""Bicycle (299).jpg"", ""Stair (398).jpg"", ""Palm (115).jpg"", ""Bus (96).jpg"", ""Bridge (118).jpg"", ""Bicycle (416).jpg"", ""Palm (2).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (646).jpg"", ""Bicycle (299).jpg"", ""Bicycle (416).jpg""]",750,7,3,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:04:38.170,2026-03-30T13:04:54.282,16.112,8,0,Click on the images containing bicycles.,"[""Bus (55).jpg"", ""Bicycle (164).jpg"", ""Bicycle (536).jpg"", ""Palm (71).jpg"", ""Chimney (94).jpg"", ""Bus (65).jpg"", ""Bicycle (730).jpg"", ""Bus (119).jpg"", ""Car (21).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 6]","[""Bus (55).jpg"", ""Bicycle (164).jpg"", ""Bicycle (536).jpg"", ""Bicycle (730).jpg""]",747,8,3,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:04:56.290,2026-03-30T13:05:13.482,17.192,9,1,Click on the images containing bicycles.,"[""Bicycle (211).jpg"", ""Chimney (73).jpg"", ""Bus (85).jpg"", ""Bicycle (702).jpg"", ""Palm (101).jpg"", ""Bicycle (338).jpg"", ""Car (34).jpg"", ""Bicycle (318).jpg"", ""Bicycle (369).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 3, 5, 7, 8]","[""Bicycle (211).jpg"", ""Bicycle (702).jpg"", ""Bicycle (338).jpg"", ""Bicycle (318).jpg"", ""Bicycle (369).jpg""]",742,9,4,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:05:13.490,2026-03-30T13:05:30.594,17.104,10,0,Click on the images containing bicycles.,"[""Bicycle (582).jpg"", ""Chimney (59).jpg"", ""Bicycle (107).jpg"", ""Bridge (125).jpg"", ""Bicycle (177).jpg"", ""Cross (42).jpg"", ""Bicycle (589).jpg"", ""Palm (140).jpg"", ""Stair (1458).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (582).jpg"", ""Bicycle (177).jpg"", ""Bicycle (589).jpg""]",738,10,4,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:05:32.603,2026-03-30T13:05:42.345,9.742,11,1,Click on the images containing bicycles.,"[""Bus (90).jpg"", ""Bus (35).jpg"", ""Bicycle (152).jpg"", ""Bicycle (218).jpg"", ""Bicycle (70).jpg"", ""Chimney (11).jpg"", ""Cross (100).jpg"", ""Bicycle (138).jpg"", ""Car (75).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 4, 7]","[""Bicycle (152).jpg"", ""Bicycle (218).jpg"", ""Bicycle (70).jpg"", ""Bicycle (138).jpg""]",734,11,5,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:05:42.351,2026-03-30T13:05:53.217,10.866,12,1,Click on the images containing bicycles.,"[""Cross (72).jpg"", ""Bicycle (473).jpg"", ""Car (37).jpg"", ""Tlight (131).jpg"", ""Tlight (105).jpg"", ""Cross (58).jpg"", ""Bicycle (541).jpg"", ""Bridge (106).jpg"", ""Bicycle (236).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (473).jpg"", ""Bicycle (541).jpg"", ""Bicycle (236).jpg""]",731,12,6,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:05:53.224,2026-03-30T13:06:08.433,15.209,13,1,Click on the images containing bicycles.,"[""Bicycle (198).jpg"", ""Car (71).jpg"", ""Hydrant (122).jpg"", ""Bicycle (48).jpg"", ""Bicycle (103).jpg"", ""Stair (788).jpg"", ""Cross (19).jpg"", ""Stair (989).jpg"", ""Palm (114).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (198).jpg"", ""Bicycle (48).jpg"", ""Bicycle (103).jpg""]",728,13,7,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:06:08.440,2026-03-30T13:06:20.801,12.361,14,0,Click on the images containing bicycles.,"[""Bridge (99).jpg"", ""Cross (76).jpg"", ""Bicycle (285).jpg"", ""Bridge (29).jpg"", ""Palm (125).jpg"", ""Bridge (28).jpg"", ""Bicycle (652).jpg"", ""Bus (78).jpg"", ""Bicycle (93).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 6]","[""Bicycle (285).jpg"", ""Bicycle (652).jpg""]",725,14,7,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:06:22.809,2026-03-30T13:06:31.082,8.273,15,1,Click on the images containing bicycles.,"[""Bicycle (639).jpg"", ""Bus (88).jpg"", ""Bicycle (696).jpg"", ""Hydrant (22).jpg"", ""Chimney (1).jpg"", ""Chimney (119).jpg"", ""Bridge (50).jpg"", ""Bicycle (556).jpg"", ""Palm (104).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (639).jpg"", ""Bicycle (696).jpg"", ""Bicycle (556).jpg""]",722,15,8,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:06:31.087,2026-03-30T13:06:40.690,9.603,16,1,Click on the images containing bicycles.,"[""Bridge (24).jpg"", ""Tlight (123).jpg"", ""Bridge (103).jpg"", ""Bicycle (550).jpg"", ""Bicycle (459).jpg"", ""Bicycle (142).jpg"", ""Palm (117).jpg"", ""Stair (1134).jpg"", ""Bicycle (212).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[3, 4, 5, 8]","[""Bicycle (550).jpg"", ""Bicycle (459).jpg"", ""Bicycle (142).jpg"", ""Bicycle (212).jpg""]",718,16,9,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:06:40.696,2026-03-30T13:06:48.569,7.873,17,0,Click on the images containing bicycles.,"[""Palm (80).jpg"", ""Car (107).jpg"", ""Hydrant (130).jpg"", ""Tlight (104).jpg"", ""Bicycle (417).jpg"", ""Bicycle (510).jpg"", ""Bicycle (533).jpg"", ""Bicycle (644).jpg"", ""Bicycle (384).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]","[5, 6, 7, 8]","[""Bicycle (510).jpg"", ""Bicycle (533).jpg"", ""Bicycle (644).jpg"", ""Bicycle (384).jpg""]",713,17,9,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:06:50.577,2026-03-30T13:06:59.105,8.528,18,1,Click on the images containing bicycles.,"[""Stair (1335).jpg"", ""Bicycle (693).jpg"", ""Bicycle (432).jpg"", ""Tlight (114).jpg"", ""Chimney (101).jpg"", ""Hydrant (139).jpg"", ""Bicycle (758).jpg"", ""Bicycle (746).jpg"", ""Bridge (93).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 6, 7]","[""Bicycle (693).jpg"", ""Bicycle (432).jpg"", ""Bicycle (758).jpg"", ""Bicycle (746).jpg""]",709,18,10,10,submit,
0e08ba8246174a3a84c293712c5aa9e9,captcha_pre,203,18,female,2026-03-30T13:06:50.577,2026-03-30T13:06:59.112,8.535,18,,Click on the images containing bicycles.,[],[],[],[],709,18,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
0e08ba8246174a3a84c293712c5aa9e9,q_pre_captcha,203,18,female,2026-03-30T13:06:59.123,2026-03-30T13:07:28.633,29.51,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""3"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""3"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_difficulty"": ""5""}"
0e08ba8246174a3a84c293712c5aa9e9,q_pre_idaq,203,18,female,2026-03-30T13:07:28.647,2026-03-30T13:10:49.518,200.871,,,,,,,,,,,,submit,"{""idaq_14"": ""4"", ""idaq_11"": ""7"", ""idaq_12"": ""8"", ""idaq_18"": ""7"", ""idaq_5"": ""9"", ""idaq_4"": ""8"", ""idaq_1"": ""7"", ""idaq_20"": ""7"", ""idaq_25"": ""8"", ""idaq_22"": ""6"", ""idaq_26"": ""2"", ""idaq_3"": ""6"", ""idaq_19"": ""7"", ""idaq_2"": ""6"", ""idaq_7"": ""2"", ""idaq_23"": ""4"", ""idaq_27"": ""8"", ""idaq_17"": ""6"", ""idaq_16"": ""9"", ""idaq_6"": ""8"", ""idaq_9"": ""1"", ""idaq_30"": ""7"", ""idaq_21"": ""3"", ""idaq_24"": ""5"", ""idaq_13"": ""2"", ""idaq_15"": ""2"", ""idaq_10"": ""4"", ""idaq_29"": ""6"", ""idaq_8"": ""4"", ""idaq_28"": ""8""}"
0e08ba8246174a3a84c293712c5aa9e9,q_pre_2050,203,18,female,2026-03-30T13:10:49.532,2026-03-30T13:13:22.042,152.51,,,,,,,,,,,,submit,"{""2050_flight_attendants"": ""3"", ""2050_mannequins"": ""4"", ""2050_art"": ""6"", ""2050_police"": ""5"", ""2050_crime"": ""7"", ""2050_shelters"": ""2"", ""2050_rubbish_collectors"": ""8"", ""2050_neurosurgery"": ""5"", ""2050_school"": ""5"", ""2050_sports"": ""2"", ""2050_hiking"": ""4"", ""2050_rights"": ""3"", ""2050_other_worlds"": ""7"", ""2050_nursing_home"": ""5"", ""2050_experiments"": ""8""}"
154e098336fd4a98bc9197f95822ddf2,q_post_gators,203,18,female,2026-03-30T13:27:48.736,2026-03-30T13:30:03.259,134.523,,,,,,,,,,,,submit,"{""gators_14"": ""5"", ""gators_3"": ""3"", ""gators_1"": ""6"", ""gators_12"": ""6"", ""gators_19"": ""4"", ""gators_17"": ""6"", ""gators_8"": ""3"", ""gators_10"": ""4"", ""gators_5"": ""5"", ""gators_6"": ""3"", ""gators_15"": ""5"", ""gators_7"": ""5"", ""gators_16"": ""6"", ""gators_11"": ""6"", ""gators_13"": ""3"", ""gators_9"": ""2"", ""gators_20"": ""4"", ""gators_2"": ""4"", ""gators_18"": ""5"", ""gators_4"": ""4""}"
154e098336fd4a98bc9197f95822ddf2,q_post_specific,203,18,female,2026-03-30T13:30:03.273,2026-03-30T13:30:29.870,26.597,,,,,,,,,,,,submit,"{""robot_empathy"": ""4"", ""conversation_interestingness"": ""3"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""5""}"
154e098336fd4a98bc9197f95822ddf2,captcha_post,203,18,female,2026-03-30T13:30:29.918,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
