exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_pre,205,18,female,2026-03-30T14:56:00.432,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_pre,205,18,female,2026-03-30T14:56:00.465,2026-03-30T14:56:49.576,49.111,1,0,Click on the images containing bicycles.,"[""Bicycle (624).jpg"", ""Bicycle (395).jpg"", ""Tlight (15).jpg"", ""Stair (1401).jpg"", ""Stair (1245).jpg"", ""Chimney (58).jpg"", ""Bicycle (425).jpg"", ""Bicycle (293).jpg"", ""Cross (84).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (624).jpg"", ""Bicycle (395).jpg"", ""Bicycle (293).jpg""]",776,1,0,1,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_pre,205,18,female,2026-03-30T14:56:51.585,2026-03-30T14:57:09.615,18.03,2,1,Click on the images containing bicycles.,"[""Palm (140).jpg"", ""Car (74).jpg"", ""Stair (71).jpg"", ""Bicycle (224).jpg"", ""Cross (36).jpg"", ""Tlight (6).jpg"", ""Bicycle (685).jpg"", ""Bicycle (616).jpg"", ""Cross (72).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (224).jpg"", ""Bicycle (685).jpg"", ""Bicycle (616).jpg""]",773,2,1,1,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_pre,205,18,female,2026-03-30T14:56:51.585,2026-03-30T14:57:09.622,18.037,2,,Click on the images containing bicycles.,[],[],[],[],773,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
f3aaf8db884d414aa0b90f5ed1ac033e,q_pre_captcha,205,18,female,2026-03-30T14:57:09.634,2026-03-30T14:57:30.807,21.173,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""2"", ""captcha_task_enjoyment"": ""3"", ""captcha_task_difficulty"": ""6"", ""general_captcha_liking"": ""5"", ""captcha_task_meaningfulness"": ""4""}"
f3aaf8db884d414aa0b90f5ed1ac033e,q_pre_idaq,205,18,female,2026-03-30T14:57:30.822,2026-03-30T15:00:15.591,164.769,,,,,,,,,,,,submit,"{""idaq_12"": ""10"", ""idaq_26"": ""1"", ""idaq_30"": ""8"", ""idaq_19"": ""9"", ""idaq_11"": ""7"", ""idaq_3"": ""2"", ""idaq_8"": ""7"", ""idaq_23"": ""6"", ""idaq_16"": ""10"", ""idaq_29"": ""10"", ""idaq_7"": ""1"", ""idaq_28"": ""8"", ""idaq_6"": ""10"", ""idaq_17"": ""4"", ""idaq_1"": ""1"", ""idaq_24"": ""7"", ""idaq_27"": ""9"", ""idaq_20"": ""8"", ""idaq_22"": ""8"", ""idaq_21"": ""1"", ""idaq_15"": ""1"", ""idaq_13"": ""1"", ""idaq_9"": ""1"", ""idaq_2"": ""9"", ""idaq_25"": ""8"", ""idaq_5"": ""10"", ""idaq_14"": ""2"", ""idaq_10"": ""9"", ""idaq_4"": ""9"", ""idaq_18"": ""7""}"
f3aaf8db884d414aa0b90f5ed1ac033e,q_pre_2050,205,18,female,2026-03-30T15:00:15.605,2026-03-30T15:02:38.605,143.0,,,,,,,,,,,,submit,"{""2050_sports"": ""10"", ""2050_nursing_home"": ""6"", ""2050_other_worlds"": ""10"", ""2050_neurosurgery"": ""1"", ""2050_hiking"": ""6"", ""2050_experiments"": ""5"", ""2050_rights"": ""3"", ""2050_rubbish_collectors"": ""8"", ""2050_school"": ""2"", ""2050_art"": ""4"", ""2050_police"": ""1"", ""2050_mannequins"": ""7"", ""2050_crime"": ""1"", ""2050_shelters"": ""1"", ""2050_flight_attendants"": ""6""}"
f3aaf8db884d414aa0b90f5ed1ac033e,q_post_gators,205,18,female,2026-03-30T15:15:52.019,2026-03-30T15:17:26.675,94.656,,,,,,,,,,,,submit,"{""gators_20"": ""7"", ""gators_7"": ""5"", ""gators_8"": ""3"", ""gators_11"": ""6"", ""gators_14"": ""5"", ""gators_16"": ""7"", ""gators_12"": ""7"", ""gators_1"": ""3"", ""gators_15"": ""4"", ""gators_13"": ""5"", ""gators_18"": ""5"", ""gators_2"": ""3"", ""gators_3"": ""5"", ""gators_6"": ""1"", ""gators_9"": ""3"", ""gators_17"": ""5"", ""gators_19"": ""5"", ""gators_4"": ""4"", ""gators_10"": ""1"", ""gators_5"": ""5""}"
f3aaf8db884d414aa0b90f5ed1ac033e,q_post_specific,205,18,female,2026-03-30T15:17:26.690,2026-03-30T15:18:07.659,40.969,,,,,,,,,,,,submit,"{""robot_friendliness"": ""7"", ""conversation_interestingness"": ""6"", ""robot_empathy"": ""6"", ""robot_likeability"": ""5"", ""mentacy_belief"": ""1"", ""belief_confidence"": ""5""}"
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:18:07.705,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:18:07.737,2026-03-30T15:18:26.875,19.138,1,0,Click on the images containing bicycles.,"[""Car (46).jpg"", ""Bus (103).jpg"", ""Car (111).jpg"", ""Bridge (103).jpg"", ""Bicycle (378).jpg"", ""Bicycle (421).jpg"", ""Bicycle (490).jpg"", ""Bicycle (341).jpg"", ""Car (89).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[1, 4, 5, 6, 7]","[""Bus (103).jpg"", ""Bicycle (378).jpg"", ""Bicycle (421).jpg"", ""Bicycle (490).jpg"", ""Bicycle (341).jpg""]",776,1,0,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:18:28.884,2026-03-30T15:18:39.517,10.633,2,1,Click on the images containing bicycles.,"[""Hydrant (109).jpg"", ""Hydrant (55).jpg"", ""Bicycle (196).jpg"", ""Chimney (39).jpg"", ""Tlight (104).jpg"", ""Palm (106).jpg"", ""Tlight (58).jpg"", ""Bicycle (482).jpg"", ""Bicycle (402).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (196).jpg"", ""Bicycle (482).jpg"", ""Bicycle (402).jpg""]",773,2,1,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:18:39.523,2026-03-30T15:18:53.322,13.799,3,0,Click on the images containing bicycles.,"[""Bicycle (226).jpg"", ""Bicycle (37).jpg"", ""Stair (544).jpg"", ""Bicycle (467).jpg"", ""Tlight (139).jpg"", ""Stair (424).jpg"", ""Hydrant (136).jpg"", ""Bicycle (99).jpg"", ""Bicycle (520).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 3, 7, 8]","[""Bicycle (37).jpg"", ""Bicycle (467).jpg"", ""Bicycle (99).jpg"", ""Bicycle (520).jpg""]",768,3,1,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:18:55.331,2026-03-30T15:19:05.137,9.806,4,1,Click on the images containing bicycles.,"[""Cross (75).jpg"", ""Tlight (6).jpg"", ""Chimney (98).jpg"", ""Bicycle (101).jpg"", ""Stair (641).jpg"", ""Tlight (50).jpg"", ""Bicycle (670).jpg"", ""Bicycle (649).jpg"", ""Hydrant (48).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (101).jpg"", ""Bicycle (670).jpg"", ""Bicycle (649).jpg""]",765,4,2,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:19:05.141,2026-03-30T15:19:12.387,7.246,5,1,Click on the images containing bicycles.,"[""Bus (75).jpg"", ""Bicycle (590).jpg"", ""Bicycle (754).jpg"", ""Car (27).jpg"", ""Bicycle (472).jpg"", ""Bicycle (335).jpg"", ""Cross (13).jpg"", ""Bridge (93).jpg"", ""Car (116).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (590).jpg"", ""Bicycle (754).jpg"", ""Bicycle (472).jpg"", ""Bicycle (335).jpg""]",761,5,3,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:19:12.392,2026-03-30T15:19:26.619,14.227,6,1,Click on the images containing bicycles.,"[""Bicycle (711).jpg"", ""Hydrant (62).jpg"", ""Bridge (54).jpg"", ""Bicycle (79).jpg"", ""Cross (10).jpg"", ""Palm (82).jpg"", ""Bicycle (210).jpg"", ""Car (38).jpg"", ""Bus (24).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (711).jpg"", ""Bicycle (79).jpg"", ""Bicycle (210).jpg""]",758,6,4,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:19:26.625,2026-03-30T15:19:34.683,8.058,7,1,Click on the images containing bicycles.,"[""Bicycle (686).jpg"", ""Bridge (21).jpg"", ""Bicycle (400).jpg"", ""Cross (88).jpg"", ""Bicycle (681).jpg"", ""Stair (1465).jpg"", ""Car (101).jpg"", ""Bicycle (54).jpg"", ""Tlight (79).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 4, 7]","[""Bicycle (686).jpg"", ""Bicycle (400).jpg"", ""Bicycle (681).jpg"", ""Bicycle (54).jpg""]",754,7,5,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:19:34.687,2026-03-30T15:19:45.131,10.444,8,1,Click on the images containing bicycles.,"[""Chimney (124).jpg"", ""Bicycle (147).jpg"", ""Tlight (89).jpg"", ""Bus (44).jpg"", ""Tlight (17).jpg"", ""Car (99).jpg"", ""Bicycle (596).jpg"", ""Bicycle (76).jpg"", ""Bicycle (678).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 6, 7, 8]","[""Bicycle (147).jpg"", ""Bicycle (596).jpg"", ""Bicycle (76).jpg"", ""Bicycle (678).jpg""]",750,8,6,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:19:45.136,2026-03-30T15:19:52.867,7.731,9,0,Click on the images containing bicycles.,"[""Palm (110).jpg"", ""Palm (128).jpg"", ""Bus (25).jpg"", ""Bicycle (638).jpg"", ""Bicycle (581).jpg"", ""Car (130).jpg"", ""Car (93).jpg"", ""Bicycle (685).jpg"", ""Bicycle (499).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (638).jpg"", ""Bicycle (685).jpg"", ""Bicycle (499).jpg""]",746,9,6,1000,submit,
f3aaf8db884d414aa0b90f5ed1ac033e,captcha_post,205,18,female,2026-03-30T15:19:54.874,2026-03-30T15:20:05.787,10.913,10,1,Click on the images containing bicycles.,"[""Bicycle (368).jpg"", ""Car (42).jpg"", ""Tlight (126).jpg"", ""Bicycle (276).jpg"", ""Chimney (94).jpg"", ""Palm (77).jpg"", ""Bridge (117).jpg"", ""Cross (80).jpg"", ""Bicycle (36).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (368).jpg"", ""Bicycle (276).jpg"", ""Bicycle (36).jpg""]",743,10,7,1000,submit,
