exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:52:40.836,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:52:40.859,2026-03-31T10:53:12.271,31.412,1,1,Click on the images containing bicycles.,"[""Car (136).jpg"", ""Bicycle (326).jpg"", ""Bicycle (121).jpg"", ""Bicycle (125).jpg"", ""Bicycle (457).jpg"", ""Stair (874).jpg"", ""Bus (135).jpg"", ""Bicycle (281).jpg"", ""Cross (18).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 4, 7]","[""Bicycle (326).jpg"", ""Bicycle (121).jpg"", ""Bicycle (125).jpg"", ""Bicycle (457).jpg"", ""Bicycle (281).jpg""]",775,1,1,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:53:12.277,2026-03-31T10:53:24.919,12.642,2,1,Click on the images containing bicycles.,"[""Tlight (58).jpg"", ""Tlight (48).jpg"", ""Bicycle (770).jpg"", ""Bicycle (642).jpg"", ""Tlight (82).jpg"", ""Palm (100).jpg"", ""Bicycle (619).jpg"", ""Bicycle (211).jpg"", ""Bridge (89).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (770).jpg"", ""Bicycle (642).jpg"", ""Bicycle (619).jpg"", ""Bicycle (211).jpg""]",771,2,2,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:53:24.926,2026-03-31T10:53:36.496,11.57,3,0,Click on the images containing bicycles.,"[""Chimney (119).jpg"", ""Bicycle (104).jpg"", ""Bridge (42).jpg"", ""Tlight (107).jpg"", ""Bus (124).jpg"", ""Car (90).jpg"", ""Bicycle (390).jpg"", ""Bicycle (274).jpg"", ""Bus (68).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7, 8]","[""Bicycle (104).jpg"", ""Bicycle (390).jpg"", ""Bicycle (274).jpg"", ""Bus (68).jpg""]",768,3,2,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:53:38.506,2026-03-31T10:53:48.116,9.61,4,1,Click on the images containing bicycles.,"[""Bicycle (162).jpg"", ""Bridge (84).jpg"", ""Bicycle (514).jpg"", ""Bicycle (305).jpg"", ""Palm (109).jpg"", ""Bridge (110).jpg"", ""Tlight (129).jpg"", ""Bicycle (475).jpg"", ""Bicycle (376).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 3, 7, 8]","[""Bicycle (162).jpg"", ""Bicycle (514).jpg"", ""Bicycle (305).jpg"", ""Bicycle (475).jpg"", ""Bicycle (376).jpg""]",763,4,3,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:53:48.118,2026-03-31T10:54:03.234,15.116,5,1,Click on the images containing bicycles.,"[""Stair (1401).jpg"", ""Bicycle (568).jpg"", ""Car (51).jpg"", ""Car (103).jpg"", ""Hydrant (98).jpg"", ""Stair (439).jpg"", ""Bicycle (374).jpg"", ""Bicycle (774).jpg"", ""Bridge (39).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (568).jpg"", ""Bicycle (374).jpg"", ""Bicycle (774).jpg""]",760,5,4,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:54:03.242,2026-03-31T10:54:15.716,12.474,6,1,Click on the images containing bicycles.,"[""Bicycle (758).jpg"", ""Bus (64).jpg"", ""Stair (1191).jpg"", ""Tlight (92).jpg"", ""Bicycle (779).jpg"", ""Stair (109).jpg"", ""Bus (21).jpg"", ""Bicycle (160).jpg"", ""Chimney (65).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 4, 7]","[""Bicycle (758).jpg"", ""Bicycle (779).jpg"", ""Bicycle (160).jpg""]",757,6,5,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:54:15.722,2026-03-31T10:54:21.204,5.482,7,1,Click on the images containing bicycles.,"[""Bicycle (622).jpg"", ""Stair (253).jpg"", ""Chimney (126).jpg"", ""Tlight (102).jpg"", ""Bicycle (473).jpg"", ""Car (111).jpg"", ""Palm (106).jpg"", ""Tlight (88).jpg"", ""Bicycle (355).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 4, 8]","[""Bicycle (622).jpg"", ""Bicycle (473).jpg"", ""Bicycle (355).jpg""]",754,7,6,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:54:21.211,2026-03-31T10:54:29.470,8.259,8,1,Click on the images containing bicycles.,"[""Stair (482).jpg"", ""Hydrant (85).jpg"", ""Bicycle (120).jpg"", ""Bus (58).jpg"", ""Stair (1052).jpg"", ""Bicycle (724).jpg"", ""Cross (89).jpg"", ""Bicycle (382).jpg"", ""Bicycle (672).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[2, 5, 7, 8]","[""Bicycle (120).jpg"", ""Bicycle (724).jpg"", ""Bicycle (382).jpg"", ""Bicycle (672).jpg""]",750,8,7,10,submit,
9920d7a591964d88a098dbe71f99141e,captcha_pre,207,17,male,2026-03-31T10:54:29.476,2026-03-31T10:54:37.060,7.584,9,1,Click on the images containing bicycles.,"[""Bicycle (278).jpg"", ""Stair (1037).jpg"", ""Palm (85).jpg"", ""Hydrant (79).jpg"", ""Car (135).jpg"", ""Bicycle (112).jpg"", ""Bicycle (324).jpg"", ""Hydrant (77).jpg"", ""Palm (4).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (278).jpg"", ""Bicycle (112).jpg"", ""Bicycle (324).jpg""]",747,9,8,10,submit,
