exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:48:58.788,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:48:58.807,2026-03-31T13:49:39.598,40.791,1,1,Click on the images containing bicycles.,"[""Bridge (87).jpg"", ""Bicycle (622).jpg"", ""Tlight (99).jpg"", ""Bicycle (500).jpg"", ""Bus (92).jpg"", ""Palm (17).jpg"", ""Bicycle (547).jpg"", ""Tlight (125).jpg"", ""Bicycle (552).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 6, 8]","[""Bicycle (622).jpg"", ""Bicycle (500).jpg"", ""Bicycle (547).jpg"", ""Bicycle (552).jpg""]",776,1,1,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:49:39.604,2026-03-31T13:49:46.884,7.28,2,0,Click on the images containing bicycles.,"[""Hydrant (64).jpg"", ""Bicycle (223).jpg"", ""Bus (133).jpg"", ""Bus (82).jpg"", ""Bicycle (586).jpg"", ""Bicycle (186).jpg"", ""Bicycle (167).jpg"", ""Bicycle (685).jpg"", ""Tlight (69).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]",[],[],771,2,1,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:49:48.892,2026-03-31T13:50:05.584,16.692,3,0,Click on the images containing bicycles.,"[""Cross (12).jpg"", ""Bicycle (287).jpg"", ""Bus (54).jpg"", ""Car (87).jpg"", ""Bicycle (323).jpg"", ""Bicycle (655).jpg"", ""Bridge (48).jpg"", ""Bicycle (597).jpg"", ""Bicycle (646).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7]","[""Bicycle (287).jpg"", ""Bicycle (323).jpg"", ""Bicycle (655).jpg"", ""Bicycle (597).jpg""]",766,3,1,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:50:07.593,2026-03-31T13:50:25.509,17.916,4,1,Click on the images containing bicycles.,"[""Tlight (101).jpg"", ""Stair (1368).jpg"", ""Car (65).jpg"", ""Chimney (49).jpg"", ""Bicycle (678).jpg"", ""Bicycle (650).jpg"", ""Cross (61).jpg"", ""Bicycle (67).jpg"", ""Palm (76).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (678).jpg"", ""Bicycle (650).jpg"", ""Bicycle (67).jpg""]",763,4,2,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:50:25.517,2026-03-31T13:50:35.085,9.568,5,1,Click on the images containing bicycles.,"[""Bicycle (40).jpg"", ""Palm (87).jpg"", ""Bus (84).jpg"", ""Bicycle (230).jpg"", ""Bicycle (524).jpg"", ""Hydrant (25).jpg"", ""Cross (14).jpg"", ""Car (76).jpg"", ""Bicycle (12).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 4, 8]","[""Bicycle (40).jpg"", ""Bicycle (230).jpg"", ""Bicycle (524).jpg"", ""Bicycle (12).jpg""]",759,5,3,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:50:35.091,2026-03-31T13:50:49.029,13.938,6,1,Click on the images containing bicycles.,"[""Bicycle (589).jpg"", ""Palm (54).jpg"", ""Palm (120).jpg"", ""Bicycle (45).jpg"", ""Hydrant (78).jpg"", ""Bicycle (189).jpg"", ""Car (129).jpg"", ""Bicycle (269).jpg"", ""Bicycle (413).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 3, 5, 7, 8]","[""Bicycle (589).jpg"", ""Bicycle (45).jpg"", ""Bicycle (189).jpg"", ""Bicycle (269).jpg"", ""Bicycle (413).jpg""]",754,6,4,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:50:49.034,2026-03-31T13:50:59.628,10.594,7,1,Click on the images containing bicycles.,"[""Bicycle (481).jpg"", ""Palm (49).jpg"", ""Stair (1458).jpg"", ""Cross (55).jpg"", ""Bicycle (372).jpg"", ""Stair (236).jpg"", ""Bicycle (716).jpg"", ""Tlight (57).jpg"", ""Bicycle (395).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 4, 6, 8]","[""Bicycle (481).jpg"", ""Bicycle (372).jpg"", ""Bicycle (716).jpg"", ""Bicycle (395).jpg""]",750,7,5,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:50:59.635,2026-03-31T13:51:10.965,11.33,8,1,Click on the images containing bicycles.,"[""Bus (28).jpg"", ""Car (109).jpg"", ""Bicycle (629).jpg"", ""Bicycle (242).jpg"", ""Chimney (6).jpg"", ""Tlight (61).jpg"", ""Chimney (45).jpg"", ""Bicycle (158).jpg"", ""Palm (53).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 7]","[""Bicycle (629).jpg"", ""Bicycle (242).jpg"", ""Bicycle (158).jpg""]",747,8,6,10,submit,
9f9917a5167d440daf8ef6af9bceac99,captcha_pre,208,23,female,2026-03-31T13:51:10.970,2026-03-31T13:51:29.733,18.763,9,1,Click on the images containing bicycles.,"[""Tlight (97).jpg"", ""Bicycle (177).jpg"", ""Bus (38).jpg"", ""Bridge (107).jpg"", ""Bicycle (139).jpg"", ""Bicycle (307).jpg"", ""Palm (2).jpg"", ""Bicycle (343).jpg"", ""Bicycle (741).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (177).jpg"", ""Bicycle (139).jpg"", ""Bicycle (307).jpg"", ""Bicycle (343).jpg"", ""Bicycle (741).jpg""]",742,9,7,10,submit,
