exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:05:39.667,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:05:39.684,2026-04-02T15:06:21.946,42.262,1,1,Click on the images containing bicycles.,"[""Bridge (95).jpg"", ""Bicycle (10).jpg"", ""Tlight (99).jpg"", ""Chimney (65).jpg"", ""Bicycle (500).jpg"", ""Bicycle (64).jpg"", ""Hydrant (34).jpg"", ""Bicycle (187).jpg"", ""Bicycle (656).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (10).jpg"", ""Bicycle (500).jpg"", ""Bicycle (64).jpg"", ""Bicycle (187).jpg"", ""Bicycle (656).jpg""]",775,1,1,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:06:21.953,2026-04-02T15:06:30.482,8.529,2,1,Click on the images containing bicycles.,"[""Bicycle (729).jpg"", ""Cross (19).jpg"", ""Bicycle (264).jpg"", ""Car (94).jpg"", ""Bridge (116).jpg"", ""Cross (76).jpg"", ""Cross (38).jpg"", ""Bicycle (404).jpg"", ""Bus (32).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (729).jpg"", ""Bicycle (264).jpg"", ""Bicycle (404).jpg""]",772,2,2,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:06:30.486,2026-04-02T15:06:38.713,8.227,3,1,Click on the images containing bicycles.,"[""Bicycle (447).jpg"", ""Cross (11).jpg"", ""Bicycle (190).jpg"", ""Bicycle (97).jpg"", ""Bicycle (651).jpg"", ""Hydrant (57).jpg"", ""Bus (114).jpg"", ""Stair (1459).jpg"", ""Bicycle (378).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 4, 8]","[""Bicycle (447).jpg"", ""Bicycle (190).jpg"", ""Bicycle (97).jpg"", ""Bicycle (651).jpg"", ""Bicycle (378).jpg""]",767,3,3,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:06:38.720,2026-04-02T15:06:44.473,5.753,4,1,Click on the images containing bicycles.,"[""Bicycle (777).jpg"", ""Bicycle (246).jpg"", ""Bus (117).jpg"", ""Chimney (2).jpg"", ""Chimney (69).jpg"", ""Palm (57).jpg"", ""Tlight (125).jpg"", ""Bicycle (668).jpg"", ""Bicycle (384).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 7, 8]","[""Bicycle (777).jpg"", ""Bicycle (246).jpg"", ""Bicycle (668).jpg"", ""Bicycle (384).jpg""]",763,4,4,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:06:44.480,2026-04-02T15:06:51.849,7.369,5,1,Click on the images containing bicycles.,"[""Tlight (97).jpg"", ""Tlight (69).jpg"", ""Bicycle (399).jpg"", ""Cross (72).jpg"", ""Tlight (66).jpg"", ""Bus (43).jpg"", ""Car (117).jpg"", ""Bicycle (542).jpg"", ""Bicycle (51).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (399).jpg"", ""Bicycle (542).jpg"", ""Bicycle (51).jpg""]",760,5,5,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:06:51.856,2026-04-02T15:07:00.033,8.177,6,1,Click on the images containing bicycles.,"[""Palm (138).jpg"", ""Bicycle (724).jpg"", ""Cross (31).jpg"", ""Stair (1149).jpg"", ""Bicycle (549).jpg"", ""Bus (97).jpg"", ""Hydrant (46).jpg"", ""Bicycle (466).jpg"", ""Bicycle (460).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 4, 7, 8]","[""Bicycle (724).jpg"", ""Bicycle (549).jpg"", ""Bicycle (466).jpg"", ""Bicycle (460).jpg""]",756,6,6,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:07:00.039,2026-04-02T15:07:07.953,7.914,7,1,Click on the images containing bicycles.,"[""Bicycle (292).jpg"", ""Tlight (118).jpg"", ""Cross (113).jpg"", ""Stair (1353).jpg"", ""Bicycle (298).jpg"", ""Car (33).jpg"", ""Bicycle (481).jpg"", ""Bicycle (85).jpg"", ""Palm (90).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 4, 6, 7]","[""Bicycle (292).jpg"", ""Bicycle (298).jpg"", ""Bicycle (481).jpg"", ""Bicycle (85).jpg""]",752,7,7,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:07:07.959,2026-04-02T15:07:15.272,7.313,8,1,Click on the images containing bicycles.,"[""Car (120).jpg"", ""Hydrant (78).jpg"", ""Chimney (20).jpg"", ""Bicycle (472).jpg"", ""Bicycle (393).jpg"", ""Bicycle (678).jpg"", ""Bicycle (120).jpg"", ""Bicycle (407).jpg"", ""Palm (116).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D""]","[3, 4, 5, 6, 7]","[""Bicycle (472).jpg"", ""Bicycle (393).jpg"", ""Bicycle (678).jpg"", ""Bicycle (120).jpg"", ""Bicycle (407).jpg""]",747,8,8,10,submit,
ae0181ffe0aa417eacdda73cd27a88b4,captcha_pre,214,18,female,2026-04-02T15:07:15.278,2026-04-02T15:07:21.185,5.907,9,1,Click on the images containing bicycles.,"[""Stair (339).jpg"", ""Bicycle (261).jpg"", ""Car (78).jpg"", ""Chimney (104).jpg"", ""Hydrant (38).jpg"", ""Bicycle (327).jpg"", ""Bicycle (171).jpg"", ""Stair (861).jpg"", ""Bridge (105).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5, 6]","[""Bicycle (261).jpg"", ""Bicycle (327).jpg"", ""Bicycle (171).jpg""]",744,9,9,10,submit,
