exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:56:28.810,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:56:28.837,2026-04-02T15:57:01.534,32.697,1,1,Click on the images containing bicycles.,"[""Chimney (55).jpg"", ""Bicycle (272).jpg"", ""Bicycle (302).jpg"", ""Bicycle (677).jpg"", ""Chimney (83).jpg"", ""Bicycle (338).jpg"", ""Hydrant (89).jpg"", ""Bicycle (1).jpg"", ""Cross (92).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 3, 5, 7]","[""Bicycle (272).jpg"", ""Bicycle (302).jpg"", ""Bicycle (677).jpg"", ""Bicycle (338).jpg"", ""Bicycle (1).jpg""]",775,1,1,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:01.541,2026-04-02T15:57:08.326,6.785,2,1,Click on the images containing bicycles.,"[""Bicycle (215).jpg"", ""Bicycle (105).jpg"", ""Bridge (41).jpg"", ""Stair (323).jpg"", ""Bridge (93).jpg"", ""Chimney (51).jpg"", ""Bicycle (463).jpg"", ""Car (62).jpg"", ""Bicycle (554).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 6, 8]","[""Bicycle (215).jpg"", ""Bicycle (105).jpg"", ""Bicycle (463).jpg"", ""Bicycle (554).jpg""]",771,2,2,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:08.331,2026-04-02T15:57:12.876,4.545,3,1,Click on the images containing bicycles.,"[""Chimney (58).jpg"", ""Bicycle (24).jpg"", ""Chimney (17).jpg"", ""Bicycle (401).jpg"", ""Bicycle (298).jpg"", ""Bridge (42).jpg"", ""Bridge (101).jpg"", ""Bicycle (131).jpg"", ""Bicycle (623).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 3, 4, 7, 8]","[""Bicycle (24).jpg"", ""Bicycle (401).jpg"", ""Bicycle (298).jpg"", ""Bicycle (131).jpg"", ""Bicycle (623).jpg""]",766,3,3,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:12.882,2026-04-02T15:57:19.509,6.627,4,1,Click on the images containing bicycles.,"[""Bus (59).jpg"", ""Bicycle (211).jpg"", ""Bicycle (113).jpg"", ""Car (21).jpg"", ""Cross (24).jpg"", ""Bicycle (439).jpg"", ""Bus (92).jpg"", ""Chimney (77).jpg"", ""Bicycle (65).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 5, 8]","[""Bicycle (211).jpg"", ""Bicycle (113).jpg"", ""Bicycle (439).jpg"", ""Bicycle (65).jpg""]",762,4,4,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:19.515,2026-04-02T15:57:25.532,6.017,5,1,Click on the images containing bicycles.,"[""Tlight (123).jpg"", ""Bicycle (281).jpg"", ""Chimney (92).jpg"", ""Hydrant (133).jpg"", ""Bicycle (92).jpg"", ""Cross (47).jpg"", ""Hydrant (127).jpg"", ""Tlight (65).jpg"", ""Bicycle (350).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 4, 8]","[""Bicycle (281).jpg"", ""Bicycle (92).jpg"", ""Bicycle (350).jpg""]",759,5,5,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:25.537,2026-04-02T15:57:30.542,5.005,6,0,Click on the images containing bicycles.,"[""Hydrant (122).jpg"", ""Stair (427).jpg"", ""Bicycle (638).jpg"", ""Bicycle (259).jpg"", ""Bicycle (358).jpg"", ""Tlight (1).jpg"", ""Bicycle (380).jpg"", ""Chimney (38).jpg"", ""Bicycle (662).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 4, 6, 8]","[""Bicycle (638).jpg"", ""Bicycle (358).jpg"", ""Bicycle (380).jpg"", ""Bicycle (662).jpg""]",754,6,5,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:32.553,2026-04-02T15:57:39.325,6.772,7,1,Click on the images containing bicycles.,"[""Hydrant (125).jpg"", ""Bicycle (265).jpg"", ""Car (87).jpg"", ""Hydrant (112).jpg"", ""Bus (47).jpg"", ""Bicycle (191).jpg"", ""Tlight (20).jpg"", ""Bicycle (72).jpg"", ""Car (117).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (265).jpg"", ""Bicycle (191).jpg"", ""Bicycle (72).jpg""]",751,7,6,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:39.332,2026-04-02T15:57:43.716,4.384,8,1,Click on the images containing bicycles.,"[""Bridge (53).jpg"", ""Bicycle (300).jpg"", ""Bicycle (39).jpg"", ""Bicycle (654).jpg"", ""Bicycle (596).jpg"", ""Car (58).jpg"", ""Tlight (75).jpg"", ""Bridge (75).jpg"", ""Car (61).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3, 4]","[""Bicycle (300).jpg"", ""Bicycle (39).jpg"", ""Bicycle (654).jpg"", ""Bicycle (596).jpg""]",747,8,7,10,submit,
87b94bb435364010bf598c0a1b55f257,captcha_pre,215,22,male,2026-04-02T15:57:43.722,2026-04-02T15:57:49.388,5.666,9,0,Click on the images containing bicycles.,"[""Bicycle (377).jpg"", ""Bus (71).jpg"", ""Bicycle (352).jpg"", ""Car (84).jpg"", ""Hydrant (105).jpg"", ""Hydrant (44).jpg"", ""Bicycle (608).jpg"", ""Bicycle (221).jpg"", ""Bicycle (160).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7]","[""Bicycle (377).jpg"", ""Bicycle (352).jpg"", ""Bicycle (608).jpg"", ""Bicycle (221).jpg""]",742,9,7,10,submit,
